Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,88.610001,88.970001,88.440002,88.75,1195800,88.75
2017-05-11,87.839996,88.940002,87.800003,88.860001,2143200,88.860001
2017-05-10,87.57,88.709999,87.559998,88.139999,1297300,88.139999
2017-05-09,86.699997,88.209999,86.669998,87.540001,1923600,87.540001
2017-05-08,86.209999,86.980003,86.019997,86.589996,1791300,86.589996
2017-05-05,86.660004,86.970001,85.540001,85.889999,1692800,85.889999
2017-05-04,83.50,87.970001,83.50,86.529999,3733700,86.529999
2017-05-03,82.449997,83.110001,81.599998,82.669998,2898400,82.669998
2017-05-02,82.760002,82.919998,81.07,82.660004,1824300,82.660004
2017-05-01,82.32,83.010002,81.860001,82.489998,1708800,82.489998
2017-04-28,82.169998,82.400002,81.610001,82.050003,1476200,82.050003
2017-04-27,81.379997,82.190002,81.300003,82.120003,1671200,82.120003
2017-04-26,81.50,82.169998,81.199997,81.25,1215300,81.25
2017-04-25,80.82,81.57,79.400002,81.489998,1983600,81.489998
2017-04-24,82.029999,82.110001,80.809998,80.940002,2292800,80.940002
2017-04-21,82.199997,82.290001,81.110001,81.260002,1137000,81.260002
2017-04-20,82.230003,82.93,81.620003,82.370003,2058600,82.370003
2017-04-19,82.639999,83.089996,81.620003,81.849998,1901600,81.849998
2017-04-18,83.169998,83.440002,81.129997,82.559998,4377800,82.559998
2017-04-17,86.639999,86.720001,86.209999,86.639999,1284400,86.639999
2017-04-13,86.639999,87.290001,86.360001,86.669998,786500,86.669998
2017-04-12,87.150002,87.589996,86.139999,86.82,1885100,86.82
2017-04-11,88.279999,88.349998,86.82,87.870003,1448700,87.870003
2017-04-10,87.75,89.25,87.589996,88.440002,994800,88.440002
2017-04-07,87.57,88.07,87.290001,87.620003,917000,87.620003
2017-04-06,87.260002,87.690002,86.849998,87.639999,1586000,87.639999
2017-04-05,87.440002,88.260002,86.989998,87.18,1173300,87.18
2017-04-04,87.059998,87.989998,86.709999,86.93,1372300,86.93
2017-04-03,88.410004,88.629997,86.800003,87.330002,1379300,87.330002
2017-03-31,88.870003,89.650002,88.470001,88.50,1790700,88.50
2017-03-30,89.349998,89.879997,89.029999,89.139999,1395000,89.139999
2017-03-29,87.400002,89.769997,87.400002,89.510002,2280700,89.510002
2017-03-28,87.120003,87.970001,87.120003,87.50,1145300,87.50
2017-03-27,86.139999,87.550003,86.120003,87.480003,1558600,87.480003
2017-03-24,85.989998,86.830002,85.720001,86.559998,1236200,86.559998
2017-03-23,85.860001,86.75,85.790001,85.989998,1437300,85.989998
2017-03-22,86.120003,86.279999,85.220001,85.879997,1183000,85.879997
2017-03-21,87.00,87.290001,85.769997,85.910004,1986300,85.910004
2017-03-20,87.650002,87.889999,86.25,86.910004,1562500,86.910004
2017-03-17,87.910004,88.330002,86.879997,87.529999,2281300,87.529999
2017-03-16,89.580002,89.760002,87.889999,88.00,1518600,88.00
2017-03-15,88.849998,89.57,88.139999,89.480003,1793000,89.480003
2017-03-14,88.959999,89.199997,88.040001,88.809998,1237500,88.809998
2017-03-13,88.760002,89.25,88.220001,89.139999,1665200,89.139999
2017-03-10,88.989998,89.00,87.760002,88.309998,1543900,88.309998
2017-03-09,89.400002,89.400002,88.080002,88.610001,1121500,88.610001
2017-03-08,88.32,89.970001,88.32,89.080002,1847600,89.080002
2017-03-07,89.230003,89.800003,87.919998,88.480003,2543800,88.480003
2017-03-06,91.580002,91.870003,89.739998,89.989998,1806300,89.989998
2017-03-03,92.220001,92.669998,91.470001,92.230003,1405300,92.230003
2017-03-02,91.889999,92.730003,91.449997,91.940002,1431500,91.940002
2017-03-01,92.190002,92.809998,91.690002,92.230003,1393700,92.230003
2017-02-28,91.900002,91.93,90.980003,91.510002,1915500,91.510002
2017-02-27,92.309998,92.739998,91.300003,91.730003,1139600,91.730003
2017-02-24,91.510002,92.160004,90.529999,92.160004,998500,92.160004
2017-02-23,91.449997,92.400002,90.959999,91.610001,2143900,91.610001
2017-02-22,91.190002,92.199997,91.010002,91.339996,1149500,91.339996
2017-02-21,90.739998,91.150002,89.559998,91.010002,2016900,91.010002
2017-02-17,90.239998,90.879997,89.720001,90.760002,1441200,90.760002
2017-02-16,91.00,91.540001,89.00,90.32,2282900,90.32
2017-02-15,90.650002,91.470001,89.660004,91.18,1944700,90.815002
2017-02-14,90.00,91.089996,89.730003,90.82,2066300,90.456443
2017-02-13,91.529999,94.50,89.419998,90.480003,3037800,90.117808
2017-02-10,91.540001,91.75,90.269997,91.169998,1527300,90.80504
2017-02-09,91.07,91.779999,90.160004,91.650002,1630300,91.283122
2017-02-08,90.18,91.110001,89.68,91.07,1469800,90.705442
2017-02-07,89.849998,91.639999,89.709999,90.330002,2108500,89.968407
2017-02-06,89.169998,91.650002,88.93,89.980003,2869800,89.619809
2017-02-03,88.57,89.610001,87.739998,89.279999,2990300,88.922607
2017-02-02,88.050003,88.779999,86.57,88.050003,3836300,87.697535
2017-02-01,87.709999,88.699997,86.089996,88.610001,3362000,88.255291
2017-01-31,86.620003,87.839996,83.00,87.279999,5827300,86.930613
2017-01-30,82.550003,83.75,80.82,83.620003,2650000,83.285268
2017-01-27,83.68,83.68,82.07,82.43,1865400,82.100029
2017-01-26,81.040001,85.199997,81.040001,83.389999,3482900,83.056185
2017-01-25,84.900002,85.919998,84.580002,85.830002,1858200,85.48642
2017-01-24,84.699997,85.190002,84.059998,84.410004,1513500,84.072106
2017-01-23,83.720001,85.099998,83.309998,84.879997,1420100,84.540219
2017-01-20,85.860001,86.269997,83.209999,83.75,3780100,83.414745
2017-01-19,85.279999,85.779999,84.82,85.470001,1574500,85.127861
2017-01-18,85.949997,86.18,85.190002,85.510002,2094000,85.167701
2017-01-17,84.919998,86.470001,84.089996,85.989998,2103000,85.645776
2017-01-13,84.080002,85.120003,83.510002,84.620003,1397900,84.281265
2017-01-12,82.279999,84.940002,81.949997,83.860001,2771200,83.524305
2017-01-11,85.150002,86.32,79.940002,81.529999,3994900,81.20363
2017-01-10,85.099998,86.139999,84.300003,84.830002,1860900,84.490423
2017-01-09,84.599998,86.07,84.599998,85.480003,2072200,85.137823
2017-01-06,83.529999,85.779999,83.529999,84.800003,2132000,84.460545
2017-01-05,84.379997,84.830002,82.620003,83.68,2136200,83.345025
2017-01-04,82.599998,85.139999,82.470001,84.660004,2561900,84.321106
2017-01-03,78.510002,83.099998,78.309998,82.610001,4134200,82.279309
2016-12-30,79.349998,79.489998,77.959999,78.190002,1409000,77.877004
2016-12-29,78.610001,80.239998,78.589996,79.339996,1014800,79.022395
2016-12-28,78.860001,79.220001,78.209999,78.349998,862100,78.03636
2016-12-27,78.419998,79.269997,78.300003,78.82,655200,78.504479
2016-12-23,78.040001,78.93,77.889999,78.559998,596600,78.245518
2016-12-22,78.959999,78.959999,77.330002,77.809998,1881800,77.49852
2016-12-21,78.959999,79.580002,78.610001,78.849998,1355800,78.534358
2016-12-20,78.699997,80.059998,78.559998,79.300003,2934200,78.982561
2016-12-19,77.550003,78.650002,77.379997,78.419998,1816300,78.106079
2016-12-16,76.940002,77.580002,76.50,77.379997,3635100,77.070241
2016-12-15,76.800003,76.830002,75.459999,76.669998,2174600,76.363084
2016-12-14,78.949997,79.400002,76.589996,77.050003,2282100,76.741568
2016-12-13,78.379997,79.169998,78.169998,79.040001,1329600,78.7236
2016-12-12,78.370003,78.970001,77.279999,78.07,1730300,77.757482
2016-12-09,77.190002,79.220001,77.019997,78.900002,1790900,78.584161
2016-12-08,76.239998,77.639999,75.68,76.879997,2567200,76.572243
2016-12-07,78.190002,78.190002,73.860001,76.379997,4493500,76.074244
2016-12-06,79.900002,80.099998,78.540001,78.870003,2374800,78.554282
2016-12-05,78.889999,79.980003,78.510002,79.540001,2611200,79.221598
2016-12-02,78.150002,79.580002,77.660004,78.800003,1733300,78.484563
2016-12-01,77.879997,78.699997,77.610001,77.800003,1505600,77.488566
2016-11-30,77.720001,78.919998,77.449997,77.989998,5158900,77.6778
2016-11-29,78.650002,79.360001,77.529999,77.629997,2493700,77.319241
2016-11-28,78.610001,79.580002,77.809998,79.050003,2124600,78.733562
2016-11-25,79.07,80.480003,78.349998,78.57,1159000,78.25548
2016-11-23,78.07,78.900002,77.760002,78.699997,1324600,78.384957
2016-11-22,78.769997,78.769997,77.769997,78.410004,1910400,78.096125
2016-11-21,78.620003,79.339996,77.839996,78.449997,2607500,78.135958
2016-11-18,79.910004,79.910004,78.910004,79.209999,3644000,78.892918
2016-11-17,78.199997,80.25,77.709999,80.160004,3045700,79.839119
2016-11-16,79.160004,80.209999,78.660004,78.860001,2962300,78.18078
2016-11-15,81.50,81.660004,78.839996,79.529999,4285600,78.845008
2016-11-14,82.160004,82.580002,79.379997,81.330002,4404200,80.629507
2016-11-11,79.410004,79.849998,77.239998,78.919998,5221500,78.240261
2016-11-10,77.089996,80.800003,77.089996,79.589996,4612200,78.904488
2016-11-09,72.980003,76.150002,71.75,75.610001,5516300,74.958772
2016-11-08,71.029999,71.160004,68.709999,69.029999,4787000,68.435444
2016-11-07,71.519997,72.339996,70.989998,71.93,3629500,71.310468
2016-11-04,71.690002,73.32,70.269997,70.470001,4999800,69.863044
2016-11-03,75.870003,77.470001,71.209999,72.32,7258600,71.697108
2016-11-02,70.269997,76.690002,70.18,75.959999,6161100,75.305756
2016-11-01,69.849998,71.18,69.650002,69.790001,4264200,69.1889
2016-10-31,69.510002,70.940002,69.510002,70.32,4437000,69.714334
2016-10-28,69.129997,71.410004,68.379997,69.139999,9767100,68.544497
2016-10-27,79.559998,79.839996,79.110001,79.50,1595100,78.815267
2016-10-26,80.010002,80.239998,79.099998,79.370003,2134600,78.68639
2016-10-25,79.599998,80.559998,79.449997,80.389999,1688700,79.697601
2016-10-24,80.339996,80.879997,79.940002,80.040001,1308300,79.350617
2016-10-21,80.160004,80.529999,79.93,80.019997,1210400,79.330785
2016-10-20,80.279999,81.769997,80.230003,80.739998,2312900,80.044585
2016-10-19,81.199997,81.199997,80.349998,80.349998,1645100,79.657945
2016-10-18,80.459999,81.239998,80.169998,81.089996,1914200,80.391569
2016-10-17,79.75,79.910004,79.230003,79.739998,2186800,79.053198
2016-10-14,80.489998,80.879997,79.790001,79.790001,1285800,79.10277
2016-10-13,80.279999,80.93,79.93,80.379997,2494000,79.687685
2016-10-12,79.690002,81.050003,79.419998,80.610001,2367600,79.915707
2016-10-11,79.599998,80.040001,79.260002,79.610001,2409000,78.92432
2016-10-10,79.07,80.010002,78.779999,79.639999,1281800,78.954061
2016-10-07,80.43,80.550003,78.699997,79.389999,1837100,78.706214
2016-10-06,79.580002,80.290001,78.900002,80.139999,2249100,79.449754
2016-10-05,80.709999,80.860001,79.879997,80.029999,1745300,79.340701
2016-10-04,81.260002,81.720001,80.25,80.529999,1681000,79.836395
2016-10-03,80.68,80.940002,79.989998,80.120003,1562500,79.42993
2016-09-30,81.290001,81.639999,79.339996,80.779999,3001800,80.084241
2016-09-29,82.919998,83.279999,81.25,81.25,1625300,80.550195
2016-09-28,83.25,83.300003,82.459999,83.199997,1310000,82.483396
