Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,67.589996,68.300003,67.550003,68.059998,2223000,68.059998
2017-05-11,67.230003,67.559998,66.93,67.550003,1491200,67.550003
2017-05-10,67.349998,67.620003,67.129997,67.410004,2236300,67.410004
2017-05-09,67.629997,67.769997,67.239998,67.309998,2340700,67.309998
2017-05-08,67.989998,68.18,67.519997,67.730003,2650900,67.730003
2017-05-05,68.220001,68.660004,67.889999,68.410004,2674800,67.820002
2017-05-04,67.709999,68.120003,67.669998,68.019997,2285000,67.433359
2017-05-03,68.00,68.25,67.769997,67.900002,1879000,67.314398
2017-05-02,67.669998,68.160004,67.550003,68.010002,3172000,67.42345
2017-05-01,68.029999,68.029999,67.339996,67.470001,1694400,66.888107
2017-04-28,68.099998,68.239998,67.739998,67.830002,2671300,67.245002
2017-04-27,67.440002,68.459999,67.209999,68.099998,2225400,67.51267
2017-04-26,67.790001,68.120003,67.620003,67.690002,2821600,67.10621
2017-04-25,67.739998,68.029999,67.550003,67.860001,1824500,67.274742
2017-04-24,67.82,68.089996,67.360001,67.970001,2714500,67.383794
2017-04-21,67.279999,68.029999,67.279999,67.860001,2721100,67.274742
2017-04-20,67.739998,67.739998,66.970001,67.440002,2518300,66.858367
2017-04-19,67.989998,68.129997,67.510002,67.739998,2802200,67.155775
2017-04-18,67.769997,68.120003,67.650002,67.980003,2427400,67.39371
2017-04-17,67.669998,67.879997,67.559998,67.739998,1452600,67.155775
2017-04-13,67.800003,67.900002,67.290001,67.540001,1899000,66.957503
2017-04-12,67.150002,67.849998,67.019997,67.790001,2286700,67.205346
2017-04-11,67.389999,67.540001,66.989998,67.389999,2046600,66.808795
2017-04-10,67.470001,67.629997,67.029999,67.50,1556700,66.917847
2017-04-07,67.800003,67.989998,67.300003,67.32,2934600,66.739399
2017-04-06,67.620003,67.769997,67.360001,67.620003,2073500,67.036814
2017-04-05,67.279999,67.900002,67.099998,67.830002,2162700,67.245002
2017-04-04,67.160004,67.519997,66.959999,67.290001,1767600,66.709659
2017-04-03,67.019997,67.18,66.50,67.150002,1939900,66.570867
2017-03-31,67.080002,67.510002,67.07,67.129997,2259700,66.551035
2017-03-30,67.160004,67.389999,66.849998,67.160004,2080900,66.580783
2017-03-29,67.589996,67.720001,67.279999,67.389999,2272400,66.808795
2017-03-28,67.480003,67.900002,67.419998,67.839996,2645000,67.254911
2017-03-27,67.940002,68.25,67.339996,67.690002,2565000,67.10621
2017-03-24,67.389999,68.019997,67.269997,67.790001,1969500,67.205346
2017-03-23,67.349998,68.029999,67.230003,67.449997,2554400,66.868275
2017-03-22,67.339996,67.800003,67.120003,67.440002,2609300,66.858367
2017-03-21,66.099998,67.220001,66.089996,66.980003,3159300,66.402335
2017-03-20,66.620003,66.860001,65.989998,66.129997,1861500,65.559659
2017-03-17,66.160004,66.860001,66.080002,66.470001,3823600,65.896731
2017-03-16,66.470001,66.50,65.860001,66.010002,1615300,65.440699
2017-03-15,65.860001,67.00,65.82,66.68,1776000,66.104919
2017-03-14,65.779999,65.93,65.519997,65.790001,1641900,65.222595
2017-03-13,65.410004,65.849998,65.330002,65.809998,1922000,65.24242
2017-03-10,65.300003,65.589996,64.940002,65.400002,2358600,64.83596
2017-03-09,65.120003,65.650002,64.809998,64.839996,2532300,64.280784
2017-03-08,65.769997,65.900002,65.019997,65.150002,3126100,64.588116
2017-03-07,66.25,66.519997,66.129997,66.239998,2770000,65.668711
2017-03-06,66.370003,66.599998,66.059998,66.349998,1832300,65.777763
2017-03-03,66.57,66.620003,65.959999,66.519997,2127400,65.946295
2017-03-02,65.900002,66.959999,65.860001,66.50,2442900,65.926471
2017-03-01,66.199997,66.739998,65.889999,66.120003,3147100,65.549751
2017-02-28,66.699997,67.150002,66.480003,66.970001,3912000,66.392419
2017-02-27,67.059998,67.120003,66.510002,66.699997,3101200,66.124743
2017-02-24,66.190002,67.220001,66.150002,67.150002,4094100,66.570867
2017-02-23,65.550003,66.089996,65.309998,66.010002,2286600,65.440699
2017-02-22,64.669998,65.410004,64.519997,65.309998,2455900,64.746732
2017-02-21,63.98,64.870003,63.75,64.760002,2067300,64.20148
2017-02-17,63.799999,64.129997,63.529999,64.110001,1955900,63.557084
2017-02-16,63.389999,63.720001,63.310001,63.700001,1890300,63.15062
2017-02-15,62.93,63.330002,62.689999,63.290001,2068300,62.744157
2017-02-14,63.639999,63.740002,62.959999,63.27,2218600,62.724329
2017-02-13,63.970001,64.099998,63.459999,63.790001,2188300,63.239844
2017-02-10,63.349998,64.080002,63.310001,63.950001,2429800,63.398464
2017-02-09,63.799999,64.019997,63.360001,63.419998,2517000,62.873033
2017-02-08,63.32,64.019997,63.32,63.799999,1817000,63.249757
2017-02-07,63.82,64.010002,63.560001,63.93,1552800,62.793725
2017-02-06,64.25,64.410004,63.720001,63.82,1741400,62.685679
2017-02-03,63.779999,64.339996,63.639999,64.029999,2288300,62.891946
2017-02-02,63.110001,63.810001,62.970001,63.779999,1802600,62.646389
2017-02-01,63.580002,63.810001,63.02,63.09,2779500,61.968654
2017-01-31,63.150002,64.110001,62.950001,64.059998,2712300,62.921411
2017-01-30,63.110001,63.400002,62.779999,63.209999,2265000,62.086521
2017-01-27,62.779999,63.040001,62.48,62.970001,2537400,61.850788
2017-01-26,62.50,62.82,62.139999,62.639999,2525600,61.526652
2017-01-25,62.639999,62.830002,62.41,62.529999,2316900,61.418606
2017-01-24,62.639999,62.900002,62.509998,62.779999,2061100,61.664163
2017-01-23,62.91,63.139999,62.639999,62.709999,1317800,61.595407
2017-01-20,62.900002,63.150002,62.490002,62.91,2015000,61.791853
2017-01-19,63.189999,63.41,62.540001,62.700001,2628100,61.585587
2017-01-18,63.529999,63.919998,63.389999,63.459999,1883900,62.332077
2017-01-17,63.450001,64.029999,63.299999,63.810001,1705800,62.675859
2017-01-13,63.099998,63.299999,62.75,63.23,2506500,62.106165
2017-01-12,62.959999,63.400002,62.799999,63.290001,2139900,62.1651
2017-01-11,62.209999,63.189999,62.119999,63.18,2918400,62.057055
2017-01-10,62.580002,62.700001,61.82,62.119999,2046000,61.015894
2017-01-09,62.959999,63.330002,62.200001,62.310001,2381300,61.202519
2017-01-06,62.900002,63.310001,62.720001,63.139999,1769900,62.017765
2017-01-05,63.029999,63.43,62.389999,63.189999,3884800,62.066876
2017-01-04,62.91,63.41,62.669998,62.849998,2127200,61.732918
2017-01-03,63.009998,63.029999,62.349998,62.759998,1943800,61.644518
2016-12-30,63.32,63.419998,62.720001,62.959999,1677000,61.840964
2016-12-29,62.68,63.380001,62.50,63.279999,1508100,62.155276
2016-12-28,63.09,63.119999,62.299999,62.389999,1501800,61.281095
2016-12-27,62.970001,63.27,62.799999,63.130001,1246500,62.007944
2016-12-23,63.529999,63.529999,62.849998,63.169998,1121600,62.047231
2016-12-22,62.799999,63.380001,62.700001,63.240002,2143100,62.11599
2016-12-21,63.049999,63.400002,62.790001,62.799999,1506000,61.683808
2016-12-20,62.959999,63.360001,62.73,63.209999,2549000,62.086521
2016-12-19,63.110001,63.200001,62.48,62.939999,2011500,61.821319
2016-12-16,62.259998,62.84,62.00,62.810001,3966200,61.693632
2016-12-15,61.32,62.139999,61.029999,62.110001,2290700,61.006073
2016-12-14,63.02,63.41,61.57,61.700001,3726100,60.603361
2016-12-13,62.009998,62.779999,61.950001,62.709999,2909000,61.595407
2016-12-12,60.98,62.09,60.880001,61.950001,2603000,60.848917
2016-12-09,60.299999,60.990002,60.25,60.990002,2329400,59.905981
2016-12-08,59.810001,60.360001,59.349998,60.18,2876800,59.110376
2016-12-07,59.73,60.34,59.459999,60.25,2444700,59.179132
2016-12-06,59.389999,59.639999,59.009998,59.470001,3343400,58.412996
2016-12-05,58.43,59.220001,57.900002,59.200001,3400600,58.147795
2016-12-02,58.630001,59.169998,58.330002,58.700001,2129800,57.656682
2016-12-01,58.82,58.889999,57.889999,58.16,3539300,57.126279
2016-11-30,60.50,60.50,59.049999,59.049999,3515300,58.000459
2016-11-29,60.689999,61.450001,60.59,61.27,2769700,60.181003
2016-11-28,60.00,61.139999,59.950001,60.900002,2705300,59.81758
2016-11-25,59.07,59.950001,59.049999,59.720001,984800,58.658553
2016-11-23,58.639999,59.25,58.599998,58.82,2438500,57.774548
2016-11-22,59.32,59.389999,58.880001,59.169998,4091400,58.118326
2016-11-21,58.619999,59.380001,58.610001,59.32,2462300,58.265661
2016-11-18,58.84,59.23,58.310001,58.439999,2775700,57.401301
2016-11-17,58.799999,59.32,58.799999,58.860001,2307200,57.813838
2016-11-16,59.459999,59.68,58.529999,58.990002,2755400,57.941528
2016-11-15,58.970001,59.740002,58.950001,59.459999,3537900,58.403172
2016-11-14,59.59,59.68,58.16,58.720001,7074600,57.676327
2016-11-11,59.759998,60.880001,59.549999,59.990002,3539800,58.923755
2016-11-10,61.00,61.00,58.57,59.740002,5057600,58.678198
2016-11-09,62.009998,62.009998,61.02,61.25,3160900,60.161358
2016-11-08,62.889999,63.68,62.869999,63.23,2970800,62.106165
2016-11-07,62.630001,63.279999,61.619999,63.240002,3102500,61.536479
2016-11-04,63.25,63.740002,62.360001,62.400002,2966900,60.719106
2016-11-03,62.470001,63.369999,62.18,62.919998,2401800,61.225095
2016-11-02,62.740002,62.889999,61.919998,62.610001,3156200,60.923448
2016-11-01,64.550003,64.900002,63.110001,63.380001,4536100,61.672707
2016-10-31,63.59,65.25,63.57,64.839996,4076400,63.093374
2016-10-28,63.23,63.849998,63.16,63.41,2351900,61.701898
2016-10-27,63.310001,63.470001,62.759998,63.189999,2305000,61.487823
2016-10-26,63.349998,63.869999,62.939999,63.529999,2250800,61.818664
2016-10-25,62.82,63.709999,62.77,63.459999,2535100,61.75055
2016-10-24,62.759998,63.130001,62.48,63.029999,1677400,61.332133
2016-10-21,62.59,62.799999,62.200001,62.48,1782700,60.796949
2016-10-20,63.220001,63.41,62.77,62.91,1682700,61.215366
2016-10-19,63.380001,63.439999,62.860001,63.189999,2351300,61.487823
2016-10-18,63.27,63.48,62.459999,63.369999,2833900,61.662974
2016-10-17,62.50,63.139999,62.43,62.970001,2767900,61.273752
2016-10-14,62.25,62.84,61.970001,62.299999,2490100,60.621798
2016-10-13,61.860001,63.009998,61.799999,62.529999,3457000,60.845602
2016-10-12,61.43,62.189999,61.43,62.00,2648400,60.32988
2016-10-11,61.98,62.279999,61.279999,61.34,2157700,59.687658
2016-10-10,61.970001,62.310001,61.73,62.209999,1633700,60.534222
2016-10-07,62.700001,63.150002,61.75,61.790001,3345100,60.125537
2016-10-06,62.07,62.509998,61.720001,62.25,3195800,60.573145
2016-10-05,62.189999,63.029999,61.98,62.18,3825400,60.505031
2016-10-04,63.470001,63.470001,61.82,62.18,3586500,60.505031
2016-10-03,64.040001,64.059998,63.049999,63.509998,2813400,61.799202
2016-09-30,64.800003,65.07,63.75,64.209999,4152600,62.480347
2016-09-29,65.419998,65.419998,64.099998,64.50,3632100,62.762536
2016-09-28,65.650002,65.779999,64.779999,65.360001,2515900,63.59937
2016-09-27,66.660004,66.959999,65.370003,65.50,2229800,63.735599
2016-09-26,66.660004,66.739998,66.150002,66.360001,1745800,64.572433
2016-09-23,66.480003,66.870003,66.089996,66.660004,2031100,64.864355
2016-09-22,66.510002,66.790001,66.199997,66.599998,2582500,64.805966
2016-09-21,64.949997,66.269997,64.910004,66.190002,3380800,64.407014
2016-09-20,65.230003,65.690002,65.010002,65.010002,2232900,63.2588
2016-09-19,65.00,65.489998,64.809998,65.419998,2185900,63.657752
2016-09-16,64.160004,64.879997,63.880001,64.809998,3751500,63.064183
2016-09-15,63.939999,64.470001,63.709999,64.300003,2450900,62.567927
2016-09-14,64.760002,64.760002,63.700001,64.019997,2820600,62.295463
2016-09-13,64.519997,64.900002,63.560001,63.810001,3845800,62.091124
2016-09-12,63.68,64.889999,63.68,64.709999,2815100,62.966878
2016-09-09,65.510002,65.599998,63.619999,63.709999,3341300,61.993816
2016-09-08,65.889999,66.349998,65.769997,66.099998,1834100,64.319435
2016-09-07,65.970001,66.239998,65.650002,66.050003,1992800,64.270786
2016-09-06,65.510002,66.169998,65.400002,66.040001,2431000,64.261053
