Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,61.580002,61.810001,60.919998,60.990002,14213400,60.990002
2017-05-11,62.880001,62.900002,61.720001,61.790001,9084400,61.790001
2017-05-10,61.650002,61.799999,61.220001,61.369999,3954200,61.369999
2017-05-09,61.900002,62.439999,61.66,61.82,6135300,61.82
2017-05-08,62.759998,62.799999,61.75,61.919998,6480900,61.919998
2017-05-05,62.759998,62.950001,62.610001,62.709999,5843000,62.709999
2017-05-04,62.919998,63.48,62.599998,62.669998,8488000,62.669998
2017-05-03,61.400002,61.91,61.259998,61.540001,7470700,61.540001
2017-05-02,61.50,62.060001,61.389999,61.529999,5196900,61.529999
2017-05-01,61.189999,61.880001,61.07,61.610001,5767400,61.610001
2017-04-28,61.049999,61.32,60.869999,60.91,4798100,60.91
2017-04-27,60.209999,61.41,60.119999,61.150002,6802300,61.150002
2017-04-26,60.009998,60.82,59.919998,60.16,12273400,60.16
2017-04-25,60.009998,60.299999,59.900002,60.07,8288100,60.07
2017-04-24,59.900002,59.959999,59.41,59.689999,7837700,59.689999
2017-04-21,59.560001,59.700001,59.080002,59.130001,6143500,59.130001
2017-04-20,59.150002,60.490002,58.93,59.669998,9396700,59.669998
2017-04-19,59.82,59.98,58.709999,58.98,6107300,58.98
2017-04-18,59.59,59.919998,59.299999,59.50,4831100,59.50
2017-04-17,59.610001,60.060001,59.369999,59.93,5920700,59.93
2017-04-13,59.990002,60.299999,59.50,59.549999,5941800,59.549999
2017-04-12,60.189999,60.459999,59.740002,60.169998,7461800,60.169998
2017-04-11,61.279999,61.41,60.560001,60.790001,6142000,60.790001
2017-04-10,61.41,61.889999,61.27,61.48,4760900,61.48
2017-04-07,61.52,61.82,61.290001,61.34,4847200,61.34
2017-04-06,61.50,62.07,61.389999,61.84,3862600,61.84
2017-04-05,62.529999,62.77,61.549999,61.619999,4605300,61.619999
2017-04-04,61.709999,62.259998,61.50,62.18,4553200,62.18
2017-04-03,62.43,62.560001,61.34,61.790001,5158800,61.790001
2017-03-31,62.41,62.84,62.25,62.43,5296000,62.43
2017-03-30,61.73,62.889999,61.68,62.57,4706600,62.57
2017-03-29,61.599998,61.889999,61.509998,61.77,5369800,61.77
2017-03-28,60.689999,62.25,60.619999,61.860001,6491000,61.860001
2017-03-27,60.139999,61.119999,59.889999,60.93,6639300,60.93
2017-03-24,61.50,61.77,60.439999,60.880001,8466700,60.880001
2017-03-23,61.310001,61.900002,61.200001,61.34,6894600,61.34
2017-03-22,61.580002,61.830002,61.099998,61.240002,7417700,61.240002
2017-03-21,62.68,62.68,61.560001,61.759998,7307300,61.759998
2017-03-20,62.209999,62.84,61.880001,62.369999,4596600,62.369999
2017-03-17,62.639999,63.049999,62.029999,62.419998,16458400,62.419998
2017-03-16,63.150002,63.470001,62.779999,62.91,5185800,62.91
2017-03-15,63.09,63.389999,62.880001,63.23,5862600,63.23
2017-03-14,62.75,63.02,62.41,62.880001,5131200,62.880001
2017-03-13,61.970001,63.330002,61.810001,63.18,8328100,63.18
2017-03-10,63.290001,63.400002,62.869999,63.080002,5005600,62.76
2017-03-09,64.540001,64.75,62.950001,63.209999,8564500,62.889338
2017-03-08,63.849998,64.050003,63.290001,63.439999,5863800,63.118171
2017-03-07,63.689999,63.759998,62.66,63.450001,8144800,63.128122
2017-03-06,63.799999,64.010002,63.369999,63.779999,5305700,63.456446
2017-03-03,63.860001,64.370003,63.77,64.220001,4639900,63.894216
2017-03-02,64.589996,64.730003,63.849998,63.900002,6833700,63.57584
2017-03-01,64.730003,64.900002,64.370003,64.629997,10137000,64.302132
2017-02-28,63.759998,64.290001,63.700001,63.919998,8014700,63.595735
2017-02-27,63.549999,64.510002,63.529999,64.00,8548800,63.675331
2017-02-24,63.689999,63.709999,63.220001,63.630001,6466500,63.307209
2017-02-23,64.239998,64.269997,63.880001,64.019997,6081400,63.695226
2017-02-22,63.099998,64.440002,63.029999,63.830002,10006600,63.506195
2017-02-21,62.759998,63.580002,62.509998,63.41,9402400,63.088324
2017-02-17,62.09,62.52,61.810001,62.50,7797900,62.182941
2017-02-16,60.799999,62.689999,60.700001,62.27,14253600,61.954108
2017-02-15,62.540001,62.990002,60.41,60.849998,38234900,60.541309
2017-02-14,66.43,66.93,66.260002,66.889999,7933700,66.55067
2017-02-13,65.739998,66.300003,65.650002,66.139999,4568700,65.804474
2017-02-10,65.410004,65.879997,65.349998,65.610001,5076200,65.277164
2017-02-09,64.910004,65.580002,64.910004,65.32,5373100,64.988635
2017-02-08,64.699997,65.040001,64.50,64.910004,3181900,64.580718
2017-02-07,65.190002,65.25,64.760002,64.879997,3645700,64.550864
2017-02-06,64.540001,65.050003,64.50,64.900002,2871500,64.570767
2017-02-03,64.970001,65.18,64.50,64.940002,4380500,64.610565
2017-02-02,63.869999,64.610001,63.75,64.120003,4532800,63.794725
2017-02-01,64.75,65.00,64.059998,64.269997,4690400,63.943958
2017-01-31,64.75,65.139999,64.050003,64.260002,6201100,63.934014
2017-01-30,64.949997,64.949997,64.019997,64.889999,5149900,64.560816
2017-01-27,66.00,66.050003,64.989998,65.209999,5612800,64.879192
2017-01-26,66.010002,66.400002,65.550003,66.019997,4866900,65.68508
2017-01-25,65.720001,66.07,65.43,65.720001,6799000,65.386607
2017-01-24,65.839996,65.93,65.339996,65.50,6524900,65.167722
2017-01-23,66.519997,66.529999,65.440002,65.489998,5707100,65.15777
2017-01-20,66.290001,67.449997,66.260002,66.540001,9070900,66.202447
2017-01-19,66.449997,66.650002,65.959999,66.290001,4406400,65.953715
2017-01-18,66.339996,66.470001,65.860001,66.239998,4953900,65.903966
2017-01-17,65.699997,66.410004,65.459999,66.059998,5155000,65.724878
2017-01-13,66.139999,66.910004,66.120003,66.349998,5391500,66.013408
2017-01-12,66.559998,66.610001,65.75,66.25,5558700,65.913917
2017-01-11,66.839996,67.269997,66.32,66.949997,4762000,66.610363
2017-01-10,66.410004,67.470001,66.260002,67.199997,4952500,66.859095
2017-01-09,66.690002,66.870003,66.07,66.379997,4337700,66.043255
2017-01-06,66.57,67.080002,66.190002,66.809998,5603700,66.471074
2017-01-05,65.809998,66.07,64.93,65.599998,4107900,65.267213
2017-01-04,65.489998,66.209999,65.279999,65.970001,4927500,65.635339
2017-01-03,65.949997,66.010002,64.690002,65.120003,7321900,64.789652
2016-12-30,65.400002,65.720001,65.120003,65.309998,4497200,64.978683
2016-12-29,66.00,66.190002,65.440002,65.50,3336800,65.167722
2016-12-28,66.68,66.769997,65.870003,65.879997,2449800,65.545791
2016-12-27,66.540001,66.919998,66.419998,66.699997,3263700,66.361631
2016-12-23,66.230003,66.50,66.050003,66.410004,2061000,66.073109
