Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,160.490005,160.619995,159.460007,160.220001,2036100,160.220001
2017-05-11,159.860001,160.520004,158.289993,160.080002,3501700,160.080002
2017-05-10,163.25,163.479996,159.699997,160.509995,5188900,160.509995
2017-05-09,163.169998,164.080002,162.830002,163.220001,2302600,163.220001
2017-05-08,163.729996,163.809998,162.470001,163.029999,2286600,163.029999
2017-05-05,164.809998,164.809998,162.419998,163.809998,2678300,163.809998
2017-05-04,164.169998,164.820007,163.520004,164.289993,2515300,164.289993
2017-05-03,163.820007,164.080002,163.00,163.809998,2849500,163.809998
2017-05-02,163.910004,163.940002,162.410004,163.490005,3679900,163.490005
2017-05-01,163.679993,164.440002,162.449997,162.600006,2517800,162.600006
2017-04-28,162.389999,163.479996,161.529999,163.320007,2940900,163.320007
2017-04-27,160.130005,163.429993,160.00,162.720001,5676800,162.720001
2017-04-26,165.610001,165.610001,164.339996,164.610001,3944800,164.610001
2017-04-25,163.520004,165.300003,163.399994,164.699997,3522600,164.699997
2017-04-24,162.50,163.600006,161.899994,163.139999,3489900,163.139999
2017-04-21,162.149994,162.729996,160.25,160.410004,2892300,160.410004
2017-04-20,161.050003,162.770004,161.009995,162.039993,2068000,162.039993
2017-04-19,162.100006,162.639999,161.130005,161.259995,2324800,161.259995
2017-04-18,161.929993,161.929993,160.279999,161.25,2529600,161.25
2017-04-17,161.339996,162.520004,161.259995,162.110001,2360900,162.110001
2017-04-13,163.279999,163.630005,161.330002,161.610001,2546000,161.610001
2017-04-12,164.080002,164.100006,162.160004,163.050003,2248600,163.050003
2017-04-11,162.889999,163.399994,161.559998,163.110001,1981400,163.110001
2017-04-10,163.850006,164.240005,162.619995,162.789993,1712400,162.789993
2017-04-07,162.910004,164.240005,162.25,163.380005,2202200,163.380005
2017-04-06,162.199997,163.449997,161.610001,162.25,3021400,162.25
2017-04-05,163.270004,164.759995,161.679993,162.240005,3539600,162.240005
2017-04-04,163.779999,164.490005,163.119995,164.360001,2236800,164.360001
2017-04-03,164.630005,165.020004,163.520004,163.889999,3047800,163.889999
2017-03-31,164.320007,165.479996,163.850006,164.070007,2810800,164.070007
2017-03-30,164.070007,164.800003,163.210007,164.380005,2261300,164.380005
2017-03-29,164.470001,165.220001,162.940002,163.059998,4137300,163.059998
2017-03-28,164.110001,166.259995,163.729996,164.710007,5473900,164.710007
2017-03-27,164.770004,166.610001,163.00,164.910004,4710700,164.910004
2017-03-24,166.690002,166.929993,165.080002,165.740005,3150000,165.740005
2017-03-23,167.479996,168.020004,165.570007,166.039993,3910300,166.039993
2017-03-22,167.929993,167.979996,166.589996,167.449997,5048400,167.449997
2017-03-21,170.050003,170.210007,166.490005,166.850006,4879600,166.850006
2017-03-20,169.630005,169.710007,167.759995,169.240005,5734300,169.240005
2017-03-17,167.369995,171.589996,165.949997,168.610001,23865400,168.610001
2017-03-16,181.600006,181.839996,178.020004,180.110001,5975100,180.110001
2017-03-15,180.309998,184.210007,180.309998,182.600006,4187600,182.600006
2017-03-14,180.419998,181.559998,179.630005,180.119995,2746300,180.119995
2017-03-13,181.929993,182.00,180.320007,181.050003,2527400,181.050003
2017-03-10,179.470001,181.929993,179.110001,181.440002,4589000,181.440002
2017-03-09,178.050003,179.119995,177.070007,178.919998,2492700,178.919998
2017-03-08,177.25,178.759995,177.139999,177.779999,2320800,177.779999
2017-03-07,177.399994,178.589996,176.279999,177.380005,3227600,177.380005
2017-03-06,179.550003,180.339996,178.160004,179.460007,3247400,179.460007
2017-03-03,178.460007,180.529999,177.550003,180.199997,2893800,180.199997
2017-03-02,177.720001,178.860001,176.820007,178.070007,3491300,178.070007
2017-03-01,178.00,179.679993,175.759995,178.240005,3515300,178.240005
2017-02-28,175.460007,178.25,175.419998,176.529999,3356900,176.529999
2017-02-27,174.210007,176.270004,173.710007,176.130005,2830800,176.130005
2017-02-24,173.289993,174.720001,172.479996,174.559998,2666700,174.559998
2017-02-23,172.75,174.009995,171.889999,174.009995,2190800,174.009995
2017-02-22,172.330002,174.699997,171.889999,172.610001,2575400,172.610001
2017-02-21,172.850006,173.50,171.860001,173.139999,3938500,173.139999
2017-02-17,171.350006,173.360001,168.889999,173.289993,4060200,173.289993
2017-02-16,171.559998,172.169998,170.300003,172.110001,2645700,172.110001
2017-02-15,167.320007,172.00,167.00,171.789993,3965000,171.789993
2017-02-14,167.070007,168.070007,165.570007,168.050003,3116100,168.050003
2017-02-13,167.720001,168.259995,166.679993,167.660004,3602800,167.660004
2017-02-10,167.800003,168.309998,167.029999,167.889999,2931200,166.740002
2017-02-09,165.75,167.789993,165.50,167.470001,4281400,166.322881
2017-02-08,166.50,168.350006,166.320007,168.119995,3493400,166.968423
2017-02-07,167.00,167.720001,165.600006,166.820007,3584300,165.677339
2017-02-06,166.179993,166.889999,165.130005,166.580002,4389200,165.438978
2017-02-03,166.100006,167.850006,164.860001,167.529999,7366600,166.382468
2017-02-02,159.729996,159.940002,156.910004,159.580002,4445400,158.486926
2017-02-01,158.589996,159.75,157.050003,159.669998,3924800,158.576306
2017-01-31,153.699997,156.960007,153.149994,156.679993,3351300,155.606781
2017-01-30,157.100006,157.179993,153.770004,154.429993,3758400,153.372193
2017-01-27,153.229996,157.50,152.759995,157.160004,4885200,156.083504
2017-01-26,155.00,155.800003,152.899994,152.979996,3366900,151.932128
2017-01-25,152.529999,154.820007,151.770004,154.100006,3479500,153.044466
2017-01-24,152.820007,153.00,150.380005,151.850006,3027700,150.809878
2017-01-23,154.210007,154.550003,152.399994,152.720001,2458200,151.673914
2017-01-20,154.710007,155.350006,153.820007,154.669998,3067400,153.610554
2017-01-19,155.130005,155.690002,153.25,153.800003,2571900,152.746518
