Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,27.129999,27.77,27.049999,27.700001,2836800,27.700001
2017-05-11,27.15,27.26,26.879999,27.209999,1891700,27.209999
2017-05-10,27.16,27.35,27.120001,27.280001,1996500,27.280001
2017-05-09,27.10,27.389999,27.01,27.26,2110100,27.26
2017-05-08,27.209999,27.290001,27.00,27.08,1863300,27.08
2017-05-05,26.629999,27.299999,26.540001,27.299999,2371200,27.299999
2017-05-04,26.68,26.77,26.25,26.620001,2945600,26.620001
2017-05-03,26.98,26.98,26.530001,26.780001,2573500,26.780001
2017-05-02,26.99,27.40,26.99,27.15,3293400,27.089999
2017-05-01,27.43,27.530001,26.879999,27.25,3226600,27.189779
2017-04-28,27.33,27.49,27.18,27.33,4363000,27.269602
2017-04-27,27.459999,27.50,26.90,27.219999,3641500,27.159844
2017-04-26,27.049999,27.99,27.02,27.50,5708900,27.439226
2017-04-25,26.299999,27.00,26.23,26.98,4984000,26.920375
2017-04-24,26.360001,26.549999,25.969999,26.10,4577400,26.04232
2017-04-21,26.15,26.209999,25.969999,26.00,2978200,25.942541
2017-04-20,26.190001,26.32,26.059999,26.110001,2307500,26.052299
2017-04-19,25.82,26.48,25.82,25.969999,5108800,25.912607
2017-04-18,26.309999,26.309999,24.60,25.799999,9245600,25.742982
2017-04-17,27.25,28.440001,26.50,26.690001,12633700,26.631017
2017-04-13,25.82,25.99,25.68,25.90,4642100,25.842762
2017-04-12,26.50,26.50,25.709999,25.85,5437000,25.792873
2017-04-11,26.540001,26.84,26.059999,26.59,3216100,26.531237
2017-04-10,26.41,26.84,26.41,26.530001,2615100,26.47137
2017-04-07,26.00,26.50,26.00,26.41,1812500,26.351635
2017-04-06,25.83,26.24,25.780001,26.16,1586300,26.102187
2017-04-05,26.549999,26.85,25.85,25.889999,3734700,25.832783
2017-04-04,26.15,26.48,26.08,26.379999,5288700,26.3217
2017-04-03,26.48,26.700001,25.870001,26.18,2345400,26.122144
2017-03-31,26.469999,26.549999,26.200001,26.34,2514400,26.28179
2017-03-30,26.110001,26.58,26.030001,26.559999,2551100,26.501303
2017-03-29,26.76,27.01,26.120001,26.200001,3226100,26.1421
2017-03-28,26.450001,27.120001,26.450001,27.040001,2546100,26.980244
2017-03-27,26.110001,26.66,26.01,26.559999,2822300,26.501303
2017-03-24,26.68,26.889999,26.370001,26.68,2931200,26.621039
2017-03-23,26.50,26.84,26.450001,26.68,3998000,26.621039
2017-03-22,26.690001,27.07,26.42,26.50,3487700,26.441436
2017-03-21,27.93,27.99,26.67,26.75,6408200,26.690884
2017-03-20,27.540001,28.18,27.40,27.870001,3787300,27.808409
2017-03-17,27.34,27.809999,27.290001,27.50,5994200,27.439226
2017-03-16,27.379999,27.549999,26.98,27.32,2669600,27.259624
2017-03-15,26.83,27.43,26.780001,27.26,2273200,27.199757
