Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,307.399994,309.160004,306.970001,307.709991,661100,307.709991
2017-05-11,305.709991,307.869995,305.670013,307.799988,1058400,307.799988
2017-05-10,305.579987,306.220001,303.890015,305.26001,1215100,305.26001
2017-05-09,306.029999,306.359985,305.089996,305.970001,1204800,305.970001
2017-05-08,307.799988,307.940002,305.920013,305.920013,1961400,305.920013
2017-05-05,307.109985,308.309998,306.75,308.049988,905400,308.049988
2017-05-04,306.200012,307.26001,305.73999,306.600006,1026600,306.600006
2017-05-03,306.290009,307.459991,303.320007,306.589996,900300,306.589996
2017-05-02,307.690002,307.690002,305.880005,306.75,1678000,306.75
2017-05-01,307.850006,308.410004,306.600006,306.920013,1628700,306.920013
2017-04-28,305.00,307.880005,305.00,307.480011,1846500,307.480011
2017-04-27,303.910004,306.059998,303.220001,305.579987,1414800,305.579987
2017-04-26,303.48999,304.48999,303.48999,303.709991,3454300,303.449985
2017-04-25,302.820007,305.089996,302.450012,303.51001,4412500,303.250174
2017-04-24,253.070007,305.660004,253.070007,302.410004,11540700,302.15111
2017-04-21,254.470001,255.470001,252.580002,253.070007,413800,252.853354
2017-04-20,253.949997,255.380005,252.320007,254.770004,452300,254.551895
2017-04-19,250.699997,254.979996,249.75,254.080002,653100,253.862484
2017-04-18,250.350006,251.149994,248.789993,249.570007,355400,249.35635
2017-04-17,248.960007,251.619995,248.419998,251.279999,304200,251.064878
2017-04-13,249.059998,249.75,248.080002,248.809998,286100,248.596991
2017-04-12,248.990005,250.110001,248.429993,249.100006,279200,248.886751
2017-04-11,249.479996,250.399994,248.220001,249.990005,249800,249.775989
2017-04-10,249.330002,250.460007,248.300003,249.860001,351300,249.646095
2017-04-07,248.889999,250.440002,248.809998,249.389999,333500,249.176496
2017-04-06,248.539993,249.919998,247.509995,249.029999,408800,248.816804
2017-04-05,248.350006,250.100006,247.820007,248.889999,587300,248.676924
2017-04-04,250.889999,250.949997,247.410004,248.399994,481500,248.187338
2017-04-03,249.00,251.179993,247.509995,250.570007,421300,250.355494
2017-03-31,248.050003,249.309998,246.479996,248.539993,413000,248.327218
2017-03-30,249.320007,250.50,247.809998,248.539993,326400,248.327218
2017-03-29,249.740005,250.270004,247.960007,249.679993,359200,249.466241
2017-03-28,250.399994,250.949997,248.800003,250.479996,687700,250.265559
2017-03-27,248.940002,251.50,248.059998,250.779999,442200,250.565306
2017-03-24,249.139999,250.649994,248.970001,249.910004,435900,249.696055
2017-03-23,248.889999,250.350006,247.860001,248.729996,461200,248.517058
2017-03-22,249.860001,251.330002,248.169998,249.570007,628000,249.35635
2017-03-21,251.25,252.25,248.210007,249.539993,409500,249.326362
2017-03-20,250.919998,251.509995,249.639999,250.679993,317900,250.465385
2017-03-17,249.559998,252.089996,249.029999,250.850006,664800,250.635253
2017-03-16,249.860001,251.440002,247.399994,249.559998,397200,249.346349
2017-03-15,250.410004,251.660004,249.229996,250.720001,377300,250.505359
2017-03-14,250.639999,250.639999,248.350006,249.199997,354000,248.986656
2017-03-13,249.580002,250.929993,247.940002,250.630005,311300,250.41544
2017-03-10,249.00,250.240005,247.339996,249.770004,394800,249.556176
2017-03-09,247.300003,248.580002,246.020004,248.229996,386700,248.017486
2017-03-08,246.119995,247.199997,245.309998,246.630005,243000,246.418865
2017-03-07,246.360001,247.820007,245.490005,245.690002,463300,245.479667
2017-03-06,244.619995,247.649994,244.539993,247.080002,798200,246.868476
2017-03-03,245.389999,246.820007,245.149994,245.789993,340400,245.579572
2017-03-02,246.839996,247.389999,245.190002,246.419998,363300,246.209038
2017-03-01,246.00,248.190002,244.690002,247.490005,413400,247.278129
2017-02-28,244.660004,245.880005,243.899994,245.240005,444400,245.030055
2017-02-27,245.389999,245.820007,243.830002,244.240005,309800,244.030911
2017-02-24,244.240005,245.429993,243.729996,245.179993,289000,244.970094
2017-02-23,243.639999,244.089996,241.759995,243.740005,614100,243.531339
2017-02-22,242.559998,245.110001,241.910004,243.380005,409000,243.171647
2017-02-21,241.990005,245.419998,241.919998,243.240005,562200,243.031767
2017-02-17,241.660004,242.679993,240.149994,242.410004,782500,242.202476
2017-02-16,241.820007,242.50,240.809998,241.789993,477400,241.582997
