Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,136.830002,137.309998,136.539993,136.740005,993500,136.740005
2017-05-11,137.410004,137.699997,136.770004,137.210007,1389100,137.210007
2017-05-10,136.729996,138.179993,136.559998,138.00,2057900,138.00
2017-05-09,137.00,137.330002,136.00,136.320007,1044100,136.320007
2017-05-08,137.869995,137.949997,137.070007,137.229996,772200,137.229996
2017-05-05,138.520004,138.669998,137.320007,137.75,1173900,137.75
2017-05-04,137.979996,138.320007,137.449997,138.300003,1458000,138.300003
2017-05-03,136.979996,138.029999,136.839996,137.559998,1241300,137.559998
2017-05-02,137.199997,137.350006,136.580002,137.029999,1535000,137.029999
2017-05-01,137.279999,137.789993,136.699997,136.889999,1411500,136.889999
2017-04-28,138.410004,138.630005,137.070007,137.25,1483700,137.25
2017-04-27,139.100006,139.479996,138.339996,138.419998,1032800,138.419998
2017-04-26,138.389999,140.389999,137.800003,138.929993,2163900,138.929993
2017-04-25,137.330002,137.789993,136.850006,137.119995,1866600,137.119995
2017-04-24,137.360001,137.649994,136.020004,136.779999,2408900,136.779999
2017-04-21,136.550003,136.899994,135.429993,135.479996,2455200,135.479996
2017-04-20,136.699997,137.039993,135.800003,136.779999,1714100,136.779999
2017-04-19,138.380005,138.380005,136.559998,136.970001,1462600,136.970001
2017-04-18,137.789993,138.380005,137.479996,137.50,1206800,137.50
2017-04-17,137.059998,138.339996,136.75,138.190002,1017100,138.190002
2017-04-13,136.699997,137.160004,136.25,136.720001,1119500,136.720001
2017-04-12,137.100006,137.240005,136.419998,137.020004,1902900,137.020004
2017-04-11,137.399994,138.070007,137.110001,137.800003,914400,137.800003
2017-04-10,137.470001,138.419998,136.660004,137.979996,1004600,137.979996
2017-04-07,136.940002,138.029999,136.940002,137.470001,1010600,137.470001
2017-04-06,137.179993,137.979996,136.399994,137.589996,1437100,137.589996
2017-04-05,137.660004,138.110001,136.679993,136.779999,1157400,136.779999
2017-04-04,136.190002,137.440002,136.190002,137.339996,955900,137.339996
2017-04-03,136.369995,136.630005,135.660004,136.270004,1128500,136.270004
2017-03-31,137.050003,137.059998,136.220001,136.25,1709100,136.25
2017-03-30,136.169998,137.300003,136.110001,137.050003,726100,137.050003
2017-03-29,136.869995,136.979996,136.240005,136.50,1034300,136.50
2017-03-28,136.070007,138.330002,135.960007,138.00,1466700,137.310001
2017-03-27,135.00,136.690002,134.800003,136.660004,1148200,135.976704
2017-03-24,136.660004,136.929993,135.539993,136.059998,942600,135.379698
2017-03-23,136.520004,137.960007,136.399994,136.660004,1546500,135.976704
2017-03-22,136.080002,137.070007,135.710007,136.649994,1298200,135.966745
2017-03-21,137.470001,137.889999,135.639999,136.080002,1656900,135.399602
2017-03-20,137.860001,137.860001,137.089996,137.139999,950800,136.4543
2017-03-17,137.800003,138.100006,137.149994,138.100006,2874900,137.409507
2017-03-16,138.350006,138.600006,137.279999,137.729996,1214200,137.041346
2017-03-15,137.929993,138.550003,137.279999,138.259995,1422000,137.568695
2017-03-14,137.289993,137.809998,136.979996,137.330002,1016400,136.643352
2017-03-13,137.699997,138.199997,137.130005,137.539993,1285400,136.852294
2017-03-10,137.800003,137.889999,137.119995,137.809998,1074900,137.120948
2017-03-09,137.210007,137.820007,136.960007,137.410004,1051500,136.722954
2017-03-08,137.899994,138.380005,136.789993,136.960007,1133300,136.275207
2017-03-07,137.300003,137.759995,136.940002,137.410004,1133600,136.722954
2017-03-06,137.919998,138.380005,137.559998,137.690002,1204600,137.001553
2017-03-03,138.350006,138.729996,137.639999,138.649994,1240900,137.956745
2017-03-02,139.669998,140.320007,138.389999,138.399994,1161800,137.707995
2017-03-01,139.110001,140.559998,138.050003,140.380005,1602500,139.678106
2017-02-28,136.869995,138.509995,136.690002,138.169998,1463200,137.479149
2017-02-27,138.199997,138.649994,137.179993,137.610001,897800,136.921951
2017-02-24,138.479996,139.350006,137.740005,138.410004,978200,137.717954
2017-02-23,138.00,139.300003,137.649994,139.009995,984900,138.314945
2017-02-22,136.00,137.910004,135.490005,137.759995,1244000,137.071195
2017-02-21,136.039993,136.869995,135.130005,136.729996,1318700,136.046346
2017-02-17,135.350006,136.25,134.740005,136.190002,1431500,135.509053
2017-02-16,134.300003,135.740005,134.100006,135.729996,1421100,135.051346
2017-02-15,134.039993,134.550003,133.520004,134.460007,936800,133.787707
2017-02-14,133.860001,134.160004,132.970001,133.990005,1006200,133.320056
2017-02-13,132.949997,133.960007,132.25,133.809998,1007500,133.140948
2017-02-10,132.199997,133.210007,131.740005,132.759995,867400,132.096195
2017-02-09,130.830002,132.210007,130.679993,131.880005,919900,131.220605
2017-02-08,130.550003,131.190002,130.169998,130.830002,983400,130.175852
2017-02-07,131.990005,131.990005,130.360001,130.75,1526400,130.096251
2017-02-06,131.100006,132.25,130.919998,131.429993,1056400,130.772843
2017-02-03,132.00,132.259995,130.949997,131.279999,1486600,130.623599
2017-02-02,128.149994,130.970001,128.00,130.770004,2037900,130.116155
2017-02-01,128.869995,129.690002,127.150002,128.479996,3620600,127.837596
2017-01-31,131.149994,132.00,130.539993,131.490005,1521400,130.832556
2017-01-30,133.259995,133.259995,131.199997,131.710007,1497300,131.051457
2017-01-27,133.190002,133.320007,132.339996,133.300003,1105600,132.633504
2017-01-26,133.00,133.399994,132.369995,133.059998,1045800,132.394698
2017-01-25,132.600006,133.339996,132.509995,133.070007,1294200,132.404658
2017-01-24,131.770004,132.820007,131.539993,131.970001,1359800,131.310152
2017-01-23,131.539993,131.639999,130.990005,131.429993,1010600,130.772843
2017-01-20,131.660004,132.479996,130.740005,131.410004,1801700,130.752954
2017-01-19,132.100006,132.399994,130.910004,131.270004,1626900,130.613655
2017-01-18,131.270004,132.059998,130.839996,131.970001,1868100,131.310152
2017-01-17,129.720001,131.449997,129.330002,130.990005,1999500,130.335056
2017-01-13,130.300003,130.75,129.970001,130.25,1059700,129.598751
2017-01-12,129.889999,130.210007,128.979996,129.789993,1225700,129.141044
2017-01-11,129.960007,130.440002,129.460007,130.360001,1545000,129.708201
2017-01-10,130.460007,131.270004,130.320007,130.460007,1134900,129.807707
2017-01-09,131.080002,131.539993,130.350006,130.509995,1536900,129.857445
2017-01-06,130.869995,131.979996,130.669998,131.330002,1595500,130.673352
2017-01-05,131.479996,131.889999,129.830002,130.630005,1731400,129.976855
2017-01-04,132.110001,132.330002,131.009995,131.520004,1324400,130.862405
2017-01-03,132.740005,132.740005,131.020004,131.710007,1401100,131.051457
2016-12-30,132.660004,132.990005,131.789993,132.119995,1351400,131.459396
2016-12-29,132.279999,132.639999,131.839996,132.240005,953200,131.578806
2016-12-28,132.449997,132.869995,132.130005,132.160004,1005500,131.499204
2016-12-27,133.100006,133.460007,132.460007,132.679993,968400,132.016593
2016-12-23,133.320007,133.570007,132.690002,133.110001,911200,132.444451
2016-12-22,133.580002,133.690002,132.559998,133.309998,1224000,132.643448
2016-12-21,133.229996,133.509995,132.839996,133.320007,984500,132.653408
2016-12-20,133.649994,133.770004,132.580002,132.990005,1255300,132.325056
2016-12-19,132.869995,133.490005,132.570007,133.240005,951000,132.573806
2016-12-16,132.759995,132.949997,131.729996,132.710007,2739900,132.046457
2016-12-15,132.029999,133.619995,131.729996,132.350006,1586000,131.688257
2016-12-14,133.199997,133.369995,130.419998,131.880005,1660100,131.220605
2016-12-13,133.410004,133.889999,132.860001,133.259995,1628400,132.593695
2016-12-12,132.589996,132.990005,131.949997,132.860001,1438100,132.195701
2016-12-09,132.320007,132.970001,131.490005,132.479996,1244600,131.817596
2016-12-08,132.429993,132.990005,131.550003,132.199997,1951500,131.538998
2016-12-07,130.429993,132.149994,129.919998,132.080002,2454500,131.419602
2016-12-06,128.970001,130.289993,128.410004,130.089996,2318100,129.439547
2016-12-05,128.309998,129.080002,128.00,128.720001,1399200,128.076402
2016-12-02,128.580002,128.960007,127.779999,127.82,1663900,127.1809
2016-12-01,128.320007,129.089996,127.709999,129.029999,1810900,128.384849
2016-11-30,128.940002,129.570007,127.540001,128.00,2924200,127.360001
2016-11-29,127.010002,128.589996,126.209999,128.240005,1722900,127.598806
2016-11-28,126.25,126.949997,125.699997,126.760002,1576200,126.126203
2016-11-25,127.050003,127.129997,126.07,126.650002,534200,126.016752
2016-11-23,126.650002,127.50,125.949997,126.690002,1077700,126.056553
2016-11-22,127.589996,127.589996,126.050003,126.410004,1645700,125.777954
2016-11-21,126.860001,127.25,126.160004,127.050003,1622200,126.414754
2016-11-18,125.629997,126.730003,125.00,126.300003,1989700,125.668504
2016-11-17,125.239998,125.980003,124.489998,125.339996,1263800,124.713297
2016-11-16,124.620003,125.580002,124.099998,125.419998,2151400,124.792899
2016-11-15,126.209999,126.339996,124.82,125.120003,1962900,124.494403
