Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,34.700001,34.810001,34.330002,34.700001,2007800,34.700001
2017-05-11,35.57,35.759998,34.830002,34.919998,2329200,34.919998
2017-05-10,36.240002,36.389999,36.029999,36.27,1127400,36.27
2017-05-09,36.419998,36.459999,36.110001,36.259998,1345100,36.259998
2017-05-08,36.77,36.810001,36.00,36.330002,1553700,36.330002
2017-05-05,35.939999,36.779999,35.919998,36.77,1641100,36.77
2017-05-04,35.889999,35.889999,35.50,35.849998,2164800,35.849998
2017-05-03,36.009998,36.150002,35.560001,35.720001,1939700,35.720001
2017-05-02,36.349998,36.509998,35.810001,35.950001,2193000,35.950001
2017-05-01,35.990002,36.509998,35.93,36.25,2475600,36.25
2017-04-28,35.889999,36.060001,35.450001,35.810001,2047200,35.810001
2017-04-27,35.990002,36.470001,35.75,36.00,3977600,36.00
2017-04-26,34.299999,34.59,33.919998,34.549999,2242400,34.549999
2017-04-25,34.599998,34.639999,34.299999,34.299999,1633300,34.299999
2017-04-24,34.900002,35.07,34.32,34.41,2954000,34.41
2017-04-21,34.169998,34.599998,34.080002,34.380001,2296200,34.380001
2017-04-20,33.73,34.240002,33.619999,34.169998,1945600,34.169998
2017-04-19,33.459999,33.950001,33.459999,33.599998,2150900,33.599998
2017-04-18,33.130001,33.450001,32.900002,33.380001,1775900,33.380001
2017-04-17,32.669998,33.220001,32.459999,33.209999,2829600,33.209999
2017-04-13,33.220001,33.369999,32.599998,32.639999,2032200,32.639999
2017-04-12,33.459999,33.580002,33.139999,33.360001,3216300,33.360001
2017-04-11,33.009998,33.369999,32.529999,33.360001,2437400,33.360001
2017-04-10,32.970001,33.43,32.799999,33.060001,2193900,33.060001
2017-04-07,32.790001,33.029999,32.560001,32.939999,2082900,32.939999
2017-04-06,32.52,32.970001,32.299999,32.959999,2411700,32.959999
2017-04-05,33.00,33.240002,32.43,32.48,2319700,32.48
2017-04-04,33.52,33.52,32.32,32.799999,4950900,32.799999
2017-04-03,34.790001,35.040001,33.560001,33.709999,3824100,33.709999
2017-03-31,34.57,34.82,34.240002,34.790001,2200900,34.790001
2017-03-30,34.310001,34.75,34.240002,34.740002,1423300,34.740002
2017-03-29,34.00,34.419998,33.91,34.32,3324500,34.32
2017-03-28,33.650002,34.25,33.41,33.990002,3381900,33.990002
2017-03-27,33.790001,33.939999,33.619999,33.700001,3179800,33.700001
2017-03-24,35.00,35.080002,34.130001,34.380001,3812600,34.380001
2017-03-23,34.91,35.310001,34.84,34.950001,2091000,34.950001
