Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,61.880001,61.880001,61.049999,61.189999,2791300,61.189999
2017-05-11,61.919998,62.16,61.639999,61.990002,2360000,61.990002
2017-05-10,62.919998,63.029999,62.040001,62.139999,4573700,62.139999
2017-05-09,62.970001,63.240002,62.84,63.220001,2676600,63.220001
2017-05-08,62.970001,63.150002,62.630001,62.73,2185700,62.73
2017-05-05,63.290001,63.380001,62.84,63.02,2229800,63.02
2017-05-04,63.119999,63.41,62.889999,62.970001,3098400,62.970001
2017-05-03,62.700001,62.799999,62.400002,62.639999,2257100,62.639999
2017-05-02,62.549999,62.860001,62.27,62.700001,2879100,62.700001
2017-05-01,61.779999,63.150002,61.59,62.549999,3476600,62.549999
2017-04-28,61.610001,62.50,61.439999,61.77,4825800,61.77
2017-04-27,60.900002,61.27,60.869999,60.98,3274800,60.98
2017-04-26,60.189999,60.689999,60.130001,60.549999,3665100,60.549999
2017-04-25,60.00,60.27,59.93,60.029999,2539100,60.029999
2017-04-24,59.91,60.049999,59.439999,59.619999,3012000,59.619999
2017-04-21,59.139999,59.43,58.810001,58.959999,2191200,58.959999
2017-04-20,59.060001,59.48,58.919998,59.209999,2940900,59.209999
2017-04-19,58.830002,59.049999,58.439999,58.68,3034400,58.68
2017-04-18,58.580002,58.66,57.970001,58.369999,4371500,58.369999
2017-04-17,57.709999,58.50,57.389999,58.459999,2981800,58.459999
2017-04-13,57.77,58.34,57.43,57.470001,3196600,57.470001
2017-04-12,58.23,58.27,57.470001,57.73,3899500,57.73
2017-04-11,58.75,58.84,57.529999,57.779999,4073800,57.779999
2017-04-10,58.799999,58.990002,58.290001,58.439999,2860700,58.439999
2017-04-07,58.959999,59.189999,58.549999,58.610001,4725100,58.610001
2017-04-06,58.630001,59.360001,58.290001,59.060001,3553100,59.060001
2017-04-05,58.700001,59.189999,58.34,58.799999,3342900,58.799999
2017-04-04,58.860001,59.060001,58.41,58.639999,4480300,58.639999
2017-04-03,59.00,59.049999,58.419998,58.720001,4367100,58.720001
2017-03-31,59.169998,59.27,58.869999,58.91,3430700,58.91
2017-03-30,59.369999,59.400002,59.049999,59.290001,4762500,59.290001
2017-03-29,59.09,59.369999,58.549999,58.959999,4110200,58.959999
2017-03-28,59.880001,60.240002,59.00,59.259998,7316200,59.259998
2017-03-27,58.470001,58.939999,58.060001,58.869999,4351400,58.869999
2017-03-24,58.82,59.119999,58.389999,58.599998,4519200,58.599998
2017-03-23,58.470001,58.950001,58.43,58.52,3564200,58.52
2017-03-22,57.580002,58.439999,57.09,58.290001,5529900,58.290001
2017-03-21,58.369999,58.759998,57.689999,57.790001,4003000,57.790001
2017-03-20,57.759998,57.849998,57.549999,57.759998,1889900,57.759998
2017-03-17,57.75,57.959999,57.580002,57.639999,3763600,57.639999
2017-03-16,57.27,57.59,57.18,57.540001,2118600,57.540001
2017-03-15,57.049999,57.540001,56.900002,57.369999,2373600,57.369999
2017-03-14,57.060001,57.299999,56.73,56.990002,2321600,56.990002
2017-03-13,57.360001,57.419998,57.060001,57.110001,2359100,57.110001
2017-03-10,56.639999,57.459999,56.610001,57.209999,3718200,57.209999
2017-03-09,55.779999,56.25,55.689999,56.200001,2486500,56.200001
