Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,27.18,27.549999,26.639999,26.780001,2747600,26.780001
2017-05-11,27.17,27.58,26.639999,27.200001,2958500,27.200001
2017-05-10,27.469999,27.92,27.42,27.620001,3696000,27.320001
2017-05-09,27.90,28.01,27.32,27.42,3804900,27.122172
2017-05-08,28.76,29.33,27.66,27.76,6447400,27.45848
2017-05-05,27.370001,28.68,27.16,28.42,6661600,28.111311
2017-05-04,26.200001,27.469999,26.059999,27.07,13283800,26.775974
2017-05-03,26.18,26.24,25.040001,25.51,8303500,25.232918
2017-05-02,26.620001,26.629999,25.940001,26.370001,7617700,26.083578
2017-05-01,26.879999,26.92,26.370001,26.73,3794400,26.439666
2017-04-28,27.559999,27.559999,26.709999,26.74,3567800,26.449558
2017-04-27,27.57,27.629999,26.90,27.43,3005100,27.132064
2017-04-26,27.18,27.450001,26.98,27.26,3773900,26.96391
2017-04-25,26.67,27.549999,26.450001,27.34,5093800,27.043041
2017-04-24,26.309999,26.459999,25.90,26.41,3341800,26.123142
2017-04-21,26.459999,26.50,25.82,26.00,3916300,25.717596
2017-04-20,26.700001,26.950001,26.530001,26.58,3749900,26.291296
2017-04-19,27.07,27.24,26.360001,26.60,3468300,26.311079
2017-04-18,27.27,27.27,26.74,27.08,4645600,26.785865
2017-04-17,28.50,28.50,27.379999,27.51,4606900,27.211195
2017-04-13,28.50,28.85,28.280001,28.42,2695900,28.111311
2017-04-12,29.40,29.48,28.49,28.620001,5074600,28.309139
2017-04-11,29.82,30.01,29.52,29.65,4062100,29.32795
2017-04-10,29.530001,30.07,29.360001,29.860001,2306900,29.53567
2017-04-07,29.540001,29.85,29.200001,29.51,2923000,29.189472
2017-04-06,28.85,29.709999,28.76,29.66,3638700,29.337842
2017-04-05,29.389999,29.52,28.76,28.799999,3893000,28.487182
2017-04-04,28.42,29.25,28.280001,29.23,5140800,28.912512
2017-04-03,29.42,29.67,28.139999,28.42,5237500,28.111311
2017-03-31,29.67,29.790001,28.90,29.35,7377700,29.03121
2017-03-30,30.620001,30.860001,29.48,29.67,6368400,29.347734
2017-03-29,30.27,31.10,30.27,30.860001,4344400,30.524809
2017-03-28,29.26,30.42,29.129999,30.24,3948200,29.911542
2017-03-27,28.74,29.51,28.65,29.24,3387200,28.922404
2017-03-24,29.49,29.700001,28.98,29.18,6549100,28.863056
2017-03-23,29.059999,29.52,28.870001,29.389999,3676400,29.070774
2017-03-22,29.290001,29.58,28.719999,29.23,4495800,28.912512
2017-03-21,30.459999,30.530001,29.40,29.540001,5078300,29.219146
2017-03-20,29.98,30.40,29.65,30.389999,6302000,30.059912
2017-03-17,28.959999,29.58,28.93,29.290001,9977100,28.971862
2017-03-16,29.10,29.16,28.35,28.709999,4926600,28.39816
2017-03-15,28.83,29.389999,28.49,28.85,6407100,28.53664
2017-03-14,29.18,29.18,28.49,28.68,4798400,28.368487
2017-03-13,29.68,29.68,29.200001,29.42,4511600,29.100449
2017-03-10,29.389999,29.610001,29.00,29.42,3142400,29.100449
2017-03-09,29.91,30.889999,29.00,29.34,5520000,29.021318
2017-03-08,30.120001,30.450001,29.540001,29.620001,4775900,29.298277
2017-03-07,30.67,30.75,29.879999,30.200001,5349400,29.871978
2017-03-06,30.790001,31.08,30.42,30.83,3378200,30.495134
2017-03-03,31.469999,31.530001,30.84,30.950001,5302300,30.613831
2017-03-02,32.150002,32.299999,31.530001,31.559999,4037600,31.217204
2017-03-01,31.99,32.27,31.360001,32.150002,5653800,31.800798
2017-02-28,31.15,32.139999,31.02,31.42,5672500,31.078726
2017-02-27,31.10,31.540001,30.92,31.49,3897800,31.147965
2017-02-24,31.42,31.51,30.58,31.15,5696400,30.811658
2017-02-23,33.240002,33.259998,31.08,31.82,7986100,31.474381
2017-02-22,33.759998,33.98,33.189999,33.220001,3145900,32.859176
2017-02-21,34.18,34.540001,33.439999,33.93,5137500,33.561463
2017-02-17,33.509998,34.150002,33.310001,34.110001,6668800,33.739508
2017-02-16,33.68,35.709999,33.380001,33.52,10609500,33.155916
2017-02-15,36.200001,36.259998,34.32,34.490002,9226000,34.115382
2017-02-14,36.48,36.57,35.779999,36.32,7961300,35.628762
2017-02-13,36.080002,37.099998,36.02,36.709999,6424300,36.011339
2017-02-10,34.75,35.900002,34.580002,35.84,4172300,35.157897
2017-02-09,34.900002,35.009998,34.450001,34.490002,3718800,33.833592
2017-02-08,34.900002,35.169998,34.41,34.939999,3068300,34.275025
2017-02-07,35.049999,35.560001,34.349998,34.889999,4909000,34.225977
2017-02-06,35.700001,35.75,34.77,35.490002,3882500,34.81456
2017-02-03,35.790001,36.139999,35.540001,35.68,3189400,35.000943
2017-02-02,36.41,36.41,35.32,35.630001,3911000,34.951895
2017-02-01,35.34,36.689999,35.259998,36.630001,4594800,35.932863
2017-01-31,35.740002,36.099998,35.16,35.290001,4355300,34.618366
2017-01-30,36.279999,36.279999,35.119999,35.389999,4156200,34.716461
2017-01-27,36.470001,36.799999,35.790001,36.509998,4210200,35.815144
2017-01-26,34.810001,36.48,34.50,36.209999,6072700,35.520855
2017-01-25,37.110001,37.169998,36.02,36.540001,4964000,35.844576
2017-01-24,35.630001,37.130001,35.560001,36.849998,10489100,36.148674
2017-01-23,34.00,35.290001,33.919998,35.25,7577100,34.579126
2017-01-20,33.720001,34.34,33.040001,34.200001,7960500,33.54911
2017-01-19,32.580002,32.720001,31.99,32.25,5020000,31.636222
2017-01-18,32.889999,32.919998,32.290001,32.32,5392300,31.704889
2017-01-17,34.23,34.259998,32.860001,32.889999,4777800,32.264041
2017-01-13,34.369999,34.700001,33.34,33.98,4144900,33.333296
2017-01-12,33.93,34.57,33.41,34.509998,5902000,33.853208
2017-01-11,32.869999,34.240002,32.860001,34.189999,6500000,33.539299
2017-01-10,33.41,33.779999,32.400002,32.73,6816000,32.107086
2017-01-09,33.470001,33.950001,33.07,33.77,4516800,33.127294
2017-01-06,33.07,33.50,33.02,33.470001,2840200,32.833004
2017-01-05,33.040001,33.400002,32.32,33.049999,5949600,32.420996
2017-01-04,32.110001,33.040001,32.040001,33.040001,5479500,32.411188
2017-01-03,32.02,32.59,31.66,31.870001,6719700,31.263455
2016-12-30,31.809999,32.16,31.08,31.48,4181300,30.880876
2016-12-29,31.52,32.040001,31.440001,31.90,4220100,31.292883
2016-12-28,32.110001,32.610001,31.280001,31.629999,3653400,31.028021
2016-12-27,30.91,32.110001,30.719999,31.950001,6222900,31.341932
2016-12-23,30.110001,30.809999,29.610001,30.709999,5475500,30.12553
2016-12-22,28.969999,30.17,28.82,30.110001,4335200,29.536951
2016-12-21,29.110001,29.110001,28.549999,28.90,3782400,28.349978
2016-12-20,28.469999,29.09,28.290001,28.99,3921800,28.438266
2016-12-19,29.16,29.50,28.139999,28.290001,5416900,27.751589
2016-12-16,28.58,29.610001,28.219999,29.48,10461700,28.91894
2016-12-15,27.969999,29.08,27.75,28.65,4453900,28.104736
2016-12-14,28.280001,28.84,28.030001,28.110001,3011900,27.575014
2016-12-13,29.07,29.299999,28.049999,28.41,6542500,27.869304
2016-12-12,30.82,30.870001,28.67,29.00,6049600,28.448075
2016-12-09,30.43,30.950001,30.040001,30.950001,4674500,30.360964
2016-12-08,29.92,30.75,29.719999,30.370001,4430700,29.792003
2016-12-07,28.559999,30.110001,28.50,29.719999,6748400,29.154372
2016-12-06,28.290001,28.780001,27.82,28.57,6881700,28.026259
2016-12-05,28.790001,29.290001,28.299999,28.58,7761800,28.036069
2016-12-02,28.790001,29.610001,28.059999,28.379999,5097300,27.839874
2016-12-01,29.09,29.950001,28.559999,28.719999,5958900,28.173404
2016-11-30,27.98,29.309999,27.82,28.940001,6436700,28.389218
2016-11-29,27.90,28.129999,27.34,27.43,3933600,26.907956
2016-11-28,28.459999,28.790001,27.91,28.190001,3159800,27.653492
2016-11-25,28.48,28.93,28.17,28.549999,1755200,28.006639
2016-11-23,28.309999,28.469999,27.77,28.379999,6702000,27.839874
2016-11-22,29.76,29.76,27.92,28.389999,9453200,27.849684
2016-11-21,29.58,30.24,29.379999,29.870001,7051100,29.301518
