Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,5.71,5.76,5.60,5.63,19787900,5.63
2017-05-11,5.78,5.83,5.63,5.72,35697400,5.72
2017-05-10,5.49,5.80,5.47,5.75,47391200,5.75
2017-05-09,5.53,5.55,5.39,5.40,39054800,5.40
2017-05-08,5.43,5.59,5.37,5.55,39189500,5.55
2017-05-05,5.16,5.46,5.14,5.46,61780000,5.46
2017-05-04,5.39,5.40,5.00,5.13,99635300,5.13
2017-05-03,5.30,5.62,5.20,5.54,62956000,5.54
2017-05-02,5.36,5.44,5.25,5.32,28710000,5.32
2017-05-01,5.25,5.34,5.22,5.31,17574400,5.31
2017-04-28,5.35,5.36,5.20,5.26,30989700,5.26
2017-04-27,5.40,5.40,5.15,5.29,53053300,5.29
2017-04-26,5.44,5.66,5.42,5.47,37426500,5.47
2017-04-25,5.36,5.53,5.25,5.51,40714600,5.51
2017-04-24,5.56,5.58,5.32,5.38,43139200,5.38
2017-04-21,5.56,5.64,5.45,5.52,33337400,5.52
2017-04-20,5.54,5.70,5.51,5.56,28071700,5.56
2017-04-19,5.66,5.73,5.48,5.50,39874100,5.50
2017-04-18,5.62,5.79,5.55,5.66,30673700,5.66
2017-04-17,5.87,5.91,5.61,5.69,49546100,5.69
2017-04-13,6.17,6.18,5.88,5.89,37391800,5.89
2017-04-12,6.18,6.39,6.12,6.15,42926800,6.15
2017-04-11,6.20,6.21,6.05,6.18,33632600,6.18
2017-04-10,6.25,6.30,6.19,6.23,29108900,6.23
2017-04-07,6.28,6.32,6.16,6.20,32646600,6.20
2017-04-06,6.19,6.40,6.16,6.28,52796200,6.28
2017-04-05,6.41,6.59,6.01,6.11,81807100,6.11
2017-04-04,5.90,6.33,5.83,6.32,73045200,6.32
2017-04-03,6.01,6.05,5.72,5.92,33266800,5.92
2017-03-31,5.83,5.95,5.81,5.94,28692400,5.94
2017-03-30,5.90,6.00,5.73,5.85,53066100,5.85
2017-03-29,5.42,5.95,5.41,5.81,64425600,5.81
2017-03-28,5.19,5.42,5.14,5.39,41328400,5.39
2017-03-27,5.15,5.25,5.06,5.16,30898400,5.16
2017-03-24,5.17,5.30,5.11,5.22,30737800,5.22
2017-03-23,5.07,5.20,5.00,5.09,40204900,5.09
2017-03-22,5.02,5.11,4.95,5.00,27603500,5.00
2017-03-21,5.21,5.23,5.02,5.07,28568400,5.07
2017-03-20,5.21,5.29,5.11,5.18,24678300,5.18
2017-03-17,5.46,5.54,5.26,5.29,41871100,5.29
2017-03-16,5.50,5.52,5.34,5.45,29172500,5.45
2017-03-15,5.35,5.49,5.23,5.45,35809700,5.45
2017-03-14,5.22,5.27,5.02,5.24,35905300,5.24
2017-03-13,5.17,5.36,5.17,5.33,30928700,5.33
2017-03-10,5.17,5.22,5.01,5.15,37614000,5.15
2017-03-09,4.91,5.15,4.88,5.13,50934500,5.13
2017-03-08,5.26,5.30,4.92,4.94,64761500,4.94
2017-03-07,5.38,5.40,5.26,5.26,28801800,5.26
2017-03-06,5.30,5.42,5.27,5.35,33919600,5.35
2017-03-03,5.39,5.51,5.30,5.32,32681800,5.32
2017-03-02,5.49,5.53,5.26,5.36,47465100,5.36
2017-03-01,5.50,5.65,5.49,5.57,35400500,5.57
2017-02-28,5.57,5.63,5.43,5.45,37953100,5.45
2017-02-27,5.68,5.76,5.51,5.62,46598100,5.62
2017-02-24,5.69,5.89,5.60,5.66,58643900,5.66
2017-02-23,6.07,6.08,5.38,5.75,98221500,5.75
2017-02-22,6.03,6.09,5.90,5.92,45003500,5.92
2017-02-21,6.14,6.18,6.00,6.08,36542900,6.08
2017-02-17,6.04,6.16,6.02,6.10,20711300,6.10
2017-02-16,6.34,6.40,6.07,6.08,37525000,6.08
2017-02-15,6.43,6.45,6.30,6.32,24403500,6.32
2017-02-14,6.41,6.45,6.34,6.44,22064900,6.44
2017-02-13,6.35,6.43,6.28,6.33,24501900,6.33
2017-02-10,6.41,6.50,6.33,6.38,28278900,6.38
2017-02-09,6.12,6.39,6.12,6.31,31461100,6.31
2017-02-08,6.08,6.22,5.92,6.12,38123000,6.12
2017-02-07,6.38,6.41,6.08,6.17,40054000,6.17
2017-02-06,6.60,6.65,6.37,6.38,27777700,6.38
