Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,207.139999,208.300003,207.100006,207.589996,262600,207.589996
2017-05-11,206.330002,207.639999,205.619995,207.399994,297900,207.399994
2017-05-10,207.339996,208.100006,206.190002,207.339996,283300,207.339996
2017-05-09,206.580002,208.139999,205.899994,207.649994,634800,207.649994
2017-05-08,205.770004,207.199997,204.509995,206.399994,399800,206.399994
2017-05-05,205.279999,206.669998,204.270004,205.710007,326800,205.710007
2017-05-04,202.830002,205.119995,201.669998,204.889999,357800,204.889999
2017-05-03,202.00,202.520004,199.479996,202.220001,296700,202.220001
2017-05-02,201.259995,202.460007,200.240005,202.119995,347700,202.119995
2017-05-01,200.789993,201.369995,199.770004,201.050003,332400,201.050003
2017-04-28,199.240005,200.419998,198.320007,200.330002,281600,200.330002
2017-04-27,200.350006,200.889999,198.529999,199.369995,263400,199.369995
2017-04-26,201.509995,202.259995,199.699997,199.990005,340000,199.990005
2017-04-25,202.25,203.479996,200.979996,201.320007,280700,201.320007
2017-04-24,200.270004,201.919998,199.789993,201.539993,325400,201.539993
2017-04-21,199.990005,201.00,198.729996,199.139999,237400,199.139999
2017-04-20,198.470001,200.809998,197.50,200.50,233100,200.50
2017-04-19,197.75,201.300003,196.470001,198.229996,344300,198.229996
2017-04-18,196.029999,196.979996,194.550003,196.889999,472000,196.889999
2017-04-17,196.820007,197.119995,196.25,196.619995,260200,196.619995
2017-04-13,196.360001,197.130005,196.240005,196.289993,202800,196.289993
2017-04-12,198.679993,200.149994,196.050003,197.059998,202800,197.059998
2017-04-11,196.220001,197.479996,195.729996,197.399994,279400,197.399994
2017-04-10,197.100006,197.720001,196.50,197.039993,283300,197.039993
2017-04-07,197.139999,198.289993,196.330002,197.00,320800,197.00
2017-04-06,197.00,197.110001,194.289993,197.039993,272400,197.039993
2017-04-05,199.509995,200.00,196.949997,197.339996,399300,197.339996
2017-04-04,199.350006,200.110001,197.039993,199.800003,632000,199.800003
2017-04-03,199.779999,201.220001,198.649994,199.630005,455200,199.630005
2017-03-31,198.710007,200.490005,197.899994,199.889999,307900,199.889999
2017-03-30,198.580002,199.360001,196.919998,198.139999,235900,198.139999
2017-03-29,198.509995,199.910004,198.059998,199.330002,396400,199.330002
2017-03-28,199.419998,199.800003,197.229996,199.059998,259400,199.059998
2017-03-27,198.820007,200.729996,197.610001,199.820007,301900,199.820007
2017-03-24,199.949997,202.570007,199.149994,199.800003,341300,199.800003
2017-03-23,199.559998,202.699997,199.059998,199.699997,531100,199.699997
2017-03-22,195.449997,201.690002,195.449997,199.789993,621400,199.789993
2017-03-21,196.479996,197.839996,194.779999,195.339996,447200,195.339996
2017-03-20,195.279999,196.240005,194.009995,196.240005,406400,196.240005
2017-03-17,194.119995,196.00,194.119995,195.139999,302000,195.139999
2017-03-16,194.169998,194.990005,192.899994,193.729996,294100,193.729996
2017-03-15,193.860001,194.990005,193.089996,194.690002,255200,194.690002
2017-03-14,194.470001,194.50,192.75,193.50,187200,193.50
2017-03-13,194.320007,194.669998,192.240005,194.449997,265000,194.449997
2017-03-10,195.460007,196.25,193.539993,194.320007,266300,194.320007
2017-03-09,194.520004,194.850006,193.199997,194.610001,256400,194.610001
2017-03-08,194.199997,195.710007,193.270004,194.050003,310800,194.050003
