Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,52.07,52.450001,51.779999,52.139999,3804300,52.139999
2017-05-11,51.50,52.32,51.349998,52.139999,8875900,52.139999
2017-05-10,51.84,51.93,51.52,51.720001,4475000,51.720001
2017-05-09,51.689999,52.209999,51.66,51.810001,4351600,51.810001
2017-05-08,52.50,52.650002,51.759998,51.810001,6673200,51.810001
2017-05-05,51.779999,52.50,51.66,52.50,6736400,52.50
2017-05-04,51.59,51.849998,51.389999,51.720001,5959400,51.720001
2017-05-03,51.529999,51.639999,51.200001,51.52,4599000,51.52
2017-05-02,51.77,51.77,51.099998,51.490002,6667900,51.490002
2017-05-01,50.869999,51.57,50.860001,51.52,7769800,51.52
2017-04-28,51.50,51.57,50.75,50.84,6609900,50.84
2017-04-27,50.790001,51.630001,50.689999,51.25,7861800,51.25
2017-04-26,51.060001,51.57,50.630001,50.790001,8119600,50.790001
2017-04-25,50.189999,51.099998,50.099998,50.939999,11090200,50.939999
2017-04-24,51.48,51.66,50.07,50.130001,11196700,50.130001
2017-04-21,49.830002,50.799999,49.50,50.77,16224900,50.77
2017-04-20,50.200001,51.279999,49.360001,49.560001,25354400,49.560001
2017-04-19,46.98,47.32,46.68,46.93,6801200,46.93
2017-04-18,46.939999,47.34,46.529999,46.630001,5290400,46.630001
2017-04-17,46.66,47.259998,46.389999,47.23,3899700,47.23
2017-04-13,46.369999,46.990002,46.040001,46.419998,4647700,46.419998
2017-04-12,47.52,47.52,46.310001,46.400002,5615100,46.400002
2017-04-11,47.459999,47.580002,46.490002,47.209999,6168700,47.209999
2017-04-10,47.599998,47.93,47.459999,47.68,5606100,47.68
2017-04-07,47.560001,47.939999,47.200001,47.43,5623600,47.43
2017-04-06,47.290001,47.919998,47.209999,47.709999,4377300,47.709999
2017-04-05,47.509998,48.169998,46.91,47.139999,5048600,47.139999
2017-04-04,46.599998,47.310001,46.50,47.290001,3155300,47.290001
2017-04-03,46.66,47.040001,46.369999,46.599998,6484200,46.599998
2017-03-31,47.099998,47.48,46.529999,46.549999,6288500,46.549999
2017-03-30,47.240002,47.689999,47.209999,47.34,4760400,47.34
2017-03-29,47.18,47.290001,46.860001,47.279999,3468500,47.279999
2017-03-28,46.209999,47.560001,46.209999,47.34,7622400,47.34
2017-03-27,45.880001,46.509998,45.529999,46.209999,5431900,46.209999
2017-03-24,46.25,46.799999,46.040001,46.32,5714400,46.32
2017-03-23,46.400002,46.66,46.00,46.110001,5903300,46.110001
2017-03-22,45.639999,46.709999,45.43,46.450001,8948400,46.450001
2017-03-21,47.040001,47.040001,45.41,45.619999,17272200,45.619999
2017-03-20,46.959999,47.200001,46.509998,46.880001,6718000,46.880001
2017-03-17,47.82,47.830002,46.880001,46.880001,15477800,46.880001
2017-03-16,47.900002,48.080002,47.48,47.599998,7565000,47.599998
2017-03-15,48.110001,48.18,47.619999,47.950001,8535000,47.950001
2017-03-14,48.02,48.189999,47.400002,47.830002,4845300,47.830002
2017-03-13,47.900002,48.41,47.869999,48.080002,17127000,48.080002
2017-03-10,48.049999,48.110001,47.540001,47.799999,7224900,47.799999
2017-03-09,47.68,48.209999,47.48,47.580002,10629300,47.580002
2017-03-08,48.310001,48.669998,47.52,47.650002,11758300,47.650002
2017-03-07,49.700001,50.310001,48.380001,48.439999,17895500,48.439999
2017-03-06,49.119999,49.939999,48.959999,49.790001,11610400,49.790001
2017-03-03,48.52,49.630001,48.23,49.48,11629500,49.48
2017-03-02,49.209999,49.259998,48.470001,48.560001,8222300,48.560001
2017-03-01,49.200001,49.790001,49.16,49.209999,9461500,49.209999
2017-02-28,49.43,49.599998,48.369999,48.560001,8033000,48.560001
2017-02-27,48.279999,48.810001,47.990002,48.709999,8619000,48.709999
2017-02-24,47.619999,48.490002,47.57,48.48,8378600,48.48
2017-02-23,48.580002,48.700001,47.549999,47.91,8500700,47.550001
2017-02-22,48.790001,48.790001,48.029999,48.389999,8314000,48.026394
2017-02-21,48.529999,49.00,48.43,48.91,8221500,48.542487
2017-02-17,47.529999,48.630001,47.490002,48.540001,11766400,48.175268
2017-02-16,47.52,47.709999,46.220001,47.689999,17714000,47.331653
2017-02-15,46.990002,47.849998,46.759998,47.34,12546900,46.984285
2017-02-14,47.630001,48.209999,47.619999,48.00,6407400,47.639325
2017-02-13,48.110001,48.450001,47.75,47.91,6695800,47.550001
2017-02-10,48.50,48.93,47.41,47.77,15428300,47.411054
2017-02-09,48.099998,48.150002,47.529999,47.75,6108300,47.391204
2017-02-08,47.580002,48.060001,46.959999,47.959999,8601300,47.599625
2017-02-07,47.27,48.290001,47.27,47.68,14773700,47.32173
2017-02-06,46.549999,47.259998,46.540001,47.259998,8877500,46.904884
2017-02-03,46.240002,46.959999,46.16,46.790001,8474900,46.438418
2017-02-02,46.689999,46.919998,46.099998,46.310001,10377200,45.962025
2017-02-01,46.549999,47.189999,46.41,47.09,11808900,46.736163
2017-01-31,46.970001,47.490002,46.060001,46.389999,17976300,46.041422
2017-01-30,47.799999,48.09,46.73,47.490002,15181300,47.133159
2017-01-27,48.830002,48.93,47.669998,48.060001,12813100,47.698876
2017-01-26,47.790001,49.130001,47.560001,48.599998,18203000,48.234815
2017-01-25,47.240002,47.84,46.900002,47.790001,17845500,47.430904
2017-01-24,45.889999,47.279999,45.860001,46.689999,16824600,46.339167
2017-01-23,44.66,46.07,44.560001,45.990002,23485100,45.64443
2017-01-20,44.50,44.700001,42.880001,44.330002,45342400,43.996904
2017-01-19,43.23,45.610001,42.66,45.509998,98506100,45.168033
2017-01-18,36.540001,37.400002,36.209999,36.880001,20660700,36.602883
2017-01-17,38.75,38.799999,37.869999,38.09,18271000,37.80379
2017-01-13,38.209999,38.82,38.099998,38.799999,13828100,38.508454
2017-01-12,38.060001,38.389999,37.799999,38.380001,8133700,38.091611
2017-01-11,37.32,38.110001,37.32,38.040001,9882600,37.754166
2017-01-10,36.889999,37.57,36.779999,37.419998,8163500,37.138822
2017-01-09,37.57,37.650002,36.98,36.990002,7406800,36.712057
2017-01-06,36.709999,37.73,35.959999,37.52,12350200,37.238073
2017-01-05,36.41,37.380001,36.400002,36.990002,11583200,36.712057
2017-01-04,36.049999,36.709999,35.950001,36.630001,7255900,36.354761
2017-01-03,36.150002,36.639999,35.59,35.889999,6535000,35.62032
2016-12-30,36.349998,36.400002,35.790001,35.93,5453300,35.66002
2016-12-29,36.610001,36.639999,36.16,36.23,3472900,35.957765
2016-12-28,36.82,37.009998,36.50,36.52,3520400,36.245587
2016-12-27,36.799999,36.990002,36.630001,36.860001,2624400,36.583032
2016-12-23,36.689999,36.810001,36.560001,36.650002,2270100,36.374611
2016-12-22,36.389999,36.700001,36.23,36.689999,4885300,36.414308
2016-12-21,36.619999,36.849998,36.50,36.50,4585500,36.225737
2016-12-20,36.419998,36.639999,36.360001,36.619999,4256400,36.344834
