Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,87.080002,87.080002,85.900002,85.919998,1516800,85.919998
2017-05-11,86.389999,87.169998,86.209999,87.110001,1236600,87.110001
2017-05-10,86.860001,87.279999,86.50,86.989998,877000,86.989998
2017-05-09,86.980003,87.18,86.50,86.82,2243000,86.82
2017-05-08,87.190002,87.480003,86.339996,87.190002,1043600,87.190002
2017-05-05,86.620003,87.50,86.330002,87.480003,1631100,87.480003
2017-05-04,86.980003,87.150002,85.93,86.550003,3313200,86.550003
2017-05-03,87.519997,87.949997,86.059998,87.050003,4004800,87.050003
2017-05-02,82.029999,82.029999,81.029999,81.290001,1549600,81.290001
2017-05-01,81.239998,81.900002,81.010002,81.75,1349000,81.75
2017-04-28,81.480003,81.639999,80.099998,80.940002,2528400,80.940002
2017-04-27,84.599998,84.82,80.529999,81.440002,3705900,81.440002
2017-04-26,84.650002,84.660004,83.50,84.120003,1581300,84.120003
2017-04-25,84.730003,84.730003,83.800003,84.050003,1463800,84.050003
2017-04-24,84.43,84.50,83.309998,84.370003,1614300,84.370003
2017-04-21,83.639999,83.769997,82.860001,83.089996,1297100,83.089996
2017-04-20,83.690002,83.93,83.190002,83.669998,1747500,83.669998
2017-04-19,83.529999,84.110001,83.080002,83.230003,1756200,83.230003
2017-04-18,83.349998,83.629997,82.550003,83.120003,890300,83.120003
2017-04-17,83.370003,83.730003,83.00,83.440002,1187200,83.440002
2017-04-13,83.059998,83.68,82.769997,82.959999,747100,82.959999
2017-04-12,83.699997,83.889999,82.800003,83.00,584700,83.00
2017-04-11,83.239998,83.830002,82.760002,83.68,1329400,83.68
2017-04-10,83.199997,83.68,82.940002,83.440002,711000,83.440002
2017-04-07,83.00,83.57,82.739998,83.150002,2021200,83.150002
2017-04-06,83.099998,83.339996,82.510002,83.059998,1828600,83.059998
2017-04-05,83.699997,84.269997,82.699997,82.959999,1076400,82.959999
2017-04-04,83.419998,83.980003,82.669998,83.300003,964600,83.300003
2017-04-03,83.540001,84.080002,82.790001,83.440002,1901800,83.440002
2017-03-31,83.550003,84.120003,83.370003,83.389999,1391500,83.389999
2017-03-30,83.459999,84.25,83.459999,84.110001,1074000,84.110001
2017-03-29,83.550003,83.830002,82.330002,83.589996,1097000,83.589996
2017-03-28,83.970001,84.199997,83.230003,83.989998,1893000,83.989998
2017-03-27,82.699997,84.349998,81.879997,83.57,1885500,83.57
2017-03-24,83.669998,84.75,82.940002,83.139999,1475000,83.139999
2017-03-23,82.07,84.139999,81.730003,83.389999,3846200,83.389999
2017-03-22,81.809998,82.68,81.330002,82.199997,1105900,82.199997
2017-03-21,82.739998,82.830002,81.459999,81.510002,2175800,81.510002
2017-03-20,82.809998,82.959999,81.949997,82.489998,1246800,82.489998
2017-03-17,83.029999,83.07,82.099998,82.720001,2411500,82.720001
2017-03-16,82.769997,82.989998,81.910004,82.57,1546800,82.57
2017-03-15,81.650002,83.220001,81.449997,82.510002,3211500,82.510002
2017-03-14,84.510002,84.769997,81.040001,82.019997,5427900,82.019997
2017-03-13,79.580002,87.989998,79.050003,84.93,5459000,84.93
2017-03-10,79.360001,79.790001,79.059998,79.529999,1388800,79.529999
2017-03-09,79.910004,80.07,78.489998,79.029999,1668800,79.029999
2017-03-08,79.919998,80.580002,79.419998,79.919998,1169000,79.919998
2017-03-07,79.720001,80.389999,79.389999,79.900002,1528400,79.900002
2017-03-06,79.900002,80.00,79.110001,79.660004,2189000,79.660004
2017-03-03,79.510002,80.110001,78.879997,79.949997,1296200,79.949997
2017-03-02,80.400002,80.400002,79.190002,79.330002,2021400,79.330002
2017-03-01,79.720001,80.970001,79.230003,80.769997,2369500,80.769997
