Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,60.00,60.32,59.299999,60.27,4450500,60.27
2017-05-11,60.189999,60.799999,59.73,60.240002,3803000,60.240002
2017-05-10,60.66,60.779999,60.099998,60.310001,3604100,60.310001
2017-05-09,60.299999,60.91,60.119999,60.700001,4000300,60.700001
2017-05-08,60.560001,60.669998,60.099998,60.43,5191800,60.130001
2017-05-05,60.77,61.099998,60.080002,60.299999,6355500,60.000645
2017-05-04,61.599998,61.68,60.529999,60.549999,4625400,60.249404
2017-05-03,61.799999,62.060001,60.950001,61.139999,5158100,60.836475
2017-05-02,62.060001,62.169998,61.119999,61.93,4291200,61.622554
2017-05-01,62.349998,62.630001,61.799999,61.970001,4014400,61.662357
2017-04-28,63.57,63.939999,62.27,62.59,5569700,62.279278
2017-04-27,65.360001,65.389999,64.18,64.32,3434000,64.000689
2017-04-26,66.25,66.449997,63.439999,65.230003,5679900,64.906175
2017-04-25,67.68,67.730003,66.949997,67.279999,3228500,66.945993
2017-04-24,67.75,67.800003,66.849998,66.910004,3247200,66.577835
2017-04-21,66.970001,67.150002,66.099998,66.230003,2851900,65.90121
2017-04-20,65.449997,66.949997,65.449997,66.690002,3874800,66.358926
2017-04-19,65.379997,65.57,64.860001,64.970001,1975800,64.647463
2017-04-18,65.32,65.620003,64.620003,65.040001,2541400,64.717116
2017-04-17,64.879997,65.760002,64.599998,65.68,2027600,65.353938
2017-04-13,65.139999,65.739998,64.75,64.769997,1857100,64.448452
2017-04-12,65.639999,66.150002,65.349998,65.470001,2197400,65.144981
2017-04-11,65.160004,66.029999,64.809998,66.029999,2473300,65.702199
2017-04-10,65.889999,66.220001,65.349998,65.43,2392100,65.105179
2017-04-07,65.989998,66.550003,65.68,65.980003,2975400,65.652451
2017-04-06,66.080002,66.889999,65.260002,66.529999,3195600,66.199717
2017-04-05,67.779999,67.989998,66.019997,66.120003,2797500,65.791756
2017-04-04,67.669998,67.830002,66.779999,67.050003,2322600,66.717139
2017-04-03,68.470001,68.540001,67.029999,67.949997,1716900,67.612665
2017-03-31,68.540001,68.82,68.150002,68.389999,1971100,68.050483
2017-03-30,67.660004,68.910004,67.470001,68.660004,1583700,68.319147
2017-03-29,67.809998,67.949997,67.389999,67.660004,1195900,67.324112
2017-03-28,66.419998,68.370003,66.419998,67.889999,1782400,67.552966
2017-03-27,66.050003,66.989998,65.540001,66.790001,1934700,66.458428
2017-03-24,67.809998,67.809998,66.800003,67.209999,1611100,66.876341
2017-03-23,67.610001,68.25,67.160004,67.419998,1918100,67.085298
2017-03-22,67.300003,68.129997,66.650002,67.660004,1827000,67.324112
2017-03-21,70.139999,70.309998,67.480003,67.599998,2857100,67.264404
2017-03-20,70.279999,70.690002,69.849998,69.879997,1922800,69.533084
2017-03-17,71.129997,71.379997,69.879997,70.309998,3422000,69.96095
2017-03-16,70.900002,71.349998,70.760002,71.00,1936900,70.647527
2017-03-15,71.860001,71.889999,70.230003,70.629997,2903900,70.279361
2017-03-14,71.00,71.879997,70.830002,71.800003,1559500,71.443558
2017-03-13,71.459999,71.699997,71.059998,71.32,1363300,70.965938
2017-03-10,71.660004,71.860001,71.010002,71.519997,1631700,71.164942
2017-03-09,71.620003,71.839996,71.050003,71.290001,1459700,70.936088
2017-03-08,71.589996,71.800003,71.290001,71.360001,1611000,71.00574
2017-03-07,70.809998,71.489998,70.529999,70.980003,1865800,70.627629
2017-03-06,71.029999,71.029999,70.339996,70.82,1547500,70.46842
2017-03-03,71.050003,71.459999,70.639999,71.400002,2456300,71.045543
2017-03-02,72.459999,72.459999,71.00,71.059998,1850200,70.707227
2017-03-01,72.230003,72.910004,72.230003,72.400002,2819200,72.040578
2017-02-28,71.269997,71.650002,70.730003,71.139999,3419300,70.786831
2017-02-27,71.300003,71.699997,71.07,71.629997,2064700,71.274396
2017-02-24,70.839996,71.410004,70.559998,71.220001,2134000,70.866436
2017-02-23,71.300003,71.540001,70.849998,71.459999,1726900,71.105242
2017-02-22,71.019997,71.370003,70.599998,71.169998,1721400,70.816681
2017-02-21,71.400002,72.309998,70.980003,71.290001,2201200,70.936088
2017-02-17,70.449997,71.330002,69.93,71.300003,2082000,70.946041
2017-02-16,70.75,70.989998,70.199997,70.839996,1642000,70.488317
2017-02-15,71.139999,71.400002,70.650002,70.919998,1868900,70.567922
2017-02-14,69.25,70.940002,69.169998,70.849998,2338100,70.49827
2017-02-13,69.169998,69.910004,69.050003,69.580002,1396200,69.234578
2017-02-10,69.209999,69.25,68.730003,68.82,1347800,68.478349
2017-02-09,68.400002,69.150002,68.150002,68.949997,1441200,68.607701
2017-02-08,68.199997,68.419998,67.730003,68.160004,2200100,67.821629
2017-02-07,69.239998,69.580002,68.339996,68.510002,2300400,68.16989
2017-02-06,69.050003,69.410004,68.809998,69.290001,2048900,68.647504
2017-02-03,68.93,69.68,68.519997,69.360001,2016400,68.716855
2017-02-02,68.339996,68.940002,67.82,68.059998,2952100,67.428906
2017-02-01,69.699997,70.199997,68.68,68.769997,2763300,68.132322
2017-01-31,69.050003,69.779999,68.730003,69.279999,2689300,68.637595
2017-01-30,68.860001,69.660004,68.269997,69.629997,2166600,68.984348
2017-01-27,69.50,69.559998,68.959999,69.059998,1769800,68.419634
2017-01-26,69.099998,69.419998,68.589996,69.349998,3250300,68.706945
2017-01-25,70.830002,71.169998,68.50,69.209999,5475600,68.568244
2017-01-24,69.68,70.209999,68.830002,69.879997,3511100,69.23203
2017-01-23,69.980003,70.449997,69.029999,69.279999,2578000,68.637595
2017-01-20,70.300003,70.809998,69.75,70.199997,3200300,69.549062
2017-01-19,70.519997,70.529999,69.730003,70.00,1609100,69.35092
2017-01-18,70.110001,70.50,69.279999,70.360001,2473200,69.707582
2017-01-17,71.290001,71.489998,69.510002,69.900002,2715100,69.251848
2017-01-13,71.400002,72.839996,71.389999,71.660004,1648500,70.995531
2017-01-12,71.050003,71.50,70.220001,71.309998,3042300,70.64877
2017-01-11,72.18,72.459999,71.330002,71.650002,3264500,70.985621
2017-01-10,71.800003,72.910004,71.190002,72.110001,3277600,71.441355
2017-01-09,71.629997,72.050003,70.709999,71.620003,3587700,70.955901
2017-01-06,72.760002,73.019997,71.830002,72.059998,3137800,71.391816
2017-01-05,73.790001,73.790001,72.260002,72.900002,2328200,72.224031
2017-01-04,73.089996,74.330002,72.889999,73.940002,2360500,73.254388
2017-01-03,72.900002,73.349998,71.910004,72.730003,2292400,72.055609
2016-12-30,71.989998,72.470001,71.480003,72.089996,1817900,71.421536
2016-12-29,72.059998,72.50,71.529999,71.849998,1462900,71.183764
2016-12-28,72.940002,72.970001,71.57,71.910004,1677700,71.243213
2016-12-27,73.160004,73.480003,72.57,72.82,913600,72.144771
2016-12-23,72.610001,73.019997,72.449997,72.639999,1152300,71.96644
2016-12-22,72.720001,72.900002,71.910004,72.419998,2045800,71.748478
2016-12-21,73.07,73.139999,72.370003,72.889999,1175100,72.214121
2016-12-20,72.449997,73.209999,72.199997,73.18,2128400,72.501433
2016-12-19,71.620003,72.540001,71.309998,72.18,2134400,71.510706
2016-12-16,72.690002,72.690002,71.459999,71.690002,4574300,71.025251
2016-12-15,72.00,73.620003,71.970001,72.470001,2753600,71.798018
2016-12-14,71.269997,72.540001,70.830002,71.230003,2719800,70.569518
2016-12-13,71.889999,72.589996,71.339996,71.839996,2220400,71.173855
2016-12-12,72.360001,72.889999,71.169998,71.68,2935400,71.015342
2016-12-09,71.839996,72.830002,71.379997,72.82,3064000,72.144771
2016-12-08,71.839996,72.239998,71.07,72.050003,3547600,71.381914
2016-12-07,68.760002,71.980003,68.330002,71.620003,5768100,70.955901
2016-12-06,67.889999,68.43,67.50,68.379997,2257000,67.745939
2016-12-05,67.889999,68.190002,67.379997,67.449997,2635600,66.824562
2016-12-02,68.230003,68.230003,66.879997,67.260002,2273300,66.636329
2016-12-01,68.00,68.900002,67.779999,68.059998,3469600,67.428906
2016-11-30,68.18,68.50,67.419998,67.769997,3867700,67.141594
2016-11-29,67.860001,68.150002,67.400002,67.620003,2568400,66.992991
2016-11-28,68.150002,68.489998,67.629997,67.75,2143800,67.121783
2016-11-25,68.260002,68.879997,68.120003,68.410004,1159600,67.775667
2016-11-23,67.260002,68.339996,67.010002,68.279999,2339000,67.646867
2016-11-22,66.889999,67.389999,66.589996,67.160004,2892500,66.537257
2016-11-21,66.510002,66.790001,66.129997,66.629997,2186600,66.012166
2016-11-18,65.730003,66.779999,65.730003,66.239998,2523900,65.625782
2016-11-17,65.300003,66.139999,65.139999,66.010002,2844200,65.397919
2016-11-16,65.860001,66.190002,64.980003,65.25,2485300,64.644964
2016-11-15,65.43,66.360001,64.209999,66.330002,3453300,65.714952
2016-11-14,65.00,67.18,64.980003,66.699997,5897700,66.081516
2016-11-11,63.139999,64.690002,63.029999,64.57,4450900,63.97127
2016-11-10,60.810001,63.720001,60.790001,63.599998,5851400,63.010263
2016-11-09,58.16,60.580002,57.84,60.290001,4177000,59.730957
2016-11-08,57.419998,57.689999,56.68,57.259998,2359600,56.729051
2016-11-07,56.900002,57.779999,56.900002,57.740002,2116300,57.204603
2016-11-04,56.02,56.919998,55.709999,56.07,2266900,55.550086
2016-11-03,55.790001,56.439999,55.75,56.02,2808600,55.500551
2016-11-02,55.900002,56.07,55.41,55.720001,1999700,55.203333
