Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,109.800003,109.889999,109.269997,109.690002,4967700,109.690002
2017-05-11,109.739998,110.010002,108.50,109.580002,7938900,109.580002
2017-05-10,109.00,109.660004,108.129997,109.660004,17045200,109.660004
2017-05-09,111.550003,112.150002,110.349998,112.07,8248700,112.07
2017-05-08,112.389999,112.389999,111.00,111.419998,5975400,111.419998
2017-05-05,111.489998,112.150002,110.919998,111.989998,5631800,111.989998
2017-05-04,110.580002,111.300003,109.059998,111.169998,10578700,111.169998
2017-05-03,114.029999,114.089996,111.18,111.620003,11506900,111.620003
2017-05-02,114.870003,114.989998,113.68,114.370003,6534100,114.370003
2017-05-01,115.589996,115.610001,114.720001,114.730003,4910300,114.730003
2017-04-28,115.870003,115.900002,115.239998,115.599998,3947400,115.599998
2017-04-27,115.800003,116.099998,115.389999,115.839996,3874600,115.839996
2017-04-26,115.400002,115.959999,114.860001,115.580002,4638200,115.580002
2017-04-25,113.730003,115.519997,113.68,115.18,6800400,115.18
2017-04-24,115.260002,115.379997,113.660004,113.699997,5929200,113.699997
2017-04-21,114.379997,115.120003,114.269997,114.440002,6394900,114.440002
2017-04-20,114.169998,115.050003,113.870003,114.790001,5257800,114.790001
2017-04-19,114.559998,115.00,113.540001,113.730003,5285100,113.730003
2017-04-18,113.480003,114.75,113.00,114.190002,6181500,114.190002
2017-04-17,113.330002,113.940002,113.220001,113.779999,5088400,113.779999
2017-04-13,113.040001,114.25,112.989998,113.199997,6407400,113.199997
2017-04-12,113.029999,113.279999,112.760002,113.040001,4074600,113.040001
2017-04-11,113.68,113.830002,112.589996,113.07,5218500,113.07
2017-04-10,112.800003,112.889999,112.040001,112.43,3928800,112.43
2017-04-07,112.82,113.279999,112.529999,112.580002,4292700,112.580002
2017-04-06,112.849998,113.419998,112.389999,113.050003,4692200,113.050003
2017-04-05,113.580002,113.839996,112.790001,113.00,4735700,113.00
2017-04-04,113.150002,113.550003,112.830002,113.040001,3376900,113.040001
2017-04-03,113.18,113.650002,112.43,113.199997,4643300,113.199997
2017-03-31,113.00,113.709999,112.949997,113.389999,4595000,113.389999
2017-03-30,112.529999,113.300003,112.279999,113.18,4188000,113.18
2017-03-29,112.660004,112.940002,112.309998,112.529999,3741400,112.529999
2017-03-28,112.599998,113.239998,112.019997,113.050003,5081500,113.050003
2017-03-27,111.809998,112.550003,111.449997,112.379997,4273700,112.379997
2017-03-24,112.400002,112.580002,111.68,112.139999,4653300,112.139999
2017-03-23,111.709999,112.980003,111.660004,112.239998,8260700,112.239998
2017-03-22,111.849998,112.18,111.349998,112.080002,5006000,112.080002
2017-03-21,112.970001,113.099998,111.540001,111.75,6935300,111.75
2017-03-20,112.07,113.160004,112.050003,112.709999,7990500,112.709999
2017-03-17,111.870003,112.089996,111.18,111.760002,9038400,111.760002
2017-03-16,112.18,112.32,111.400002,111.709999,4353200,111.709999
2017-03-15,112.43,112.449997,111.150002,111.870003,5218600,111.870003
2017-03-14,111.730003,112.889999,111.720001,112.309998,6245300,112.309998
2017-03-13,110.919998,111.68,110.82,111.519997,5147100,111.519997
2017-03-10,111.400002,111.50,110.690002,110.919998,3929800,110.919998
2017-03-09,110.900002,111.32,110.690002,111.029999,3994500,111.029999
2017-03-08,110.870003,111.32,110.660004,110.839996,4843700,110.839996
2017-03-07,110.699997,110.93,110.160004,110.860001,4937500,110.860001
2017-03-06,110.769997,110.980003,110.089996,110.669998,4967400,110.669998
2017-03-03,110.589996,111.50,110.040001,111.239998,5837900,111.239998
2017-03-02,111.00,111.209999,110.449997,110.589996,4713000,110.589996
2017-03-01,110.660004,111.800003,110.660004,111.040001,7359400,111.040001
2017-02-28,110.00,110.400002,109.830002,110.089996,4749000,110.089996
2017-02-27,109.93,110.470001,109.830002,110.230003,3436400,110.230003
2017-02-24,109.620003,110.32,109.099998,110.32,4766100,110.32
2017-02-23,110.300003,110.489998,109.589996,109.730003,5470400,109.730003
2017-02-22,109.690002,110.279999,109.529999,110.120003,5473400,110.120003
2017-02-21,109.940002,110.209999,109.800003,110.010002,4991500,110.010002
2017-02-17,110.239998,110.50,109.519997,110.059998,6287300,110.059998
2017-02-16,110.339996,110.870003,110.089996,110.709999,7169400,110.709999
2017-02-15,109.910004,110.68,109.800003,110.18,7033500,110.18
2017-02-14,109.800003,110.330002,109.529999,110.330002,4764100,110.330002
2017-02-13,108.949997,109.900002,108.900002,109.650002,5653200,109.650002
2017-02-10,109.349998,109.800003,108.580002,109.260002,6521300,109.260002
2017-02-09,109.00,109.849998,109.00,109.489998,6367500,109.489998
2017-02-08,109.559998,111.419998,108.980003,109.00,13611500,109.00
2017-02-07,109.650002,109.730003,108.769997,109.00,9574800,109.00
2017-02-06,109.919998,110.150002,109.300003,109.57,6822600,109.57
2017-02-03,110.900002,111.150002,110.209999,110.300003,7917700,110.300003
2017-02-02,111.209999,111.540001,110.550003,110.610001,6501200,110.610001
2017-02-01,110.709999,111.989998,110.68,111.300003,10489600,111.300003
2017-01-31,110.589996,110.800003,109.980003,110.650002,8395300,110.650002
2017-01-30,109.860001,111.050003,108.959999,110.940002,13765200,110.940002
2017-01-27,108.489998,109.400002,108.150002,109.300003,5534500,109.300003
2017-01-26,108.209999,108.620003,107.980003,108.059998,6079100,108.059998
2017-01-25,108.230003,108.419998,108.00,108.040001,6169400,108.040001
2017-01-24,107.199997,108.059998,107.080002,107.900002,5435800,107.900002
2017-01-23,107.339996,107.68,106.57,107.120003,5666600,107.120003
2017-01-20,107.349998,107.82,107.18,107.660004,5534800,107.660004
2017-01-19,107.919998,108.010002,107.080002,107.279999,5348900,107.279999
2017-01-18,106.93,108.400002,106.809998,108.160004,7162000,108.160004
2017-01-17,107.910004,108.93,107.650002,107.970001,7583100,107.970001
2017-01-13,107.160004,108.349998,106.900002,108.059998,6467200,108.059998
2017-01-12,108.120003,109.00,107.43,107.529999,8201600,107.529999
2017-01-11,108.540001,109.489998,108.379997,109.440002,7590400,109.440002
2017-01-10,107.900002,108.82,107.349998,108.379997,7893600,108.379997
2017-01-09,108.580002,108.830002,108.110001,108.360001,6193400,108.360001
2017-01-06,108.019997,109.349998,107.75,108.980003,9263300,108.980003
2017-01-05,107.169998,107.620003,106.790001,107.379997,6292500,107.379997
2017-01-04,106.639999,107.50,106.25,107.440002,8231900,107.440002
2017-01-03,105.300003,106.900002,105.209999,106.080002,8872900,106.080002
2016-12-30,104.57,105.00,103.959999,104.220001,6629500,104.220001
2016-12-29,104.230003,104.769997,103.870003,104.559998,5892000,104.559998
2016-12-28,104.989998,105.32,104.059998,104.300003,5116200,104.300003
2016-12-27,104.849998,105.559998,104.779999,105.169998,3634300,105.169998
2016-12-23,105.239998,105.339996,104.75,105.150002,3231000,105.150002
2016-12-22,104.959999,105.489998,104.699997,105.419998,5230800,105.419998
2016-12-21,104.610001,105.910004,104.510002,105.559998,5202400,105.559998
2016-12-20,105.639999,106.199997,105.059998,105.459999,8947300,105.459999
2016-12-19,105.699997,106.260002,105.07,105.300003,11475600,105.300003
2016-12-16,104.709999,104.730003,103.75,103.910004,12635500,103.910004
2016-12-15,103.849998,105.639999,103.82,104.389999,8745400,104.389999
2016-12-14,103.620003,104.410004,103.50,104.050003,7961900,104.050003
2016-12-13,104.199997,104.309998,103.709999,103.849998,7393200,103.849998
2016-12-12,104.610001,104.699997,103.730003,104.059998,7880200,104.059998
2016-12-09,103.489998,105.519997,103.18,104.860001,12173900,104.860001
2016-12-08,101.470001,103.959999,101.470001,103.379997,16524800,103.379997
2016-12-07,100.510002,102.07,100.440002,101.989998,12255700,101.209997
2016-12-06,99.949997,100.720001,99.82,100.660004,8427500,99.890175
2016-12-05,98.980003,100.269997,98.68,99.959999,11331500,99.195524
2016-12-02,98.790001,99.080002,98.25,98.50,7737200,97.74669
2016-12-01,99.129997,99.75,98.620003,98.940002,9958100,98.183328
2016-11-30,99.400002,100.290001,99.00,99.120003,11369200,98.361952
2016-11-29,99.239998,99.68,98.970001,99.669998,8396800,98.907741
2016-11-28,98.519997,99.199997,98.32,98.970001,7106700,98.213097
2016-11-25,98.709999,99.07,98.50,98.82,4396800,98.064243
2016-11-23,97.669998,98.279999,97.589996,98.260002,5897400,97.508528
2016-11-22,97.400002,97.93,97.269997,97.709999,5323700,96.962731
