Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,61.639999,61.68,60.939999,61.369999,1287800,61.369999
2017-05-11,61.290001,61.790001,60.860001,61.630001,1487500,61.630001
2017-05-10,61.150002,61.759998,60.419998,61.669998,2440400,61.669998
2017-05-09,60.889999,61.740002,60.43,61.240002,2896400,61.240002
2017-05-08,61.759998,62.369999,60.700001,61.279999,2076100,61.279999
2017-05-05,60.560001,61.720001,60.07,61.599998,3401800,61.599998
2017-05-04,60.490002,60.82,59.830002,60.060001,2996700,60.060001
2017-05-03,63.16,63.16,60.259998,60.380001,3391700,60.380001
2017-05-02,62.939999,63.630001,62.41,63.169998,2985800,63.169998
2017-05-01,63.459999,65.169998,62.619999,62.93,5661200,62.93
2017-04-28,65.129997,65.18,63.889999,64.440002,3675100,64.440002
2017-04-27,63.970001,65.610001,63.84,65.00,4298900,65.00
2017-04-26,62.689999,63.610001,62.240002,63.299999,3342600,63.299999
2017-04-25,61.049999,62.610001,60.549999,62.540001,3776800,62.540001
2017-04-24,60.25,60.66,59.759998,60.34,1807400,60.34
2017-04-21,59.810001,60.279999,59.52,59.610001,1977300,59.610001
2017-04-20,59.93,60.50,59.650002,59.84,3039000,59.84
2017-04-19,58.150002,59.82,58.099998,59.580002,4748000,59.580002
2017-04-18,57.66,58.450001,57.310001,58.040001,5657900,58.040001
2017-04-17,62.50,62.630001,58.619999,58.790001,7735300,58.790001
2017-04-13,63.98,64.370003,62.290001,62.380001,4515800,62.380001
2017-04-12,63.509998,64.07,63.130001,63.990002,2548300,63.990002
2017-04-11,63.43,63.790001,62.709999,63.549999,2440000,63.549999
2017-04-10,64.260002,64.480003,63.09,63.610001,4155400,63.610001
2017-04-07,63.00,63.110001,62.299999,62.549999,1883400,62.549999
2017-04-06,62.77,63.669998,62.599998,63.150002,1956300,63.150002
2017-04-05,63.419998,64.32,62.82,62.869999,2101700,62.869999
2017-04-04,63.060001,63.669998,62.52,63.48,1858600,63.48
2017-04-03,63.490002,63.799999,62.73,63.07,1989200,63.07
2017-03-31,63.07,63.77,63.049999,63.490002,3209900,63.490002
2017-03-30,61.900002,63.220001,61.66,63.200001,2627600,63.200001
2017-03-29,62.619999,63.119999,62.470001,62.990002,2007300,62.990002
2017-03-28,61.950001,63.07,61.849998,62.919998,1829200,62.919998
2017-03-27,61.700001,62.490002,61.349998,62.169998,1775500,62.169998
2017-03-24,61.900002,62.23,61.50,61.990002,1887700,61.990002
2017-03-23,61.540001,62.360001,61.25,61.880001,1715300,61.880001
2017-03-22,62.049999,62.23,61.34,61.650002,2880500,61.650002
2017-03-21,63.220001,63.259998,61.73,61.869999,3586300,61.869999
2017-03-20,63.700001,63.77,62.84,63.060001,2714900,63.060001
2017-03-17,63.59,63.919998,62.889999,63.860001,4989100,63.860001
2017-03-16,63.529999,64.150002,62.880001,63.220001,3340100,63.220001
2017-03-15,62.790001,63.279999,62.23,63.139999,4299200,63.139999
2017-03-14,61.970001,62.50,61.41,62.459999,4358900,62.459999
2017-03-13,62.00,62.389999,61.330002,61.98,6930500,61.98
2017-03-10,62.439999,62.98,61.740002,62.049999,41292300,62.049999
2017-03-09,63.919998,64.25,62.970001,63.509998,5164100,63.509998
2017-03-08,63.860001,64.330002,63.549999,63.990002,6516200,63.990002
2017-03-07,64.389999,64.50,63.810001,64.00,12710200,64.00
2017-03-06,60.900002,61.400002,60.880001,61.23,927100,61.23
2017-03-03,61.049999,61.48,60.849998,61.18,1779300,61.18
2017-03-02,61.830002,61.91,60.700001,60.82,2058700,60.82
2017-03-01,62.50,62.50,61.790001,61.990002,1600500,61.990002
2017-02-28,62.419998,62.419998,61.650002,62.00,1536200,62.00
2017-02-27,62.34,62.919998,62.049999,62.529999,1210500,62.529999
2017-02-24,61.919998,62.59,61.610001,62.540001,2071700,62.540001
2017-02-23,63.02,63.389999,61.880001,61.91,2888500,61.91
2017-02-22,64.50,64.739998,62.349998,62.400002,3756400,62.400002
2017-02-21,62.799999,63.189999,62.049999,62.82,2460400,62.82
2017-02-17,62.630001,62.959999,61.880001,62.889999,2465200,62.889999
2017-02-16,62.73,63.00,62.240002,62.720001,1380700,62.720001
2017-02-15,61.950001,63.119999,61.630001,62.889999,2528000,62.889999
2017-02-14,61.59,62.25,61.400002,61.950001,2825300,61.950001
2017-02-13,62.169998,63.290001,61.43,61.950001,2774200,61.950001
2017-02-10,61.080002,61.360001,60.509998,61.150002,935700,61.150002
2017-02-09,61.040001,61.369999,59.959999,61.07,1818900,61.07
2017-02-08,60.189999,61.110001,59.91,60.860001,988600,60.860001
2017-02-07,60.939999,61.200001,60.310001,60.419998,1106200,60.419998
2017-02-06,61.82,61.990002,60.93,60.98,1788300,60.98
2017-02-03,61.369999,63.990002,61.040001,61.849998,3382500,61.849998
2017-02-02,61.220001,61.700001,61.009998,61.290001,2550400,61.290001
2017-02-01,59.759998,61.919998,59.549999,61.139999,4875000,61.139999
2017-01-31,59.419998,59.599998,58.57,59.169998,1258300,59.169998
2017-01-30,59.07,59.549999,58.450001,59.34,2207700,59.34
2017-01-27,58.200001,59.560001,57.650002,59.279999,4304200,59.279999
2017-01-26,59.669998,60.299999,57.009998,58.02,15430200,58.02
2017-01-25,62.869999,63.00,61.810001,62.23,1630200,62.23
2017-01-24,61.450001,62.490002,60.77,62.43,2300200,62.43
2017-01-23,61.119999,62.029999,60.889999,61.459999,3383600,61.459999
2017-01-20,62.25,62.279999,59.889999,60.139999,2525600,60.139999
2017-01-19,61.349998,62.779999,61.18,61.68,2219000,61.68
2017-01-18,61.880001,62.490002,61.080002,61.349998,1344200,61.349998
2017-01-17,62.080002,62.50,61.57,62.16,2027900,62.16
2017-01-13,62.23,62.970001,61.919998,62.27,1482700,62.27
2017-01-12,61.900002,62.34,61.48,62.279999,1135600,62.279999
2017-01-11,61.610001,62.450001,61.330002,61.889999,1385500,61.889999
2017-01-10,61.689999,61.810001,60.669998,61.740002,1572800,61.740002
2017-01-09,61.139999,61.790001,60.610001,61.639999,1248800,61.639999
2017-01-06,60.990002,61.490002,60.529999,61.360001,1643700,61.360001
2017-01-05,60.220001,61.349998,59.669998,60.759998,3075600,60.759998
2017-01-04,59.869999,60.389999,59.23,60.389999,1985900,60.389999
2017-01-03,58.50,60.119999,58.040001,59.689999,2158900,59.689999
2016-12-30,58.41,58.75,57.689999,57.93,1277200,57.93
2016-12-29,58.860001,59.09,58.119999,58.400002,1340900,58.400002
2016-12-28,59.509998,59.68,58.709999,58.950001,874800,58.950001
2016-12-27,59.049999,59.790001,58.919998,59.549999,708200,59.549999
2016-12-23,58.950001,59.529999,58.77,58.889999,528200,58.889999
2016-12-22,59.459999,59.490002,58.689999,59.07,660500,59.07
2016-12-21,58.27,59.650002,57.799999,59.580002,1088100,59.580002
2016-12-20,58.240002,58.810001,58.09,58.349998,884500,58.349998
2016-12-19,58.279999,58.599998,57.84,58.07,1318600,58.07
2016-12-16,58.689999,59.450001,57.959999,58.400002,1960100,58.400002
2016-12-15,60.02,60.040001,58.290001,58.459999,2198800,58.459999
2016-12-14,58.450001,60.00,58.349998,59.700001,1526600,59.700001
2016-12-13,57.860001,58.610001,57.860001,58.529999,1289500,58.529999
2016-12-12,58.59,59.119999,57.560001,57.779999,2095900,57.779999
2016-12-09,60.209999,60.25,58.860001,59.00,1792000,59.00
2016-12-08,58.630001,60.220001,58.240002,59.93,2539600,59.93
2016-12-07,58.610001,58.93,57.889999,58.639999,1689500,58.639999
2016-12-06,56.709999,58.77,56.540001,58.509998,3583500,58.509998
2016-12-05,55.959999,57.049999,55.799999,56.66,1399500,56.66
2016-12-02,56.209999,56.740002,55.27,55.549999,2060400,55.549999
2016-12-01,57.310001,58.139999,55.43,56.220001,2690500,56.220001
2016-11-30,57.00,58.419998,57.00,57.450001,1984800,57.450001
2016-11-29,56.360001,58.00,56.110001,57.689999,2401500,57.689999
2016-11-28,55.810001,56.509998,55.380001,56.150002,1549500,56.150002
2016-11-25,55.639999,56.060001,55.09,55.93,378200,55.93
2016-11-23,55.939999,56.509998,55.610001,55.689999,1576800,55.689999
2016-11-22,56.189999,56.34,55.66,56.07,1209600,56.07
2016-11-21,55.91,56.59,55.650002,56.169998,1530600,56.169998
2016-11-18,55.490002,56.110001,55.209999,55.849998,1588900,55.849998
2016-11-17,54.400002,55.779999,54.400002,55.66,1637500,55.66
2016-11-16,54.34,54.73,54.00,54.700001,1657300,54.700001
2016-11-15,53.959999,54.880001,53.889999,54.799999,1855300,54.799999
2016-11-14,55.560001,55.939999,53.880001,53.970001,2412700,53.970001
2016-11-11,55.889999,56.43,54.529999,55.549999,3018100,55.549999
2016-11-10,57.919998,58.970001,55.75,56.380001,3711600,56.380001
2016-11-09,54.32,58.599998,54.279999,57.93,3238900,57.93
2016-11-08,56.349998,57.049999,55.860001,56.68,2246200,56.68
2016-11-07,55.91,56.75,55.360001,56.25,1813600,56.25
2016-11-04,54.450001,55.619999,54.450001,54.93,1712400,54.93
2016-11-03,55.360001,55.849998,54.709999,54.919998,2497200,54.919998
2016-11-02,57.259998,57.27,55.049999,55.099998,3741700,55.099998
2016-11-01,58.59,58.689999,57.150002,57.189999,2245200,57.189999
2016-10-31,57.689999,58.73,57.540001,58.560001,1812200,58.560001
2016-10-28,58.07,58.720001,57.34,57.380001,2239400,57.380001
2016-10-27,58.389999,58.619999,57.919998,58.18,1242400,58.18
2016-10-26,58.610001,58.610001,57.82,58.23,1036500,58.23
2016-10-25,58.580002,59.52,58.490002,58.759998,2570000,58.759998
2016-10-24,57.73,58.580002,57.48,58.560001,1719400,58.560001
2016-10-21,59.040001,59.150002,57.16,57.400002,3858500,57.400002
2016-10-20,57.919998,59.57,57.900002,59.18,4521000,59.18
2016-10-19,56.889999,57.869999,56.48,57.439999,2038900,57.439999
2016-10-18,57.32,57.540001,55.970001,56.619999,2389900,56.619999
2016-10-17,57.150002,57.84,56.610001,56.689999,1815700,56.689999
2016-10-14,57.200001,58.099998,56.959999,56.970001,2730400,56.970001
2016-10-13,55.220001,57.07,54.970001,56.98,3730700,56.98
2016-10-12,55.189999,56.689999,55.080002,55.599998,3371500,55.599998
2016-10-11,55.84,55.900002,55.080002,55.330002,2364700,55.330002
2016-10-10,55.860001,56.080002,55.619999,56.00,965900,56.00
