Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,86.800003,87.279999,86.290001,86.690002,2214200,86.690002
2017-05-11,87.580002,87.889999,86.559998,86.870003,2676900,86.870003
2017-05-10,88.370003,88.550003,87.300003,87.760002,1662400,87.760002
2017-05-09,87.629997,88.720001,87.290001,88.269997,1962800,88.269997
2017-05-08,87.379997,88.239998,86.940002,87.410004,2499500,87.410004
2017-05-05,88.199997,88.349998,87.080002,87.699997,3122900,87.409995
2017-05-04,86.900002,89.580002,86.779999,88.059998,4433300,87.768805
2017-05-03,84.650002,88.349998,84.019997,87.010002,11839700,86.722282
2017-05-02,80.050003,80.410004,77.239998,78.449997,2939000,78.190583
2017-05-01,80.410004,80.889999,79.790001,80.00,1345300,79.73546
2017-04-28,80.040001,80.489998,79.139999,80.400002,1613700,80.134139
2017-04-27,80.309998,80.389999,79.25,79.959999,1718400,79.695592
2017-04-26,79.239998,80.389999,78.07,79.25,2178800,78.98794
2017-04-25,80.43,80.739998,79.120003,79.419998,2045700,79.157376
2017-04-24,77.860001,79.739998,77.779999,79.25,2619200,78.98794
2017-04-21,77.599998,77.720001,76.599998,76.599998,1532200,76.346702
2017-04-20,76.110001,78.110001,76.110001,77.900002,2289200,77.642406
2017-04-19,75.050003,75.849998,74.760002,75.370003,1440600,75.120773
2017-04-18,74.199997,74.529999,73.459999,74.349998,1214500,74.104142
2017-04-17,73.809998,74.709999,73.739998,74.709999,1349200,74.462952
2017-04-13,74.25,74.779999,73.739998,73.75,1150900,73.506127
2017-04-12,74.910004,75.129997,74.089996,74.279999,2812000,74.034374
2017-04-11,75.50,75.849998,74.110001,74.910004,1911800,74.662295
2017-04-10,75.139999,76.209999,75.110001,75.529999,1099100,75.28024
2017-04-07,75.07,75.339996,74.099998,75.139999,1537600,74.89153
2017-04-06,75.00,75.669998,74.599998,75.120003,2094300,74.8716
2017-04-05,76.639999,77.800003,75.07,75.089996,2510800,74.841693
2017-04-04,77.760002,78.00,75.870003,75.980003,3037500,75.728757
2017-04-03,80.730003,80.82,76.830002,78.25,2432900,77.991247
2017-03-31,80.830002,81.150002,80.330002,80.489998,1737500,80.223838
2017-03-30,80.419998,81.050003,80.089996,81.00,999500,80.732154
2017-03-29,80.580002,81.010002,80.00,80.489998,780700,80.223838
2017-03-28,79.489998,81.120003,79.220001,80.379997,1264400,80.114201
2017-03-27,78.160004,79.529999,77.400002,79.449997,1548000,79.187276
2017-03-24,78.800003,79.580002,78.480003,78.900002,1580400,78.639099
2017-03-23,78.510002,79.040001,78.019997,78.599998,1501100,78.340088
2017-03-22,78.230003,79.160004,77.139999,78.730003,2964700,78.469663
2017-03-21,81.50,81.739998,78.019997,78.160004,2390200,77.901548
2017-03-20,81.879997,82.00,80.82,81.120003,1657700,80.851759
2017-03-17,82.480003,82.480003,80.760002,81.849998,2181700,81.579341
2017-03-16,83.220001,83.230003,81.43,82.269997,2178600,81.997951
2017-03-15,81.040001,82.760002,81.040001,82.290001,2801500,82.017889
2017-03-14,79.699997,81.800003,79.360001,81.00,2752600,80.732154
2017-03-13,78.860001,80.440002,78.57,80.199997,4101500,79.934796
2017-03-10,77.00,77.75,76.709999,77.089996,1359300,76.835079
2017-03-09,76.589996,76.769997,75.959999,76.290001,1023700,76.037729
2017-03-08,76.120003,76.860001,75.760002,76.629997,1106200,76.376601
2017-03-07,76.279999,76.279999,75.32,75.970001,1248500,75.718788
2017-03-06,76.559998,76.809998,75.339996,75.919998,1555900,75.66895
2017-03-03,77.269997,77.610001,76.660004,77.18,1256500,76.924786
2017-03-02,76.529999,77.839996,76.050003,77.389999,1918500,77.13409
2017-03-01,77.129997,78.120003,76.68,76.769997,2419200,76.516138
2017-02-28,77.080002,77.330002,75.779999,76.129997,1939000,75.878255
2017-02-27,76.50,77.459999,76.160004,77.199997,1761100,76.944716
2017-02-24,75.43,76.959999,74.650002,76.690002,2683900,76.436408
2017-02-23,76.050003,77.040001,75.790001,75.980003,2061200,75.728757
2017-02-22,75.410004,76.50,75.18,76.139999,2305400,75.888224
2017-02-21,75.529999,76.610001,75.419998,75.839996,1423800,75.589213
2017-02-17,74.610001,75.589996,74.610001,75.459999,1479900,75.210472
2017-02-16,76.080002,76.309998,74.830002,75.220001,1508100,74.971268
2017-02-15,75.260002,76.459999,75.220001,76.25,1320800,75.997861
2017-02-14,75.68,76.410004,75.580002,75.959999,1817000,75.708819
2017-02-13,74.580002,76.080002,74.580002,76.00,2303200,75.748687
2017-02-10,73.970001,74.629997,73.480003,74.32,1674100,74.074242
2017-02-09,73.940002,74.309998,73.43,73.760002,1893600,73.516097
2017-02-08,73.940002,74.07,73.440002,73.940002,1648900,73.695502
2017-02-07,73.730003,74.220001,73.559998,74.110001,2314200,73.864938
2017-02-06,73.68,73.989998,72.949997,73.730003,1473400,73.486197
2017-02-03,74.040001,74.519997,73.010002,73.739998,2064000,73.496158
2017-02-02,73.830002,74.099998,72.559998,73.510002,5061800,73.266923
2017-02-01,70.57,71.279999,70.00,71.00,2032500,70.47618
2017-01-31,69.559998,70.120003,69.040001,70.059998,2787700,69.543113
2017-01-30,70.919998,70.970001,69.349998,69.699997,2316400,69.185768
2017-01-27,72.019997,72.50,70.57,70.989998,2386100,70.466252
2017-01-26,72.809998,73.889999,71.580002,71.860001,2068300,71.329836
2017-01-25,72.18,73.480003,71.900002,73.370003,1970000,72.828698
2017-01-24,70.730003,71.760002,70.32,71.449997,2558200,70.922857
2017-01-23,70.440002,70.459999,69.529999,70.07,1818600,69.553041
2017-01-20,71.860001,72.050003,70.290001,70.660004,2079400,70.138692
2017-01-19,72.00,72.610001,71.629997,72.010002,1864400,71.478731
2017-01-18,71.669998,72.199997,70.68,71.50,1763000,70.972491
2017-01-17,71.50,72.610001,71.470001,71.690002,1960600,71.161092
2017-01-13,71.00,71.82,70.879997,71.629997,1466500,71.101529
2017-01-12,71.540001,71.739998,69.870003,71.059998,1652500,70.535735
2017-01-11,69.959999,71.550003,69.82,71.540001,3085900,71.012197
2017-01-10,68.57,70.940002,68.269997,70.470001,2725400,69.950092
2017-01-09,69.25,69.389999,68.010002,68.059998,2507400,67.557868
2017-01-06,69.93,69.93,69.120003,69.169998,1424400,68.65968
2017-01-05,69.940002,69.970001,68.940002,69.610001,1989200,69.096436
2017-01-04,67.699997,70.209999,67.669998,70.040001,2476500,69.523264
2017-01-03,67.839996,68.650002,66.620003,67.540001,2064100,67.041708
2016-12-30,67.809998,68.110001,66.769997,67.349998,1321900,66.853107
2016-12-29,67.300003,67.919998,67.07,67.360001,806800,66.863036
2016-12-28,68.709999,68.889999,67.260002,67.309998,1024400,66.813402
2016-12-27,67.650002,68.529999,67.650002,68.059998,1136400,67.557868
2016-12-23,67.209999,68.260002,67.150002,67.800003,1286800,67.299792
2016-12-22,68.57,68.779999,67.190002,67.25,1465400,66.753847
2016-12-21,67.870003,69.57,67.519997,69.190002,2106400,68.679536
2016-12-20,68.239998,68.410004,67.110001,67.279999,1913700,66.783624
2016-12-19,67.809998,68.139999,67.099998,67.68,2150300,67.180675
2016-12-16,69.459999,69.800003,67.970001,68.099998,2799600,67.597574
2016-12-15,68.699997,70.089996,68.50,69.050003,1353000,68.54057
2016-12-14,68.75,70.480003,68.529999,68.800003,2806900,68.292414
2016-12-13,69.610001,70.75,68.879997,70.040001,1730600,69.523264
2016-12-12,71.510002,71.510002,69.290001,69.379997,1802600,68.868129
2016-12-09,71.120003,71.599998,70.480003,71.519997,1400500,70.99234
2016-12-08,70.360001,71.949997,69.830002,71.349998,2666000,70.823596
2016-12-07,66.209999,71.300003,65.75,70.360001,5349900,69.840903
2016-12-06,63.700001,65.959999,63.52,65.879997,2157300,65.393952
2016-12-05,64.459999,64.900002,63.459999,63.75,3009800,63.279669
2016-12-02,65.529999,65.870003,63.610001,63.720001,2332800,63.249891
2016-12-01,64.629997,65.82,64.099998,65.629997,2540400,65.145796
2016-11-30,64.25,65.959999,63.900002,64.00,3773600,63.527824
2016-11-29,62.84,64.230003,60.50,63.439999,6130300,62.971955
2016-11-28,67.50,67.910004,66.279999,66.32,1825200,65.830708
2016-11-25,67.470001,68.150002,67.32,67.519997,534700,67.021851
2016-11-23,66.730003,67.75,66.470001,67.059998,1598000,66.565246
2016-11-22,67.839996,67.879997,63.50,66.980003,3493800,66.485842
2016-11-21,68.589996,69.290001,68.260002,68.669998,1816200,68.163369
2016-11-18,68.199997,69.010002,68.099998,68.190002,2067600,67.686914
2016-11-17,66.470001,68.139999,65.50,68.050003,1993600,67.547948
2016-11-16,66.510002,66.599998,65.370003,66.540001,2649300,66.049086
2016-11-15,66.629997,67.540001,66.330002,66.769997,2730300,66.277385
2016-11-14,65.690002,67.32,65.690002,66.559998,3590900,66.068935
2016-11-11,66.00,66.470001,65.07,65.230003,4682700,64.748753
2016-11-10,65.75,67.959999,65.739998,66.470001,4223700,65.979603
2016-11-09,66.50,67.919998,63.560001,65.580002,7635500,65.096169
2016-11-08,68.800003,70.360001,68.099998,70.110001,2715200,69.592747
2016-11-07,67.690002,69.160004,67.690002,69.150002,2401300,68.639831
2016-11-04,66.139999,67.440002,65.449997,66.760002,1932700,65.979604
2016-11-03,66.699997,68.080002,66.230003,66.339996,2111900,65.564508
2016-11-02,65.260002,67.970001,64.489998,66.709999,3598200,65.930186
2016-11-01,65.309998,66.18,64.809998,65.199997,3339700,64.437835
2016-10-31,64.919998,65.709999,64.419998,65.07,2113800,64.309357
2016-10-28,64.489998,65.400002,64.290001,64.709999,1712500,63.953565
2016-10-27,64.370003,64.510002,63.040001,64.449997,2081600,63.696602
2016-10-26,63.07,65.349998,62.68,64.269997,2975300,63.518706
2016-10-25,64.029999,64.129997,62.470001,63.23,2095300,62.490866
