Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,113.639999,115.309998,113.449997,115.080002,677400,115.080002
2017-05-11,114.120003,114.470001,113.360001,113.669998,606700,113.669998
2017-05-10,113.949997,114.910004,113.709999,114.43,656500,114.43
2017-05-09,113.699997,114.599998,113.169998,114.00,823600,114.00
2017-05-08,114.169998,114.260002,112.610001,113.540001,691900,113.540001
2017-05-05,112.050003,113.870003,112.050003,113.809998,648600,113.809998
2017-05-04,111.43,111.910004,110.25,111.870003,1149700,111.870003
2017-05-03,113.370003,113.370003,111.480003,111.510002,986500,111.510002
2017-05-02,114.419998,114.50,112.400002,112.769997,1129900,112.769997
2017-05-01,115.199997,115.349998,113.709999,114.260002,1286400,114.260002
2017-04-28,113.00,115.470001,112.75,114.839996,1889300,114.839996
2017-04-27,111.220001,113.550003,111.220001,113.290001,1103400,113.290001
2017-04-26,111.900002,111.940002,111.099998,111.220001,787700,111.220001
2017-04-25,112.199997,112.629997,111.900002,112.089996,628900,112.089996
2017-04-24,113.269997,113.68,111.260002,111.949997,1415300,111.949997
2017-04-21,113.169998,113.720001,112.720001,112.879997,808500,112.879997
2017-04-20,113.029999,113.580002,112.620003,113.279999,1055100,113.279999
2017-04-19,112.00,113.139999,111.639999,113.019997,1154200,113.019997
2017-04-18,111.110001,112.330002,110.910004,112.00,1421500,112.00
2017-04-17,109.949997,111.25,109.559998,111.239998,688200,111.239998
2017-04-13,109.919998,110.110001,109.360001,109.610001,576200,109.610001
2017-04-12,109.440002,110.00,109.019997,109.919998,797400,109.919998
2017-04-11,109.389999,109.800003,108.669998,109.419998,627100,109.419998
2017-04-10,108.660004,109.550003,108.400002,109.300003,953500,109.300003
2017-04-07,108.129997,109.410004,107.800003,108.699997,887000,108.699997
2017-04-06,106.970001,108.32,106.339996,108.230003,933700,108.230003
2017-04-05,105.790001,107.779999,105.57,106.879997,831600,106.879997
2017-04-04,106.199997,106.449997,105.550003,105.879997,695600,105.879997
2017-04-03,106.400002,106.620003,105.169998,106.190002,896100,106.190002
2017-03-31,105.129997,106.669998,105.029999,106.389999,1157200,106.389999
2017-03-30,105.010002,105.75,104.540001,105.440002,791600,105.440002
2017-03-29,103.459999,105.50,103.379997,105.370003,1140300,105.370003
2017-03-28,103.00,103.639999,102.220001,103.50,664600,103.50
2017-03-27,103.550003,103.940002,102.190002,102.800003,678300,102.800003
2017-03-24,105.110001,105.519997,103.669998,103.739998,1230600,103.739998
2017-03-23,104.610001,105.82,104.160004,104.900002,762900,104.900002
2017-03-22,104.099998,104.879997,103.449997,104.629997,970600,104.629997
2017-03-21,104.110001,105.00,103.349998,103.459999,885300,103.459999
2017-03-20,102.949997,104.379997,102.940002,103.730003,1261900,103.730003
2017-03-17,103.599998,104.279999,102.879997,102.889999,1790700,102.889999
2017-03-16,104.400002,104.849998,102.949997,103.410004,1157900,103.410004
2017-03-15,103.00,104.769997,103.00,104.510002,2187900,104.510002
2017-03-14,103.150002,103.160004,102.110001,102.400002,862300,102.400002
2017-03-13,103.330002,103.489998,101.849998,103.160004,1121500,103.160004
2017-03-10,103.980003,105.879997,103.389999,103.900002,870900,102.970004
2017-03-09,104.309998,104.949997,103.239998,103.980003,1428000,103.04929
2017-03-08,107.209999,107.209999,104.290001,104.379997,1769900,103.445703
2017-03-07,107.25,108.220001,106.849998,107.480003,642100,106.517962
2017-03-06,108.00,108.160004,106.940002,107.699997,666800,106.735986
2017-03-03,107.18,108.540001,106.660004,108.330002,794400,107.360352
2017-03-02,108.040001,108.629997,106.440002,107.360001,908300,106.399033
2017-03-01,107.43,108.550003,106.269997,108.040001,1229500,107.072947
2017-02-28,107.629997,108.43,106.870003,108.00,1348600,107.033304
2017-02-27,108.029999,108.440002,107.459999,107.610001,671000,106.646795
2017-02-24,105.970001,108.410004,105.550003,107.830002,1403700,106.864827
2017-02-23,104.099998,106.07,103.540001,105.830002,1299500,104.882729
2017-02-22,104.610001,105.800003,103.230003,103.699997,1317300,102.77179
2017-02-21,104.150002,104.970001,103.879997,104.720001,1520200,103.782664
2017-02-17,105.07,106.00,101.699997,104.150002,2336800,103.217766
2017-02-16,104.739998,105.589996,102.82,103.139999,2274200,102.216805
2017-02-15,104.860001,104.860001,103.440002,104.43,2573500,103.495259
2017-02-14,107.199997,107.199997,105.00,105.300003,1837500,104.357474
2017-02-13,107.650002,107.970001,107.00,107.239998,1115900,106.280105
2017-02-10,107.720001,108.080002,106.18,107.199997,1801600,106.240462
2017-02-09,107.75,108.18,106.660004,107.769997,712800,106.805359
2017-02-08,107.269997,108.540001,106.629997,107.75,868100,106.785542
2017-02-07,107.010002,107.809998,106.580002,107.139999,663200,106.181001
2017-02-06,107.370003,107.610001,105.540001,106.889999,1446500,105.933239
2017-02-03,107.720001,109.00,107.389999,107.75,964100,106.785542
2017-02-02,106.699997,107.50,106.220001,106.870003,955700,105.913421
2017-02-01,107.470001,107.760002,106.220001,106.400002,1019900,105.447627
2017-01-31,106.589996,108.07,106.589996,107.629997,1303900,106.666613
2017-01-30,106.540001,106.540001,105.760002,106.419998,774000,105.467445
2017-01-27,107.760002,107.800003,105.93,106.43,849100,105.477357
2017-01-26,107.589996,108.349998,107.00,107.57,1296000,106.607153
2017-01-25,107.300003,108.00,106.50,107.389999,1302400,106.428763
2017-01-24,106.089996,107.720001,105.769997,107.349998,1175600,106.389121
2017-01-23,105.699997,106.389999,105.519997,106.050003,990300,105.100761
2017-01-20,105.099998,106.400002,105.07,105.800003,1526800,104.852999
2017-01-19,103.779999,104.900002,103.099998,104.75,983100,103.812394
2017-01-18,102.940002,105.00,102.849998,104.629997,1854500,103.693466
