Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,78.620003,78.970001,78.480003,78.779999,1474200,78.779999
2017-05-11,78.839996,78.849998,77.690002,78.57,2605500,78.57
2017-05-10,79.589996,79.93,78.410004,79.040001,2263000,79.040001
2017-05-09,79.459999,79.970001,79.220001,79.529999,1312000,79.529999
2017-05-08,79.93,79.93,79.150002,79.599998,968000,79.599998
2017-05-05,80.00,80.099998,79.389999,79.699997,1353000,79.699997
2017-05-04,78.669998,79.849998,78.57,79.779999,1712300,79.779999
2017-05-03,79.029999,79.269997,78.730003,78.82,1144700,78.82
2017-05-02,80.43,80.550003,78.779999,79.110001,1497700,79.110001
2017-05-01,80.139999,80.139999,79.150002,79.239998,1540200,79.239998
2017-04-28,80.360001,80.699997,79.839996,79.970001,1597100,79.970001
2017-04-27,80.290001,80.959999,80.169998,80.349998,1707100,80.349998
2017-04-26,80.830002,80.940002,80.07,80.190002,1871300,80.190002
2017-04-25,80.620003,81.059998,80.410004,80.82,1375800,80.82
2017-04-24,80.519997,81.059998,80.00,80.940002,1517100,80.940002
2017-04-21,80.25,80.82,80.169998,80.599998,1592700,80.599998
2017-04-20,80.620003,80.620003,79.800003,80.309998,1035000,80.309998
2017-04-19,80.93,81.00,80.410004,80.620003,1284700,80.620003
2017-04-18,80.709999,81.190002,80.599998,80.870003,1459000,80.870003
2017-04-17,80.57,80.849998,80.370003,80.669998,1414300,80.669998
2017-04-13,80.550003,80.790001,80.059998,80.309998,1257500,80.309998
2017-04-12,79.669998,80.849998,79.519997,80.800003,1105100,80.800003
2017-04-11,80.010002,80.190002,79.610001,79.989998,1318100,79.989998
2017-04-10,80.230003,80.25,79.699997,80.080002,1288200,80.080002
2017-04-07,80.620003,80.860001,80.230003,80.25,2044400,80.25
2017-04-06,80.309998,80.800003,80.029999,80.459999,2141200,80.459999
2017-04-05,79.949997,80.68,79.620003,80.589996,1613600,80.589996
2017-04-04,79.860001,80.330002,79.620003,79.970001,1550500,79.970001
2017-04-03,79.620003,79.949997,78.849998,79.949997,2214700,79.949997
2017-03-31,79.43,80.07,79.43,79.610001,1217400,79.610001
2017-03-30,79.620003,79.760002,79.150002,79.489998,991600,79.489998
2017-03-29,80.150002,80.199997,79.550003,79.82,1669300,79.82
2017-03-28,80.309998,80.980003,80.010002,80.900002,1421300,80.356999
2017-03-27,80.980003,81.330002,80.160004,80.50,1334400,79.959682
2017-03-24,79.989998,80.989998,79.949997,80.709999,1266500,80.168272
2017-03-23,79.739998,80.540001,79.540001,80.190002,1971500,79.651766
2017-03-22,79.900002,80.529999,79.599998,79.860001,1867900,79.323979
2017-03-21,78.650002,79.809998,78.529999,79.559998,1786100,79.025989
2017-03-20,79.699997,79.860001,78.540001,78.800003,1691300,78.271096
2017-03-17,79.260002,79.910004,79.139999,79.599998,3897600,79.065722
2017-03-16,79.50,79.610001,78.900002,79.18,1610000,78.648543
2017-03-15,78.779999,80.040001,78.519997,79.809998,2573800,79.274311
2017-03-14,78.720001,78.720001,77.889999,78.419998,3502900,77.893642
2017-03-13,78.75,79.190002,78.599998,79.080002,1233400,78.549215
2017-03-10,78.510002,78.980003,78.199997,78.809998,1586900,78.281023
2017-03-09,78.150002,78.540001,77.93,78.00,1631300,77.476462
2017-03-08,78.760002,78.760002,77.949997,78.120003,1868900,77.59566
2017-03-07,79.300003,79.620003,79.129997,79.25,1820600,78.718072
2017-03-06,79.400002,79.610001,79.099998,79.349998,1567400,78.8174
2017-03-03,79.860001,79.989998,78.870003,79.489998,1821300,78.956459
2017-03-02,78.940002,80.610001,78.889999,79.919998,2041800,79.383574
2017-03-01,78.919998,79.980003,78.449997,79.379997,2710000,78.847197
2017-02-28,79.029999,79.940002,78.940002,79.739998,2506800,79.204781
2017-02-27,78.93,79.209999,78.480003,79.00,1530400,78.46975
2017-02-24,78.129997,78.940002,78.050003,78.870003,1926200,78.340626
2017-02-23,77.57,78.040001,77.389999,77.900002,1750900,77.377135
2017-02-22,77.50,77.639999,76.510002,77.190002,3380000,76.671902
2017-02-21,76.040001,77.349998,75.910004,77.220001,1852900,76.701699
2017-02-17,75.82,76.43,75.82,76.339996,1984400,75.827601
2017-02-16,75.129997,75.82,75.099998,75.790001,1254300,75.281297
2017-02-15,74.830002,75.099998,74.260002,74.980003,1890700,74.476736
2017-02-14,75.57,75.610001,74.839996,75.389999,1483300,74.88398
2017-02-13,75.199997,75.639999,74.980003,75.559998,1242100,75.052837
2017-02-10,74.239998,75.230003,74.110001,75.209999,1598300,74.705188
2017-02-09,74.830002,74.989998,74.32,74.760002,1849100,74.258212
2017-02-08,73.699997,75.089996,73.589996,74.830002,3261400,74.327741
2017-02-07,72.730003,73.120003,72.510002,73.050003,1801000,72.55969
2017-02-06,72.830002,73.160004,72.389999,72.75,1531800,72.261701
2017-02-03,72.00,72.739998,71.800003,72.540001,2098300,72.053111
2017-02-02,71.769997,72.650002,71.480003,72.610001,1931400,72.122641
2017-02-01,72.349998,72.580002,71.50,71.599998,1413200,71.119418
2017-01-31,72.059998,72.900002,71.730003,72.879997,2880900,72.390825
2017-01-30,72.290001,72.290001,71.349998,71.93,993200,71.447205
2017-01-27,72.330002,72.330002,71.790001,72.00,1047500,71.516735
2017-01-26,71.800003,72.269997,71.589996,71.959999,1061600,71.477002
2017-01-25,71.75,71.989998,71.550003,71.730003,862000,71.24855
2017-01-24,71.720001,72.110001,71.480003,72.00,1522500,71.516735
2017-01-23,72.080002,72.160004,71.629997,71.82,1037200,71.337942
2017-01-20,71.870003,72.309998,71.57,71.970001,921200,71.486937
2017-01-19,72.099998,72.550003,71.540001,71.720001,1219100,71.238615
2017-01-18,72.610001,72.949997,72.18,72.300003,1173500,71.814724
2017-01-17,72.389999,72.889999,72.290001,72.510002,1673400,72.023314
2017-01-13,72.239998,72.489998,71.610001,72.099998,979300,71.616062
2017-01-12,72.059998,72.489998,71.830002,72.379997,1176400,71.894181
2017-01-11,71.07,72.309998,71.07,72.129997,1505500,71.645859
2017-01-10,71.080002,71.330002,70.57,71.110001,1258200,70.632709
2017-01-09,71.910004,72.080002,70.93,71.019997,1251800,70.543309
2017-01-06,71.82,72.059998,71.559998,71.690002,2066200,71.208818
2017-01-05,72.480003,72.730003,71.730003,72.099998,2270100,71.616062
2017-01-04,71.940002,72.599998,71.779999,72.360001,1790700,71.874319
2017-01-03,71.760002,71.959999,71.07,71.75,1971400,71.268413
2016-12-30,72.349998,72.620003,71.779999,71.989998,1960400,71.5068
2016-12-29,71.379997,72.440002,71.220001,72.279999,1524400,71.794854
2016-12-28,71.50,71.690002,71.040001,71.150002,1778800,70.672441
2016-12-27,71.589996,72.080002,71.489998,71.940002,841400,70.917787
2016-12-23,72.160004,72.379997,71.790001,71.900002,791700,70.878355
2016-12-22,71.709999,72.309998,71.660004,72.129997,1172900,71.105083
2016-12-21,71.959999,72.480003,71.709999,71.739998,1633100,70.720625
2016-12-20,71.599998,72.290001,71.300003,72.110001,1597300,71.08537
2016-12-19,71.779999,72.019997,71.120003,71.610001,1516300,70.592475
2016-12-16,70.300003,71.779999,70.230003,71.720001,3499400,70.700912
2016-12-15,69.25,70.43,68.809998,70.190002,1453900,69.192654
2016-12-14,71.620003,71.839996,69.529999,69.589996,2185400,68.601173
2016-12-13,70.720001,71.25,70.599998,71.169998,2755800,70.158724
2016-12-12,69.660004,70.519997,69.459999,70.449997,2698100,69.448954
2016-12-09,69.589996,70.330002,69.230003,69.970001,3307500,68.975779
2016-12-08,69.089996,69.769997,68.760002,69.440002,1627800,68.453311
2016-12-07,69.059998,69.910004,69.059998,69.610001,2236500,68.620893
2016-12-06,69.889999,69.989998,68.82,68.849998,1873700,67.87169
2016-12-05,69.129997,69.75,68.010002,69.739998,2705400,68.749043
2016-12-02,69.00,69.860001,68.949997,69.400002,1434800,68.413878
2016-12-01,68.389999,68.599998,67.730003,68.559998,1565500,67.58581
2016-11-30,70.209999,70.389999,68.75,68.769997,2276800,67.792825
2016-11-29,71.019997,71.739998,70.849998,71.150002,1527600,70.139012
2016-11-28,69.959999,71.349998,69.959999,71.269997,1873400,70.257302
2016-11-25,69.260002,69.970001,69.209999,69.760002,813000,68.768763
2016-11-23,69.00,69.709999,68.57,68.989998,992900,68.0097
2016-11-22,69.309998,69.919998,69.00,69.730003,1551900,68.739191
2016-11-21,68.800003,69.389999,68.529999,69.279999,1431000,68.295581
2016-11-18,68.660004,69.040001,68.160004,68.449997,982200,67.477372
2016-11-17,68.639999,69.489998,68.639999,68.690002,1571200,67.713968
2016-11-16,69.57,69.730003,68.540001,68.839996,1027400,67.86183
2016-11-15,68.760002,69.800003,68.690002,69.440002,1398400,68.453311
2016-11-14,68.620003,68.720001,67.440002,68.339996,2471800,67.368935
2016-11-11,68.800003,69.650002,68.349998,68.849998,1512400,67.87169
2016-11-10,69.860001,69.860001,67.610001,68.760002,3689200,67.782973
2016-11-09,70.860001,71.010002,69.760002,70.169998,2204600,69.172934
2016-11-08,71.739998,72.629997,71.589996,72.260002,1362600,71.23324
