Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,57.900002,58.040001,57.240002,57.439999,2961200,57.439999
2017-05-11,58.650002,58.869999,58.009998,58.16,3219400,58.16
2017-05-10,58.560001,58.990002,58.360001,58.93,3713700,58.93
2017-05-09,58.50,58.93,58.34,58.849998,4542300,58.369997
2017-05-08,58.860001,59.02,58.439999,58.619999,2168000,58.141873
2017-05-05,58.450001,59.080002,58.32,58.939999,3669600,58.459263
2017-05-04,59.34,59.349998,57.740002,58.169998,4693900,57.695543
2017-05-03,58.939999,59.889999,58.799999,59.27,5053900,58.786573
2017-05-02,57.709999,59.200001,56.77,59.16,13249400,58.67747
2017-05-01,60.060001,60.52,59.849998,60.369999,3797100,59.8776
2017-04-28,60.810001,60.919998,60.029999,60.279999,3384600,59.788333
2017-04-27,61.389999,61.50,60.48,60.830002,3712700,60.33385
2017-04-26,61.220001,61.630001,61.02,61.220001,3140800,60.720669
2017-04-25,60.759998,61.509998,60.540001,61.220001,4565600,60.720669
2017-04-24,59.91,59.990002,59.43,59.860001,3541200,59.371761
2017-04-21,59.200001,59.299999,58.91,59.00,3316700,58.518775
2017-04-20,58.610001,59.439999,58.48,59.169998,3484400,58.687386
2017-04-19,58.799999,58.950001,57.959999,58.209999,2528400,57.735217
2017-04-18,57.990002,58.799999,57.889999,58.41,2904700,57.933587
2017-04-17,58.220001,58.459999,57.740002,58.400002,3621800,57.92367
2017-04-13,58.310001,58.669998,57.860001,57.869999,3469500,57.39799
2017-04-12,59.639999,59.73,58.209999,58.419998,3550900,57.943504
2017-04-11,59.470001,59.799999,59.080002,59.73,2685900,59.24282
2017-04-10,59.48,60.23,59.369999,59.619999,1968100,59.133717
2017-04-07,59.630001,59.720001,59.150002,59.360001,2162100,58.875839
2017-04-06,59.529999,59.950001,59.27,59.689999,3005200,59.203146
2017-04-05,60.130001,60.900002,59.380001,59.560001,3237000,59.074209
2017-04-04,59.650002,59.900002,59.349998,59.709999,1967400,59.222983
2017-04-03,59.799999,60.299999,59.16,59.82,4280500,59.332086
2017-03-31,59.450001,60.279999,59.450001,59.860001,3420100,59.371761
2017-03-30,59.450001,59.830002,59.349998,59.610001,2392600,59.1238
2017-03-29,59.169998,59.740002,59.07,59.549999,2447400,59.064288
2017-03-28,58.419998,59.68,58.240002,59.439999,2799000,58.955185
2017-03-27,58.029999,58.560001,57.450001,58.43,2587700,57.953424
2017-03-24,58.98,59.360001,58.380001,58.57,3160200,58.092282
2017-03-23,59.119999,59.43,58.82,58.990002,2569500,58.508858
2017-03-22,58.970001,59.18,58.599998,59.119999,3264300,58.637795
2017-03-21,60.139999,60.509998,58.849998,58.959999,4011700,58.4791
2017-03-20,60.560001,60.599998,59.950001,60.099998,2270100,59.609801
2017-03-17,60.439999,60.779999,59.91,60.599998,4896100,60.105723
2017-03-16,60.330002,60.59,60.16,60.23,3108400,59.738742
2017-03-15,59.209999,60.549999,59.209999,60.27,4197900,59.778417
2017-03-14,59.549999,59.549999,58.41,58.970001,3162600,58.489021
2017-03-13,59.599998,60.139999,59.419998,60.130001,4333400,59.639559
2017-03-10,59.59,59.93,59.279999,59.52,3478300,59.034534
2017-03-09,59.799999,59.970001,58.860001,59.279999,3580100,58.79649
2017-03-08,60.459999,60.490002,59.689999,59.790001,2809200,59.302332
2017-03-07,60.240002,60.560001,60.049999,60.220001,3749900,59.728825
2017-03-06,60.200001,60.509998,59.799999,60.330002,3278700,59.837929
2017-03-03,60.919998,60.919998,60.080002,60.369999,2335500,59.8776
2017-03-02,60.880001,61.080002,60.09,60.310001,3559000,59.818091
2017-03-01,60.75,61.389999,60.650002,60.880001,6216400,60.383442
2017-02-28,60.259998,60.509998,59.880001,60.099998,4204900,59.609801
2017-02-27,60.50,60.759998,60.119999,60.43,3501200,59.937112
2017-02-24,60.220001,60.509998,59.790001,60.48,7139500,59.986703
2017-02-23,61.77,61.970001,60.389999,60.610001,4824700,60.115644
2017-02-22,61.75,62.169998,61.720001,61.82,3411200,61.315774
2017-02-21,62.049999,62.209999,61.700001,62.169998,4569100,61.662917
2017-02-17,62.52,62.549999,61.700001,61.889999,5091100,61.385202
2017-02-16,63.580002,63.59,62.380001,62.900002,6228500,62.386967
2017-02-15,63.610001,63.869999,63.130001,63.73,5215600,63.210195
2017-02-14,63.689999,64.360001,63.549999,64.139999,3949000,63.140767
2017-02-13,63.459999,64.269997,63.450001,64.150002,4056800,63.150613
2017-02-10,62.689999,63.400002,62.689999,63.259998,4619000,62.274476
2017-02-09,62.59,63.48,62.459999,62.709999,3457300,61.733045
