Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,53.240002,53.400002,52.950001,53.060001,888500,53.060001
2017-05-11,53.00,53.360001,52.48,53.259998,1486200,53.259998
2017-05-10,53.25,53.349998,52.77,53.139999,1645200,53.139999
2017-05-09,53.77,53.82,53.18,53.369999,1559400,53.369999
2017-05-08,53.900002,54.380001,53.529999,53.68,1482500,53.68
2017-05-05,54.669998,54.68,54.279999,54.389999,772600,54.389999
2017-05-04,54.119999,54.689999,54.060001,54.470001,1336100,54.470001
2017-05-03,53.459999,54.09,53.450001,54.080002,1615600,54.080002
2017-05-02,55.529999,55.529999,53.98,54.040001,2276000,54.040001
2017-05-01,56.16,56.299999,55.82,55.990002,1484700,55.990002
2017-04-28,56.900002,57.18,55.98,56.09,1515700,56.09
2017-04-27,56.82,57.00,56.549999,56.759998,1603200,56.759998
2017-04-26,57.310001,57.459999,56.73,56.759998,1199500,56.759998
2017-04-25,57.509998,57.75,57.169998,57.299999,1001800,57.299999
2017-04-24,57.00,57.459999,56.619999,57.279999,1571000,57.279999
2017-04-21,56.330002,56.669998,55.880001,56.50,1798700,56.50
2017-04-20,55.889999,56.279999,55.599998,56.209999,1412200,56.209999
2017-04-19,55.93,56.220001,55.599998,55.740002,893900,55.740002
2017-04-18,55.669998,56.09,55.560001,55.869999,688400,55.869999
2017-04-17,55.560001,56.040001,55.119999,56.02,1258600,56.02
2017-04-13,55.630001,55.82,55.349998,55.349998,842200,55.349998
2017-04-12,55.959999,55.959999,55.52,55.700001,1322700,55.700001
2017-04-11,55.73,56.00,55.52,55.970001,839000,55.970001
2017-04-10,55.880001,56.560001,55.880001,56.169998,705000,56.169998
2017-04-07,56.380001,56.380001,55.73,55.77,781500,55.77
2017-04-06,56.299999,56.650002,56.060001,56.470001,911700,56.470001
2017-04-05,56.610001,56.900002,56.139999,56.400002,1634800,56.400002
2017-04-04,56.060001,56.610001,55.779999,56.57,1321900,56.57
2017-04-03,56.189999,56.689999,55.91,56.029999,830100,56.029999
2017-03-31,56.470001,56.720001,56.07,56.490002,710200,56.490002
2017-03-30,56.27,56.689999,56.220001,56.619999,474400,56.619999
2017-03-29,56.310001,56.490002,55.68,56.330002,541000,56.330002
2017-03-28,55.580002,56.700001,55.529999,56.439999,975100,56.439999
2017-03-27,55.32,55.860001,55.130001,55.630001,760000,55.630001
2017-03-24,56.02,56.330002,55.619999,55.82,768800,55.82
2017-03-23,55.880001,56.419998,55.490002,55.869999,929600,55.869999
2017-03-22,55.84,55.900002,55.419998,55.830002,1097200,55.830002
2017-03-21,56.32,56.490002,55.419998,55.580002,771300,55.580002
2017-03-20,56.439999,56.52,56.029999,56.25,631000,56.25
2017-03-17,56.060001,56.490002,55.73,56.400002,1232200,56.400002
2017-03-16,56.419998,56.490002,55.950001,56.099998,736200,56.099998
2017-03-15,56.580002,56.759998,56.049999,56.459999,913000,56.459999
2017-03-14,56.509998,56.779999,56.080002,56.259998,937900,56.259998
2017-03-13,56.57,56.919998,56.41,56.779999,1316000,56.779999
2017-03-10,55.959999,56.740002,55.959999,56.59,1135700,56.59
2017-03-09,55.880001,56.299999,55.610001,55.84,995100,55.84
2017-03-08,56.18,56.41,55.77,55.900002,802200,55.900002
2017-03-07,56.259998,56.529999,55.98,56.049999,781500,56.049999
2017-03-06,56.279999,56.599998,56.139999,56.41,768900,56.41
2017-03-03,56.830002,57.00,56.200001,56.50,815800,56.50
2017-03-02,57.110001,57.349998,56.77,56.779999,1518100,56.779999
2017-03-01,56.790001,57.349998,56.240002,57.279999,1246200,57.279999
2017-02-28,56.77,57.259998,56.299999,56.380001,1397800,56.380001
2017-02-27,56.650002,56.779999,56.16,56.75,682200,56.75
2017-02-24,55.869999,56.709999,55.790001,56.700001,1319300,56.700001
2017-02-23,56.630001,56.799999,55.950001,56.009998,1117700,56.009998
2017-02-22,55.889999,56.610001,55.330002,56.59,1941900,56.59
2017-02-21,56.400002,56.75,55.700001,56.130001,1526000,56.130001
2017-02-17,56.119999,56.50,55.759998,56.50,1546400,56.50
2017-02-16,56.099998,56.259998,55.080002,56.169998,1185100,56.169998
2017-02-15,55.209999,56.099998,54.759998,56.09,1231800,56.09
2017-02-14,54.810001,55.709999,54.810001,55.209999,1659900,55.209999
2017-02-13,54.869999,55.310001,54.77,55.09,1039900,55.09
2017-02-10,54.310001,54.790001,53.970001,54.73,841900,54.73
2017-02-09,53.509998,54.32,53.509998,54.09,760200,54.09
2017-02-08,53.23,53.669998,52.880001,53.540001,1129800,53.540001
2017-02-07,53.099998,53.330002,52.73,53.299999,980300,53.299999
2017-02-06,53.259998,53.529999,52.82,52.919998,624300,52.919998
2017-02-03,52.700001,53.360001,52.43,53.32,1042700,53.32
