Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,140.029999,140.830002,139.350006,139.809998,1087300,139.809998
2017-05-11,139.050003,139.889999,138.289993,139.860001,1320300,139.860001
2017-05-10,138.50,139.860001,137.809998,139.830002,1406600,139.830002
2017-05-09,139.539993,140.339996,139.25,139.399994,1734600,139.399994
2017-05-08,140.399994,140.949997,138.660004,139.570007,1747900,139.570007
2017-05-05,140.949997,141.410004,138.330002,140.380005,2498300,140.380005
2017-05-04,139.380005,141.320007,138.479996,141.100006,2706300,141.100006
2017-05-03,139.50,139.690002,137.779999,139.130005,2566600,139.130005
2017-05-02,136.600006,139.199997,136.240005,138.990005,2476000,138.990005
2017-05-01,134.00,136.899994,133.869995,136.600006,1999400,136.600006
2017-04-28,133.860001,135.490005,131.850006,133.720001,4428800,133.720001
2017-04-27,136.080002,137.00,135.300003,136.199997,2483300,136.199997
2017-04-26,135.240005,135.979996,134.259995,135.75,1826900,135.75
2017-04-25,134.830002,136.270004,134.509995,135.429993,1908100,135.429993
2017-04-24,133.020004,134.869995,133.020004,134.139999,2207200,134.139999
2017-04-21,132.039993,132.369995,131.479996,131.979996,1531800,131.979996
2017-04-20,131.570007,132.759995,130.720001,131.929993,1318900,131.929993
2017-04-19,131.00,132.190002,130.759995,130.949997,1136500,130.949997
2017-04-18,129.990005,131.00,129.039993,130.470001,1228300,130.470001
2017-04-17,128.630005,130.389999,128.350006,130.339996,1686600,130.339996
2017-04-13,129.270004,129.589996,128.110001,128.130005,1648300,128.130005
2017-04-12,129.470001,129.880005,128.869995,129.279999,2300600,129.279999
2017-04-11,128.820007,129.160004,127.660004,129.119995,2698500,129.119995
2017-04-10,127.18,128.720001,126.849998,128.460007,1732500,128.460007
2017-04-07,125.949997,127.25,125.349998,126.489998,1796800,126.489998
2017-04-06,125.639999,125.730003,124.330002,125.669998,1941500,125.669998
2017-04-05,125.199997,126.480003,124.449997,124.970001,3315400,124.970001
2017-04-04,125.82,126.089996,124.699997,125.019997,1747700,125.019997
2017-04-03,126.339996,126.690002,124.339996,126.139999,1758200,126.139999
2017-03-31,127.440002,127.669998,125.57,126.169998,4131000,126.169998
2017-03-30,129.440002,129.820007,128.830002,129.460007,895100,129.460007
2017-03-29,129.259995,130.160004,128.639999,129.660004,1129800,129.660004
2017-03-28,127.620003,129.699997,127.540001,129.029999,1236700,129.029999
2017-03-27,127.110001,128.679993,126.25,127.800003,1254900,127.800003
2017-03-24,127.410004,128.539993,126.459999,127.760002,1308500,127.760002
2017-03-23,127.400002,127.970001,126.779999,127.040001,1028300,127.040001
2017-03-22,126.779999,127.779999,126.290001,127.68,1866300,127.68
2017-03-21,130.100006,130.339996,126.75,127.599998,2547800,127.599998
2017-03-20,130.649994,131.429993,129.149994,129.869995,1456400,129.869995
2017-03-17,131.789993,132.169998,130.630005,131.199997,2018500,131.199997
2017-03-16,129.949997,131.119995,129.919998,130.729996,2278500,130.729996
2017-03-15,128.00,130.210007,127.779999,129.479996,2788700,129.479996
2017-03-14,127.010002,127.739998,126.419998,127.660004,1074700,127.660004
2017-03-13,125.470001,127.910004,125.199997,127.349998,1695700,127.349998
2017-03-10,125.459999,125.870003,124.940002,125.760002,1392600,125.760002
2017-03-09,124.480003,126.470001,124.019997,124.709999,2198700,124.709999
2017-03-08,122.32,124.830002,122.080002,124.529999,2167000,124.529999
2017-03-07,120.720001,122.730003,120.650002,122.389999,1305200,122.389999
2017-03-06,119.660004,122.449997,119.220001,121.489998,2243800,121.209996
2017-03-03,119.870003,120.459999,119.410004,120.120003,1699800,119.843158
2017-03-02,120.220001,120.480003,118.559998,118.919998,1133200,118.645919
2017-03-01,119.809998,120.690002,117.949997,120.449997,1885600,120.172392
2017-02-28,119.00,119.970001,118.50,119.040001,1795500,118.765646
2017-02-27,118.68,119.360001,118.339996,118.690002,1033400,118.416454
2017-02-24,119.339996,119.639999,118.410004,119.160004,1031100,118.885372
2017-02-23,121.110001,121.110001,119.379997,119.629997,1215400,119.354282
2017-02-22,119.220001,120.830002,118.970001,120.559998,1419000,120.282139
2017-02-21,118.82,119.93,118.379997,119.400002,1955800,119.124816
2017-02-17,119.360001,119.760002,118.550003,119.410004,1685000,119.134796
2017-02-16,120.75,121.419998,119.650002,119.849998,2008200,119.573776
2017-02-15,119.540001,121.900002,119.360001,120.879997,2251400,120.601401
2017-02-14,119.169998,120.099998,118.82,119.669998,2929800,119.394191
2017-02-13,123.059998,123.059998,119.220001,119.50,3833300,119.224584
2017-02-10,125.010002,126.410004,120.629997,122.650002,6466900,122.367326
2017-02-09,123.150002,123.940002,121.699997,123.25,3165200,122.965942
2017-02-08,122.00,123.080002,121.139999,122.839996,1705900,122.556883
2017-02-07,122.50,123.080002,121.75,122.339996,1949100,122.058035
2017-02-06,121.120003,122.059998,120.50,122.050003,1346800,121.76871
2017-02-03,120.709999,121.620003,120.489998,121.529999,1245200,121.249905
2017-02-02,120.449997,121.230003,120.019997,120.589996,1260800,120.312069
2017-02-01,121.779999,121.949997,120.279999,120.769997,1128600,120.491654
2017-01-31,121.459999,121.650002,120.040001,121.589996,1130300,121.309764
2017-01-30,121.400002,121.800003,119.610001,121.529999,1621600,121.249905
2017-01-27,121.410004,122.080002,120.919998,122.00,945500,121.718823
2017-01-26,121.330002,121.730003,120.57,121.230003,1110400,120.950601
2017-01-25,120.970001,121.43,120.400002,120.860001,1058100,120.581451
2017-01-24,120.370003,120.559998,119.269997,120.220001,1454400,119.942926
2017-01-23,120.00,120.699997,118.980003,119.989998,1369200,119.713453
2017-01-20,119.75,120.290001,118.68,119.919998,1485700,119.643615
2017-01-19,119.720001,119.830002,118.410004,118.839996,991500,118.566102
2017-01-18,118.949997,119.510002,117.910004,119.339996,998500,119.06495
2017-01-17,119.290001,120.419998,118.25,118.580002,1320000,118.306707
2017-01-13,118.010002,120.440002,117.809998,118.809998,2413900,118.536172
2017-01-12,117.010002,118.120003,116.410004,118.010002,1353200,117.738021
2017-01-11,118.169998,118.199997,116.25,117.199997,1545600,116.929882
2017-01-10,115.900002,118.25,115.699997,117.620003,2656500,117.34892
2017-01-09,117.889999,118.00,116.139999,117.300003,3212400,117.029658
2017-01-06,116.419998,117.879997,116.129997,116.449997,3362400,116.181611
2017-01-05,113.739998,114.839996,112.900002,114.690002,2167600,114.425673
2017-01-04,112.970001,114.519997,112.699997,113.739998,2892300,113.477858
2017-01-03,114.040001,114.139999,111.879997,112.440002,2244800,112.180858
2016-12-30,113.839996,114.239998,112.720001,113.279999,2082700,113.018919
2016-12-29,113.220001,114.209999,113.00,113.970001,1116600,113.707331
2016-12-28,114.230003,114.769997,112.629997,113.470001,1062500,113.208483
2016-12-27,114.349998,114.980003,113.580002,113.629997,926300,113.36811
2016-12-23,114.300003,114.809998,113.50,113.860001,869400,113.597584
2016-12-22,114.900002,115.169998,113.730003,114.400002,1746800,114.13634
2016-12-21,116.959999,117.169998,114.389999,114.860001,2910300,114.595279
2016-12-20,115.300003,118.309998,115.300003,117.089996,4482200,116.820135
2016-12-19,116.540001,117.760002,115.809998,116.220001,1957600,115.952145
2016-12-16,117.790001,118.900002,115.660004,116.660004,2854500,116.391134
2016-12-15,116.660004,118.839996,115.089996,116.959999,2985000,116.690438
2016-12-14,120.209999,120.559998,115.550003,116.389999,4254300,116.121752
2016-12-13,120.129997,121.690002,118.919998,120.029999,3169500,119.753362
2016-12-12,123.769997,124.040001,119.339996,120.25,2170800,119.972856
2016-12-09,123.239998,124.720001,123.019997,124.059998,1556700,123.774072
2016-12-08,124.220001,124.32,122.970001,123.00,2163200,122.716518
2016-12-07,124.040001,124.300003,123.360001,123.550003,1753300,123.265253
2016-12-06,124.040001,124.400002,123.660004,123.769997,1404700,123.48474
2016-12-05,121.269997,124.510002,121.050003,123.690002,2633200,123.40493
2016-12-02,122.400002,122.629997,120.519997,121.00,1467800,120.721127
2016-12-01,123.949997,124.309998,121.75,122.010002,1931100,121.728802
2016-11-30,125.82,125.870003,123.889999,124.050003,1622100,123.764101
2016-11-29,126.230003,126.730003,124.779999,125.099998,983600,124.811676
2016-11-28,126.989998,127.25,125.690002,125.919998,1037100,125.629786
2016-11-25,125.730003,127.379997,125.730003,127.279999,425600,126.986652
2016-11-23,127.50,127.870003,125.540001,126.370003,1899700,126.078754
2016-11-22,126.540001,127.839996,126.160004,127.57,1390900,127.275985
2016-11-21,125.739998,126.870003,125.739998,126.459999,1551600,126.168543
2016-11-18,126.57,126.639999,125.50,125.669998,1369500,125.380362
2016-11-17,125.400002,127.120003,125.150002,126.580002,2114700,126.288269
2016-11-16,122.970001,125.50,122.919998,125.199997,1564000,124.911444
2016-11-15,122.019997,124.760002,121.239998,123.540001,2385100,123.255274
2016-11-14,121.370003,121.730003,117.349998,119.160004,3185800,118.625975
2016-11-11,123.50,123.769997,120.32,121.199997,3141800,120.656825
2016-11-10,125.650002,127.160004,121.639999,123.629997,2352100,123.075935
2016-11-09,123.980003,125.739998,123.580002,124.75,2162000,124.190919
2016-11-08,126.900002,127.610001,125.830002,127.010002,2345100,126.440792
2016-11-07,126.790001,127.470001,125.68,126.489998,2319500,125.923119
2016-11-04,124.639999,126.199997,123.699997,125.209999,1587400,124.648856
2016-11-03,123.519997,126.239998,123.019997,125.290001,2793300,124.7285
2016-11-02,126.00,126.00,122.959999,123.00,2810100,122.448762
2016-11-01,129.789993,130.350006,124.489998,125.989998,3124300,125.425359
2016-10-31,131.570007,131.809998,128.839996,129.229996,2596100,128.650837
2016-10-28,128.850006,133.550003,128.240005,131.639999,6837200,131.05004
2016-10-27,125.980003,126.879997,124.889999,126.419998,4204700,125.853433
2016-10-26,127.760002,127.769997,125.349998,125.540001,2168500,124.977379
2016-10-25,127.50,128.75,127.269997,127.989998,1918000,127.416396
2016-10-24,128.110001,129.169998,127.040001,127.690002,2583400,127.117745
2016-10-21,124.57,127.669998,124.099998,127.580002,2171200,127.008238
2016-10-20,126.82,128.029999,123.879997,124.660004,3925900,124.101326
2016-10-19,123.57,125.050003,122.870003,124.690002,2752400,124.13119
2016-10-18,122.860001,124.230003,122.150002,122.830002,3866100,122.279525
2016-10-17,121.089996,122.00,119.940002,121.779999,2256200,121.234228
2016-10-14,118.769997,121.25,118.760002,120.800003,2235400,120.258624
2016-10-13,117.43,119.349998,116.580002,118.690002,1109800,118.15808
2016-10-12,118.599998,119.419998,117.949997,118.790001,2243400,118.25763
2016-10-11,118.160004,118.660004,116.849998,117.720001,1873500,117.192426
2016-10-10,118.339996,119.50,117.910004,118.769997,1085800,118.237715
2016-10-07,118.779999,118.779999,117.389999,117.769997,1174100,117.242197
2016-10-06,119.040001,119.050003,117.449997,118.529999,1203200,117.998793
2016-10-05,119.300003,119.50,118.480003,119.139999,1377800,118.60606
2016-10-04,118.050003,119.120003,117.199997,119.120003,2010100,118.586153
2016-10-03,116.379997,117.400002,115.699997,117.019997,1542800,116.495558
2016-09-30,118.629997,118.769997,116.580002,116.720001,2292000,116.196907
2016-09-29,115.989998,119.150002,115.559998,118.400002,5575000,117.869378
2016-09-28,113.519997,116.080002,112.639999,115.989998,3446000,115.470176
2016-09-27,109.25,113.290001,109.25,113.099998,2604700,112.593128
2016-09-26,109.339996,109.589996,108.50,109.089996,1044200,108.601097
2016-09-23,108.970001,110.269997,108.540001,109.910004,1674800,109.417429
2016-09-22,109.00,109.050003,108.349998,108.790001,1453800,108.302446
2016-09-21,107.959999,108.199997,107.099998,108.019997,2003000,107.535893
2016-09-20,106.989998,107.82,105.620003,107.650002,2680600,107.167556
2016-09-19,108.559998,108.790001,105.739998,106.120003,4241900,105.644414
2016-09-16,110.699997,111.00,106.860001,107.830002,6638900,107.346749
2016-09-15,110.940002,112.199997,110.150002,111.900002,2163500,111.398509
2016-09-14,111.980003,112.669998,111.029999,111.309998,871300,110.811149
2016-09-13,112.50,113.07,111.120003,111.559998,1156400,111.060029
2016-09-12,109.800003,113.949997,109.800003,113.57,2098000,113.061023
2016-09-09,113.040001,113.370003,111.050003,111.099998,1696700,110.602091
2016-09-08,113.080002,114.279999,112.349998,114.07,1164600,113.558782
2016-09-07,113.550003,114.389999,113.470001,113.650002,1577600,113.140666
2016-09-06,112.099998,114.699997,112.019997,113.910004,2165300,113.399503
2016-09-02,114.00,114.389999,111.870003,112.050003,1744200,111.547838
2016-09-01,109.860001,113.25,109.160004,113.129997,3199900,112.622992
2016-08-31,108.720001,109.779999,108.260002,109.120003,1915300,108.630969
2016-08-30,110.139999,110.32,108.699997,109.089996,1598800,108.601097
2016-08-29,111.699997,111.739998,109.790001,109.800003,1694000,109.307922
2016-08-26,112.610001,113.760002,110.480003,111.360001,2270200,110.860928
2016-08-25,111.389999,112.580002,111.339996,112.25,1320000,111.746939
2016-08-24,113.599998,114.120003,111.889999,111.889999,1519200,111.388552
2016-08-23,114.00,114.809998,113.580002,113.599998,1585700,113.090887
2016-08-22,114.769997,115.160004,113.949997,113.989998,1341100,113.220302
2016-08-19,114.980003,115.290001,114.709999,115.00,1102800,114.223484
2016-08-18,115.639999,115.989998,115.010002,115.440002,990700,114.660516
2016-08-17,116.07,116.620003,115.160004,115.419998,1342500,114.640646
2016-08-16,116.900002,117.699997,116.00,116.279999,1108700,115.49484
2016-08-15,116.589996,117.989998,116.57,116.900002,1749600,116.110656
2016-08-12,114.519997,116.339996,114.300003,116.080002,1684900,115.296193
2016-08-11,114.839996,115.739998,114.199997,114.800003,1298300,114.024838
2016-08-10,114.470001,114.779999,113.779999,114.379997,1059300,113.607668
2016-08-09,114.080002,114.959999,113.400002,113.779999,1251800,113.011721
2016-08-08,113.370003,114.199997,112.32,114.089996,1460800,113.319625
2016-08-05,114.389999,115.50,113.120003,113.230003,2141000,112.465439
