Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,72.690002,72.800003,72.269997,72.419998,1131800,72.419998
2017-05-11,73.00,73.07,72.440002,72.510002,1939400,72.510002
2017-05-10,73.160004,74.160004,72.970001,73.150002,661800,73.150002
2017-05-09,73.199997,73.709999,72.660004,73.139999,790600,73.139999
2017-05-08,73.629997,73.690002,72.650002,73.209999,627500,73.209999
2017-05-05,73.410004,74.00,72.989998,73.389999,638400,73.389999
2017-05-04,72.699997,73.400002,71.440002,73.309998,955400,73.309998
2017-05-03,73.800003,74.019997,72.559998,72.830002,964100,72.830002
2017-05-02,75.489998,75.610001,73.260002,73.540001,1689700,73.540001
2017-05-01,75.720001,75.839996,74.82,75.43,1095300,75.43
2017-04-28,75.639999,76.089996,74.510002,75.529999,1310200,75.529999
2017-04-27,78.970001,79.75,75.739998,76.050003,1366400,76.050003
2017-04-26,78.650002,79.190002,78.129997,78.970001,1198300,78.970001
2017-04-25,79.129997,79.440002,78.220001,78.580002,1171900,78.580002
2017-04-24,80.519997,81.00,78.419998,78.940002,1904700,78.940002
2017-04-21,80.550003,81.190002,80.239998,80.470001,1140100,80.470001
2017-04-20,80.690002,80.690002,80.059998,80.620003,876000,80.620003
2017-04-19,80.870003,81.209999,80.290001,80.470001,455000,80.470001
2017-04-18,80.00,81.029999,79.980003,80.800003,586400,80.800003
2017-04-17,78.470001,80.449997,78.349998,80.43,1129000,80.43
2017-04-13,78.040001,78.239998,77.510002,78.099998,824700,78.099998
2017-04-12,78.389999,78.709999,77.519997,77.93,1377500,77.93
2017-04-11,78.779999,79.489998,78.510002,78.68,554600,78.68
2017-04-10,78.080002,78.839996,77.739998,78.779999,768600,78.779999
2017-04-07,77.739998,78.139999,77.330002,78.07,834100,78.07
2017-04-06,77.339996,78.00,76.940002,77.690002,686200,77.690002
2017-04-05,76.150002,77.470001,75.989998,77.379997,997600,77.379997
2017-04-04,75.449997,76.650002,75.290001,76.139999,1109800,76.139999
2017-04-03,75.010002,76.029999,74.550003,75.540001,1379400,75.540001
2017-03-31,73.760002,74.800003,73.699997,74.389999,1176000,74.389999
2017-03-30,73.690002,74.07,72.879997,74.00,581000,74.00
2017-03-29,74.540001,74.540001,73.410004,74.059998,826500,74.059998
2017-03-28,74.57,74.809998,73.650002,74.760002,575200,74.760002
2017-03-27,75.230003,75.279999,74.050003,74.459999,707400,74.459999
2017-03-24,75.790001,75.900002,74.800003,75.040001,573200,75.040001
2017-03-23,75.529999,76.199997,75.019997,75.50,1040200,75.50
2017-03-22,75.709999,75.75,74.540001,75.470001,809500,75.470001
2017-03-21,75.57,75.980003,74.910004,75.309998,829800,75.309998
2017-03-20,75.449997,75.690002,74.849998,75.370003,585300,75.370003
2017-03-17,74.919998,75.919998,74.589996,75.360001,1020700,75.360001
2017-03-16,75.510002,75.919998,74.629997,74.68,758200,74.68
2017-03-15,74.199997,75.860001,73.739998,75.50,986700,75.50
2017-03-14,73.300003,74.150002,72.860001,74.129997,1177700,74.129997
2017-03-13,74.07,74.559998,72.93,73.25,1706900,73.25
2017-03-10,76.230003,77.129997,74.57,74.739998,1308000,73.959998
2017-03-09,78.699997,78.980003,76.199997,76.230003,1169900,75.434454
2017-03-08,78.82,79.400002,78.150002,78.620003,1051900,77.79951
2017-03-07,79.239998,79.480003,78.650002,78.989998,1026600,78.165644
2017-03-06,78.68,79.650002,78.230003,79.459999,856300,78.63074
2017-03-03,78.949997,79.290001,78.230003,79.080002,652600,78.254709
2017-03-02,79.599998,80.360001,79.050003,79.419998,546100,78.591157
2017-03-01,78.940002,80.07,78.449997,79.82,644600,78.986984
2017-02-28,79.660004,80.18,79.07,79.190002,806800,78.363562
2017-02-27,79.660004,80.099998,79.290001,79.510002,466600,78.680222
2017-02-24,79.190002,79.809998,78.489998,79.489998,661200,78.660426
2017-02-23,78.419998,79.169998,76.93,79.139999,936500,78.31408
2017-02-22,78.629997,80.25,77.800003,77.919998,1816900,77.106811
2017-02-21,77.139999,78.660004,76.32,78.370003,1287300,77.55212
2017-02-17,75.010002,77.309998,74.910004,77.25,1486800,76.443805
2017-02-16,74.349998,75.330002,73.760002,74.870003,1168900,74.088646
2017-02-15,72.709999,73.709999,71.860001,73.540001,731600,72.772524
2017-02-14,74.849998,74.849998,72.910004,73.50,642600,72.732941
2017-02-13,75.25,75.559998,74.489998,74.849998,616300,74.068851
2017-02-10,74.360001,75.120003,74.18,75.00,415900,74.217287
2017-02-09,74.260002,74.720001,73.739998,74.510002,323600,73.732403
2017-02-08,73.75,75.089996,73.629997,74.190002,872200,73.415742
2017-02-07,73.18,74.220001,73.18,73.720001,674700,72.950646
2017-02-06,73.050003,73.489998,72.120003,73.209999,551500,72.445967
2017-02-03,73.120003,73.269997,72.269997,73.010002,706300,72.248057
2017-02-02,71.620003,72.870003,71.620003,72.459999,714900,71.703794
2017-02-01,71.720001,72.230003,71.470001,71.639999,801000,70.892352
2017-01-31,72.260002,73.080002,71.830002,72.050003,764200,71.298076
2017-01-30,73.370003,73.57,72.129997,72.300003,826700,71.545467
2017-01-27,74.150002,74.449997,73.099998,73.199997,809600,72.436069
2017-01-26,73.839996,74.440002,73.029999,73.980003,943600,73.207935
