Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,119.639999,119.910004,119.190002,119.779999,520400,119.779999
2017-05-11,118.970001,119.900002,118.099998,119.860001,608500,119.860001
2017-05-10,119.419998,119.889999,119.089996,119.25,603600,119.25
2017-05-09,120.00,120.199997,119.389999,119.730003,939600,119.730003
2017-05-08,119.980003,120.18,119.410004,119.839996,619200,119.839996
2017-05-05,120.339996,120.410004,119.260002,120.00,631300,120.00
2017-05-04,118.629997,121.18,117.75,120.25,1085200,120.25
2017-05-03,118.629997,118.639999,117.330002,118.459999,1131100,118.459999
2017-05-02,119.440002,119.440002,118.290001,118.639999,934200,118.639999
2017-05-01,119.50,119.629997,118.830002,119.089996,636700,119.089996
2017-04-28,120.120003,120.120003,118.370003,119.139999,823700,119.139999
2017-04-27,120.849998,122.910004,119.550003,119.889999,1324700,119.889999
2017-04-26,119.449997,120.440002,119.169998,119.989998,1076300,119.989998
2017-04-25,119.970001,120.089996,119.239998,119.620003,865400,119.620003
2017-04-24,119.589996,120.00,118.910004,119.440002,962800,119.440002
2017-04-21,117.699997,118.57,117.400002,118.400002,894000,118.400002
2017-04-20,117.089996,117.989998,116.57,117.790001,598900,117.790001
2017-04-19,116.440002,117.050003,116.00,116.550003,614600,116.550003
2017-04-18,116.160004,116.610001,116.029999,116.349998,478600,116.349998
2017-04-17,115.709999,116.489998,115.709999,116.449997,632100,116.449997
2017-04-13,115.989998,116.580002,115.169998,115.190002,664300,115.190002
2017-04-12,115.529999,116.129997,115.470001,115.790001,647000,115.790001
2017-04-11,115.699997,116.260002,115.120003,116.260002,563000,116.260002
2017-04-10,115.449997,116.540001,115.290001,115.93,763000,115.93
2017-04-07,115.889999,116.139999,115.360001,115.82,732400,115.82
2017-04-06,115.300003,115.989998,115.150002,115.660004,503300,115.660004
2017-04-05,115.68,116.970001,115.360001,115.57,715000,115.57
2017-04-04,115.360001,116.099998,115.010002,115.379997,779500,115.379997
2017-04-03,115.50,116.010002,114.949997,115.639999,1134400,115.639999
2017-03-31,115.519997,116.019997,115.290001,115.309998,824600,115.309998
2017-03-30,115.510002,116.470001,115.510002,115.93,465300,115.93
2017-03-29,115.589996,116.089996,115.129997,115.910004,611800,115.910004
2017-03-28,115.379997,116.25,114.82,115.790001,1042000,115.790001
2017-03-27,115.230003,115.860001,114.82,115.489998,800400,115.489998
2017-03-24,116.099998,116.540001,115.489998,115.940002,704400,115.940002
2017-03-23,115.739998,116.519997,115.059998,115.849998,839800,115.849998
2017-03-22,113.290001,116.449997,113.290001,115.879997,1362500,115.879997
2017-03-21,117.120003,117.309998,115.519997,116.160004,1374200,116.160004
2017-03-20,117.910004,117.949997,116.32,116.699997,779400,116.699997
2017-03-17,117.779999,118.209999,117.169998,117.790001,1680300,117.790001
2017-03-16,117.760002,117.93,116.709999,117.260002,713200,117.260002
2017-03-15,118.059998,118.059998,116.800003,117.650002,869200,117.650002
2017-03-14,117.860001,118.110001,116.93,117.370003,569300,117.370003
2017-03-13,117.199997,117.940002,117.07,117.889999,630100,117.889999
2017-03-10,118.209999,118.300003,116.860001,117.279999,976500,117.279999
2017-03-09,117.669998,118.029999,116.879997,117.449997,1058200,117.449997
2017-03-08,117.239998,117.980003,116.68,117.449997,1030700,117.449997
2017-03-07,117.190002,117.449997,116.699997,116.949997,613000,116.949997
2017-03-06,116.82,117.410004,116.510002,117.019997,633800,117.019997
2017-03-03,116.459999,117.540001,116.110001,117.50,639700,117.50
2017-03-02,116.75,117.230003,116.080002,116.639999,634900,116.639999
