Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,75.360001,75.50,74.110001,74.879997,1625800,74.879997
2017-05-11,76.50,76.800003,74.730003,75.809998,1324700,75.809998
2017-05-10,76.650002,77.709999,76.440002,77.349998,1731000,77.349998
2017-05-09,76.769997,77.169998,76.529999,76.669998,910600,76.669998
2017-05-08,76.870003,76.870003,76.050003,76.529999,718100,76.529999
2017-05-05,76.480003,76.959999,75.839996,76.760002,820800,76.760002
2017-05-04,76.870003,77.040001,75.769997,76.129997,1142100,76.129997
2017-05-03,76.830002,77.169998,76.43,76.830002,830300,76.830002
2017-05-02,76.290001,76.75,75.889999,76.730003,1005200,76.730003
2017-05-01,77.309998,77.400002,76.449997,76.459999,1037600,76.459999
2017-04-28,76.769997,77.860001,76.199997,77.339996,1906100,77.339996
2017-04-27,77.400002,77.400002,76.540001,76.690002,1303500,76.690002
2017-04-26,77.080002,77.620003,76.559998,76.919998,1379300,76.919998
2017-04-25,76.800003,77.120003,76.25,76.599998,1253400,76.599998
2017-04-24,76.709999,76.900002,75.889999,76.419998,1518400,76.419998
2017-04-21,76.300003,76.349998,75.529999,75.839996,3012300,75.839996
2017-04-20,74.50,77.00,74.370003,76.550003,6483900,76.550003
2017-04-19,72.669998,73.110001,72.18,72.650002,1309600,72.650002
2017-04-18,72.470001,72.919998,71.889999,72.589996,1489400,72.589996
2017-04-17,72.07,72.610001,71.610001,72.529999,1327100,72.529999
2017-04-13,72.589996,72.900002,72.010002,72.089996,1467700,72.089996
2017-04-12,73.040001,73.150002,72.010002,72.599998,2211500,72.599998
2017-04-11,72.18,72.529999,71.629997,72.480003,1669600,72.480003
2017-04-10,72.440002,73.650002,72.410004,72.559998,1849200,72.249996
2017-04-07,72.199997,72.519997,71.510002,72.260002,2727000,71.951283
2017-04-06,71.699997,73.379997,71.519997,72.290001,2383800,71.981153
2017-04-05,72.769997,73.00,71.160004,71.199997,1546100,70.895806
2017-04-04,73.879997,74.349998,72.379997,72.449997,2723800,72.140466
2017-04-03,74.769997,74.940002,73.25,74.349998,2406400,74.03235
2017-03-31,75.330002,75.639999,74.639999,74.809998,1127700,74.490384
2017-03-30,74.849998,75.650002,74.57,75.370003,1349500,75.047996
2017-03-29,73.370003,75.559998,73.330002,75.389999,2589400,75.067908
2017-03-28,72.800003,73.370003,72.480003,73.139999,1134500,72.82752
2017-03-27,71.989998,73.059998,71.410004,72.800003,1518400,72.488977
2017-03-24,72.480003,73.110001,72.150002,72.589996,1191000,72.279867
2017-03-23,73.029999,73.339996,72.43,72.860001,1030500,72.548718
2017-03-22,72.349998,72.919998,71.650002,72.830002,2224800,72.518847
2017-03-21,74.339996,74.470001,72.400002,73.449997,1856800,73.136193
2017-03-20,75.839996,75.910004,73.739998,73.980003,2563300,73.663936
2017-03-17,76.110001,76.199997,74.75,75.669998,2240400,75.34671
2017-03-16,76.099998,76.459999,75.559998,75.800003,993100,75.47616
2017-03-15,75.75,76.449997,75.129997,76.239998,1168200,75.914275
2017-03-14,76.209999,76.459999,75.68,75.860001,1077600,75.535901
2017-03-13,76.709999,76.790001,75.620003,75.970001,1313500,75.645431
2017-03-10,76.790001,77.169998,76.160004,76.989998,1221800,76.66107
