Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,47.439999,47.439999,46.529999,46.610001,1184100,46.610001
2017-05-11,48.09,48.209999,47.150002,47.73,1018300,47.73
2017-05-10,48.360001,48.470001,47.900002,48.200001,1365800,48.200001
2017-05-09,47.939999,48.560001,47.419998,48.389999,1995100,48.389999
2017-05-08,48.50,48.66,47.689999,47.82,2669700,47.82
2017-05-05,48.50,48.540001,46.529999,48.18,6581400,48.18
2017-05-04,51.470001,51.68,50.48,50.599998,1964900,50.599998
2017-05-03,51.360001,51.639999,51.220001,51.529999,1146800,51.529999
2017-05-02,51.290001,51.830002,51.209999,51.790001,873000,51.790001
2017-05-01,51.52,51.52,50.630001,51.200001,1071500,51.200001
2017-04-28,52.369999,52.43,51.189999,51.32,1491200,51.32
2017-04-27,52.290001,52.619999,51.759998,52.330002,1139700,52.330002
2017-04-26,52.00,52.66,51.799999,52.330002,912700,52.330002
2017-04-25,51.849998,52.310001,51.509998,52.110001,851300,52.110001
2017-04-24,51.580002,51.720001,51.099998,51.50,979200,51.50
2017-04-21,50.439999,50.700001,49.970001,50.580002,1112400,50.580002
2017-04-20,51.060001,51.240002,50.419998,50.490002,1661900,50.490002
2017-04-19,51.080002,51.540001,50.509998,50.66,841500,50.66
2017-04-18,50.330002,51.049999,50.200001,50.77,765000,50.77
2017-04-17,50.34,50.790001,49.93,50.77,1042200,50.77
2017-04-13,50.959999,51.400002,50.099998,50.18,2045700,50.18
2017-04-12,52.57,52.57,50.970001,51.130001,1303500,51.130001
2017-04-11,52.669998,52.880001,52.16,52.740002,798800,52.740002
2017-04-10,52.189999,52.970001,51.950001,52.73,1015900,52.73
2017-04-07,52.32,52.669998,51.880001,51.900002,1013500,51.900002
2017-04-06,51.889999,52.73,51.82,52.32,703300,52.32
2017-04-05,52.43,53.029999,51.650002,51.799999,1461200,51.799999
2017-04-04,51.700001,52.16,51.66,51.970001,816100,51.970001
2017-04-03,52.73,52.93,51.459999,51.82,1300600,51.82
2017-03-31,52.360001,53.200001,52.259998,52.619999,1430700,52.619999
2017-03-30,52.470001,53.32,52.25,52.700001,830700,52.700001
2017-03-29,51.849998,52.900002,51.66,52.369999,1354400,52.369999
2017-03-28,51.380001,52.43,51.360001,51.919998,1040300,51.919998
2017-03-27,50.419998,51.540001,49.849998,51.389999,1859000,51.389999
2017-03-24,52.75,53.080002,51.279999,51.439999,1697500,51.439999
2017-03-23,52.68,53.080002,52.48,52.77,1270800,52.77
2017-03-22,52.490002,53.00,52.18,52.57,1016900,52.57
2017-03-21,53.689999,53.689999,52.099998,52.540001,1559800,52.540001
2017-03-20,53.560001,53.709999,53.02,53.27,779800,53.27
2017-03-17,54.16,54.16,53.48,53.610001,1248700,53.610001
2017-03-16,54.849998,54.950001,53.93,54.02,885100,54.02
2017-03-15,54.23,54.779999,53.68,54.529999,1215700,54.529999
2017-03-14,54.060001,54.470001,53.220001,54.09,854400,54.09
2017-03-13,54.66,55.419998,54.50,54.700001,993700,54.700001
2017-03-10,54.07,54.759998,54.040001,54.700001,1071700,54.700001
2017-03-09,54.360001,54.52,52.91,53.52,1999200,53.52
2017-03-08,55.169998,55.59,54.619999,54.630001,962300,54.630001
2017-03-07,55.139999,55.779999,55.00,55.080002,1149200,55.080002
2017-03-06,55.23,55.43,54.799999,55.040001,866100,55.040001
2017-03-03,55.639999,56.02,55.27,55.549999,803100,55.549999
2017-03-02,56.619999,56.799999,55.580002,55.650002,1367600,55.650002
2017-03-01,56.209999,57.25,56.209999,56.630001,1504100,56.630001
2017-02-28,55.98,56.07,54.98,55.389999,1132100,55.389999
2017-02-27,55.029999,56.450001,54.369999,56.16,1500400,55.950001
2017-02-24,54.73,55.330002,54.549999,55.09,1271100,54.884002
2017-02-23,56.939999,57.119999,54.959999,55.349998,1643800,55.143028
2017-02-22,57.23,57.349998,56.360001,56.599998,1227900,56.388354
2017-02-21,56.43,58.049999,56.43,57.650002,1474500,57.434431
2017-02-17,58.00,58.139999,55.830002,56.43,2191400,56.218992
2017-02-16,58.16,58.16,57.07,57.450001,1841000,57.235178
2017-02-15,57.369999,58.369999,57.18,58.169998,1220400,57.952483
2017-02-14,56.790001,57.389999,56.439999,57.349998,1196400,57.13555
2017-02-13,56.279999,57.200001,56.259998,56.93,1166000,56.717122
2017-02-10,55.880001,56.07,55.060001,56.040001,1081400,55.830451
2017-02-09,54.619999,55.790001,54.619999,55.369999,941800,55.162954
2017-02-08,55.310001,55.439999,54.189999,54.619999,1088800,54.415759
2017-02-07,55.549999,55.919998,54.810001,55.330002,859700,55.123106
2017-02-06,55.52,55.790001,55.02,55.34,731500,55.133067
2017-02-03,55.310001,56.029999,55.130001,55.66,950800,55.451871
2017-02-02,55.419998,55.52,54.700001,55.02,728100,54.814264
2017-02-01,55.830002,56.189999,54.959999,55.619999,818300,55.412019
2017-01-31,55.93,56.169998,54.830002,55.50,970400,55.292469
2017-01-30,56.419998,56.419998,55.07,56.16,1063500,55.950001
2017-01-27,56.84,56.880001,56.049999,56.630001,1022500,56.418245
2017-01-26,56.650002,57.27,56.00,56.740002,1317800,56.527834
2017-01-25,55.939999,57.00,55.630001,56.84,2763000,56.627458
2017-01-24,52.73,55.07,52.630001,54.77,2150800,54.565199
2017-01-23,52.709999,53.099998,52.02,52.57,778400,52.373425
2017-01-20,53.18,53.200001,52.57,52.790001,880600,52.592603
2017-01-19,53.060001,53.43,52.669998,52.779999,923000,52.582639
2017-01-18,52.75,53.029999,52.349998,52.98,837900,52.781892
2017-01-17,54.150002,54.150002,52.369999,52.549999,1447200,52.353499
2017-01-13,53.529999,54.349998,53.369999,54.220001,1326800,54.017257
2017-01-12,53.599998,53.610001,52.939999,53.560001,1430500,53.359725
2017-01-11,53.00,53.34,52.610001,53.119999,747400,52.921367
2017-01-10,52.610001,53.299999,52.610001,53.080002,721900,52.88152
2017-01-09,53.150002,53.18,52.299999,52.419998,1345700,52.223984
2017-01-06,53.790001,53.790001,53.150002,53.220001,823900,53.020996
2017-01-05,53.880001,54.09,53.130001,53.68,955200,53.479275
2017-01-04,53.57,53.970001,53.450001,53.830002,974000,53.628715
2017-01-03,53.09,53.740002,52.66,53.029999,1219300,52.831704
2016-12-30,52.639999,53.02,52.349998,52.52,684800,52.323613
2016-12-29,53.07,53.380001,52.400002,52.470001,626500,52.2738
2016-12-28,54.040001,54.169998,52.919998,53.009998,509300,52.811778
2016-12-27,53.57,53.880001,53.509998,53.810001,649700,53.60879
2016-12-23,53.509998,53.75,53.360001,53.509998,405600,53.309909
2016-12-22,54.16,54.16,53.349998,53.619999,942500,53.419498
2016-12-21,54.150002,54.720001,53.900002,54.16,1110000,53.95748
2016-12-20,54.419998,54.639999,53.490002,53.860001,3061700,53.658602
2016-12-19,54.919998,55.669998,53.73,54.169998,1676700,53.96744
2016-12-16,55.080002,55.48,54.889999,54.970001,2589700,54.764452
2016-12-15,55.599998,55.830002,54.950001,55.009998,1840100,54.8043
2016-12-14,56.529999,56.799999,55.700001,55.77,1345800,55.56146
2016-12-13,57.259998,57.27,56.540001,56.669998,1249400,56.458092
