Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,31.540001,31.59,30.780001,30.92,2148500,30.92
2017-05-11,32.029999,32.029999,31.450001,31.530001,2350400,31.530001
2017-05-10,31.950001,32.389999,31.90,32.009998,3271600,32.009998
2017-05-09,31.59,31.719999,31.27,31.620001,2130700,31.620001
2017-05-08,31.540001,31.82,31.450001,31.59,2444500,31.59
2017-05-05,31.42,31.959999,31.26,31.93,2211400,31.93
2017-05-04,31.209999,31.25,30.799999,31.02,4074800,31.02
2017-05-03,31.059999,31.27,30.83,31.17,3754500,31.17
2017-05-02,30.76,31.110001,30.59,30.76,4555100,30.76
2017-05-01,30.049999,30.290001,29.91,30.059999,2147800,30.059999
2017-04-28,30.200001,30.32,29.91,30.129999,2847600,30.129999
2017-04-27,30.09,30.52,29.860001,30.200001,9615600,30.200001
2017-04-26,31.870001,32.470001,31.870001,32.259998,2997700,32.259998
2017-04-25,32.189999,32.25,31.879999,32.119999,4704800,32.119999
2017-04-24,32.799999,32.799999,31.85,31.889999,5030700,31.889999
2017-04-21,31.889999,32.029999,31.51,31.709999,3552100,31.709999
2017-04-20,32.360001,32.630001,32.080002,32.16,3186900,32.16
2017-04-19,32.470001,32.540001,31.98,32.040001,3202600,32.040001
2017-04-18,32.450001,32.709999,32.32,32.459999,1985100,32.459999
2017-04-17,32.75,32.84,32.310001,32.57,2449500,32.57
2017-04-13,33.110001,33.220001,32.50,32.52,2026200,32.52
2017-04-12,33.630001,33.849998,33.220001,33.330002,2778700,33.330002
2017-04-11,33.77,33.790001,33.200001,33.529999,1905400,33.529999
2017-04-10,33.470001,33.799999,33.349998,33.639999,1601100,33.639999
2017-04-07,33.98,34.00,33.419998,33.50,2160500,33.50
2017-04-06,33.709999,34.07,33.419998,33.630001,3453200,33.630001
2017-04-05,33.470001,33.759998,32.950001,32.959999,4209600,32.959999
2017-04-04,32.459999,32.84,32.240002,32.630001,2522000,32.630001
2017-04-03,32.830002,32.830002,32.169998,32.459999,3370700,32.459999
2017-03-31,32.52,32.889999,32.450001,32.50,3176700,32.50
2017-03-30,33.189999,33.209999,32.130001,32.18,13627600,32.18
2017-03-29,31.91,33.029999,31.870001,32.98,3214500,32.98
2017-03-28,31.52,32.029999,31.469999,31.969999,4072300,31.969999
2017-03-27,31.33,31.559999,31.209999,31.41,3409000,31.41
2017-03-24,31.450001,31.73,31.219999,31.299999,3152500,31.299999
2017-03-23,31.690001,31.73,31.280001,31.41,5421700,31.41
2017-03-22,31.610001,32.25,31.610001,32.060001,4571000,32.060001
2017-03-21,31.540001,32.029999,31.42,31.860001,5516200,31.860001
2017-03-20,31.33,31.52,31.18,31.389999,4630600,31.389999
2017-03-17,31.75,31.93,31.25,31.690001,11499700,31.690001
2017-03-16,32.110001,32.130001,31.530001,31.82,2962400,31.82
2017-03-15,31.51,32.119999,31.35,32.040001,3411800,32.040001
2017-03-14,31.290001,31.49,30.959999,31.370001,3111300,31.370001
2017-03-13,31.719999,32.040001,31.66,31.790001,2516200,31.790001
2017-03-10,31.540001,31.799999,31.43,31.700001,3279200,31.700001
2017-03-09,31.280001,31.59,30.73,31.50,5913900,31.50
2017-03-08,31.610001,31.959999,31.48,31.59,5019100,31.59
2017-03-07,32.029999,32.099998,31.66,31.90,2613300,31.90
2017-03-06,32.200001,32.349998,32.029999,32.279999,2302100,32.279999
