Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,22.389999,22.40,21.74,21.84,7279500,21.84
2017-05-11,22.459999,22.48,21.889999,22.43,9962900,22.43
2017-05-10,22.26,22.84,22.200001,22.66,7740800,22.66
2017-05-09,22.190001,22.379999,21.92,22.299999,7598300,22.299999
2017-05-08,22.309999,22.42,21.73,22.190001,8953000,22.190001
2017-05-05,22.34,22.50,22.129999,22.27,5732700,22.27
2017-05-04,22.26,22.34,21.549999,22.299999,10178300,22.299999
2017-05-03,23.120001,23.120001,22.27,22.43,8297000,22.43
2017-05-02,22.610001,23.440001,22.57,23.040001,15588700,23.040001
2017-05-01,21.370001,23.07,21.049999,22.610001,15160500,22.610001
2017-04-28,22.129999,22.129999,21.52,21.610001,7573000,21.610001
2017-04-27,21.969999,22.469999,21.969999,22.139999,5088200,22.139999
2017-04-26,22.65,22.65,21.950001,21.969999,6654900,21.969999
2017-04-25,22.66,22.66,22.469999,22.610001,5833000,22.610001
2017-04-24,23.540001,23.540001,22.540001,22.549999,9579100,22.549999
2017-04-21,23.51,23.540001,23.190001,23.309999,3706900,23.309999
2017-04-20,23.690001,23.690001,23.42,23.540001,4453400,23.540001
2017-04-19,23.60,23.799999,23.450001,23.65,4572900,23.65
2017-04-18,23.40,23.59,23.290001,23.58,4271000,23.58
2017-04-17,23.24,23.51,23.24,23.440001,7353500,23.440001
2017-04-13,23.219999,23.34,23.10,23.15,4073600,23.15
2017-04-12,23.290001,23.559999,23.190001,23.209999,4027100,23.209999
2017-04-11,23.209999,23.40,23.120001,23.280001,4592800,23.280001
2017-04-10,23.110001,23.52,22.90,23.450001,7709100,23.450001
2017-04-07,23.040001,23.219999,22.93,23.059999,5989600,23.059999
2017-04-06,22.950001,23.059999,22.719999,23.040001,7389100,23.040001
2017-04-05,23.309999,23.389999,22.940001,22.98,5850100,22.98
2017-04-04,23.60,23.799999,23.200001,23.24,6468200,23.24
2017-04-03,23.200001,23.76,23.049999,23.59,5297000,23.59
2017-03-31,22.92,23.41,22.889999,23.18,4503100,23.18
2017-03-30,22.969999,23.110001,22.76,22.940001,7536700,22.940001
2017-03-29,22.66,23.07,22.469999,23.00,7439100,23.00
2017-03-28,22.719999,22.84,22.34,22.68,13133000,22.68
2017-03-27,23.08,23.26,22.65,22.719999,5425900,22.719999
2017-03-24,23.02,23.27,22.969999,23.110001,3530900,23.110001
2017-03-23,22.67,23.18,22.65,23.01,5624900,23.01
2017-03-22,23.200001,23.200001,22.389999,22.66,9672000,22.66
2017-03-21,23.309999,23.360001,22.959999,23.209999,5588100,23.209999
2017-03-20,23.34,23.40,23.09,23.190001,5066600,23.190001
2017-03-17,23.52,23.57,23.190001,23.32,6349500,23.32
2017-03-16,23.629999,23.75,23.389999,23.469999,4239200,23.469999
2017-03-15,23.129999,23.780001,23.059999,23.620001,3796500,23.620001
2017-03-14,23.07,23.209999,22.90,23.00,7997100,23.00
2017-03-13,23.120001,23.299999,22.92,23.280001,6410700,23.280001
2017-03-10,22.92,23.26,22.889999,23.049999,5550400,23.049999
2017-03-09,23.629999,23.700001,22.860001,22.92,8196700,22.92
2017-03-08,23.85,23.85,23.370001,23.58,6796800,23.58
2017-03-07,24.299999,24.34,23.700001,23.92,4313800,23.92
2017-03-06,24.360001,24.389999,24.08,24.27,3619700,24.27
2017-03-03,24.58,24.639999,24.08,24.40,5139700,24.40
2017-03-02,24.629999,24.799999,24.450001,24.58,3220600,24.58
2017-03-01,24.860001,24.870001,24.450001,24.780001,7290900,24.780001
2017-02-28,25.209999,25.26,24.700001,24.860001,3755800,24.860001
2017-02-27,25.16,25.40,24.98,25.209999,4617400,25.209999
2017-02-24,25.450001,25.469999,24.780001,25.049999,7703200,25.049999
2017-02-23,25.620001,25.620001,25.379999,25.440001,2449400,25.440001
2017-02-22,25.549999,25.690001,25.309999,25.51,2438300,25.51
2017-02-21,25.030001,25.60,24.98,25.59,3009400,25.59
2017-02-17,25.02,25.280001,24.860001,25.02,3698300,25.02
2017-02-16,25.00,25.200001,24.92,25.00,4279800,25.00
2017-02-15,24.950001,25.10,24.389999,25.01,4548900,25.01
2017-02-14,25.27,25.27,24.940001,25.030001,2873000,25.030001
2017-02-13,25.549999,25.719999,25.139999,25.299999,2252600,25.299999
2017-02-10,25.32,25.52,25.25,25.48,2494400,25.48
2017-02-09,25.10,25.40,24.969999,25.379999,3336800,25.379999
2017-02-08,24.85,25.18,24.84,25.049999,3470600,25.049999
2017-02-07,24.73,25.219999,24.73,24.809999,3842200,24.809999
2017-02-06,24.93,25.280001,24.92,25.059999,3493600,25.059999
2017-02-03,24.90,25.08,24.639999,24.940001,4211900,24.940001
2017-02-02,24.700001,25.00,24.66,24.75,4080800,24.75
2017-02-01,24.940001,25.209999,24.700001,24.709999,5247000,24.709999
2017-01-31,24.200001,25.209999,24.200001,24.84,7309000,24.84
