Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,33.939999,34.150002,33.27,33.619999,12439800,33.619999
2017-05-11,34.07,34.23,33.900002,34.110001,9016400,34.110001
2017-05-10,34.25,34.459999,34.080002,34.23,7656000,34.23
2017-05-09,33.900002,34.470001,33.900002,34.259998,8397600,34.259998
2017-05-08,33.849998,34.25,33.799999,33.970001,11559500,33.970001
2017-05-05,33.299999,33.77,33.200001,33.77,10123800,33.77
2017-05-04,33.650002,33.669998,32.970001,33.150002,12447800,33.150002
2017-05-03,33.029999,33.66,33.009998,33.48,12610800,33.48
2017-05-02,34.09,34.34,32.82,33.200001,24105400,33.200001
2017-05-01,34.630001,34.650002,34.130001,34.200001,12773100,34.200001
2017-04-28,35.07,35.290001,34.419998,34.639999,16610000,34.639999
2017-04-27,34.52,34.59,33.950001,34.540001,13797000,34.540001
2017-04-26,34.009998,34.939999,33.950001,34.380001,14529700,34.380001
2017-04-25,34.099998,34.16,33.720001,33.990002,11529500,33.990002
2017-04-24,34.060001,34.150002,33.630001,33.91,12892900,33.91
2017-04-21,34.110001,34.16,33.610001,33.75,9675800,33.75
2017-04-20,33.950001,34.52,33.900002,34.099998,11633900,34.099998
2017-04-19,33.889999,34.099998,33.709999,33.790001,12255100,33.790001
2017-04-18,33.720001,33.830002,33.490002,33.689999,7007600,33.689999
2017-04-17,33.470001,33.98,33.369999,33.900002,10719200,33.900002
2017-04-13,33.779999,33.91,33.369999,33.389999,9470900,33.389999
2017-04-12,34.029999,34.290001,33.720001,33.939999,14210900,33.939999
2017-04-11,34.09,34.09,33.59,33.919998,10400200,33.919998
2017-04-10,33.84,34.119999,33.799999,33.970001,13683600,33.970001
2017-04-07,34.029999,34.200001,33.700001,33.709999,14121700,33.709999
2017-04-06,34.02,34.470001,33.889999,34.16,12154000,34.16
2017-04-05,34.619999,34.650002,33.990002,34.00,10529600,34.00
2017-04-04,33.900002,34.43,33.900002,34.27,9495100,34.27
2017-04-03,35.360001,35.400002,33.799999,34.169998,31773500,34.169998
2017-03-31,35.349998,35.509998,35.27,35.360001,11761600,35.360001
2017-03-30,35.50,35.790001,35.32,35.41,8690900,35.41
2017-03-29,35.619999,36.060001,35.52,35.540001,13864600,35.540001
2017-03-28,34.66,36.25,34.66,35.560001,29591300,35.560001
2017-03-27,34.279999,34.75,33.970001,34.709999,12924200,34.709999
2017-03-24,34.400002,35.07,34.080002,34.560001,16181400,34.560001
2017-03-23,34.00,34.459999,33.790001,34.259998,14485800,34.259998
2017-03-22,34.310001,34.610001,33.959999,34.389999,18824700,34.389999
2017-03-21,35.950001,35.98,34.470001,34.549999,30648700,34.549999
2017-03-20,36.360001,36.450001,35.599998,35.709999,38235800,35.709999
2017-03-17,37.130001,37.16,36.299999,36.330002,19499400,36.330002
2017-03-16,37.09,37.119999,36.77,37.080002,12549200,37.080002
2017-03-15,37.07,37.16,36.790001,37.09,27980200,37.09
2017-03-14,36.75,36.970001,36.68,36.959999,5820100,36.959999
2017-03-13,37.00,37.130001,36.830002,36.869999,10092000,36.869999
2017-03-10,37.099998,37.189999,36.77,36.830002,18245100,36.830002
2017-03-09,37.330002,37.349998,36.779999,36.830002,12703600,36.830002
2017-03-08,37.110001,37.689999,37.110001,37.27,11375600,37.27
2017-03-07,37.759998,37.84,37.299999,37.52,17247500,37.140002
2017-03-06,37.98,38.549999,37.200001,37.91,20199100,37.526051
2017-03-03,37.759998,38.369999,37.580002,38.23,19455500,37.84281
2017-03-02,37.369999,38.099998,37.25,37.759998,14935100,37.377569
2017-03-01,37.200001,37.75,37.18,37.43,10702600,37.050913
2017-02-28,37.150002,37.220001,36.549999,36.84,10497800,36.466888
2017-02-27,36.919998,37.360001,36.860001,37.27,10091800,36.892534
2017-02-24,36.869999,37.189999,36.57,36.900002,13060100,36.526282
2017-02-23,37.939999,38.07,37.189999,37.25,13179200,36.872736
2017-02-22,37.889999,38.099998,37.799999,37.84,9102700,37.45676
2017-02-21,37.599998,38.099998,37.419998,37.810001,14549200,37.427065
2017-02-17,36.790001,37.900002,36.41,37.220001,15777400,36.843041
2017-02-16,37.110001,37.16,36.82,37.029999,9369400,36.654963
2017-02-15,36.950001,37.110001,36.599998,37.080002,15674400,36.704459
2017-02-14,36.720001,37.400002,36.669998,37.240002,31403300,36.862839
2017-02-13,35.380001,35.540001,35.18,35.52,10141600,35.160257
2017-02-10,35.209999,35.32,35.080002,35.169998,10321800,34.8138
2017-02-09,35.139999,35.400002,35.02,35.080002,14834000,34.724715
2017-02-08,35.200001,35.330002,34.720001,35.139999,16867300,34.784105
2017-02-07,35.75,35.959999,34.799999,35.099998,39477700,34.744509
2017-02-06,36.41,36.830002,36.259998,36.830002,13941200,36.456991
2017-02-03,35.919998,36.330002,35.68,36.330002,13962200,35.962055
2017-02-02,36.080002,36.139999,35.470001,35.73,11893700,35.36813
2017-02-01,36.68,37.110001,35.860001,36.139999,13744100,35.773977
2017-01-31,36.25,36.650002,36.119999,36.610001,10679000,36.239218
2017-01-30,36.84,36.900002,36.130001,36.330002,11787700,35.962055
2017-01-27,37.52,37.59,36.880001,37.009998,10228600,36.635165
2017-01-26,38.099998,38.25,37.369999,37.52,10813400,37.140002
2017-01-25,37.709999,38.380001,37.599998,38.279999,20745200,37.892303
2017-01-24,36.700001,37.240002,36.68,37.00,11600300,36.625268
2017-01-23,37.009998,37.130001,36.380001,36.650002,11624500,36.278814
2017-01-20,37.419998,37.419998,36.759998,37.009998,14001500,36.635165
2017-01-19,37.630001,37.84,37.16,37.299999,8262700,36.922228
2017-01-18,37.450001,37.580002,37.119999,37.470001,11220100,37.090509
2017-01-17,37.34,37.689999,37.169998,37.310001,8225700,36.932129
2017-01-13,37.549999,37.77,37.150002,37.34,8748800,36.961824
2017-01-12,38.00,38.150002,37.060001,37.509998,16830200,37.130101
2017-01-11,37.540001,38.110001,37.220001,37.950001,19553900,37.565647
2017-01-10,36.189999,38.16,36.049999,37.349998,34804500,36.971721
2017-01-09,36.119999,36.529999,35.860001,36.009998,15201300,35.645293
2017-01-06,36.41,36.549999,35.93,35.990002,13240100,35.625498
2017-01-05,37.009998,37.049999,36.07,36.389999,15636700,36.021445
2017-01-04,35.599998,37.240002,35.470001,37.09,23388500,36.714356
2017-01-03,34.98,35.57,34.84,35.150002,10904900,34.794006
2016-12-30,35.209999,35.310001,34.669998,34.84,7646100,34.487144
2016-12-29,35.25,35.48,35.119999,35.139999,4416700,34.784105
2016-12-28,35.740002,35.799999,35.130001,35.150002,8451900,34.794006
2016-12-27,35.799999,35.93,35.50,35.540001,6008700,35.180055
2016-12-23,35.830002,35.869999,35.540001,35.689999,9351200,35.328534
2016-12-22,36.290001,36.400002,35.630001,35.689999,9911700,35.328534
2016-12-21,36.50,36.689999,36.349998,36.419998,6669700,36.05114
2016-12-20,36.400002,36.73,36.23,36.610001,8795900,36.239218
2016-12-19,36.490002,36.73,36.150002,36.400002,10960800,36.031346
2016-12-16,36.400002,36.41,36.099998,36.369999,23751600,36.001647
2016-12-15,35.869999,36.389999,35.779999,36.240002,18215600,35.872966
