Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,25.68,25.719999,24.870001,25.07,5187000,25.07
2017-05-11,26.82,26.82,25.52,25.76,6641400,25.76
2017-05-10,26.370001,26.879999,26.23,26.73,4675600,26.73
2017-05-09,26.530001,26.700001,26.33,26.41,2858900,26.41
2017-05-08,26.48,26.48,26.08,26.32,4638800,26.32
2017-05-05,25.889999,26.40,25.870001,26.33,3833300,26.33
2017-05-04,26.07,26.290001,25.690001,25.700001,3735900,25.700001
2017-05-03,26.110001,26.32,25.85,26.110001,3625400,26.110001
2017-05-02,25.90,26.25,25.76,26.25,4106300,26.25
2017-05-01,26.26,26.32,25.700001,25.90,4362600,25.90
2017-04-28,26.299999,26.33,25.93,26.200001,4219500,26.200001
2017-04-27,26.719999,26.719999,26.110001,26.35,3092300,26.35
2017-04-26,26.129999,26.43,26.049999,26.25,4030700,26.25
2017-04-25,26.15,26.15,25.66,25.92,3655500,25.92
2017-04-24,25.90,26.16,25.60,25.870001,6627700,25.870001
2017-04-21,25.50,25.65,25.09,25.610001,5133600,25.610001
2017-04-20,24.799999,25.440001,24.68,25.42,10029800,25.42
2017-04-19,24.00,24.58,23.90,24.219999,4447600,24.219999
2017-04-18,23.84,24.049999,23.700001,23.92,3294200,23.92
2017-04-17,24.00,24.08,23.639999,23.889999,5233700,23.889999
2017-04-13,24.27,24.389999,23.68,23.690001,5175800,23.690001
2017-04-12,24.52,24.59,24.26,24.299999,2678300,24.299999
2017-04-11,24.33,24.50,23.950001,24.50,4399700,24.50
2017-04-10,24.17,24.709999,24.15,24.299999,3706100,24.299999
2017-04-07,23.99,24.42,23.940001,24.030001,5510300,24.030001
2017-04-06,23.17,24.280001,23.17,24.049999,8255600,24.049999
2017-04-05,23.32,23.51,22.879999,22.90,4433000,22.90
2017-04-04,23.629999,23.66,22.889999,23.190001,5835300,23.190001
2017-04-03,24.040001,24.09,23.559999,23.709999,5706200,23.709999
2017-03-31,24.33,24.709999,24.27,24.290001,5914400,24.060001
2017-03-30,24.620001,24.91,24.24,24.450001,8093700,24.218486
2017-03-29,23.92,24.860001,23.809999,24.719999,8733700,24.485928
2017-03-28,23.290001,23.809999,23.110001,23.780001,3147300,23.55483
2017-03-27,23.02,23.610001,23.02,23.280001,3832100,23.059564
2017-03-24,23.25,23.34,23.030001,23.27,3499200,23.049659
2017-03-23,23.60,23.879999,23.25,23.299999,5329000,23.079374
2017-03-22,22.799999,23.09,22.440001,23.07,3797500,22.851552
2017-03-21,23.48,23.50,22.25,22.82,8748500,22.603919
2017-03-20,24.110001,24.17,23.360001,23.459999,4613900,23.237858
2017-03-17,24.040001,24.16,23.809999,24.10,5292700,23.8718
2017-03-16,23.84,24.049999,23.67,23.93,2831600,23.703409
2017-03-15,23.83,23.950001,23.469999,23.870001,4262300,23.643978
2017-03-14,23.540001,23.73,23.219999,23.700001,3672000,23.475588
2017-03-13,24.27,24.389999,23.459999,23.540001,4982200,23.317103
2017-03-10,24.280001,24.459999,24.059999,24.27,3164700,24.04019
2017-03-09,24.120001,24.32,23.959999,24.129999,4028900,23.901514
2017-03-08,24.200001,24.389999,24.040001,24.23,6185400,24.000568
2017-03-07,24.309999,24.59,24.15,24.18,5170000,23.951042
2017-03-06,24.66,24.76,24.059999,24.389999,3903500,24.159053
2017-03-03,25.15,25.309999,24.49,24.690001,5539700,24.456213
2017-03-02,24.48,25.440001,24.299999,25.129999,7633500,24.892045
2017-03-01,24.940001,25.059999,23.969999,24.33,7022400,24.099621
2017-02-28,25.049999,25.139999,24.43,24.82,6799400,24.584981
2017-02-27,24.690001,25.34,24.559999,25.200001,5770600,24.961384
2017-02-24,24.299999,25.110001,23.200001,24.700001,11850700,24.466119
2017-02-23,24.60,24.639999,23.879999,23.969999,8066700,23.743029
2017-02-22,25.139999,25.26,24.540001,24.870001,4690000,24.634509
2017-02-21,24.780001,25.200001,24.60,25.030001,5801700,24.792994
2017-02-17,23.90,24.540001,23.73,24.469999,4207700,24.238295
2017-02-16,24.40,24.530001,23.91,24.059999,4063100,23.832177
2017-02-15,24.209999,24.40,23.860001,24.389999,5208600,24.159053
2017-02-14,23.639999,24.200001,23.549999,24.200001,4362800,23.970853
2017-02-13,24.360001,24.379999,23.440001,23.629999,5820500,23.406249
2017-02-10,24.10,24.65,24.059999,24.360001,6018800,24.129338
2017-02-09,23.309999,24.10,23.059999,23.969999,6108500,23.743029
2017-02-08,22.780001,23.389999,22.51,23.309999,3901900,23.089279
2017-02-07,22.879999,23.10,22.66,22.74,5876300,22.524677
2017-02-06,22.93,23.139999,22.83,22.98,6217600,22.762404
2017-02-03,22.91,23.48,22.719999,22.969999,5383500,22.752498
2017-02-02,22.620001,23.07,22.41,22.790001,4624800,22.574204
2017-02-01,23.120001,23.17,22.139999,22.530001,8156500,22.316666
2017-01-31,22.530001,23.08,22.030001,23.030001,8935900,22.811932
2017-01-30,22.719999,23.00,22.41,22.879999,6271200,22.66335
2017-01-27,23.889999,23.969999,22.540001,22.58,6097400,22.366192
2017-01-26,24.309999,24.540001,23.860001,23.870001,5470400,23.643978
2017-01-25,24.25,24.43,24.07,24.34,4936300,24.109527
2017-01-24,23.92,24.23,23.809999,24.18,5180200,23.951042
2017-01-23,23.950001,24.15,23.51,23.76,3452400,23.535019
2017-01-20,24.10,24.299999,23.99,24.200001,3890600,23.970853
2017-01-19,24.049999,24.25,23.780001,23.870001,4116500,23.643978
2017-01-18,24.09,24.15,23.459999,23.969999,4772300,23.743029
2017-01-17,23.870001,24.790001,23.780001,24.15,7255900,23.921325
2017-01-13,24.049999,24.209999,23.58,23.66,4734000,23.435965
2017-01-12,23.700001,24.17,23.540001,24.00,6552800,23.772746
2017-01-11,24.200001,24.33,23.26,23.700001,4012400,23.475588
2017-01-10,23.77,24.139999,23.700001,23.91,5844200,23.683598
2017-01-09,23.43,24.030001,23.200001,23.84,7200400,23.614261
2017-01-06,24.33,24.459999,23.16,23.34,16363100,23.118996
2017-01-05,22.969999,23.799999,22.75,23.25,13312700,23.029848
2017-01-04,24.41,24.93,24.16,24.200001,9885100,23.970853
2017-01-03,22.719999,23.58,22.690001,23.48,9145600,23.257669
2016-12-30,22.43,22.77,22.25,22.440001,4763100,22.227518
2016-12-29,22.77,23.00,22.549999,22.73,3810500,22.286948
2016-12-28,22.690001,22.879999,22.43,22.700001,2687100,22.257534
2016-12-27,22.709999,23.10,22.620001,22.719999,2577600,22.277143
