Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,45.720001,45.720001,44.970001,45.139999,8932500,45.139999
2017-05-11,46.369999,46.369999,45.560001,45.610001,7930300,45.610001
2017-05-10,45.490002,46.330002,45.43,45.810001,10051500,45.810001
2017-05-09,45.369999,45.50,44.799999,45.029999,8351200,45.029999
2017-05-08,45.66,45.93,45.279999,45.360001,8036800,45.360001
2017-05-05,44.599998,45.709999,44.540001,45.580002,11871400,45.580002
2017-05-04,44.700001,44.790001,43.700001,44.599998,13717900,44.599998
2017-05-03,45.119999,45.549999,44.91,45.25,7215200,45.25
2017-05-02,45.82,46.07,45.09,45.299999,7550200,45.299999
2017-05-01,45.939999,46.119999,45.560001,45.77,4610800,45.77
2017-04-28,47.34,47.380001,45.830002,45.880001,7171000,45.880001
2017-04-27,46.599998,46.82,45.099998,46.400002,12766900,46.400002
2017-04-26,46.650002,47.549999,46.599998,46.990002,7750500,46.990002
2017-04-25,46.880001,47.220001,46.709999,47.02,7988100,47.02
2017-04-24,47.220001,47.98,46.630001,46.75,11768400,46.75
2017-04-21,47.150002,47.66,46.779999,47.060001,13238600,47.060001
2017-04-20,47.82,48.259998,47.580002,47.689999,6399500,47.689999
2017-04-19,48.73,48.84,47.150002,47.43,9365300,47.43
2017-04-18,48.470001,48.950001,48.290001,48.529999,4695200,48.529999
2017-04-17,48.380001,48.849998,48.240002,48.84,5205700,48.84
2017-04-13,49.189999,49.419998,48.18,48.380001,6653200,48.380001
2017-04-12,50.00,50.23,49.150002,49.330002,7333400,49.330002
2017-04-11,49.970001,50.02,49.09,50.009998,6736400,50.009998
2017-04-10,49.939999,50.23,49.75,49.970001,5511500,49.970001
2017-04-07,50.330002,50.50,49.50,49.68,6151400,49.68
2017-04-06,50.200001,50.450001,49.860001,50.150002,5743500,50.150002
2017-04-05,50.25,51.259998,49.82,49.849998,12227400,49.849998
2017-04-04,49.299999,49.689999,48.759998,49.549999,6288700,49.549999
2017-04-03,49.459999,49.66,48.810001,49.279999,6870700,49.279999
2017-03-31,49.02,49.52,48.91,49.209999,6378300,49.209999
2017-03-30,49.759998,49.82,48.650002,49.02,11794300,49.02
2017-03-29,48.00,49.52,47.959999,49.220001,10573500,49.220001
2017-03-28,47.919998,48.27,47.549999,48.02,10563700,48.02
2017-03-27,48.599998,48.77,47.52,47.779999,14117300,47.779999
2017-03-24,49.200001,50.619999,49.189999,49.41,9555400,49.41
2017-03-23,49.740002,50.16,49.43,49.709999,5620000,49.709999
2017-03-22,49.869999,50.310001,49.360001,49.830002,7524900,49.830002
2017-03-21,51.110001,51.259998,49.82,50.150002,7618700,50.150002
2017-03-20,50.360001,50.830002,49.84,50.639999,7654100,50.639999
2017-03-17,51.150002,51.470001,50.59,50.779999,8007700,50.779999
2017-03-16,51.650002,51.830002,50.810001,50.919998,7203200,50.919998
2017-03-15,50.32,51.919998,49.990002,51.540001,9936700,51.540001
2017-03-14,50.880001,50.880001,48.540001,49.799999,12959600,49.799999
2017-03-13,51.02,51.330002,50.669998,50.880001,6272400,50.880001
2017-03-10,51.389999,51.50,50.610001,50.91,7661900,50.91
2017-03-09,50.59,50.990002,49.75,50.889999,14897200,50.889999
2017-03-08,52.630001,53.23,51.200001,51.290001,14674600,51.290001
2017-03-07,53.720001,53.779999,52.830002,52.970001,6991100,52.970001
2017-03-06,53.790001,54.00,53.34,53.799999,5653700,53.799999
2017-03-03,54.00,54.400002,53.700001,53.869999,4092800,53.869999
2017-03-02,54.369999,54.50,53.68,53.869999,5772100,53.869999
2017-03-01,53.970001,55.209999,53.939999,54.700001,7176400,54.700001
2017-02-28,53.00,53.650002,52.50,53.459999,6503700,53.459999
2017-02-27,52.860001,53.709999,52.59,53.200001,6902500,53.200001
2017-02-24,52.75,53.00,52.349998,52.869999,6489600,52.69
2017-02-23,53.75,54.279999,53.099998,53.189999,7971000,53.00891
2017-02-22,53.490002,53.93,52.990002,53.060001,7736100,52.879356
2017-02-21,54.439999,54.93,53.799999,53.84,7496900,53.656699
2017-02-17,54.02,54.41,53.529999,53.709999,9055800,53.52714
2017-02-16,55.82,56.00,54.259998,54.310001,10925600,54.1251
2017-02-15,56.18,56.560001,55.66,55.77,5978500,55.580128
2017-02-14,56.049999,56.580002,56.009998,56.540001,8102300,56.347507
2017-02-13,56.139999,56.759998,55.959999,56.32,7161800,56.128255
2017-02-10,57.02,57.380001,55.990002,56.130001,7937500,55.938903
2017-02-09,55.869999,56.759998,55.650002,56.68,9320900,56.48703
2017-02-08,54.599998,55.450001,53.50,55.439999,9849500,55.25125
2017-02-07,55.740002,56.00,54.599998,54.880001,8395900,54.693159
2017-02-06,56.639999,56.759998,56.009998,56.099998,4745200,55.909003
2017-02-03,56.25,57.060001,56.130001,56.580002,5344500,56.387372
2017-02-02,56.459999,56.59,55.700001,56.290001,6183400,56.098358
2017-02-01,57.18,57.23,55.41,56.23,7083000,56.038561
2017-01-31,56.73,56.779999,55.810001,56.57,5849500,56.377404
2017-01-30,58.02,58.099998,55.369999,56.48,10361100,56.28771
2017-01-27,57.939999,58.470001,57.75,58.209999,6893000,58.01182
2017-01-26,57.459999,58.779999,57.459999,58.060001,8989800,57.862333
2017-01-25,56.900002,57.700001,56.759998,57.41,9837100,57.214544
2017-01-24,55.240002,56.790001,55.09,56.619999,11276700,56.427233
2017-01-23,55.00,55.200001,53.919998,54.799999,17718700,54.613429
2017-01-20,56.119999,56.84,55.990002,56.450001,14793600,56.257813
2017-01-19,55.07,55.400002,54.779999,55.34,9144400,55.151592
2017-01-18,54.50,55.299999,54.43,55.130001,6156300,54.942308
2017-01-17,54.669998,55.060001,54.189999,55.009998,7712600,54.822714
2017-01-13,54.700001,55.189999,54.490002,54.540001,5995600,54.354316
2017-01-12,55.799999,55.849998,55.07,55.18,5954000,54.992137
2017-01-11,55.09,55.610001,54.689999,55.389999,9995100,55.201421
2017-01-10,56.049999,56.060001,54.619999,54.639999,9774100,54.453974
2017-01-09,56.099998,56.330002,55.810001,56.07,9080500,55.879106
2017-01-06,56.23,56.98,55.91,56.66,7899500,56.467098
