Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,12.70,12.77,12.58,12.76,6969300,12.76
2017-05-11,12.83,12.93,12.70,12.79,8402800,12.79
2017-05-10,12.90,12.95,12.82,12.90,7839800,12.90
2017-05-09,13.08,13.17,12.90,12.93,7441700,12.93
2017-05-08,12.98,13.08,12.94,13.05,6625600,13.05
2017-05-05,13.08,13.08,12.95,12.99,5645600,12.99
2017-05-04,13.23,13.33,13.02,13.05,10433500,13.05
2017-05-03,12.89,13.18,12.85,13.14,12769600,13.14
2017-05-02,13.09,13.12,12.86,12.95,10159400,12.95
2017-05-01,12.94,13.11,12.81,13.09,9195400,13.09
2017-04-28,13.01,13.10,12.85,12.86,12050200,12.86
2017-04-27,13.15,13.15,12.91,12.99,6521200,12.99
2017-04-26,13.00,13.22,12.99,13.12,7696300,13.12
2017-04-25,13.15,13.18,13.02,13.04,9909400,13.04
2017-04-24,12.92,13.04,12.86,12.99,11808200,12.99
2017-04-21,12.74,12.81,12.56,12.60,8946100,12.60
2017-04-20,12.64,12.81,12.52,12.72,20334200,12.72
2017-04-19,12.55,12.78,12.52,12.59,21969700,12.59
2017-04-18,12.81,12.92,12.66,12.80,14465200,12.80
2017-04-17,12.62,12.93,12.56,12.91,9115300,12.91
2017-04-13,12.79,12.90,12.59,12.59,9679400,12.59
2017-04-12,12.95,13.00,12.76,12.86,15162600,12.86
2017-04-11,12.91,13.00,12.74,13.00,8242200,13.00
2017-04-10,13.08,13.22,12.93,13.00,6331100,13.00
2017-04-07,13.10,13.23,13.00,13.12,7942500,13.12
2017-04-06,13.04,13.27,12.93,13.20,7684700,13.20
2017-04-05,13.44,13.52,13.06,13.07,8065300,13.07
2017-04-04,13.27,13.37,13.20,13.31,7910700,13.31
2017-04-03,13.52,13.52,13.14,13.35,15629900,13.35
2017-03-31,13.51,13.59,13.36,13.39,10820200,13.39
2017-03-30,13.20,13.62,13.17,13.59,9722500,13.59
2017-03-29,13.22,13.33,13.13,13.22,13044000,13.22
2017-03-28,12.95,13.30,12.95,13.22,10633200,13.22
2017-03-27,12.70,13.02,12.56,13.02,16548700,13.02
2017-03-24,13.13,13.17,12.98,13.11,13203800,13.11
2017-03-23,12.74,13.16,12.73,13.02,24181100,13.02
2017-03-22,12.60,12.99,12.37,12.78,18859500,12.78
2017-03-21,13.52,13.64,12.67,12.70,21459400,12.70
2017-03-20,13.71,13.75,13.50,13.52,9308900,13.52
2017-03-17,13.92,13.97,13.64,13.73,26067700,13.73
2017-03-16,13.99,14.01,13.82,13.92,10064500,13.92
2017-03-15,14.14,14.20,13.84,13.93,13096300,13.85
2017-03-14,14.14,14.14,13.89,14.08,7603900,13.999138
2017-03-13,14.18,14.24,14.08,14.21,6303600,14.128392
2017-03-10,14.34,14.36,14.00,14.19,10345800,14.108506
2017-03-09,14.24,14.33,14.14,14.21,9858800,14.128392
2017-03-08,14.38,14.42,14.13,14.18,8919800,14.098564
2017-03-07,14.56,14.56,14.19,14.24,6513900,14.158219
2017-03-06,14.23,14.38,14.18,14.31,6991800,14.227818
2017-03-03,14.30,14.47,14.28,14.40,5936200,14.3173
2017-03-02,14.74,14.74,14.28,14.29,7967000,14.207932
2017-03-01,14.48,14.74,14.47,14.66,10392500,14.575807
2017-02-28,14.18,14.21,13.99,14.14,9723400,14.058794
2017-02-27,14.16,14.23,14.10,14.21,4843000,14.128392
2017-02-24,14.00,14.18,13.95,14.18,8740000,14.098564
2017-02-23,14.22,14.25,14.05,14.18,6013300,14.098564
2017-02-22,14.08,14.26,14.08,14.19,5586700,14.108506
2017-02-21,14.21,14.34,14.09,14.19,7918100,14.108506
2017-02-17,14.02,14.14,13.92,14.13,6958800,14.048851
2017-02-16,14.17,14.24,14.02,14.17,6351200,14.088621
2017-02-15,14.25,14.28,14.10,14.22,8533300,14.138334
2017-02-14,13.83,14.14,13.73,14.12,10105000,14.038908
2017-02-13,13.72,13.94,13.70,13.81,11977000,13.730689
2017-02-10,13.59,13.66,13.50,13.62,6862600,13.54178
2017-02-09,13.47,13.61,13.37,13.55,7830200,13.472182
2017-02-08,13.39,13.41,13.20,13.40,10240900,13.323043
2017-02-07,13.57,13.59,13.41,13.48,13113000,13.402584
2017-02-06,13.47,13.62,13.40,13.53,7300800,13.452297
2017-02-03,13.41,13.67,13.32,13.61,16564500,13.531837
2017-02-02,13.38,13.44,13.16,13.24,12209300,13.163962
2017-02-01,13.70,13.89,13.45,13.50,9740100,13.422469
2017-01-31,13.52,13.68,13.38,13.53,11980000,13.452297
2017-01-30,13.69,13.70,13.39,13.62,8551900,13.54178
2017-01-27,13.98,14.01,13.69,13.78,10164400,13.700861
2017-01-26,14.11,14.17,13.97,14.01,16825700,13.92954
2017-01-25,13.60,14.04,13.45,14.02,18265100,13.939483
2017-01-24,13.11,13.30,13.05,13.25,14194900,13.173905
2017-01-23,13.08,13.18,12.96,13.06,10099200,12.984996
2017-01-20,13.07,13.24,13.01,13.12,7818100,13.044651
2017-01-19,13.21,13.29,12.95,13.01,10144500,12.935283
2017-01-18,13.01,13.16,12.86,13.15,12260000,13.074479
2017-01-17,13.34,13.36,12.93,12.95,12562500,12.875628
2017-01-13,13.39,13.67,13.37,13.47,10808300,13.392642
2017-01-12,13.31,13.44,13.14,13.32,8551900,13.243503
2017-01-11,13.33,13.54,13.25,13.44,11258000,13.362813
2017-01-10,13.35,13.46,13.29,13.33,13106600,13.253445
2017-01-09,13.21,13.38,13.12,13.32,18797300,13.243503
2017-01-06,13.36,13.48,13.22,13.29,12037300,13.213675
