Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,43.66,43.77,42.560001,42.630001,5525800,42.630001
2017-05-11,43.040001,44.25,43.00,43.619999,8400700,43.619999
2017-05-10,45.419998,46.049999,45.150002,45.959999,4929800,45.959999
2017-05-09,44.860001,45.720001,44.860001,45.57,2454700,45.57
2017-05-08,45.049999,45.349998,44.98,45.310001,2474400,45.310001
2017-05-05,45.110001,45.209999,44.779999,45.040001,2329100,45.040001
2017-05-04,45.23,45.290001,44.869999,45.110001,2620500,45.110001
2017-05-03,45.07,45.330002,44.860001,45.099998,2524800,45.099998
2017-05-02,45.400002,45.509998,45.189999,45.299999,1818500,45.299999
2017-05-01,45.209999,45.400002,44.810001,45.360001,2029300,45.360001
2017-04-28,44.59,45.200001,44.450001,45.150002,2147600,45.150002
2017-04-27,44.599998,44.889999,44.459999,44.580002,1650200,44.580002
2017-04-26,43.880001,44.66,43.330002,44.599998,2309200,44.599998
2017-04-25,44.380001,44.580002,44.279999,44.43,2943300,44.43
2017-04-24,43.860001,44.32,43.669998,44.23,3780200,44.23
2017-04-21,43.099998,43.310001,42.919998,43.299999,2495200,43.299999
2017-04-20,42.75,43.299999,42.490002,43.259998,1751500,43.259998
2017-04-19,42.439999,42.82,42.290001,42.689999,1990900,42.689999
2017-04-18,42.50,42.650002,42.119999,42.23,2738700,42.23
2017-04-17,42.490002,42.73,42.419998,42.639999,1208500,42.639999
2017-04-13,42.459999,42.650002,42.240002,42.419998,1024300,42.419998
2017-04-12,42.509998,42.549999,42.290001,42.50,1287600,42.50
2017-04-11,42.450001,42.73,42.279999,42.59,2314700,42.59
2017-04-10,42.66,42.849998,42.27,42.459999,2134200,42.459999
2017-04-07,42.470001,42.919998,42.349998,42.75,2516800,42.75
2017-04-06,42.52,42.700001,42.360001,42.439999,2337000,42.439999
2017-04-05,42.400002,42.849998,42.240002,42.610001,3158100,42.610001
2017-04-04,42.919998,43.009998,42.32,42.419998,2576100,42.419998
2017-04-03,42.400002,43.080002,42.400002,43.029999,2865200,43.029999
2017-03-31,42.560001,42.73,42.400002,42.549999,1576800,42.549999
2017-03-30,42.619999,42.919998,42.48,42.709999,1649600,42.709999
2017-03-29,42.41,42.75,42.310001,42.630001,2995100,42.630001
2017-03-28,42.720001,42.75,42.290001,42.529999,1463400,42.529999
2017-03-27,42.23,42.75,41.959999,42.720001,1875200,42.720001
2017-03-24,42.279999,42.549999,42.119999,42.290001,1819500,42.290001
2017-03-23,42.139999,42.50,41.990002,42.23,1265400,42.23
2017-03-22,42.150002,42.16,41.73,42.09,1639000,42.09
2017-03-21,42.59,42.66,41.91,41.939999,2222700,41.939999
2017-03-20,42.459999,42.740002,42.279999,42.419998,1563200,42.419998
2017-03-17,42.639999,42.799999,42.450001,42.59,2527200,42.59
2017-03-16,42.779999,42.970001,42.310001,42.50,2123600,42.50
2017-03-15,42.360001,42.810001,42.259998,42.779999,2038100,42.779999
2017-03-14,42.299999,42.43,41.860001,42.32,1637000,42.32
2017-03-13,42.389999,42.59,42.110001,42.41,2046600,42.41
2017-03-10,42.439999,42.48,41.91,42.23,1648000,42.23
2017-03-09,42.02,42.27,41.740002,42.200001,2570700,42.200001
2017-03-08,41.049999,42.080002,41.00,41.919998,3046000,41.919998
2017-03-07,41.59,42.169998,40.77,40.959999,2567100,40.959999
2017-03-06,41.459999,41.459999,40.889999,41.169998,2517800,41.169998
2017-03-03,40.82,41.299999,40.82,41.240002,2167100,41.240002
2017-03-02,41.360001,41.369999,40.959999,41.02,1682700,41.02
2017-03-01,40.869999,41.330002,40.66,41.189999,1864900,41.189999
2017-02-28,40.619999,40.810001,40.490002,40.580002,1608400,40.580002
2017-02-27,40.810001,41.02,40.66,40.700001,1462200,40.700001
2017-02-24,40.34,40.830002,40.200001,40.82,2305400,40.82
2017-02-23,40.23,40.490002,40.220001,40.299999,1517300,40.299999
2017-02-22,40.16,40.470001,40.00,40.27,1820500,40.27
2017-02-21,40.119999,40.439999,39.93,40.09,2452400,40.09
2017-02-17,39.459999,40.009998,39.209999,40.00,2924200,40.00
2017-02-16,39.549999,39.830002,39.310001,39.529999,2962200,39.529999
2017-02-15,38.82,39.529999,38.669998,39.400002,3598200,39.400002
2017-02-14,38.25,39.119999,37.759998,39.029999,7092000,39.029999
2017-02-13,40.029999,40.25,39.849998,40.02,1387900,40.02
2017-02-10,40.169998,40.23,39.759998,39.93,1688000,39.93
2017-02-09,39.23,40.349998,39.209999,40.119999,2723500,40.119999
2017-02-08,39.139999,39.279999,38.959999,39.16,2016000,39.16
2017-02-07,39.330002,39.709999,39.27,39.330002,2661200,39.330002
2017-02-06,39.400002,39.470001,39.060001,39.34,2619100,39.34
2017-02-03,39.540001,39.73,39.240002,39.580002,2655000,39.580002
2017-02-02,40.200001,40.549999,39.00,39.470001,4836800,39.470001
2017-02-01,40.669998,41.240002,40.419998,40.849998,4580900,40.849998
2017-01-31,40.16,40.540001,39.880001,40.529999,2497400,40.529999
2017-01-30,40.419998,40.50,39.779999,40.139999,1665100,40.139999
2017-01-27,40.290001,40.650002,40.16,40.580002,1309700,40.580002
2017-01-26,40.16,40.459999,40.110001,40.169998,1872400,40.169998
2017-01-25,39.459999,40.41,39.450001,40.27,3178900,40.27
2017-01-24,39.32,39.400002,39.07,39.380001,1477300,39.380001
2017-01-23,39.360001,39.560001,39.169998,39.259998,1146900,39.259998
2017-01-20,39.77,39.849998,39.310001,39.349998,1763300,39.349998
2017-01-19,39.84,40.200001,39.560001,39.599998,1243600,39.599998
2017-01-18,40.200001,40.330002,39.869999,39.950001,1489800,39.950001
2017-01-17,39.889999,40.02,39.66,39.93,1443300,39.93
2017-01-13,40.169998,40.450001,40.09,40.18,1206400,40.18
2017-01-12,40.619999,40.73,39.75,40.169998,1358300,40.169998
2017-01-11,40.509998,40.759998,40.259998,40.689999,2211700,40.689999
2017-01-10,40.009998,40.77,40.009998,40.439999,2374400,40.439999
2017-01-09,39.82,40.130001,39.810001,40.049999,1810900,40.049999
2017-01-06,39.889999,40.080002,39.75,39.880001,2337600,39.880001
2017-01-05,40.049999,40.189999,39.650002,39.790001,1948400,39.790001
2017-01-04,40.25,40.290001,39.50,40.029999,2799200,40.029999
2017-01-03,40.00,40.400002,39.759998,40.150002,2077600,40.150002
2016-12-30,40.209999,40.290001,39.84,40.119999,1661100,40.119999
2016-12-29,39.889999,40.349998,39.889999,40.080002,1384000,40.080002
2016-12-28,40.290001,40.290001,39.77,39.889999,1345000,39.889999
2016-12-27,40.419998,40.799999,40.25,40.279999,947900,40.279999
2016-12-23,40.040001,40.509998,39.990002,40.330002,1026700,40.330002
2016-12-22,39.990002,40.34,39.959999,40.07,1830300,40.07
2016-12-21,40.049999,40.27,39.82,39.990002,1460600,39.990002
2016-12-20,40.150002,40.369999,39.98,40.029999,1430600,40.029999
2016-12-19,40.09,40.619999,39.93,40.080002,2182200,40.080002
2016-12-16,40.91,41.00,39.810001,40.09,10904600,40.09
2016-12-15,40.810001,40.990002,40.259998,40.689999,3432300,40.689999
2016-12-14,40.549999,41.009998,40.470001,40.790001,3927000,40.790001
2016-12-13,39.950001,40.610001,39.709999,40.52,4042900,40.52
2016-12-12,39.66,40.18,39.43,39.75,5200300,39.75
2016-12-09,39.099998,39.66,38.810001,39.02,2617600,39.02
2016-12-08,38.98,39.66,38.759998,38.959999,1972700,38.959999
2016-12-07,38.77,39.209999,38.130001,39.00,3120700,39.00
2016-12-06,38.66,38.900002,38.369999,38.889999,1588700,38.889999
2016-12-05,38.099998,38.540001,37.720001,38.509998,1702800,38.509998
2016-12-02,37.759998,38.369999,37.639999,37.919998,1877500,37.919998
2016-12-01,38.279999,38.580002,37.459999,37.639999,2938900,37.639999
2016-11-30,38.959999,39.16,38.16,38.279999,3108300,38.279999
2016-11-29,38.849998,39.549999,38.689999,38.98,2903400,38.98
2016-11-28,39.049999,39.049999,38.529999,38.68,2173600,38.68
2016-11-25,39.209999,39.299999,38.990002,39.060001,1310800,39.060001
2016-11-23,38.419998,39.130001,38.419998,38.970001,2790200,38.970001
2016-11-22,38.389999,38.529999,37.66,38.470001,2975700,38.470001
2016-11-21,38.32,38.860001,38.310001,38.650002,1621400,38.650002
