Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,131.710007,131.779999,131.270004,131.490005,1688700,131.490005
2017-05-11,131.880005,132.50,130.779999,131.899994,2063300,131.899994
2017-05-10,131.720001,132.059998,131.210007,131.740005,2426300,131.740005
2017-05-09,131.210007,132.110001,130.990005,131.910004,2905000,131.910004
2017-05-08,131.470001,131.470001,130.820007,131.130005,2340200,131.130005
2017-05-05,131.279999,131.75,130.75,131.410004,2797400,131.410004
2017-05-04,131.289993,131.419998,130.649994,131.199997,2823100,131.199997
2017-05-03,130.509995,131.529999,130.130005,131.070007,4494900,131.070007
2017-05-02,130.729996,131.570007,130.710007,131.190002,3927200,131.190002
2017-05-01,131.029999,131.889999,130.50,130.899994,3163700,130.899994
2017-04-28,134.75,135.00,130.940002,131.139999,5952700,131.139999
2017-04-27,130.339996,130.509995,129.429993,129.880005,3227900,129.880005
2017-04-26,129.350006,130.830002,129.139999,130.100006,4544700,130.100006
2017-04-25,129.960007,131.339996,128.690002,129.300003,6458100,129.300003
2017-04-24,128.350006,130.740005,128.350006,129.789993,5569500,129.789993
2017-04-21,127.080002,128.300003,126.099998,127.080002,6268700,127.080002
2017-04-20,123.449997,124.599998,123.029999,123.769997,3972500,123.769997
2017-04-19,123.800003,123.800003,122.639999,122.739998,1838300,122.739998
2017-04-18,123.199997,123.690002,122.690002,123.080002,1666100,123.080002
2017-04-17,123.00,123.43,122.400002,123.43,1857200,123.43
2017-04-13,122.93,123.480003,122.489998,122.50,1672900,122.50
2017-04-12,124.660004,124.760002,122.970001,123.150002,2712900,123.150002
2017-04-11,124.43,124.790001,123.610001,124.540001,1902800,124.540001
2017-04-10,124.260002,125.169998,124.230003,124.459999,2203100,124.459999
2017-04-07,123.970001,124.470001,123.589996,124.269997,1860500,124.269997
2017-04-06,123.739998,124.330002,123.339996,123.830002,2072100,123.830002
2017-04-05,124.529999,125.120003,123.50,123.57,2555100,123.57
2017-04-04,124.470001,124.739998,123.849998,124.18,1777200,124.18
2017-04-03,124.730003,125.230003,123.290001,124.330002,2888300,124.330002
2017-03-31,125.110001,125.550003,124.699997,124.870003,2667800,124.870003
2017-03-30,125.129997,125.720001,124.989998,125.410004,1764000,125.410004
2017-03-29,124.959999,125.480003,124.769997,125.300003,1505100,125.300003
2017-03-28,124.209999,125.800003,123.540001,125.279999,1965900,125.279999
2017-03-27,123.769997,124.830002,123.050003,124.50,3328300,124.50
2017-03-24,125.589996,126.029999,124.279999,124.769997,2199400,124.769997
2017-03-23,125.610001,125.980003,125.129997,125.519997,1758500,125.519997
2017-03-22,125.870003,125.940002,124.529999,125.50,2097700,125.50
2017-03-21,127.059998,127.300003,125.410004,125.660004,2348900,125.660004
2017-03-20,127.00,127.169998,126.309998,126.50,1963100,126.50
2017-03-17,126.849998,127.32,126.300003,127.160004,3826300,127.160004
2017-03-16,127.480003,127.480003,126.220001,126.360001,2728400,126.360001
2017-03-15,126.330002,127.519997,126.00,126.970001,3116200,126.970001
2017-03-14,125.040001,126.589996,124.120003,125.709999,1975100,125.709999
2017-03-13,127.120003,127.349998,126.489998,126.730003,2582900,126.730003
2017-03-10,127.120003,127.360001,126.489998,127.040001,2685800,127.040001
2017-03-09,126.540001,127.230003,125.739998,126.190002,2479300,126.190002
2017-03-08,126.410004,127.209999,126.019997,126.589996,3119800,126.589996
2017-03-07,125.970001,126.410004,125.580002,126.260002,1989800,126.260002
2017-03-06,125.110001,126.559998,125.019997,126.080002,3020600,126.080002
2017-03-03,126.290001,126.629997,125.709999,126.209999,1953400,126.209999
2017-03-02,126.760002,127.349998,125.82,126.330002,3015200,126.330002
2017-03-01,125.360001,127.410004,125.360001,127.25,3969900,127.25
2017-02-28,125.00,125.720001,124.25,124.50,2902900,124.50
2017-02-27,124.599998,125.099998,124.239998,124.889999,4086300,124.889999
2017-02-24,124.239998,125.029999,123.620003,125.029999,2524100,125.029999
2017-02-23,125.00,125.419998,124.050003,124.82,2992200,124.82
2017-02-22,124.010002,125.07,123.519997,125.040001,3201000,125.040001
2017-02-21,124.800003,125.00,124.199997,124.709999,2369200,124.045002
2017-02-17,123.919998,124.559998,123.32,124.559998,2718300,123.8958
2017-02-16,124.300003,124.440002,123.300003,124.160004,4308800,123.497939
2017-02-15,123.360001,124.470001,123.169998,124.279999,3220500,123.617294
2017-02-14,123.50,123.959999,123.139999,123.620003,3111300,122.960818
2017-02-13,122.230003,123.809998,122.099998,123.620003,4425000,122.960818
2017-02-10,120.790001,122.00,120.739998,121.849998,3590300,121.200252
2017-02-09,119.730003,120.970001,119.639999,120.660004,2184800,120.016602
2017-02-08,119.620003,120.00,119.309998,119.730003,1824100,119.091561
2017-02-07,119.68,120.160004,119.419998,119.720001,2548900,119.081612
2017-02-06,119.029999,119.589996,118.860001,119.339996,3006000,118.703634
2017-02-03,118.519997,119.360001,117.910004,119.190002,2860400,118.55444
2017-02-02,117.580002,118.129997,117.129997,117.989998,2213800,117.360834
2017-02-01,118.709999,118.93,117.440002,118.00,2399600,117.370783
2017-01-31,118.980003,119.230003,117.370003,118.32,4243800,117.689076
