Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,34.380001,34.77,34.349998,34.41,1235900,34.41
2017-05-11,34.25,34.459999,34.110001,34.389999,1417800,34.389999
2017-05-10,34.610001,34.740002,34.389999,34.419998,2239300,34.419998
2017-05-09,34.549999,34.689999,34.32,34.580002,1485700,34.580002
2017-05-08,34.779999,34.990002,34.32,34.48,2103400,34.48
2017-05-05,34.860001,35.009998,34.560001,34.75,1105900,34.75
2017-05-04,34.560001,35.029999,34.529999,34.75,1518400,34.75
2017-05-03,34.799999,34.860001,34.43,34.580002,1446900,34.580002
2017-05-02,34.900002,34.970001,34.689999,34.810001,1222600,34.810001
2017-05-01,34.869999,35.00,34.779999,34.900002,1865100,34.900002
2017-04-28,34.950001,35.119999,34.889999,35.080002,2165300,35.080002
2017-04-27,35.040001,35.099998,34.91,34.990002,1352000,34.990002
2017-04-26,35.369999,35.369999,34.889999,34.939999,2438300,34.939999
2017-04-25,34.970001,35.450001,34.950001,35.43,2620300,35.43
2017-04-24,34.900002,34.970001,34.77,34.939999,1476300,34.939999
2017-04-21,34.509998,34.889999,34.50,34.689999,2009800,34.689999
2017-04-20,34.57,34.700001,34.25,34.529999,2002200,34.529999
2017-04-19,34.759998,34.900002,34.52,34.540001,1147400,34.540001
2017-04-18,34.470001,34.889999,34.439999,34.75,1662800,34.75
2017-04-17,34.189999,34.50,34.099998,34.459999,1320000,34.459999
2017-04-13,34.169998,34.34,33.990002,34.040001,1416200,34.040001
2017-04-12,34.150002,34.389999,33.970001,34.25,3948400,34.08
2017-04-11,34.34,34.490002,34.07,34.299999,1147600,34.129751
2017-04-10,34.290001,34.48,34.220001,34.400002,1087800,34.229257
2017-04-07,34.389999,34.50,34.240002,34.25,1863700,34.08
2017-04-06,34.459999,34.52,34.220001,34.380001,1753600,34.209355
2017-04-05,34.48,34.790001,34.380001,34.459999,2206400,34.288956
2017-04-04,34.50,34.59,34.119999,34.389999,1485200,34.219304
2017-04-03,34.610001,34.880001,34.360001,34.509998,2033600,34.338707
2017-03-31,34.25,34.700001,34.099998,34.630001,2436000,34.458114
2017-03-30,34.459999,34.630001,34.139999,34.209999,2971000,34.040197
2017-03-29,34.330002,34.580002,34.25,34.580002,3648900,34.408363
2017-03-28,34.150002,34.389999,33.959999,34.34,2739400,34.169553
2017-03-27,34.48,34.66,34.09,34.150002,2530000,33.980497
2017-03-24,34.810001,34.919998,34.389999,34.52,1820000,34.34866
2017-03-23,34.639999,35.00,34.57,34.720001,1860600,34.547668
2017-03-22,34.549999,34.73,34.279999,34.689999,1738500,34.517814
2017-03-21,34.93,35.060001,34.41,34.48,3160300,34.308857
2017-03-20,34.939999,35.099998,34.779999,34.950001,1375100,34.776526
2017-03-17,35.049999,35.060001,34.720001,34.919998,3587900,34.746672
2017-03-16,35.349998,35.349998,34.919998,34.990002,2226800,34.816328
2017-03-15,34.790001,35.540001,34.68,35.43,1901800,35.254143
2017-03-14,34.93,35.029999,34.610001,34.700001,1658100,34.527767
2017-03-13,35.07,35.240002,34.84,34.939999,2232200,34.766573
2017-03-10,34.779999,35.099998,34.73,35.07,1844500,34.895929
2017-03-09,34.779999,34.93,34.549999,34.549999,1772300,34.37851
2017-03-08,34.860001,35.040001,34.619999,34.650002,2405700,34.478016
2017-03-07,35.00,35.099998,34.810001,34.849998,2031900,34.67702
2017-03-06,35.060001,35.16,34.869999,35.00,2542600,34.826277
2017-03-03,35.25,35.439999,34.990002,35.369999,1751300,35.194439
2017-03-02,35.299999,35.610001,35.16,35.200001,2287700,35.025285
2017-03-01,35.299999,35.400002,35.139999,35.27,2672800,35.094937
2017-02-28,34.650002,35.380001,34.650002,35.25,4096700,35.075036
2017-02-27,34.619999,34.799999,34.48,34.650002,2448900,34.478016
2017-02-24,35.189999,35.299999,34.48,34.66,4444500,34.487964
2017-02-23,35.209999,35.73,34.189999,35.290001,9063700,35.114838
2017-02-22,37.599998,37.720001,37.18,37.299999,1997400,37.11486
2017-02-21,37.470001,37.689999,37.27,37.599998,1804100,37.41337
2017-02-17,37.040001,37.48,36.860001,37.259998,2523200,37.075058
2017-02-16,37.77,37.970001,37.029999,37.240002,3163700,37.05516
2017-02-15,37.459999,37.939999,37.32,37.869999,2640800,37.682031
2017-02-14,37.18,37.599998,37.07,37.59,1833500,37.403422
2017-02-13,37.139999,37.330002,36.900002,37.25,1500400,37.065109
2017-02-10,36.869999,37.27,36.77,37.130001,1896700,36.945706
2017-02-09,36.48,36.98,36.279999,36.919998,1886100,36.736745
