Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,18.10,18.219999,17.92,18.209999,8438600,18.209999
2017-05-11,18.43,18.49,18.129999,18.24,9297000,18.24
2017-05-10,18.370001,18.549999,18.309999,18.50,6786700,18.50
2017-05-09,18.68,18.85,18.40,18.469999,6757500,18.469999
2017-05-08,18.709999,18.799999,18.629999,18.67,6382000,18.67
2017-05-05,18.940001,18.98,18.719999,18.73,6954300,18.73
2017-05-04,18.940001,19.09,18.790001,18.90,10109700,18.90
2017-05-03,18.379999,18.870001,18.35,18.860001,9103300,18.860001
2017-05-02,18.58,18.60,18.309999,18.48,5467400,18.48
2017-05-01,18.389999,18.700001,18.26,18.549999,9209600,18.549999
2017-04-28,18.35,18.559999,18.219999,18.24,8567700,18.24
2017-04-27,18.690001,18.74,18.32,18.370001,9380000,18.370001
2017-04-26,18.60,18.870001,18.559999,18.68,8647100,18.68
2017-04-25,18.709999,18.879999,18.60,18.620001,9314700,18.620001
2017-04-24,18.77,18.950001,18.52,18.549999,14685100,18.549999
2017-04-21,18.09,18.35,17.91,18.15,13155900,18.15
2017-04-20,17.870001,18.469999,17.809999,18.209999,16540600,18.209999
2017-04-19,17.32,17.58,17.23,17.370001,11066700,17.370001
2017-04-18,17.17,17.370001,17.02,17.200001,10549300,17.200001
2017-04-17,17.01,17.379999,16.950001,17.34,8082500,17.34
2017-04-13,17.07,17.370001,16.91,17.00,13527100,17.00
2017-04-12,17.309999,17.360001,17.059999,17.17,8816700,17.17
2017-04-11,17.209999,17.34,17.02,17.33,7528100,17.33
2017-04-10,17.40,17.530001,17.139999,17.309999,9932100,17.309999
2017-04-07,17.360001,17.59,17.299999,17.440001,7074600,17.440001
2017-04-06,17.209999,17.57,17.10,17.52,9486500,17.52
2017-04-05,17.90,17.90,17.190001,17.200001,16055000,17.200001
2017-04-04,17.549999,17.73,17.50,17.59,8678900,17.59
2017-04-03,17.84,17.870001,17.450001,17.73,8265700,17.73
2017-03-31,17.85,17.950001,17.76,17.780001,11144000,17.780001
2017-03-30,17.50,18.040001,17.49,17.99,14973700,17.99
2017-03-29,17.49,17.58,17.34,17.51,9239300,17.51
2017-03-28,17.139999,17.610001,17.129999,17.49,9025700,17.49
2017-03-27,16.66,17.200001,16.540001,17.18,10809500,17.18
2017-03-24,17.309999,17.40,17.07,17.24,9164500,17.24
2017-03-23,17.08,17.50,17.00,17.25,10048200,17.25
2017-03-22,16.809999,17.27,16.549999,17.15,19029900,17.15
2017-03-21,18.190001,18.200001,16.85,16.90,25638500,16.90
2017-03-20,18.280001,18.389999,18.08,18.08,11822200,18.08
2017-03-17,18.469999,18.549999,18.25,18.35,18973000,18.35
2017-03-16,18.42,18.60,18.33,18.469999,9635700,18.469999
2017-03-15,18.559999,18.75,18.309999,18.33,15181200,18.33
2017-03-14,18.40,18.469999,18.120001,18.469999,9310800,18.469999
2017-03-13,18.60,18.67,18.42,18.530001,8302100,18.530001
2017-03-10,18.969999,19.01,18.32,18.58,14469700,18.58
2017-03-09,18.83,19.09,18.799999,18.84,8496000,18.84
2017-03-08,19.049999,19.139999,18.73,18.790001,7852500,18.790001
2017-03-07,18.99,19.030001,18.77,18.790001,8111700,18.790001
2017-03-06,18.940001,19.07,18.74,18.99,10379700,18.99
2017-03-03,18.940001,19.110001,18.90,19.07,9912700,19.07
2017-03-02,19.469999,19.50,18.85,18.879999,12370800,18.879999
2017-03-01,19.10,19.530001,19.10,19.360001,14867000,19.360001
2017-02-28,18.719999,18.83,18.67,18.77,8761400,18.77
2017-02-27,18.780001,18.889999,18.73,18.84,6799400,18.84
2017-02-24,18.76,18.879999,18.559999,18.74,16457100,18.74
2017-02-23,18.940001,19.07,18.700001,19.059999,10621800,18.974999
2017-02-22,18.91,19.02,18.82,18.93,8672400,18.84558
2017-02-21,19.10,19.17,18.950001,19.059999,7715300,18.974999
2017-02-17,18.799999,19.00,18.65,18.959999,8007200,18.875445
2017-02-16,19.10,19.110001,18.85,18.99,7250200,18.905312
2017-02-15,19.120001,19.209999,18.879999,19.10,14833700,19.014822
2017-02-14,18.48,18.93,18.440001,18.870001,9949400,18.785848
2017-02-13,18.389999,18.639999,18.35,18.459999,10405900,18.377675
2017-02-10,18.219999,18.32,18.120001,18.26,8965600,18.178568
2017-02-09,17.99,18.18,17.85,18.139999,11387200,18.059102
2017-02-08,17.93,17.940001,17.58,17.83,11923000,17.750485
2017-02-07,18.379999,18.41,18.030001,18.09,7904300,18.009326
2017-02-06,18.24,18.43,18.200001,18.27,9110300,18.188523
2017-02-03,18.110001,18.440001,17.93,18.370001,11745300,18.288078
2017-02-02,17.879999,17.879999,17.67,17.84,12656400,17.760441
2017-02-01,18.190001,18.33,17.959999,18.040001,10218200,17.959549
2017-01-31,18.07,18.209999,17.809999,17.969999,8012800,17.88986
2017-01-30,18.18,18.18,17.790001,18.07,10050400,17.989414
2017-01-27,18.40,18.450001,18.27,18.299999,6536900,18.218388
2017-01-26,18.43,18.57,18.33,18.450001,10799700,18.367721
2017-01-25,18.33,18.43,18.139999,18.40,9305500,18.317943
2017-01-24,17.76,18.08,17.68,18.049999,15465400,17.969503
2017-01-23,17.860001,17.92,17.610001,17.690001,10614000,17.61111
2017-01-20,17.860001,18.040001,17.75,17.860001,12979800,17.780352
2017-01-19,18.16,18.209999,17.65,17.84,18762900,17.760441
2017-01-18,17.84,18.139999,17.610001,18.129999,20128300,18.049146
2017-01-17,18.40,18.40,17.690001,17.709999,25013300,17.631019
2017-01-13,18.379999,18.77,18.379999,18.58,10607500,18.49714
2017-01-12,18.49,18.530001,18.110001,18.290001,11324400,18.208434
2017-01-11,18.42,18.59,18.219999,18.59,10540900,18.507096
2017-01-10,18.309999,18.60,18.17,18.48,9456500,18.397586
2017-01-09,18.24,18.35,18.02,18.26,9473900,18.178568
2017-01-06,18.40,18.50,18.290001,18.32,9897900,18.238299
2017-01-05,18.459999,18.59,18.15,18.280001,13709200,18.198479
2017-01-04,18.35,18.620001,18.35,18.51,9966400,18.427453
2017-01-03,18.51,18.66,18.16,18.26,13641800,18.178568
2016-12-30,18.17,18.43,18.07,18.27,10246000,18.188523
2016-12-29,18.27,18.290001,17.969999,18.110001,10072700,18.029237
2016-12-28,18.540001,18.549999,18.23,18.26,7066500,18.178568
2016-12-27,18.50,18.620001,18.469999,18.540001,4867700,18.45732
2016-12-23,18.379999,18.530001,18.26,18.469999,6766800,18.38763
2016-12-22,18.35,18.48,18.24,18.360001,9142000,18.278122
2016-12-21,18.469999,18.50,18.32,18.32,6923800,18.238299
2016-12-20,18.32,18.50,18.27,18.459999,8635000,18.377675
2016-12-19,18.059999,18.219999,17.92,18.17,13964800,18.088969
2016-12-16,18.459999,18.49,18.110001,18.16,24526600,18.079013
2016-12-15,18.209999,18.49,18.02,18.370001,14944500,18.288078
2016-12-14,17.92,18.549999,17.719999,18.139999,20833600,18.059102
2016-12-13,18.280001,18.440001,17.85,18.08,17939900,17.99937
2016-12-12,18.370001,18.469999,18.049999,18.200001,14298500,18.118836
2016-12-09,18.540001,18.540001,18.190001,18.459999,11221700,18.377675
2016-12-08,18.40,18.610001,18.17,18.370001,14593400,18.288078
2016-12-07,17.969999,18.299999,17.85,18.25,14123900,18.168612
2016-12-06,17.700001,17.98,17.59,17.950001,12578900,17.869951
2016-12-05,17.889999,18.01,17.620001,17.700001,19851800,17.621065
2016-12-02,17.879999,17.99,17.58,17.90,17003700,17.820172
2016-12-01,17.42,17.870001,17.42,17.860001,15567100,17.780352
2016-11-30,17.42,17.59,17.200001,17.309999,18361300,17.232803
2016-11-29,17.030001,17.219999,16.959999,17.01,10081900,16.934142
2016-11-28,17.209999,17.299999,16.940001,17.00,12059900,16.924186
2016-11-25,17.41,17.440001,17.200001,17.33,6134500,17.252715
2016-11-23,17.33,17.57,17.280001,17.52,16881200,17.357247
