Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,19.25,19.309999,18.870001,18.92,2971800,18.92
2017-05-11,19.52,19.549999,19.10,19.23,3832900,19.23
2017-05-10,19.450001,19.799999,19.389999,19.639999,5299000,19.639999
2017-05-09,19.41,19.639999,19.18,19.52,4850600,19.52
2017-05-08,19.959999,20.01,19.309999,19.43,3667500,19.43
2017-05-05,20.00,20.120001,19.860001,19.940001,4069000,19.940001
2017-05-04,19.91,19.99,19.389999,19.959999,6878200,19.959999
2017-05-03,20.790001,20.790001,20.030001,20.110001,3562300,20.110001
2017-05-02,20.43,20.90,20.26,20.719999,5653000,20.719999
2017-05-01,20.32,20.68,20.16,20.43,4009400,20.43
2017-04-28,20.639999,20.65,20.18,20.290001,4202200,20.290001
2017-04-27,21.139999,21.85,20.629999,20.67,5788200,20.67
2017-04-26,21.65,21.700001,21.09,21.139999,8008700,21.139999
2017-04-25,21.629999,21.799999,21.530001,21.709999,5725600,21.709999
2017-04-24,22.32,22.34,21.52,21.58,4830500,21.58
2017-04-21,22.58,22.65,22.16,22.23,2570200,22.23
2017-04-20,22.709999,22.709999,22.43,22.60,2288200,22.60
2017-04-19,22.709999,23.030001,22.639999,22.690001,3245100,22.690001
2017-04-18,22.549999,22.74,22.469999,22.719999,3224700,22.719999
2017-04-17,22.41,22.620001,22.360001,22.559999,2645600,22.559999
2017-04-13,22.35,22.459999,22.26,22.34,2055200,22.34
2017-04-12,22.25,22.459999,22.110001,22.35,3179700,22.35
2017-04-11,22.00,22.34,21.950001,22.24,3628200,22.24
2017-04-10,21.530001,21.99,21.43,21.93,4269900,21.93
2017-04-07,21.719999,21.780001,21.459999,21.50,4360400,21.50
2017-04-06,21.83,21.85,21.620001,21.68,4111000,21.68
2017-04-05,21.959999,22.049999,21.83,21.860001,3500100,21.860001
2017-04-04,22.10,22.209999,21.84,21.90,3999900,21.90
2017-04-03,21.82,22.209999,21.77,22.09,4519300,22.09
2017-03-31,22.00,22.120001,21.959999,22.09,5048500,21.820001
2017-03-30,21.91,21.99,21.709999,21.959999,2475300,21.691588
2017-03-29,22.059999,22.059999,21.76,21.93,3265500,21.661956
2017-03-28,21.93,22.120001,21.719999,22.09,3172800,21.820001
2017-03-27,22.50,22.690001,21.93,22.00,3319800,21.7311
2017-03-24,22.49,22.75,22.49,22.58,3146400,22.304011
2017-03-23,22.120001,22.75,22.09,22.49,3007900,22.215111
2017-03-22,22.57,22.57,21.860001,22.129999,3732200,21.859511
2017-03-21,22.549999,22.709999,22.48,22.58,3082300,22.304011
2017-03-20,22.790001,22.82,22.51,22.559999,3960400,22.284255
2017-03-17,22.799999,22.84,22.459999,22.790001,7561700,22.511445
2017-03-16,22.82,22.91,22.700001,22.790001,4255700,22.511445
2017-03-15,22.360001,23.02,22.23,22.799999,5324800,22.521322
2017-03-14,21.700001,22.299999,21.700001,22.190001,5988400,21.918779
2017-03-13,21.98,21.98,21.66,21.85,5561400,21.582934
2017-03-10,21.59,21.93,21.459999,21.639999,4907500,21.3755
2017-03-09,22.219999,22.389999,21.559999,21.59,5680100,21.326112
