Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,100.389999,101.00,99.50,100.040001,902000,100.040001
2017-05-11,100.290001,100.730003,99.57,100.260002,866800,100.260002
2017-05-10,101.139999,101.290001,100.400002,100.760002,1155000,100.22
2017-05-09,100.699997,101.470001,100.610001,100.809998,787600,100.269727
2017-05-08,101.010002,101.029999,100.25,100.50,968400,99.961391
2017-05-05,101.470001,101.800003,99.800003,100.940002,986100,100.399035
2017-05-04,100.199997,100.849998,99.589996,100.809998,903500,100.269727
2017-05-03,99.68,100.019997,99.089996,99.449997,1019300,98.917015
2017-05-02,99.370003,99.790001,98.470001,99.720001,1483900,99.185573
2017-05-01,98.709999,99.50,97.470001,99.169998,1801500,98.638517
2017-04-28,100.279999,103.980003,97.839996,98.220001,3066400,97.693612
2017-04-27,101.290001,104.220001,101.290001,103.589996,2706300,103.034827
2017-04-26,101.779999,101.779999,100.629997,100.800003,791100,100.259786
2017-04-25,101.120003,101.809998,100.440002,101.709999,1007700,101.164905
2017-04-24,99.709999,100.980003,99.209999,100.830002,1419000,100.289624
2017-04-21,98.57,98.650002,97.669998,98.370003,799100,97.842809
2017-04-20,98.00,98.82,97.620003,98.510002,1022000,97.982058
2017-04-19,95.690002,97.660004,95.57,97.589996,1563100,97.066983
2017-04-18,94.940002,95.849998,94.32,94.599998,1416000,94.093009
2017-04-17,94.519997,95.739998,94.330002,95.50,1542900,94.988188
2017-04-13,94.980003,96.309998,94.220001,95.330002,1134900,94.819101
2017-04-12,95.760002,95.989998,94.730003,95.209999,1041000,94.699741
2017-04-11,96.150002,96.190002,93.610001,95.50,1406100,94.988188
2017-04-10,96.75,96.970001,95.849998,96.330002,1472700,95.813741
2017-04-07,96.239998,96.660004,96.080002,96.540001,1128100,96.022615
2017-04-06,95.730003,96.190002,94.879997,96.169998,980700,95.654595
2017-04-05,96.470001,97.489998,95.559998,95.730003,1122800,95.216958
2017-04-04,95.970001,96.660004,95.870003,96.459999,967100,95.943042
2017-04-03,95.339996,96.379997,94.809998,95.970001,963400,95.45567
2017-03-31,95.379997,96.43,94.739998,95.07,772400,94.560492
2017-03-30,95.739998,96.120003,95.459999,95.639999,395600,95.127437
2017-03-29,95.440002,95.669998,95.040001,95.449997,636800,94.938453
2017-03-28,95.790001,96.199997,95.209999,95.650002,732900,95.137385
2017-03-27,95.330002,96.110001,94.610001,95.800003,572000,95.286583
2017-03-24,96.050003,96.910004,95.300003,95.720001,514600,95.20701
2017-03-23,95.580002,96.00,94.849998,95.230003,766800,94.719638
2017-03-22,94.529999,95.639999,93.989998,95.57,1076500,95.057812
2017-03-21,95.339996,95.739998,93.239998,94.190002,1110300,93.685211
2017-03-20,95.019997,96.339996,94.610001,95.120003,1013600,94.610227
2017-03-17,94.43,95.269997,93.989998,94.690002,1982300,94.182531
2017-03-16,93.610001,94.660004,93.529999,94.199997,843600,93.695152
2017-03-15,93.099998,93.650002,92.639999,93.610001,784900,93.108317
2017-03-14,92.860001,93.389999,92.050003,92.870003,712300,92.372285
2017-03-13,92.970001,93.349998,92.410004,92.860001,1113700,92.362337
2017-03-10,92.589996,93.220001,91.889999,93.199997,1386600,92.700511
2017-03-09,91.769997,91.919998,91.059998,91.790001,1022000,91.298071
2017-03-08,91.269997,91.889999,90.790001,91.550003,1089400,91.05936
2017-03-07,90.519997,91.43,89.519997,91.040001,879100,90.552091
2017-03-06,90.029999,91.059998,89.599998,90.82,774900,90.333269
2017-03-03,90.93,91.019997,89.870003,90.419998,751700,89.935411
2017-03-02,91.349998,91.580002,90.650002,90.730003,1091200,90.243755
2017-03-01,90.660004,91.650002,89.860001,91.440002,1314200,90.949949
2017-02-28,90.260002,90.459999,89.779999,90.120003,989900,89.637023
2017-02-27,90.459999,90.459999,89.510002,90.220001,437100,89.736486
2017-02-24,89.459999,90.349998,89.110001,90.290001,762400,89.80611
2017-02-23,90.349998,90.879997,89.339996,89.900002,808600,89.418201
2017-02-22,90.150002,90.400002,89.559998,90.269997,836500,89.786213
2017-02-21,88.699997,90.50,88.300003,90.449997,1301100,89.965249
2017-02-17,88.260002,88.470001,87.410004,88.459999,1431200,87.985916
2017-02-16,87.910004,88.580002,87.169998,88.529999,1936300,88.055541
2017-02-15,86.989998,87.860001,86.690002,87.68,743700,87.210098
2017-02-14,87.160004,87.290001,86.360001,86.989998,1408800,86.523793
2017-02-13,86.800003,87.480003,86.720001,87.220001,698300,86.752564
2017-02-10,86.959999,87.239998,86.330002,86.639999,1422100,85.638568
2017-02-09,86.849998,87.290001,86.489998,86.739998,811700,85.737411
2017-02-08,87.760002,87.830002,86.870003,86.870003,1031800,85.865913
2017-02-07,86.889999,87.720001,86.889999,87.660004,1257000,86.646783
2017-02-06,87.269997,87.900002,86.900002,87.00,1160900,85.994408
2017-02-03,87.910004,88.120003,87.18,87.589996,1298100,86.577584
2017-02-02,85.940002,87.57,85.330002,87.360001,1612900,86.350247
2017-02-01,85.540001,86.059998,84.900002,86.040001,1399600,85.045505
2017-01-31,86.230003,86.230003,84.57,85.110001,1492700,84.126254
2017-01-30,85.989998,86.559998,85.18,86.25,1634700,85.253077
2017-01-27,85.970001,87.959999,85.230003,86.160004,3253500,85.16412
2017-01-26,84.650002,84.82,82.970001,83.25,2715700,82.287752
2017-01-25,83.599998,85.139999,83.129997,84.669998,2006400,83.691337
2017-01-24,82.230003,83.050003,81.879997,82.800003,1135100,81.842957
2017-01-23,81.690002,82.110001,81.389999,82.099998,1029300,81.151043
2017-01-20,81.00,81.879997,80.68,81.559998,965100,80.617284
2017-01-19,81.669998,81.889999,80.82,81.150002,910800,80.212027
2017-01-18,80.339996,81.690002,80.029999,81.629997,1297400,80.686474
2017-01-17,81.379997,81.379997,79.199997,80.00,1199000,79.075317
2017-01-13,80.129997,81.580002,80.110001,81.440002,1148000,80.498676
2017-01-12,80.18,80.209999,79.470001,80.099998,904000,79.17416
2017-01-11,79.239998,80.459999,79.029999,80.269997,1207700,79.342193
2017-01-10,79.599998,79.699997,78.830002,79.330002,561900,78.413063
2017-01-09,79.209999,80.099998,79.169998,79.589996,1040600,78.670053
2017-01-06,78.629997,79.169998,77.919998,79.129997,942700,78.215371
2017-01-05,78.760002,79.269997,77.860001,78.419998,1317200,77.513578
2017-01-04,79.199997,79.470001,78.43,79.129997,1165700,78.215371
2017-01-03,78.970001,80.449997,78.480003,79.410004,1330600,78.492141
2016-12-30,79.290001,79.540001,78.120003,78.68,784000,77.770575
2016-12-29,79.580002,79.779999,78.519997,79.290001,636000,78.373525
2016-12-28,80.959999,81.690002,79.720001,79.760002,1057900,78.838094
2016-12-27,79.190002,80.480003,79.089996,80.019997,733400,79.095083
2016-12-23,79.220001,79.32,78.529999,79.120003,488500,78.205492
2016-12-22,78.980003,79.349998,78.379997,79.150002,1507300,78.235144
2016-12-21,79.099998,79.330002,78.660004,78.980003,798500,78.06711
2016-12-20,79.730003,79.989998,78.68,78.879997,908600,77.96826
2016-12-19,79.419998,80.68,78.82,79.370003,1916400,78.452602
2016-12-16,79.620003,80.43,77.839996,78.190002,7674000,77.286241
2016-12-15,77.919998,80.68,77.339996,79.360001,2226700,78.442715
2016-12-14,79.330002,80.449997,77.510002,77.809998,2241100,76.910628
2016-12-13,77.580002,79.040001,77.580002,77.970001,1356700,77.068782
2016-12-12,77.339996,77.50,76.559998,77.32,1388200,76.426294
2016-12-09,79.019997,79.019997,76.809998,77.209999,1538800,76.317565
2016-12-08,79.25,79.709999,78.32,78.849998,1031200,77.938608
2016-12-07,78.019997,80.00,77.900002,79.260002,1765300,78.343873
2016-12-06,76.989998,78.370003,76.449997,78.120003,1277000,77.21705
2016-12-05,76.260002,77.940002,76.209999,77.029999,1402400,76.139645
2016-12-02,76.00,76.839996,74.660004,76.260002,2718400,75.378548
2016-12-01,79.690002,79.970001,74.760002,75.93,3435400,75.052361
2016-11-30,81.779999,82.00,79.839996,79.839996,2217800,78.917163
2016-11-29,82.580002,82.690002,81.650002,81.68,1460400,80.735899
2016-11-28,81.989998,83.139999,81.970001,82.510002,839700,81.556308
2016-11-25,81.910004,82.279999,81.660004,82.269997,400200,81.319076
2016-11-23,83.00,83.00,81.43,81.830002,3174200,80.884167
2016-11-22,81.209999,83.230003,81.129997,83.040001,3431100,82.08018
2016-11-21,80.050003,81.75,79.739998,80.959999,1823700,80.02422
2016-11-18,79.029999,80.239998,78.489998,80.040001,2012300,79.114856
2016-11-17,77.879997,79.839996,77.699997,79.050003,1670600,78.136301
2016-11-16,77.470001,77.860001,77.239998,77.699997,930000,76.801899
2016-11-15,76.349998,77.830002,75.440002,77.75,1745700,76.851324
2016-11-14,75.790001,76.43,75.470001,75.480003,1270900,74.607565
2016-11-11,74.239998,75.50,74.199997,75.459999,1010700,74.587792
2016-11-10,75.449997,76.339996,74.279999,74.510002,1955700,73.648776
2016-11-09,74.260002,75.68,73.989998,75.489998,1614700,74.083685
2016-11-08,75.669998,75.860001,75.050003,75.529999,2535300,74.12294
