Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,20.120001,20.139999,19.870001,19.91,10660600,19.91
2017-05-11,20.209999,20.27,20.00,20.110001,10725600,20.110001
2017-05-10,20.01,20.440001,19.93,20.190001,18083500,20.190001
2017-05-09,20.139999,20.290001,19.84,19.90,14386800,19.90
2017-05-08,20.190001,20.26,19.93,20.15,9718400,20.15
2017-05-05,19.799999,20.23,19.76,20.190001,9856000,20.190001
2017-05-04,20.200001,20.280001,19.60,19.76,16398500,19.76
2017-05-03,20.40,20.57,20.27,20.280001,12907000,20.280001
2017-05-02,20.59,20.719999,20.43,20.450001,9304900,20.450001
2017-05-01,20.610001,20.67,20.48,20.540001,8000300,20.540001
2017-04-28,20.73,20.74,20.530001,20.629999,10299200,20.629999
2017-04-27,20.65,20.83,20.51,20.620001,8604300,20.620001
2017-04-26,20.82,21.219999,20.799999,20.92,10691700,20.795
2017-04-25,20.620001,20.950001,20.459999,20.90,11542300,20.775119
2017-04-24,20.440001,20.66,20.379999,20.629999,13383600,20.506732
2017-04-21,20.73,20.75,20.219999,20.27,18141500,20.148885
2017-04-20,20.889999,21.18,20.559999,20.719999,20558900,20.596195
2017-04-19,21.17,21.290001,20.91,20.98,11856200,20.854641
2017-04-18,21.219999,21.40,21.16,21.16,16576200,21.033566
2017-04-17,21.40,21.49,21.32,21.370001,7357700,21.242312
2017-04-13,21.67,21.85,21.35,21.389999,9865300,21.262191
2017-04-12,21.639999,21.73,21.49,21.66,9605200,21.530579
2017-04-11,21.719999,21.73,21.459999,21.610001,8441500,21.480878
2017-04-10,21.65,21.85,21.629999,21.75,7664000,21.620041
2017-04-07,21.75,21.83,21.530001,21.559999,8390500,21.431176
2017-04-06,21.559999,21.879999,21.440001,21.75,11314800,21.620041
2017-04-05,21.790001,21.92,21.450001,21.469999,9573500,21.341713
2017-04-04,21.66,21.68,21.42,21.639999,7458200,21.510698
2017-04-03,21.74,21.82,21.32,21.59,7553000,21.460997
2017-03-31,21.41,21.77,21.35,21.74,13907500,21.610101
2017-03-30,21.49,21.690001,21.379999,21.43,14187900,21.301953
2017-03-29,21.35,21.50,21.219999,21.41,12615100,21.282072
2017-03-28,21.129999,21.450001,21.049999,21.42,9820900,21.292013
2017-03-27,20.969999,21.139999,20.860001,21.030001,8336900,20.904344
2017-03-24,21.15,21.440001,21.09,21.15,10210000,21.023626
2017-03-23,21.02,21.26,20.98,21.15,10778100,21.023626
2017-03-22,20.92,21.16,20.709999,20.98,12288200,20.854641
2017-03-21,21.25,21.42,20.74,20.940001,16276800,20.814881
2017-03-20,21.10,21.23,20.99,21.190001,10023900,21.063388
2017-03-17,21.610001,21.74,21.26,21.280001,14405500,21.15285
2017-03-16,21.66,21.700001,21.360001,21.559999,7700400,21.431176
2017-03-15,21.299999,21.709999,21.200001,21.66,11011100,21.530579
2017-03-14,21.219999,21.290001,20.950001,21.040001,9545600,20.914284
2017-03-13,21.450001,21.66,21.41,21.51,8594400,21.381475
2017-03-10,21.40,21.60,21.299999,21.50,10855900,21.371535
