Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,30.209999,30.27,29.459999,29.52,10291700,29.52
2017-05-11,30.01,30.639999,30.01,30.43,14011400,30.43
2017-05-10,29.07,30.08,29.040001,30.040001,11998700,29.92
2017-05-09,28.969999,29.25,28.959999,29.049999,9652600,28.933953
2017-05-08,29.41,29.459999,28.85,28.92,8986000,28.804473
2017-05-05,29.219999,29.459999,29.16,29.35,7540000,29.232756
2017-05-04,29.440001,29.690001,29.120001,29.219999,6647300,29.103274
2017-05-03,28.870001,29.549999,28.870001,29.40,11096400,29.282555
2017-05-02,28.60,28.99,28.549999,28.82,14127200,28.704872
2017-05-01,29.66,29.799999,29.01,29.02,9851100,28.904074
2017-04-28,30.17,30.17,29.49,29.65,8670800,29.531557
2017-04-27,29.950001,30.33,29.90,30.15,6272700,30.029559
2017-04-26,30.00,30.10,29.809999,29.860001,6331800,29.740719
2017-04-25,30.00,30.200001,29.67,29.84,6175600,29.720798
2017-04-24,30.09,30.219999,29.92,30.139999,7059800,30.019599
2017-04-21,29.639999,30.139999,29.58,29.950001,9179500,29.830359
2017-04-20,30.00,30.10,29.68,29.709999,9171000,29.591316
2017-04-19,29.879999,30.10,29.870001,29.950001,5807800,29.830359
2017-04-18,29.98,30.08,29.709999,29.82,5886200,29.700878
2017-04-17,29.99,30.16,29.879999,30.00,5659600,29.880159
2017-04-13,30.049999,30.379999,29.969999,29.969999,8037000,29.850278
2017-04-12,29.52,29.950001,29.49,29.860001,6412600,29.740719
2017-04-11,30.24,30.24,29.52,29.57,10006400,29.451876
2017-04-10,29.90,30.40,29.82,30.190001,10432500,30.0694
2017-04-07,29.379999,30.01,29.280001,29.860001,7552500,29.740719
2017-04-06,29.450001,29.860001,29.40,29.51,8685300,29.392117
2017-04-05,29.690001,29.76,29.309999,29.309999,7532200,29.192915
2017-04-04,29.299999,29.74,29.280001,29.690001,10488900,29.571398
2017-04-03,29.459999,29.48,29.219999,29.40,8016800,29.282555
2017-03-31,29.33,29.75,29.299999,29.49,11372300,29.372196
2017-03-30,29.32,29.34,29.08,29.200001,5863600,29.083355
2017-03-29,29.02,29.41,29.01,29.34,5299400,29.222796
2017-03-28,28.969999,29.17,28.85,29.040001,5637000,28.923995
2017-03-27,29.00,29.23,28.809999,28.93,6658700,28.814434
2017-03-24,29.25,29.26,28.940001,29.10,8185000,28.983755
2017-03-23,29.34,29.639999,29.08,29.26,10845100,29.143115
2017-03-22,29.00,29.200001,28.780001,28.959999,6730200,28.844312
2017-03-21,29.219999,29.440001,28.889999,28.93,7876400,28.814434
2017-03-20,29.60,29.879999,29.120001,29.190001,8659900,29.073395
2017-03-17,29.530001,29.639999,29.26,29.549999,22193800,29.431956
2017-03-16,28.879999,29.42,28.879999,29.32,12652200,29.202875
2017-03-15,28.83,29.08,28.58,28.84,9013100,28.724793
2017-03-14,28.610001,28.790001,28.290001,28.700001,8266600,28.585353
2017-03-13,28.83,29.08,28.530001,28.690001,9082800,28.575392
2017-03-10,28.98,29.08,28.709999,28.82,8474900,28.704872
2017-03-09,29.01,29.459999,28.77,28.83,10445800,28.714833
2017-03-08,28.85,29.15,28.82,29.00,11812400,28.884154
2017-03-07,29.10,29.25,28.73,28.809999,12980000,28.694912
2017-03-06,29.620001,29.82,29.34,29.370001,9253000,29.252676
2017-03-03,30.68,30.75,29.43,29.629999,18766600,29.511636
2017-03-02,32.060001,32.060001,30.26,30.67,22585500,30.547483
2017-03-01,31.93,32.48,31.68,32.060001,13137400,31.931931
2017-02-28,32.080002,32.16,31.58,31.799999,12857000,31.672968
2017-02-27,32.84,32.900002,32.029999,32.220001,12148700,32.091292
2017-02-24,32.82,33.290001,32.810001,33.290001,6848000,33.157017
2017-02-23,33.389999,33.389999,32.650002,32.990002,7784100,32.858216
2017-02-22,34.049999,34.049999,32.919998,33.23,8872700,33.097256
