Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,36.759998,37.07,35.599998,36.490002,9114700,36.490002
2017-05-11,41.490002,42.130001,37.110001,37.16,18994900,37.16
2017-05-10,39.830002,40.689999,39.830002,40.32,6821300,40.32
2017-05-09,39.259998,40.400002,39.049999,39.82,4982000,39.82
2017-05-08,40.259998,40.299999,39.27,39.290001,4077900,39.290001
2017-05-05,39.59,40.259998,39.580002,40.119999,3777600,40.119999
2017-05-04,40.16,40.419998,39.290001,39.349998,3410100,39.349998
2017-05-03,39.16,40.110001,39.00,39.919998,4388700,39.919998
2017-05-02,38.189999,39.310001,38.09,39.16,4247000,39.16
2017-05-01,39.060001,39.060001,38.009998,38.009998,3860700,38.009998
2017-04-28,39.830002,39.990002,38.880001,39.029999,3745900,39.029999
2017-04-27,39.630001,40.220001,39.279999,39.880001,3041700,39.880001
2017-04-26,39.459999,39.939999,39.32,39.52,3841900,39.52
2017-04-25,39.799999,40.09,39.130001,39.380001,3268800,39.380001
2017-04-24,40.470001,40.66,39.459999,39.709999,4311400,39.709999
2017-04-21,40.610001,40.849998,39.869999,40.07,2790200,40.07
2017-04-20,39.720001,41.09,39.639999,40.759998,4854200,40.759998
2017-04-19,39.119999,39.91,38.919998,39.18,3679300,39.18
2017-04-18,38.84,39.139999,38.580002,38.830002,2756200,38.830002
2017-04-17,39.529999,39.580002,38.32,38.91,4331800,38.91
2017-04-13,40.240002,40.299999,39.16,39.450001,2901800,39.450001
2017-04-12,40.209999,40.50,39.66,40.150002,3879900,40.150002
2017-04-11,40.00,40.25,39.459999,40.23,3104900,40.23
2017-04-10,39.41,40.610001,39.330002,39.830002,3376900,39.830002
2017-04-07,39.43,39.689999,39.02,39.200001,3854300,39.200001
2017-04-06,37.970001,40.290001,37.75,39.59,8257600,39.59
2017-04-05,37.889999,38.48,37.470001,37.509998,3496100,37.509998
2017-04-04,38.59,38.740002,37.439999,37.689999,5276900,37.689999
2017-04-03,39.82,40.130001,38.669998,39.150002,4068000,39.150002
2017-03-31,40.459999,40.970001,39.799999,39.810001,3920700,39.810001
2017-03-30,39.970001,40.450001,39.639999,40.43,2822400,40.43
2017-03-29,38.50,40.529999,38.41,40.189999,5428300,40.189999
2017-03-28,37.349998,38.529999,37.330002,38.450001,3010900,38.450001
2017-03-27,37.16,37.990002,37.099998,37.560001,2650700,37.560001
2017-03-24,37.41,37.580002,37.00,37.41,3426800,37.41
2017-03-23,37.860001,38.400002,37.439999,37.509998,2897400,37.509998
2017-03-22,37.619999,37.77,37.040001,37.73,3083400,37.73
2017-03-21,38.619999,38.689999,36.66,37.639999,5590400,37.639999
2017-03-20,40.549999,40.799999,38.220001,38.560001,5504400,38.560001
2017-03-17,40.689999,41.07,40.110001,40.490002,11106100,40.490002
2017-03-16,39.650002,40.619999,39.240002,40.490002,3875400,40.490002
2017-03-15,39.720001,39.93,38.880001,39.720001,3844300,39.720001
2017-03-14,39.540001,40.200001,39.540001,39.849998,3222400,39.849998
2017-03-13,40.400002,40.630001,39.57,39.810001,5104400,39.810001
2017-03-10,40.09,40.779999,39.82,40.459999,4036400,40.459999
2017-03-09,40.50,40.740002,39.529999,39.779999,3386000,39.779999
2017-03-08,39.639999,40.939999,39.57,40.509998,4001100,40.509998
2017-03-07,39.380001,39.830002,39.27,39.509998,4970800,39.509998
2017-03-06,40.549999,40.740002,39.009998,39.400002,4548800,39.400002
2017-03-03,42.220001,42.470001,41.099998,41.34,3905200,40.790001
2017-03-02,42.25,42.759998,42.029999,42.130001,4946500,41.569491
2017-03-01,42.919998,43.25,41.650002,41.98,4035300,41.421485
2017-02-28,43.040001,43.09,41.740002,42.619999,6484900,42.05297
2017-02-27,43.049999,44.50,42.869999,43.790001,4468600,43.207406
2017-02-24,40.91,43.450001,40.73,42.990002,7221400,42.41805
2017-02-23,41.950001,42.91,40.759998,40.91,7289500,40.365721
2017-02-22,41.740002,42.200001,41.189999,41.779999,3578300,41.224145
2017-02-21,42.060001,42.400002,41.529999,41.779999,4800000,41.224145
2017-02-17,41.50,41.990002,41.02,41.970001,3499200,41.41162
2017-02-16,42.709999,43.00,41.380001,41.529999,3808500,40.977472
2017-02-15,42.639999,43.240002,42.330002,42.849998,3782900,42.27991
2017-02-14,41.490002,42.720001,41.380001,42.639999,4051500,42.072704
2017-02-13,42.419998,42.50,40.93,41.34,3163500,40.790001
2017-02-10,42.310001,43.450001,41.209999,42.040001,4764000,41.480688
