Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,140.559998,141.360001,138.309998,139.320007,721700,139.320007
2017-05-11,141.289993,142.429993,140.789993,141.130005,759300,141.130005
2017-05-10,141.559998,142.289993,141.210007,141.699997,697900,141.699997
2017-05-09,142.190002,142.869995,141.970001,142.029999,360300,142.029999
2017-05-08,142.190002,142.869995,141.539993,142.190002,498900,142.190002
2017-05-05,140.990005,142.529999,140.220001,142.380005,690200,142.380005
2017-05-04,140.550003,141.410004,140.190002,140.899994,482700,140.899994
2017-05-03,141.020004,141.240005,140.029999,140.600006,566100,140.600006
2017-05-02,141.970001,142.509995,140.779999,141.070007,811800,141.070007
2017-05-01,140.559998,141.630005,140.440002,141.009995,749600,141.009995
2017-04-28,139.50,140.460007,139.210007,140.149994,936300,140.149994
2017-04-27,138.929993,140.089996,138.690002,139.679993,686800,139.679993
2017-04-26,138.830002,140.169998,137.699997,138.690002,1266400,138.690002
2017-04-25,138.869995,140.350006,134.190002,138.889999,2684800,138.889999
2017-04-24,144.630005,145.149994,143.880005,144.610001,720300,144.610001
2017-04-21,145.369995,145.419998,143.029999,143.289993,838800,143.289993
2017-04-20,143.339996,146.630005,143.339996,145.660004,1184000,145.660004
2017-04-19,142.539993,142.910004,141.839996,142.800003,828100,142.800003
2017-04-18,141.809998,142.490005,141.089996,142.190002,511400,142.190002
2017-04-17,142.339996,143.139999,141.919998,142.509995,788300,142.509995
2017-04-13,142.339996,142.75,141.809998,142.100006,495200,142.100006
2017-04-12,143.449997,143.639999,142.350006,142.570007,508200,142.570007
2017-04-11,143.119995,143.720001,142.440002,143.339996,510000,143.339996
2017-04-10,143.440002,144.529999,143.210007,143.490005,399000,143.490005
2017-04-07,143.820007,143.979996,142.460007,143.389999,537700,143.389999
2017-04-06,143.699997,144.020004,142.75,144.020004,1375100,144.020004
2017-04-05,144.009995,145.639999,143.279999,143.550003,523000,143.550003
2017-04-04,144.270004,144.509995,143.289993,143.509995,489900,143.509995
2017-04-03,142.75,144.699997,142.75,144.550003,763400,144.550003
2017-03-31,144.00,144.229996,143.149994,143.470001,410500,143.470001
2017-03-30,142.300003,144.369995,142.130005,143.979996,430800,143.979996
2017-03-29,142.690002,143.580002,142.460007,143.190002,430200,143.190002
2017-03-28,142.119995,143.110001,141.289993,142.910004,590700,142.910004
2017-03-27,141.350006,142.570007,141.070007,142.529999,835200,142.529999
2017-03-24,141.740005,142.600006,141.479996,142.00,869400,142.00
2017-03-23,142.380005,143.139999,141.059998,141.50,798400,141.50
2017-03-22,142.820007,143.320007,141.649994,142.300003,896000,142.300003
2017-03-21,143.910004,144.389999,141.929993,142.470001,657700,142.470001
2017-03-20,143.990005,144.410004,143.070007,143.639999,758700,143.639999
2017-03-17,144.300003,144.429993,143.279999,143.75,634200,143.75
2017-03-16,144.300003,145.00,143.880005,144.179993,560200,144.179993
2017-03-15,143.649994,144.630005,143.070007,144.270004,449000,144.270004
2017-03-14,143.889999,143.899994,142.649994,143.089996,521200,143.089996
2017-03-13,144.080002,144.449997,142.869995,144.240005,592500,144.240005
2017-03-10,143.570007,144.279999,142.889999,143.940002,605000,143.940002
2017-03-09,142.070007,143.270004,141.860001,143.130005,714600,143.130005
2017-03-08,142.100006,142.710007,141.619995,142.110001,562200,142.110001
2017-03-07,142.100006,142.789993,141.509995,142.089996,494500,142.089996
2017-03-06,141.960007,142.809998,141.289993,142.429993,777400,142.429993
2017-03-03,141.830002,142.509995,141.059998,142.289993,643800,142.289993
2017-03-02,142.610001,142.809998,141.850006,141.929993,481700,141.929993
2017-03-01,143.149994,143.149994,141.610001,142.740005,847700,142.740005
2017-02-28,142.270004,143.029999,141.800003,142.259995,707400,142.259995
2017-02-27,143.00,143.699997,142.309998,142.820007,619900,142.820007
2017-02-24,140.199997,143.139999,140.00,142.889999,1290300,142.889999
2017-02-23,139.539993,140.800003,138.940002,140.270004,1079800,140.270004
2017-02-22,139.259995,139.869995,138.899994,139.020004,999700,139.020004
2017-02-21,139.00,140.360001,138.740005,139.639999,905900,139.639999
2017-02-17,138.679993,140.190002,138.279999,139.589996,884500,139.589996
2017-02-16,138.550003,140.979996,137.089996,139.130005,1578800,139.130005
2017-02-15,135.179993,137.190002,134.100006,136.369995,1007100,136.369995
2017-02-14,135.190002,136.210007,134.139999,135.880005,748700,135.880005
2017-02-13,135.169998,136.639999,134.669998,134.929993,797700,134.929993
2017-02-10,133.839996,135.759995,133.649994,135.009995,859400,135.009995
2017-02-09,131.490005,134.070007,130.289993,133.830002,917400,133.830002
2017-02-08,131.00,131.839996,130.490005,131.490005,645900,131.490005
2017-02-07,129.630005,130.690002,129.419998,130.600006,933400,130.600006
2017-02-06,135.660004,135.660004,128.00,129.860001,3667300,129.860001
2017-02-03,136.470001,137.860001,136.279999,137.690002,501900,137.690002
2017-02-02,136.070007,136.589996,135.429993,136.490005,678100,136.490005
2017-02-01,134.699997,136.679993,134.630005,136.369995,765300,136.369995
2017-01-31,132.479996,134.339996,131.369995,134.210007,830100,134.210007
2017-01-30,132.919998,133.25,131.440002,132.50,573700,132.50
2017-01-27,134.279999,134.880005,133.139999,133.630005,748400,133.630005
2017-01-26,135.089996,135.600006,133.820007,133.830002,874600,133.830002
2017-01-25,133.240005,135.779999,132.940002,135.089996,958000,135.089996
2017-01-24,132.380005,133.179993,131.479996,133.039993,537100,133.039993
2017-01-23,131.779999,132.910004,131.589996,132.539993,484500,132.539993
2017-01-20,132.929993,133.419998,131.929993,132.399994,517900,132.399994
2017-01-19,133.960007,134.00,132.559998,132.740005,641500,132.740005
2017-01-18,134.690002,135.270004,133.839996,134.389999,781900,134.389999
2017-01-17,133.929993,134.410004,132.660004,133.990005,556100,133.990005
2017-01-13,134.309998,135.990005,134.119995,134.330002,670500,134.330002
2017-01-12,134.649994,134.889999,133.449997,134.649994,715500,134.649994
2017-01-11,132.410004,135.919998,132.380005,134.940002,1656600,134.940002
2017-01-10,130.979996,132.630005,130.330002,132.059998,658000,132.059998
2017-01-09,129.440002,130.990005,129.440002,130.729996,715000,130.729996
2017-01-06,128.990005,129.690002,128.639999,129.339996,691100,129.339996
2017-01-05,129.669998,130.789993,128.149994,129.110001,651000,129.110001
2017-01-04,129.550003,130.160004,128.929993,130.100006,1177900,130.100006
2017-01-03,129.169998,130.380005,128.199997,129.070007,960800,129.070007
2016-12-30,128.309998,128.639999,127.330002,128.380005,608300,128.380005
2016-12-29,127.379997,128.389999,127.349998,128.169998,343400,128.169998
2016-12-28,128.710007,129.139999,127.120003,127.559998,329300,127.559998
2016-12-27,128.270004,129.910004,128.270004,128.690002,262100,128.690002
2016-12-23,127.110001,128.529999,126.959999,128.229996,322600,128.229996
2016-12-22,128.520004,129.240005,126.440002,126.82,715200,126.82
2016-12-21,128.380005,129.009995,127.779999,128.429993,556900,128.429993
2016-12-20,127.800003,129.380005,127.580002,128.360001,652900,128.360001
2016-12-19,127.620003,129.119995,127.110001,127.82,505400,127.82
2016-12-16,127.82,128.800003,126.779999,127.760002,1058200,127.760002
2016-12-15,127.290001,127.82,126.440002,127.379997,909800,127.379997
2016-12-14,129.149994,129.589996,126.699997,127.349998,662700,127.349998
2016-12-13,129.240005,130.429993,129.070007,129.610001,564200,129.610001
2016-12-12,128.149994,130.809998,127.57,129.149994,585400,129.149994
2016-12-09,126.900002,128.229996,126.360001,127.790001,700700,127.790001
2016-12-08,126.370003,127.75,125.50,127.059998,660500,127.059998
2016-12-07,124.629997,127.110001,123.410004,126.379997,901500,126.379997
2016-12-06,125.650002,126.019997,124.360001,125.110001,637800,125.110001
2016-12-05,125.00,125.949997,124.82,125.25,574000,125.25
2016-12-02,124.120003,125.459999,123.760002,124.480003,519700,124.480003
2016-12-01,125.900002,126.260002,123.360001,123.650002,693600,123.650002
2016-11-30,127.269997,128.100006,125.580002,125.849998,699700,125.849998
2016-11-29,126.089996,128.199997,125.660004,127.720001,459000,127.720001
2016-11-28,127.25,127.529999,125.110001,125.709999,722700,125.709999
2016-11-25,126.279999,127.529999,126.050003,127.510002,282000,127.510002
2016-11-23,123.830002,126.059998,123.620003,126.010002,658800,126.010002
2016-11-22,126.239998,127.139999,123.879997,124.730003,747400,124.730003
2016-11-21,126.059998,126.620003,125.410004,126.120003,546200,126.120003
2016-11-18,126.809998,127.809998,125.93,126.00,652900,126.00
2016-11-17,127.010002,128.070007,126.580002,127.120003,717500,127.120003
2016-11-16,127.889999,127.980003,126.970001,127.010002,466900,127.010002
2016-11-15,128.059998,128.910004,127.150002,128.029999,547100,128.029999
2016-11-14,125.669998,127.900002,125.260002,127.50,731300,127.50
2016-11-11,125.800003,126.849998,124.419998,124.82,717300,124.82
2016-11-10,123.889999,126.75,122.379997,126.209999,1363200,126.209999
2016-11-09,126.980003,126.980003,119.510002,121.720001,2286100,121.720001
2016-11-08,124.790001,126.739998,124.050003,126.059998,532700,126.059998
2016-11-07,123.660004,125.379997,123.620003,125.139999,627700,125.139999
2016-11-04,121.760002,123.07,120.980003,121.889999,811300,121.889999
2016-11-03,123.970001,124.760002,121.559998,121.629997,836200,121.629997
2016-11-02,123.440002,125.660004,123.309998,124.019997,640100,124.019997
2016-11-01,125.68,125.830002,122.370003,123.830002,871100,123.830002
2016-10-31,124.370003,126.129997,124.110001,125.339996,1095000,125.339996
2016-10-28,123.300003,124.949997,122.00,124.00,1311700,124.00
2016-10-27,126.559998,126.800003,123.940002,123.949997,1449000,123.949997
2016-10-26,133.889999,134.210007,123.190002,126.459999,3978500,126.459999
2016-10-25,139.940002,140.210007,138.100006,138.410004,717800,138.410004
2016-10-24,139.440002,140.270004,139.169998,139.669998,654600,139.669998
2016-10-21,138.929993,139.270004,138.229996,138.759995,666900,138.759995
2016-10-20,137.779999,139.990005,137.360001,139.820007,830700,139.820007
2016-10-19,138.740005,138.740005,137.389999,138.029999,571400,138.029999
2016-10-18,137.289993,138.949997,136.940002,138.309998,680800,138.309998
2016-10-17,135.839996,136.440002,135.50,135.970001,298400,135.970001
2016-10-14,137.020004,137.339996,135.770004,135.789993,481500,135.789993
2016-10-13,135.789993,137.059998,134.929993,136.369995,467300,136.369995
2016-10-12,136.520004,137.199997,136.070007,136.520004,396600,136.520004
2016-10-11,138.570007,139.130005,135.830002,136.479996,428600,136.479996
2016-10-10,139.25,140.00,138.75,139.100006,482700,139.100006
2016-10-07,137.589996,139.240005,137.149994,138.869995,930600,138.869995
2016-10-06,136.380005,137.509995,135.839996,137.479996,480900,137.479996
2016-10-05,136.669998,137.050003,135.830002,136.630005,434800,136.630005
2016-10-04,136.039993,136.960007,134.850006,136.00,456300,136.00
2016-10-03,136.949997,137.330002,135.970001,136.330002,473900,136.330002
2016-09-30,135.910004,138.039993,135.179993,137.479996,650300,137.479996
2016-09-29,136.899994,137.100006,134.669998,135.460007,446600,135.460007
2016-09-28,137.839996,138.25,135.720001,136.889999,725400,136.889999
2016-09-27,137.259995,137.809998,136.630005,137.789993,469600,137.789993
2016-09-26,136.589996,137.160004,136.360001,137.020004,641600,137.020004
2016-09-23,137.550003,138.020004,136.639999,137.389999,340100,137.389999
2016-09-22,137.460007,138.220001,137.220001,137.830002,416400,137.830002
2016-09-21,134.970001,136.910004,134.630005,136.720001,406500,136.720001
2016-09-20,136.25,136.25,134.270004,134.669998,437600,134.669998
2016-09-19,136.130005,136.570007,134.580002,135.009995,670600,135.009995
2016-09-16,134.720001,136.110001,133.570007,135.380005,786500,135.380005
2016-09-15,133.059998,135.259995,132.570007,134.679993,630300,134.679993
2016-09-14,133.729996,133.869995,132.580002,132.990005,549700,132.990005
2016-09-13,133.990005,134.809998,131.960007,133.339996,1436200,133.339996
2016-09-12,135.00,137.369995,134.339996,136.970001,887900,136.970001
2016-09-09,138.00,138.00,135.020004,135.020004,751200,135.020004
2016-09-08,139.429993,140.130005,138.850006,139.119995,849400,139.119995
2016-09-07,138.00,140.600006,137.910004,140.460007,819600,140.460007
2016-09-06,137.910004,138.369995,137.419998,138.369995,720000,138.369995
2016-09-02,136.729996,137.759995,136.139999,137.710007,593100,137.710007
2016-09-01,136.929993,137.139999,135.50,136.130005,463700,136.130005
2016-08-31,137.259995,137.50,135.970001,136.929993,495100,136.929993
2016-08-30,137.699997,138.169998,137.149994,137.630005,338900,137.630005
2016-08-29,136.190002,138.179993,136.089996,137.740005,515300,137.740005
2016-08-26,135.410004,137.229996,135.210007,136.039993,781000,136.039993
2016-08-25,135.860001,137.119995,135.160004,135.419998,834500,135.419998
2016-08-24,138.009995,138.679993,135.979996,136.320007,593500,136.320007
