Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,30.93,31.26,30.75,31.02,1296700,31.02
2017-05-11,31.139999,31.200001,30.780001,31.030001,1098500,31.030001
2017-05-10,31.360001,31.459999,31.139999,31.290001,1256300,31.290001
2017-05-09,31.42,31.73,31.35,31.41,1806700,31.41
2017-05-08,31.60,31.65,31.26,31.42,1529500,31.42
2017-05-05,31.26,31.610001,31.23,31.52,1819300,31.52
2017-05-04,31.299999,31.299999,30.90,31.049999,1739600,31.049999
2017-05-03,31.33,31.459999,30.969999,31.200001,1900400,31.200001
2017-05-02,31.459999,31.76,31.290001,31.459999,2100200,31.459999
2017-05-01,31.540001,31.870001,31.35,31.440001,3003600,31.440001
2017-04-28,31.309999,31.780001,31.110001,31.24,3272400,31.24
2017-04-27,31.700001,32.470001,30.99,31.190001,4550600,31.190001
2017-04-26,29.799999,30.52,29.74,30.190001,4888800,30.190001
2017-04-25,29.57,29.82,29.43,29.77,2653200,29.77
2017-04-24,29.299999,29.52,28.98,29.43,2980700,29.43
2017-04-21,28.959999,29.02,28.799999,29.01,1594200,29.01
2017-04-20,28.540001,29.02,28.540001,28.98,1954200,28.98
2017-04-19,28.33,28.60,28.26,28.49,1404800,28.49
2017-04-18,27.98,28.290001,27.959999,28.219999,1536000,28.219999
2017-04-17,27.99,28.23,27.889999,28.08,1537500,28.08
2017-04-13,28.110001,28.34,27.93,27.940001,1641300,27.940001
2017-04-12,28.50,28.620001,28.040001,28.139999,2889500,28.139999
2017-04-11,28.27,28.620001,28.219999,28.620001,2415000,28.620001
2017-04-10,28.040001,28.440001,28.02,28.309999,2324500,28.309999
2017-04-07,28.09,28.16,27.85,28.059999,2547100,28.059999
2017-04-06,28.040001,28.24,27.879999,28.110001,3351600,28.110001
2017-04-05,28.50,28.700001,27.889999,27.950001,3036000,27.950001
2017-04-04,28.690001,28.780001,28.280001,28.35,3092300,28.35
2017-04-03,29.139999,29.389999,28.60,28.700001,2959900,28.700001
2017-03-31,29.620001,29.790001,29.24,29.27,3234800,29.27
2017-03-30,29.559999,29.889999,29.52,29.60,1613400,29.60
2017-03-29,29.610001,29.82,29.530001,29.65,1781000,29.65
2017-03-28,29.27,29.65,29.09,29.620001,3832100,29.620001
