Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,39.540001,39.700001,39.419998,39.610001,1716300,39.610001
2017-05-11,39.41,39.470001,39.130001,39.400002,1253500,39.400002
2017-05-10,39.580002,39.720001,39.310001,39.52,1366700,39.52
2017-05-09,39.790001,39.84,39.50,39.57,1317900,39.57
2017-05-08,40.099998,40.139999,39.59,39.790001,1272500,39.790001
2017-05-05,39.939999,40.18,39.900002,40.060001,1443200,40.060001
2017-05-04,39.529999,40.00,39.130001,39.869999,2181300,39.869999
2017-05-03,39.360001,39.529999,39.220001,39.290001,1405700,39.290001
2017-05-02,39.209999,39.470001,39.200001,39.419998,1547500,39.419998
2017-05-01,39.400002,39.439999,38.950001,39.099998,1185600,39.099998
2017-04-28,39.59,39.740002,39.209999,39.32,1899500,39.32
2017-04-27,39.50,39.990002,39.50,39.720001,1729600,39.720001
2017-04-26,39.650002,39.669998,39.369999,39.48,1943800,39.48
2017-04-25,39.939999,40.09,39.709999,40.009998,1496400,39.694997
2017-04-24,40.029999,40.119999,39.549999,40.07,1351600,39.754526
2017-04-21,39.700001,40.139999,39.689999,39.959999,1219800,39.645392
2017-04-20,39.810001,39.810001,39.34,39.720001,1248000,39.407283
2017-04-19,40.130001,40.220001,39.68,39.810001,970500,39.496575
2017-04-18,39.849998,40.220001,39.84,40.150002,1276900,39.833898
2017-04-17,39.720001,39.91,39.68,39.880001,912000,39.566023
2017-04-13,39.869999,39.900002,39.439999,39.619999,1173300,39.308068
2017-04-12,39.59,39.93,39.529999,39.889999,1445100,39.575943
2017-04-11,39.689999,39.790001,39.360001,39.700001,850900,39.38744
2017-04-10,39.709999,39.970001,39.439999,39.709999,739000,39.39736
2017-04-07,40.009998,40.07,39.650002,39.700001,1063400,39.38744
2017-04-06,39.849998,39.990002,39.700001,39.869999,657100,39.5561
2017-04-05,39.73,40.009998,39.549999,39.98,1186100,39.665235
2017-04-04,39.540001,39.990002,39.540001,39.869999,1020500,39.5561
2017-04-03,39.630001,39.630001,39.27,39.59,1045800,39.278306
2017-03-31,39.549999,39.84,39.540001,39.610001,1026700,39.298149
2017-03-30,39.889999,39.889999,39.490002,39.57,847200,39.258463
2017-03-29,40.040001,40.099998,39.779999,39.98,989000,39.665235
2017-03-28,40.009998,40.16,39.869999,40.119999,915400,39.804132
2017-03-27,40.240002,40.32,39.82,40.060001,1156600,39.744607
2017-03-24,39.860001,40.220001,39.73,40.099998,777900,39.784289
2017-03-23,39.709999,40.25,39.700001,39.84,877200,39.526338
2017-03-22,39.939999,40.200001,39.720001,39.779999,1151100,39.466809
2017-03-21,39.029999,39.77,39.029999,39.700001,1250500,39.38744
2017-03-20,39.619999,39.68,39.080002,39.099998,917700,38.792162
2017-03-17,39.360001,39.779999,39.290001,39.560001,5360200,39.248543
2017-03-16,39.330002,39.619999,39.02,39.130001,1612400,38.821928
2017-03-15,39.029999,39.810001,38.93,39.580002,1537100,39.268386
2017-03-14,38.810001,38.939999,38.619999,38.869999,1061900,38.563973
2017-03-13,38.610001,38.84,38.41,38.75,1656600,38.444919
2017-03-10,38.490002,38.68,38.349998,38.610001,1102500,38.306022
2017-03-09,38.360001,38.669998,38.240002,38.299999,1121900,37.998461
2017-03-08,38.98,39.00,38.389999,38.389999,1019300,38.087753
2017-03-07,39.200001,39.52,39.00,39.279999,1147000,38.970745
2017-03-06,39.119999,39.369999,39.099998,39.18,1038500,38.871534
2017-03-03,39.259998,39.259998,38.869999,39.189999,1175500,38.881453
2017-03-02,38.900002,39.509998,38.869999,39.25,1183900,38.940982
2017-03-01,38.950001,39.41,38.540001,39.080002,1454800,38.772323
2017-02-28,39.060001,39.59,38.990002,39.48,1927300,39.169171
2017-02-27,39.459999,39.560001,38.990002,39.049999,1746100,38.742556
2017-02-24,39.59,39.639999,38.970001,39.52,1538800,39.208857
2017-02-23,38.84,39.150002,38.650002,39.110001,1103600,38.802085
2017-02-22,38.400002,38.720001,38.25,38.650002,1323800,38.345708
2017-02-21,37.900002,38.48,37.799999,38.43,1184300,38.127439
2017-02-17,37.970001,38.16,37.740002,38.080002,1254900,37.780196
2017-02-16,37.549999,37.950001,37.549999,37.93,1478700,37.631375
2017-02-15,37.23,37.580002,37.049999,37.540001,1144500,37.244446
2017-02-14,37.889999,37.970001,37.419998,37.669998,887400,37.37342
2017-02-13,37.889999,37.990002,37.639999,37.990002,978900,37.690904
2017-02-10,37.650002,37.889999,37.580002,37.860001,903600,37.561927
2017-02-09,38.060001,38.200001,37.630001,37.650002,1060800,37.353581
2017-02-08,37.889999,38.150002,37.759998,38.150002,1542800,37.849644
2017-02-07,37.720001,37.799999,37.52,37.799999,758500,37.502398
2017-02-06,37.990002,37.990002,37.57,37.66,852600,37.3635
2017-02-03,37.529999,37.91,37.52,37.82,1520600,37.522241
2017-02-02,36.990002,37.52,36.91,37.509998,747900,37.21468
2017-02-01,37.369999,37.52,36.799999,36.98,1191100,36.688854
2017-01-31,36.880001,37.709999,36.810001,37.650002,1666800,37.353581
2017-01-30,37.07,37.080002,36.639999,36.860001,911600,36.5698
2017-01-27,36.84,36.900002,36.560001,36.889999,1124000,36.599562
2017-01-26,36.880001,37.200001,36.77,36.950001,750400,36.346572
2017-01-25,36.869999,37.009998,36.619999,36.889999,1015700,36.28755
2017-01-24,36.82,37.09,36.709999,36.950001,1370700,36.346572
2017-01-23,37.369999,37.549999,37.009998,37.029999,1096100,36.425263
2017-01-20,37.43,37.48,37.16,37.360001,718900,36.749876
2017-01-19,37.490002,37.720001,37.220001,37.279999,723700,36.671181
2017-01-18,37.700001,37.82,37.59,37.700001,937200,37.084324
2017-01-17,37.619999,37.990002,37.529999,37.75,1111600,37.133506
2017-01-13,37.580002,37.700001,37.32,37.490002,949600,36.877754
2017-01-12,37.75,37.810001,37.389999,37.650002,812400,37.035141
2017-01-11,37.330002,37.82,37.169998,37.75,706200,37.133506
2017-01-10,37.27,37.389999,37.00,37.240002,572300,36.631837
2017-01-09,37.860001,38.060001,37.240002,37.279999,807400,36.671181
2017-01-06,37.959999,38.080002,37.77,37.799999,1331600,37.182689
2017-01-05,38.220001,38.290001,37.700001,38.110001,1334700,37.487628
2017-01-04,38.009998,38.259998,37.98,38.16,1032800,37.536811
2017-01-03,37.939999,38.080002,37.619999,37.93,866200,37.310567
2016-12-30,38.209999,38.34,37.759998,37.889999,771700,37.271219
2016-12-29,37.66,38.240002,37.549999,38.189999,627300,37.566319
