Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,84.699997,85.029999,84.290001,84.82,3530400,84.82
2017-05-11,85.75,85.82,84.18,84.699997,6355800,84.699997
2017-05-10,85.870003,86.129997,85.449997,86.059998,5151900,86.059998
2017-05-09,86.199997,86.25,85.610001,85.849998,4279900,85.849998
2017-05-08,86.00,86.18,85.410004,86.00,4106400,86.00
2017-05-05,85.699997,86.00,85.089996,86.00,2997100,86.00
2017-05-04,85.769997,85.860001,85.00,85.400002,3423000,85.400002
2017-05-03,85.410004,86.00,85.139999,85.529999,3709900,85.529999
2017-05-02,84.760002,85.43,84.190002,85.379997,4241200,85.379997
2017-05-01,84.839996,85.099998,84.230003,84.400002,3836700,84.400002
2017-04-28,85.160004,85.290001,84.050003,84.879997,4790400,84.879997
2017-04-27,85.449997,85.760002,84.860001,85.269997,6536500,85.269997
2017-04-26,84.610001,85.650002,84.410004,85.230003,4407700,85.230003
2017-04-25,84.779999,85.309998,84.07,84.510002,5825200,84.510002
2017-04-24,84.00,84.470001,83.580002,84.169998,4553600,84.169998
2017-04-21,83.260002,83.699997,82.970001,83.470001,5233500,83.120001
2017-04-20,82.419998,83.559998,82.330002,83.290001,4538900,82.940755
2017-04-19,82.489998,82.739998,81.959999,81.989998,3937300,81.646203
2017-04-18,81.800003,82.32,81.650002,82.129997,3036500,81.785616
2017-04-17,81.059998,81.980003,81.050003,81.949997,3308100,81.60637
2017-04-13,81.629997,81.919998,81.050003,81.059998,3846400,80.720103
2017-04-12,81.849998,82.169998,81.290001,81.870003,3713800,81.526711
2017-04-11,82.279999,82.75,81.760002,82.410004,3111700,82.064448
2017-04-10,82.080002,82.989998,82.080002,82.419998,2987900,82.074401
2017-04-07,81.910004,82.400002,81.910004,82.139999,3243700,81.795576
2017-04-06,81.870003,82.459999,81.790001,81.970001,3471800,81.626291
2017-04-05,81.75,82.690002,81.57,81.620003,4083100,81.27776
2017-04-04,81.910004,82.080002,81.260002,81.589996,4994700,81.247879
2017-04-03,83.110001,83.139999,81.75,82.040001,5422900,81.695997
2017-03-31,82.010002,82.550003,81.809998,82.209999,4557000,81.865282
2017-03-30,82.089996,82.550003,81.889999,82.300003,3740800,81.954909
2017-03-29,82.260002,82.620003,81.720001,82.209999,3968400,81.865282
2017-03-28,81.519997,82.650002,81.470001,82.400002,4351300,82.054488
2017-03-27,81.269997,82.059998,81.040001,81.559998,4498100,81.218006
2017-03-24,82.519997,82.889999,81.889999,82.209999,3456900,81.865282
2017-03-23,82.349998,83.050003,82.120003,82.449997,3407200,82.104274
2017-03-22,82.25,82.93,81.790001,82.349998,4569100,82.004694
2017-03-21,82.82,83.300003,81.709999,81.919998,5110800,81.576497
2017-03-20,83.529999,83.529999,82.139999,82.349998,6068300,82.004694
2017-03-17,83.620003,83.739998,82.980003,83.529999,5706500,83.179747
2017-03-16,83.32,84.00,83.07,83.220001,4847300,82.871049
2017-03-15,82.00,83.32,81.980003,83.269997,4786400,82.920835
2017-03-14,81.68,82.18,81.309998,81.940002,4383400,81.596418
2017-03-13,81.580002,81.989998,81.360001,81.580002,4303500,81.237927
2017-03-10,81.559998,82.00,81.440002,81.580002,4091100,81.237927
2017-03-09,81.360001,81.809998,81.07,81.169998,3806600,80.829642
2017-03-08,80.839996,81.720001,80.839996,81.330002,4869200,80.988975
2017-03-07,81.00,81.32,80.650002,80.839996,4718000,80.501024
2017-03-06,81.269997,81.50,81.019997,81.019997,6611900,80.680269
2017-03-03,80.599998,81.870003,80.559998,81.68,6554000,81.337506
2017-03-02,81.370003,81.400002,80.279999,80.400002,8424000,80.062874
2017-03-01,81.279999,82.849998,80.599998,81.449997,21443900,81.108467
2017-02-28,75.910004,75.93,74.169998,74.370003,10698500,74.05816
2017-02-27,76.199997,76.449997,75.690002,76.419998,4005300,76.099559
2017-02-24,75.910004,76.339996,75.410004,76.099998,11147700,75.780902
2017-02-23,77.150002,77.209999,75.730003,75.800003,5663400,75.482164
2017-02-22,77.330002,77.449997,76.599998,76.800003,3711600,76.477971
2017-02-21,77.50,77.519997,76.459999,77.25,5294100,76.926081
2017-02-17,76.160004,76.739998,75.940002,76.739998,5446200,76.418217
2017-02-16,76.910004,77.400002,75.660004,76.32,4686200,75.99998
2017-02-15,75.470001,77.470001,75.349998,76.910004,10410300,76.58751
2017-02-14,74.059998,75.889999,73.959999,75.720001,8106600,75.402498
2017-02-13,74.080002,74.260002,73.580002,73.900002,3007800,73.590129
2017-02-10,73.419998,74.040001,73.110001,73.970001,3661300,73.659836
2017-02-09,72.449997,73.690002,72.43,73.529999,4041000,73.221678
2017-02-08,72.610001,72.769997,72.209999,72.449997,4029600,72.146205
2017-02-07,72.849998,72.989998,72.110001,72.239998,3749500,71.937086
2017-02-06,72.959999,73.199997,72.400002,72.610001,5166800,72.305538
2017-02-03,72.120003,73.400002,71.790001,73.290001,6311700,72.982687
2017-02-02,72.730003,72.790001,71.900002,71.949997,3538300,71.648301
2017-02-01,72.910004,73.029999,72.32,72.349998,4006600,72.046626
2017-01-31,72.839996,73.540001,72.75,73.080002,4537500,72.773568
2017-01-30,73.089996,73.639999,72.57,73.57,3856000,73.261511
2017-01-27,73.290001,73.43,72.720001,73.25,4183700,72.942853
2017-01-26,73.379997,73.830002,72.870003,73.230003,5268800,72.922941
2017-01-25,74.290001,74.75,73.040001,73.059998,5372700,72.753648
2017-01-24,72.610001,74.029999,72.510002,74.00,5736800,73.689709
2017-01-23,71.239998,72.839996,71.239998,72.580002,5361300,72.275665
2017-01-20,71.629997,71.93,71.260002,71.760002,5613900,71.110573
2017-01-19,71.290001,72.650002,71.150002,71.599998,6274000,70.952018
2017-01-18,72.099998,72.099998,71.059998,71.379997,8788300,70.734007
2017-01-17,71.620003,73.209999,71.389999,72.379997,5468500,71.724957
2017-01-13,71.400002,72.610001,71.389999,72.150002,6948000,71.497043
2017-01-12,71.25,71.639999,70.800003,71.580002,4310600,70.932202
2017-01-11,71.160004,71.370003,70.559998,71.260002,3432200,70.615098
2017-01-10,70.949997,71.699997,70.669998,71.209999,4133800,70.565548
2017-01-09,70.93,71.32,70.900002,71.07,3559600,70.426815
2017-01-06,71.199997,71.400002,70.540001,70.949997,4645500,70.307899
2017-01-05,71.440002,71.790001,70.760002,71.07,4420200,70.426815
2017-01-04,71.18,72.230003,71.050003,71.809998,5863700,71.160116
2017-01-03,71.709999,71.919998,70.489998,70.949997,6412200,70.307899
2016-12-30,71.629997,72.080002,70.779999,71.120003,3877700,70.476366
2016-12-29,71.50,71.900002,71.239998,71.339996,4009800,70.694369
2016-12-28,72.449997,72.470001,71.459999,71.57,4227400,70.92229
2016-12-27,72.589996,72.75,71.959999,72.230003,3868800,71.576321
2016-12-23,73.099998,73.290001,72.239998,72.300003,3591800,71.645687
2016-12-22,73.550003,74.089996,72.879997,73.010002,4008500,72.349261
2016-12-21,74.089996,74.32,73.800003,74.190002,2942800,73.518582
2016-12-20,73.050003,74.480003,72.800003,74.269997,5348500,73.597852
2016-12-19,72.620003,73.519997,72.559998,72.919998,5056300,72.260071
2016-12-16,73.879997,74.160004,72.650002,72.959999,7663200,72.29971
2016-12-15,73.730003,74.489998,73.50,73.669998,6211200,73.003284
2016-12-14,74.709999,75.230003,73.449997,73.559998,6790100,72.894279
2016-12-13,74.870003,75.190002,74.370003,74.650002,6357700,73.974418
2016-12-12,74.290001,74.959999,74.059998,74.510002,6036500,73.835686
2016-12-09,75.099998,75.389999,74.529999,74.690002,5553800,74.014057
2016-12-08,75.470001,76.370003,74.970001,75.239998,7711500,74.559075
2016-12-07,72.620003,76.470001,72.519997,76.400002,9268200,75.708581
2016-12-06,72.580002,73.110001,72.339996,72.459999,6478500,71.804235
2016-12-05,72.419998,73.139999,72.389999,72.660004,7497000,72.00243
2016-12-02,71.139999,72.809998,71.080002,72.309998,7248600,71.655591
2016-12-01,70.339996,71.019997,69.919998,71.00,7626900,70.357449
2016-11-30,70.75,71.110001,70.440002,70.550003,6377300,69.911525
2016-11-29,71.339996,71.690002,70.550003,70.709999,5870400,70.070073
2016-11-28,71.839996,72.18,71.150002,71.199997,5315900,70.555636
2016-11-25,71.900002,72.339996,71.599998,72.209999,2710600,71.556498
2016-11-23,71.830002,72.370003,71.620003,71.769997,5490800,71.120477
2016-11-22,70.190002,71.970001,69.699997,71.589996,10677700,70.942106
2016-11-21,69.419998,69.699997,68.830002,69.410004,6062400,68.781842
2016-11-18,67.919998,69.580002,67.769997,69.309998,10624600,68.682741
2016-11-17,67.019997,68.040001,66.550003,67.949997,9521500,67.335049
2016-11-16,66.230003,68.839996,65.120003,67.019997,17592100,66.413465
2016-11-15,68.839996,69.849998,68.040001,69.050003,11251900,68.4251
2016-11-14,70.040001,70.449997,69.690002,70.010002,9023400,69.376411
2016-11-11,69.32,70.059998,69.160004,69.730003,6572300,69.098946
2016-11-10,68.400002,70.480003,68.25,69.459999,9759600,68.831385
2016-11-09,65.50,68.160004,64.870003,67.839996,7621100,67.226044
2016-11-08,67.120003,67.25,66.639999,66.809998,6790100,66.205366
2016-11-07,67.110001,67.669998,67.010002,67.230003,4539700,66.621571
2016-11-04,66.739998,67.120003,66.220001,66.25,4748900,65.650437
2016-11-03,67.059998,67.080002,66.419998,66.589996,4572300,65.987356
2016-11-02,65.720001,67.269997,65.660004,66.559998,5432300,65.957629
2016-11-01,66.440002,66.690002,65.18,65.629997,6392300,65.036045
2016-10-31,66.709999,66.980003,66.379997,66.650002,6272400,66.046818
2016-10-28,67.160004,67.669998,66.709999,67.029999,8565100,66.423377
2016-10-27,67.75,68.00,66.959999,67.160004,5300400,66.552205
2016-10-26,67.190002,68.019997,67.00,67.370003,9071900,66.760303
2016-10-25,69.410004,69.589996,68.309998,68.470001,8714200,67.850347
2016-10-24,71.059998,71.550003,70.800003,70.980003,4524700,70.337634
2016-10-21,69.459999,70.919998,69.389999,70.650002,5725000,70.010618
2016-10-20,69.529999,70.120003,69.370003,69.889999,6163800,69.257494
2016-10-19,70.220001,70.239998,68.889999,69.589996,6770200,68.960206
2016-10-18,70.529999,70.660004,69.57,70.239998,5955100,69.604325
