Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,24.41,24.450001,23.57,23.610001,19977400,23.610001
2017-05-11,26.48,27.00,24.25,24.35,47178200,24.35
2017-05-10,29.280001,29.83,29.209999,29.34,7847300,29.34
2017-05-09,28.66,29.49,28.57,29.299999,10909100,29.299999
2017-05-08,29.15,29.200001,28.610001,28.67,4039800,28.67
2017-05-05,29.01,29.299999,28.91,28.969999,4758400,28.969999
2017-05-04,29.280001,29.559999,28.91,28.92,3580900,28.92
2017-05-03,29.50,29.719999,29.00,29.16,3780600,29.16
2017-05-02,28.879999,29.60,28.76,29.50,3309700,29.50
2017-05-01,29.23,29.299999,28.66,28.860001,4011200,28.860001
2017-04-28,29.469999,29.51,29.030001,29.219999,4237900,29.219999
2017-04-27,29.469999,29.629999,29.200001,29.51,2954200,29.51
2017-04-26,29.379999,29.719999,29.309999,29.43,2978000,29.43
2017-04-25,29.35,29.540001,29.01,29.280001,4463600,29.280001
2017-04-24,29.790001,29.84,29.049999,29.190001,4275500,29.190001
2017-04-21,29.85,30.049999,29.32,29.48,3545000,29.48
2017-04-20,29.32,30.18,29.32,30.01,5345700,30.01
2017-04-19,28.799999,29.459999,28.799999,29.09,4252900,29.09
2017-04-18,28.77,28.84,28.459999,28.709999,3455800,28.709999
2017-04-17,29.17,29.23,28.57,28.82,4143600,28.82
2017-04-13,29.27,29.40,28.82,29.17,4159600,29.17
2017-04-12,29.65,29.780001,29.10,29.17,5326500,29.17
2017-04-11,29.559999,29.75,29.139999,29.709999,3314300,29.709999
2017-04-10,29.280001,29.809999,29.110001,29.52,4849500,29.52
2017-04-07,29.370001,29.620001,29.049999,29.10,4897700,29.10
2017-04-06,28.969999,30.08,28.969999,29.42,5994500,29.42
2017-04-05,28.969999,29.559999,28.709999,28.82,6649300,28.82
2017-04-04,29.48,29.49,28.540001,28.889999,6905000,28.889999
2017-04-03,29.60,29.82,29.16,29.639999,5186000,29.639999
2017-03-31,29.459999,29.90,29.450001,29.639999,5931700,29.639999
2017-03-30,29.139999,29.65,29.059999,29.459999,4662800,29.459999
2017-03-29,28.549999,29.50,28.40,29.27,6315500,29.27
2017-03-28,27.75,28.58,27.74,28.549999,4538700,28.549999
2017-03-27,27.82,28.290001,27.719999,27.93,5857700,27.93
2017-03-24,28.02,28.309999,27.82,28.17,4292500,28.17
2017-03-23,28.40,28.959999,28.200001,28.27,5434500,28.27
2017-03-22,28.389999,28.440001,27.83,28.370001,6532500,28.370001
2017-03-21,29.33,29.40,27.84,28.42,11558200,28.42
2017-03-20,30.59,30.59,29.309999,29.370001,7840400,29.370001
2017-03-17,30.559999,30.68,30.219999,30.540001,11769100,30.540001
2017-03-16,30.00,30.58,29.75,30.41,6385600,30.41
