Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,36.560001,36.700001,36.290001,36.459999,1684700,36.459999
2017-05-11,36.52,36.700001,36.240002,36.650002,1744100,36.650002
2017-05-10,36.790001,37.009998,36.650002,36.759998,2185500,36.759998
2017-05-09,36.959999,37.119999,36.84,36.950001,2254400,36.950001
2017-05-08,36.82,37.150002,36.740002,36.93,4022400,36.93
2017-05-05,36.869999,36.990002,36.68,36.919998,1475900,36.919998
2017-05-04,36.689999,36.900002,36.549999,36.790001,1428300,36.790001
2017-05-03,36.540001,36.709999,36.470001,36.639999,2011700,36.639999
2017-05-02,36.669998,36.830002,36.43,36.740002,3238500,36.740002
2017-05-01,37.139999,37.139999,36.720001,36.720001,3053200,36.720001
2017-04-28,37.200001,37.32,36.950001,37.02,4054600,37.02
2017-04-27,37.450001,37.450001,37.080002,37.25,3459100,37.25
2017-04-26,37.049999,37.580002,36.900002,37.450001,5997200,37.450001
2017-04-25,36.509998,37.009998,36.130001,36.900002,8218300,36.900002
2017-04-24,34.779999,35.09,34.66,35.029999,4305900,35.029999
2017-04-21,33.93,34.580002,33.860001,34.34,3732100,34.34
2017-04-20,33.959999,34.25,33.82,33.93,4587800,33.93
2017-04-19,33.509998,34.029999,33.509998,33.720001,3703000,33.720001
2017-04-18,33.259998,33.48,33.07,33.380001,3024800,33.380001
2017-04-17,33.200001,33.529999,33.16,33.490002,1885800,33.490002
2017-04-13,33.240002,33.50,33.049999,33.09,2465600,33.09
2017-04-12,33.84,33.919998,33.299999,33.310001,3082300,33.310001
2017-04-11,33.52,33.970001,33.470001,33.959999,2494700,33.859999
2017-04-10,33.490002,33.939999,33.490002,33.57,2415900,33.471148
2017-04-07,33.720001,33.869999,33.490002,33.50,3972700,33.401354
2017-04-06,33.59,34.16,33.459999,33.830002,3773700,33.730384
2017-04-05,33.48,33.84,32.970001,33.080002,5413700,32.982593
2017-04-04,33.380001,33.509998,33.209999,33.27,3122000,33.172032
2017-04-03,34.029999,34.189999,33.060001,33.41,3193800,33.311619
2017-03-31,33.799999,34.119999,33.639999,33.990002,3437100,33.889913
2017-03-30,33.959999,34.119999,33.700001,33.82,1916700,33.720412
2017-03-29,33.830002,34.209999,33.790001,33.970001,2616300,33.869972
2017-03-28,33.599998,34.18,33.580002,33.970001,2226900,33.869972
2017-03-27,33.560001,33.860001,33.279999,33.740002,2381200,33.640649
2017-03-24,34.200001,34.419998,33.849998,33.990002,1653600,33.889913
2017-03-23,33.880001,34.32,33.799999,34.209999,2064400,34.109263
2017-03-22,33.880001,34.02,33.619999,33.919998,1973600,33.820116
2017-03-21,34.599998,34.610001,33.759998,33.830002,2801000,33.730384
2017-03-20,34.700001,34.700001,34.349998,34.490002,1715400,34.388441
2017-03-17,34.650002,34.77,34.380001,34.66,4146400,34.557938
2017-03-16,34.459999,34.759998,34.369999,34.650002,3186400,34.547969
2017-03-15,33.91,34.52,33.779999,34.380001,3735100,34.278764
2017-03-14,33.509998,33.849998,33.400002,33.68,2371800,33.580825
2017-03-13,33.869999,34.060001,33.52,33.68,2928900,33.580825
2017-03-10,33.650002,34.130001,33.610001,33.93,1870800,33.830088
2017-03-09,33.779999,34.189999,33.630001,33.709999,2560700,33.610735
2017-03-08,33.290001,33.93,33.240002,33.82,3222400,33.720412
2017-03-07,33.470001,33.630001,33.07,33.25,3391500,33.15209
2017-03-06,33.869999,33.959999,33.09,33.459999,8926900,33.361471
2017-03-03,34.389999,34.48,34.02,34.060001,3360900,33.959707
2017-03-02,34.540001,34.540001,34.040001,34.330002,3231100,34.228912
2017-03-01,34.330002,34.919998,34.32,34.560001,3527400,34.458234
2017-02-28,34.34,34.41,33.759998,33.779999,3244200,33.680529
2017-02-27,34.00,34.459999,33.939999,34.43,2018500,34.328616
2017-02-24,33.880001,34.02,33.610001,34.02,3782300,33.919824
2017-02-23,34.00,34.299999,33.689999,34.110001,4359600,34.009559
