Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,73.540001,73.790001,73.110001,73.379997,1104500,73.379997
2017-05-11,73.419998,73.809998,73.239998,73.68,1305800,73.68
2017-05-10,73.589996,73.940002,73.559998,73.790001,1145100,73.790001
2017-05-09,74.25,74.540001,73.470001,73.650002,1460800,73.650002
2017-05-08,72.959999,74.75,72.959999,74.120003,1100400,74.120003
2017-05-05,74.480003,74.57,74.25,74.510002,1403100,74.510002
2017-05-04,74.150002,74.980003,73.720001,74.379997,1525100,74.379997
2017-05-03,73.860001,74.089996,73.610001,73.910004,1698600,73.910004
2017-05-02,74.57,74.620003,73.870003,74.050003,1561600,74.050003
2017-05-01,74.370003,74.50,73.730003,74.32,1890600,74.32
2017-04-28,74.349998,74.540001,74.07,74.129997,1851500,74.129997
2017-04-27,73.559998,74.82,73.50,74.25,4044200,74.25
2017-04-26,73.099998,73.660004,72.860001,73.419998,2435700,73.419998
2017-04-25,73.400002,73.489998,73.019997,73.059998,1720000,73.059998
2017-04-24,73.120003,73.199997,72.300003,73.029999,2220400,73.029999
2017-04-21,73.139999,73.339996,71.790001,71.879997,3065200,71.879997
2017-04-20,72.919998,73.489998,72.470001,73.290001,2273900,73.290001
2017-04-19,73.110001,73.150002,72.449997,72.650002,1460900,72.650002
2017-04-18,72.419998,72.82,72.32,72.620003,1098500,72.620003
2017-04-17,72.150002,72.730003,72.019997,72.709999,1948300,72.709999
2017-04-13,72.629997,72.830002,72.040001,72.07,1678800,72.07
2017-04-12,73.050003,73.239998,72.410004,72.720001,2145400,72.720001
2017-04-11,73.059998,73.400002,72.919998,73.389999,1522600,73.389999
2017-04-10,73.459999,73.839996,73.290001,73.379997,1348500,73.379997
2017-04-07,73.110001,73.709999,73.040001,73.419998,1352400,73.419998
2017-04-06,73.379997,73.650002,73.00,73.269997,1646500,73.269997
2017-04-05,73.419998,74.110001,73.209999,73.379997,2581600,73.379997
2017-04-04,73.360001,73.779999,73.199997,73.419998,1765200,73.08
2017-04-03,74.029999,74.190002,73.230003,73.32,2428500,72.980465
2017-03-31,73.970001,74.269997,73.620003,73.889999,3018200,73.547825
2017-03-30,74.190002,74.589996,74.050003,74.110001,1833200,73.766807
2017-03-29,74.800003,74.900002,74.370003,74.400002,1644000,74.055465
2017-03-28,74.379997,75.150002,74.18,74.919998,3454400,74.573054
2017-03-27,73.800003,74.800003,73.629997,74.610001,1321900,74.264492
2017-03-24,74.720001,75.00,74.389999,74.57,2274000,74.224676
2017-03-23,74.330002,75.129997,74.110001,74.610001,1725900,74.264492
2017-03-22,74.230003,74.709999,73.790001,74.440002,1065000,74.095281
2017-03-21,75.459999,75.519997,74.120003,74.199997,1664400,73.856387
2017-03-20,75.00,75.239998,74.900002,75.029999,1719300,74.682545
2017-03-17,74.870003,75.230003,74.589996,75.139999,2466100,74.792036
2017-03-16,74.260002,74.730003,74.260002,74.68,1546600,74.334167
2017-03-15,74.25,74.550003,73.879997,74.349998,1376100,74.005694
2017-03-14,73.910004,74.50,73.889999,74.25,1411400,73.906158
2017-03-13,73.510002,74.269997,73.510002,74.230003,1532200,73.886254
2017-03-10,73.470001,73.779999,73.050003,73.669998,1363900,73.328842
2017-03-09,73.18,73.339996,72.849998,73.099998,1745900,72.761482
2017-03-08,73.889999,73.889999,72.910004,72.949997,2038700,72.612175
2017-03-07,73.589996,73.93,73.480003,73.620003,1261200,73.279079
2017-03-06,73.82,74.269997,73.650002,73.82,1197900,73.478149
2017-03-03,74.110001,74.339996,73.870003,74.220001,1014900,73.876299
2017-03-02,74.519997,74.589996,74.099998,74.129997,1248800,73.786711
2017-03-01,74.059998,74.760002,73.93,74.650002,1677300,74.304308
2017-02-28,73.230003,73.720001,73.050003,73.480003,1825600,73.139727
2017-02-27,73.650002,73.900002,72.660004,73.470001,868800,73.129772
2017-02-24,73.18,73.739998,72.949997,73.510002,1908400,73.169587
2017-02-23,73.150002,73.57,72.870003,73.540001,2203100,73.199447
2017-02-22,72.510002,73.18,72.50,72.93,1502900,72.592271
2017-02-21,73.379997,73.669998,72.720001,72.93,1729600,72.592271
2017-02-17,72.93,73.519997,72.730003,73.519997,2029800,73.179536
2017-02-16,72.50,73.290001,72.440002,73.260002,2173700,72.920745
2017-02-15,71.879997,72.720001,71.669998,72.629997,1609000,72.293658
2017-02-14,71.550003,71.989998,71.43,71.940002,1492100,71.606858
2017-02-13,71.25,71.730003,71.029999,71.480003,1414300,71.148989
2017-02-10,70.690002,71.290001,70.449997,71.080002,2866500,70.75084
2017-02-09,70.410004,70.870003,70.410004,70.580002,1641500,70.253155
2017-02-08,69.379997,70.440002,69.330002,70.410004,2278200,70.083945
2017-02-07,70.190002,70.260002,69.709999,69.769997,1127900,69.446901
2017-02-06,70.199997,70.650002,69.860001,69.910004,1654900,69.58626
2017-02-03,70.25,70.599998,69.690002,70.519997,2985800,70.193428
2017-02-02,67.779999,69.779999,67.610001,69.550003,2931500,69.227926
2017-02-01,68.120003,68.410004,67.32,67.410004,2126300,67.097837
2017-01-31,68.260002,68.470001,67.699997,68.019997,2191400,67.705005
2017-01-30,68.559998,68.790001,67.940002,68.339996,1874900,68.023523
2017-01-27,68.940002,69.18,68.669998,68.849998,1956800,68.531164
2017-01-26,68.690002,69.00,68.550003,68.75,1418100,68.431628
2017-01-25,68.519997,68.800003,68.410004,68.660004,2164000,68.342049
2017-01-24,67.800003,68.360001,67.739998,68.230003,1813300,67.91404
2017-01-23,67.580002,67.720001,67.330002,67.559998,1235100,67.247136
2017-01-20,67.620003,67.989998,67.489998,67.989998,2107200,67.33672
2017-01-19,68.32,68.32,67.330002,67.449997,1577600,66.801907
2017-01-18,67.849998,68.269997,67.580002,68.169998,1750200,67.51499
2017-01-17,67.400002,68.019997,67.160004,67.639999,1384800,66.990084
2017-01-13,67.690002,68.099998,67.68,67.730003,1222000,67.079223
2017-01-12,67.139999,67.660004,66.75,67.580002,2110200,66.930663
2017-01-11,67.400002,67.68,66.959999,67.440002,2162100,66.792009
2017-01-10,67.839996,68.330002,67.459999,67.510002,1781900,66.861336
2017-01-09,68.419998,68.43,67.779999,67.800003,1167900,67.14855
2017-01-06,68.400002,68.830002,68.25,68.68,1842500,68.020092
2017-01-05,68.279999,68.529999,68.059998,68.309998,1562300,67.653645
2017-01-04,67.919998,68.529999,67.919998,68.290001,1715100,67.63384
2017-01-03,67.849998,68.040001,67.309998,67.870003,2318200,67.217877
2016-12-30,67.919998,67.93,67.389999,67.589996,1397100,66.940561
2016-12-29,67.910004,68.080002,67.639999,67.75,920100,67.099028
2016-12-28,68.389999,68.540001,67.720001,67.720001,1180500,67.069317
2016-12-27,68.550003,68.610001,68.160004,68.199997,1214800,67.544701
2016-12-23,68.50,68.730003,68.370003,68.519997,1795900,67.861626
2016-12-22,68.239998,68.559998,68.07,68.410004,1268100,67.75269
2016-12-21,68.309998,68.800003,68.220001,68.309998,1762600,67.653645
2016-12-20,68.93,68.949997,68.160004,68.389999,2433700,67.732878
2016-12-19,68.559998,69.050003,68.389999,68.68,3181800,68.020092
2016-12-16,68.349998,68.959999,68.099998,68.459999,4240800,67.802205
2016-12-15,68.690002,69.230003,68.379997,68.559998,2446400,67.901242
2016-12-14,69.220001,69.57,68.389999,68.540001,3207800,67.881438
2016-12-13,69.550003,69.739998,69.129997,69.32,3797700,68.653942
2016-12-12,69.349998,69.580002,69.139999,69.459999,2953000,68.792596
2016-12-09,69.25,69.660004,69.089996,69.470001,3119200,68.802502
2016-12-08,69.57,69.639999,68.919998,69.330002,2622500,68.663848
2016-12-07,68.910004,69.559998,68.650002,69.43,2677300,68.762886
2016-12-06,68.760002,68.940002,68.360001,68.779999,2675000,68.11913
2016-12-05,68.940002,69.410004,68.489998,68.690002,1894100,68.029998
2016-12-02,69.129997,69.129997,68.230003,68.389999,1560500,67.732878
2016-12-01,69.389999,69.470001,68.639999,68.900002,2267400,68.237979
2016-11-30,69.379997,69.760002,69.00,69.309998,2927100,68.644036
2016-11-29,69.120003,69.220001,68.830002,68.980003,1772400,68.317213
2016-11-28,69.330002,69.739998,68.870003,68.910004,2043100,68.247886
2016-11-25,69.419998,69.769997,69.209999,69.769997,927600,69.099615
2016-11-23,69.510002,69.599998,68.870003,69.459999,1967700,68.792596
2016-11-22,69.32,69.580002,69.029999,69.400002,1876600,68.733175
2016-11-21,69.410004,69.690002,68.949997,69.209999,1924600,68.544998
2016-11-18,69.050003,69.43,68.830002,69.230003,2058600,68.564811
2016-11-17,67.75,69.160004,67.75,69.07,1960700,68.406344
2016-11-16,67.559998,68.029999,67.419998,67.699997,1789500,67.049505
2016-11-15,67.419998,67.830002,67.330002,67.730003,1777400,67.079223
2016-11-14,68.099998,68.339996,67.260002,67.610001,2803900,66.960373
2016-11-11,67.650002,68.339996,67.379997,67.779999,2424900,67.128738
2016-11-10,67.480003,68.279999,66.849998,67.800003,3746600,67.14855
2016-11-09,65.790001,67.150002,64.50,66.910004,4302400,66.267102
2016-11-08,65.040001,65.68,64.849998,65.379997,2020900,64.751797
2016-11-07,64.910004,65.110001,64.50,65.089996,2202200,64.464583
2016-11-04,63.959999,64.269997,63.470001,63.900002,2361500,63.286022
2016-11-03,63.209999,64.00,63.150002,63.639999,1963100,63.028518
2016-11-02,62.950001,63.43,62.869999,62.959999,3108300,62.355051
2016-11-01,63.599998,63.650002,62.610001,62.860001,2652100,62.256014
2016-10-31,63.689999,63.779999,63.040001,63.389999,1804200,62.78092
2016-10-28,63.369999,64.220001,63.25,63.450001,2350200,62.840345
2016-10-27,63.419998,63.57,62.860001,63.18,2804500,62.572939
2016-10-26,62.459999,63.50,62.41,63.220001,3427300,62.612555
