Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,23.65,23.799999,22.90,22.91,5789200,22.91
2017-05-11,23.48,23.860001,23.209999,23.700001,6833700,23.700001
2017-05-10,23.52,23.620001,23.40,23.459999,9501000,23.459999
2017-05-09,24.00,24.120001,23.459999,23.49,9176600,23.49
2017-05-08,23.48,23.67,23.290001,23.540001,6821300,23.540001
2017-05-05,23.40,23.639999,23.40,23.450001,7717500,23.450001
2017-05-04,23.68,23.90,23.209999,23.32,8406500,23.32
2017-05-03,24.73,24.85,23.52,23.629999,11530500,23.629999
2017-05-02,26.040001,26.110001,24.58,24.950001,13834100,24.950001
2017-05-01,27.120001,27.15,26.799999,26.870001,4335300,26.870001
2017-04-28,27.549999,27.610001,26.879999,26.93,5374100,26.93
2017-04-27,27.559999,27.889999,27.379999,27.450001,4167200,27.450001
2017-04-26,27.370001,27.52,26.85,27.42,5081600,27.42
2017-04-25,27.389999,27.709999,27.290001,27.540001,4291600,27.540001
2017-04-24,27.059999,27.25,26.93,27.09,4555100,27.09
2017-04-21,27.040001,27.129999,26.67,26.67,3537700,26.67
2017-04-20,26.969999,27.26,26.889999,27.10,3424300,27.10
2017-04-19,27.110001,27.209999,26.719999,26.83,3060100,26.83
2017-04-18,27.16,27.190001,26.82,27.040001,3874600,27.040001
2017-04-17,27.48,27.559999,27.200001,27.360001,4464700,27.360001
2017-04-13,28.08,28.16,27.42,27.459999,4228100,27.459999
2017-04-12,28.559999,28.66,28.110001,28.15,3543400,28.15
2017-04-11,28.93,29.049999,28.27,28.690001,3727400,28.690001
2017-04-10,28.950001,29.129999,28.67,28.940001,2892400,28.940001
2017-04-07,29.049999,29.129999,28.809999,28.85,2474800,28.85
2017-04-06,29.00,29.33,28.860001,29.190001,3258000,29.190001
2017-04-05,29.360001,29.51,28.969999,29.00,5306200,29.00
2017-04-04,28.889999,29.17,28.58,29.16,4575500,29.16
2017-04-03,29.25,29.43,28.41,28.91,3958700,28.91
2017-03-31,29.24,29.48,28.93,29.18,4217300,29.18
2017-03-30,29.370001,29.559999,29.02,29.35,2997100,29.35
2017-03-29,29.18,29.799999,29.040001,29.48,2678000,29.48
2017-03-28,28.65,29.370001,28.65,29.17,2844000,29.17
2017-03-27,28.459999,28.90,28.379999,28.639999,3073100,28.639999
2017-03-24,28.98,29.08,28.58,28.75,2148400,28.75
2017-03-23,28.790001,29.18,28.66,29.00,1958200,29.00
2017-03-22,28.639999,28.879999,28.34,28.75,2642000,28.75
2017-03-21,29.25,29.59,28.620001,28.639999,3514100,28.639999
2017-03-20,29.219999,29.57,29.00,29.25,3015600,29.25
2017-03-17,29.08,29.290001,28.93,29.17,4789000,29.17
2017-03-16,29.32,29.40,28.940001,28.99,2716100,28.99
2017-03-15,28.780001,29.27,28.549999,29.139999,3663900,29.139999
2017-03-14,28.83,28.950001,28.459999,28.60,3252600,28.60
2017-03-13,29.299999,29.440001,28.98,29.120001,2800200,29.120001
2017-03-10,29.030001,29.43,28.85,29.190001,5799800,29.190001
2017-03-09,29.209999,30.49,28.780001,29.00,11895000,29.00
2017-03-08,29.25,29.440001,28.639999,28.67,8086600,28.67
2017-03-07,29.67,29.709999,28.959999,29.18,9115900,29.18
2017-03-06,30.01,30.139999,29.629999,29.65,3953700,29.65
2017-03-03,30.299999,30.379999,29.93,30.219999,6506500,30.219999
2017-03-02,31.09,31.17,30.41,30.42,5348700,30.42
