Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,64.389999,64.669998,63.27,63.57,10181400,63.57
2017-05-11,64.75,65.25,64.309998,64.43,18375100,64.43
2017-05-10,63.130001,63.950001,63.09,63.939999,9518300,63.939999
2017-05-09,64.18,64.269997,63.16,63.290001,10149000,63.290001
2017-05-08,63.91,64.510002,63.830002,64.010002,11030200,64.010002
2017-05-05,63.50,64.089996,63.43,63.970001,9240700,63.970001
2017-05-04,63.669998,63.889999,63.220001,63.380001,8521700,63.380001
2017-05-03,62.50,63.669998,62.380001,63.630001,11361900,63.630001
2017-05-02,62.509998,63.240002,62.310001,62.700001,12744600,62.700001
2017-05-01,62.25,62.50,62.099998,62.380001,10208300,62.380001
2017-04-28,62.580002,62.650002,62.139999,62.330002,9419200,62.330002
2017-04-27,62.779999,62.91,62.450001,62.580002,6595400,62.580002
2017-04-26,62.630001,62.880001,62.43,62.700001,8611400,62.700001
2017-04-25,62.490002,62.93,62.25,62.299999,10667300,62.299999
2017-04-24,62.50,62.52,62.02,62.139999,8681800,62.139999
2017-04-21,62.360001,62.630001,61.869999,61.889999,10110800,61.889999
2017-04-20,62.66,62.75,62.25,62.549999,8662100,62.549999
2017-04-19,62.259998,62.639999,62.00,62.639999,10311400,62.639999
2017-04-18,62.459999,62.459999,61.990002,62.27,7394500,62.27
2017-04-17,62.709999,62.84,62.389999,62.799999,5334200,62.799999
2017-04-13,62.790001,63.00,62.560001,62.610001,5881100,62.610001
2017-04-12,62.369999,63.209999,62.279999,63.049999,8472900,63.049999
2017-04-11,62.490002,62.759998,62.18,62.580002,6528700,62.580002
2017-04-10,63.27,63.330002,62.529999,62.549999,7247700,62.549999
2017-04-07,63.279999,63.330002,62.950001,63.130001,7721100,63.130001
2017-04-06,63.48,63.970001,63.189999,63.240002,7552600,63.240002
2017-04-05,63.689999,64.150002,63.509998,63.57,7713300,63.57
2017-04-04,63.59,63.77,63.369999,63.669998,6345600,63.669998
2017-04-03,63.43,63.709999,63.220001,63.470001,6643600,63.470001
2017-03-31,63.259998,63.630001,63.25,63.540001,7614000,63.540001
2017-03-30,63.50,63.68,63.32,63.450001,5322000,63.450001
2017-03-29,63.669998,64.110001,63.459999,63.639999,8135300,63.639999
2017-03-28,63.200001,63.400002,62.880001,63.34,10185000,63.34
2017-03-27,62.919998,63.41,62.810001,63.189999,8015900,63.189999
2017-03-24,63.16,63.529999,62.860001,63.18,9136500,63.18
2017-03-23,63.360001,63.82,63.189999,63.279999,9461000,63.279999
2017-03-22,63.98,64.110001,63.25,63.50,9549000,63.50
2017-03-21,64.32,64.610001,63.619999,63.91,10550700,63.91
2017-03-20,64.139999,64.300003,64.00,64.110001,12971200,64.110001
2017-03-17,64.25,64.699997,63.889999,63.900002,14449200,63.900002
2017-03-16,64.57,64.790001,63.990002,64.18,9613200,64.18
2017-03-15,64.400002,64.970001,64.220001,64.699997,9025000,64.699997
2017-03-14,64.129997,64.510002,64.050003,64.199997,7892900,64.199997
2017-03-13,65.239998,65.290001,64.010002,64.150002,14198600,64.150002
2017-03-10,66.07,66.199997,65.50,65.599998,8823900,65.129997
2017-03-09,65.970001,66.029999,65.519997,65.889999,7735000,65.41792
2017-03-08,65.959999,66.120003,65.269997,65.800003,8417600,65.328569
2017-03-07,65.43,66.309998,65.190002,65.959999,8328700,65.487418
