Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,85.050003,85.269997,84.190002,84.209999,651800,84.209999
2017-05-11,85.339996,86.970001,84.529999,85.360001,923300,85.360001
2017-05-10,84.629997,85.769997,84.040001,85.769997,1256300,85.769997
2017-05-09,83.599998,84.790001,83.480003,84.769997,1091300,84.769997
2017-05-08,84.300003,84.580002,83.110001,83.589996,1775600,83.589996
2017-05-05,87.43,87.690002,83.599998,84.440002,2155700,84.440002
2017-05-04,86.32,86.790001,85.400002,86.099998,908400,86.099998
2017-05-03,85.639999,86.379997,85.639999,86.370003,676700,86.370003
2017-05-02,86.269997,86.459999,85.400002,85.919998,825800,85.919998
2017-05-01,86.269997,86.629997,85.879997,86.160004,735300,86.160004
2017-04-28,86.110001,86.169998,85.309998,85.970001,1083300,85.970001
2017-04-27,85.470001,86.209999,85.410004,86.07,523700,86.07
2017-04-26,85.459999,85.980003,85.300003,85.379997,574600,85.379997
2017-04-25,84.769997,85.639999,84.769997,85.389999,752700,85.389999
2017-04-24,84.769997,84.970001,84.32,84.720001,532200,84.720001
2017-04-21,84.019997,84.080002,83.589996,83.720001,761400,83.720001
2017-04-20,83.68,84.25,83.389999,84.099998,638300,84.099998
2017-04-19,82.730003,83.480003,82.730003,83.370003,712700,83.370003
2017-04-18,82.849998,83.18,82.480003,82.639999,636400,82.639999
2017-04-17,82.529999,83.139999,82.459999,83.080002,596800,83.080002
2017-04-13,83.00,83.150002,82.290001,82.339996,825600,82.339996
2017-04-12,83.400002,83.470001,82.489998,82.839996,753000,82.839996
2017-04-11,83.68,83.68,83.050003,83.449997,797800,83.449997
2017-04-10,84.32,84.379997,83.669998,83.709999,555400,83.709999
2017-04-07,84.169998,84.580002,83.690002,84.25,1059200,84.25
2017-04-06,83.900002,84.760002,83.379997,84.199997,665200,84.199997
2017-04-05,84.779999,85.190002,83.68,83.830002,1022300,83.830002
2017-04-04,84.379997,85.099998,84.25,84.519997,1216000,84.519997
2017-04-03,86.220001,86.389999,84.519997,84.830002,1253900,84.830002
2017-03-31,84.599998,86.510002,84.389999,86.220001,2114100,86.220001
2017-03-30,84.129997,84.93,84.099998,84.870003,1180100,84.870003
2017-03-29,84.00,84.370003,83.900002,84.129997,994500,84.129997
2017-03-28,84.00,84.480003,83.779999,84.00,851200,84.00
2017-03-27,83.150002,84.199997,82.75,84.00,847000,84.00
2017-03-24,83.959999,84.300003,83.389999,83.669998,929700,83.669998
2017-03-23,83.529999,84.25,83.410004,83.739998,1253100,83.739998
2017-03-22,84.129997,84.889999,83.290001,83.589996,1868700,83.589996
2017-03-21,86.75,87.00,83.559998,83.760002,2523400,83.760002
2017-03-20,84.529999,84.769997,83.650002,84.300003,1277500,84.300003
2017-03-17,85.300003,85.75,84.669998,84.720001,1485100,84.720001
2017-03-16,85.339996,86.230003,84.800003,85.150002,1755800,85.150002
2017-03-15,83.459999,85.43,83.449997,85.239998,1927900,85.239998
2017-03-14,81.400002,83.860001,81.199997,83.360001,2022800,83.360001
2017-03-13,81.629997,82.120003,81.120003,81.650002,1213400,81.650002
2017-03-10,81.279999,82.449997,81.279999,82.099998,1221400,81.629998
2017-03-09,80.129997,81.389999,80.019997,81.370003,1209700,80.904182
2017-03-08,79.760002,80.510002,79.639999,80.199997,1408600,79.740874
2017-03-07,79.650002,80.169998,78.75,79.660004,1459900,79.203972
2017-03-06,79.970001,80.300003,79.690002,79.970001,1292000,79.512195
2017-03-03,80.019997,80.720001,79.57,80.550003,1051100,80.088876
2017-03-02,79.730003,80.099998,79.07,80.019997,903800,79.561904
2017-03-01,79.769997,80.269997,78.980003,79.980003,1158000,79.52214
2017-02-28,79.00,79.550003,78.910004,78.970001,1427000,78.517919
2017-02-27,80.25,80.379997,79.190002,79.279999,874400,78.826142
2017-02-24,78.970001,80.330002,78.419998,80.269997,1118900,79.810473
2017-02-23,80.010002,80.360001,78.769997,79.360001,1071300,78.905686
2017-02-22,80.07,80.790001,79.610001,79.650002,994300,79.194027
2017-02-21,79.230003,80.419998,79.199997,80.150002,1073200,79.691165
2017-02-17,78.419998,79.360001,78.230003,79.309998,796300,78.855969
2017-02-16,79.470001,79.599998,78.440002,78.660004,1131000,78.209697
2017-02-15,78.610001,79.589996,78.370003,79.400002,1379400,78.945458
2017-02-14,78.269997,78.699997,77.919998,78.68,1271200,78.229579
2017-02-13,78.790001,79.389999,78.419998,78.480003,1412600,78.030727
2017-02-10,77.900002,78.519997,77.230003,78.370003,1596100,77.921356
2017-02-09,78.50,78.779999,77.75,77.809998,1740400,77.364556
2017-02-08,77.82,79.449997,77.82,78.25,2484800,77.80204
2017-02-07,81.720001,81.980003,76.919998,77.339996,11475000,76.897246
2017-02-06,81.370003,82.309998,80.199997,81.730003,3032600,81.262121
2017-02-03,82.93,83.75,78.949997,81.599998,3440200,81.132861
2017-02-02,79.860001,81.059998,79.629997,81.00,1961600,80.536297
2017-02-01,81.160004,81.779999,79.75,80.029999,1528100,79.571849
2017-01-31,81.349998,81.699997,79.900002,80.709999,1381200,80.247956
2017-01-30,82.389999,83.07,81.18,81.699997,1685600,81.232287
2017-01-27,83.379997,83.379997,81.68,82.980003,1237800,82.504965
2017-01-26,85.110001,85.290001,83.349998,83.360001,1298400,82.882787
2017-01-25,84.690002,85.440002,84.489998,85.290001,994800,84.801739
2017-01-24,82.580002,84.82,82.32,84.349998,1126400,83.867118
2017-01-23,82.639999,83.50,81.949997,82.440002,855700,81.968056
2017-01-20,82.07,82.510002,81.830002,82.360001,616400,81.888512
2017-01-19,81.690002,82.260002,81.279999,81.860001,566700,81.391374
2017-01-18,80.970001,81.68,80.550003,81.650002,708800,81.182577
2017-01-17,81.809998,82.099998,80.57,80.730003,865700,80.267846
2017-01-13,82.389999,83.089996,82.07,82.269997,542500,81.799023
2017-01-12,82.610001,82.610001,81.629997,82.18,624400,81.709542
2017-01-11,82.300003,82.910004,82.300003,82.879997,522300,82.405532
