Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,29.10,29.120001,28.68,28.93,15822700,28.93
2017-05-11,29.17,29.309999,28.690001,29.030001,22424900,29.030001
2017-05-10,28.92,29.42,28.799999,29.32,29205900,29.32
2017-05-09,28.110001,28.90,28.059999,28.809999,30959600,28.809999
2017-05-08,27.559999,28.07,27.280001,28.059999,32273600,28.059999
2017-05-05,27.799999,28.219999,27.620001,28.200001,15555600,28.200001
2017-05-04,27.940001,28.17,27.719999,27.790001,15499100,27.790001
2017-05-03,27.549999,28.10,27.549999,28.00,15022000,28.00
2017-05-02,28.280001,28.280001,27.450001,27.77,25253200,27.77
2017-05-01,27.85,28.379999,27.719999,28.290001,23823700,28.290001
2017-04-28,28.02,28.200001,27.51,27.67,28066900,27.67
2017-04-27,27.17,27.65,27.10,27.629999,24195700,27.629999
2017-04-26,26.58,27.07,26.389999,26.790001,24574300,26.790001
2017-04-25,26.709999,27.02,26.370001,26.99,22642500,26.99
2017-04-24,27.74,27.76,26.52,26.57,43947100,26.57
2017-04-21,28.00,28.030001,27.16,27.32,28309000,27.32
2017-04-20,27.50,28.08,27.50,27.959999,23492700,27.959999
2017-04-19,27.450001,27.549999,27.049999,27.26,21083300,27.26
2017-04-18,27.00,27.34,26.90,27.139999,14392800,27.139999
2017-04-17,26.91,27.219999,26.83,27.129999,14071100,27.129999
2017-04-13,26.549999,27.23,26.360001,26.74,25961700,26.74
2017-04-12,27.42,27.43,26.66,26.690001,24531400,26.690001
2017-04-11,27.50,27.540001,26.68,27.18,38569100,27.18
2017-04-10,28.450001,28.49,27.58,27.639999,27246100,27.639999
2017-04-07,28.450001,28.860001,28.35,28.52,20294200,28.52
2017-04-06,28.25,28.780001,28.02,28.620001,19383300,28.620001
2017-04-05,28.639999,28.91,28.23,28.26,22302800,28.26
2017-04-04,28.469999,28.68,28.16,28.59,13933800,28.59
2017-04-03,28.950001,29.040001,28.299999,28.639999,21601600,28.639999
2017-03-31,29.10,29.360001,28.90,28.90,32273400,28.90
2017-03-30,28.40,29.00,28.33,28.969999,24977700,28.969999
2017-03-29,28.60,28.68,28.35,28.50,22983300,28.50
2017-03-28,28.73,29.059999,28.620001,28.690001,24703700,28.690001
2017-03-27,28.10,29.18,28.07,28.76,47950100,28.76
2017-03-24,29.709999,29.870001,28.16,28.43,107168300,28.43
2017-03-23,26.360001,26.49,26.040001,26.469999,40837000,26.469999
2017-03-22,25.73,26.15,25.629999,26.059999,24943400,26.059999
2017-03-21,26.299999,26.440001,25.43,25.52,28268700,25.52
2017-03-20,25.99,26.610001,25.809999,26.209999,26691100,26.209999
2017-03-17,25.860001,25.91,25.40,25.799999,19043900,25.799999
2017-03-16,26.200001,26.23,25.83,26.040001,18889100,26.040001
2017-03-15,25.15,26.15,24.940001,26.120001,29671900,26.120001
2017-03-14,25.59,25.700001,25.25,25.58,14527800,25.58
2017-03-13,25.389999,25.82,25.290001,25.700001,23140400,25.700001
2017-03-10,25.280001,25.75,24.809999,25.18,28885100,25.18
2017-03-09,25.23,25.49,24.85,25.15,21745600,25.15
2017-03-08,25.639999,25.83,25.040001,25.379999,24784000,25.379999
2017-03-07,25.559999,25.75,25.280001,25.639999,20255600,25.639999
2017-03-06,25.50,25.92,25.17,25.709999,25467900,25.709999
2017-03-03,25.200001,25.68,24.98,25.57,37862400,25.57
2017-03-02,24.879999,25.25,24.379999,24.700001,45791600,24.700001
2017-03-01,24.16,24.58,24.07,24.549999,27875000,24.549999
2017-02-28,23.790001,23.950001,23.32,23.440001,21184600,23.440001
2017-02-27,23.360001,23.77,23.15,23.76,17982900,23.76
2017-02-24,22.959999,23.26,22.639999,23.24,21972700,23.24
2017-02-23,23.92,23.969999,23.23,23.48,20112300,23.48
2017-02-22,23.860001,24.059999,23.65,23.75,15980600,23.75
2017-02-21,23.620001,23.98,23.58,23.77,20084900,23.77
2017-02-17,23.01,23.379999,23.01,23.35,22080500,23.35
2017-02-16,23.040001,23.34,22.85,22.98,23675700,22.98
2017-02-15,23.07,23.26,22.790001,23.02,27786300,23.02
2017-02-14,23.360001,23.370001,22.68,23.120001,56864800,23.120001
2017-02-13,24.07,24.200001,23.82,23.90,16862600,23.90
2017-02-10,24.709999,24.76,23.90,24.049999,28545400,24.049999
2017-02-09,24.75,24.889999,24.42,24.450001,27826300,24.450001
2017-02-08,24.25,24.379999,23.91,24.209999,21382400,24.209999
2017-02-07,24.59,24.690001,24.209999,24.60,19823200,24.60
2017-02-06,24.530001,24.73,24.209999,24.34,18854300,24.34
2017-02-03,24.90,25.24,24.50,24.60,22833700,24.60
2017-02-02,24.530001,25.309999,24.459999,24.790001,45445400,24.790001
2017-02-01,24.43,24.85,24.309999,24.75,28679100,24.75
2017-01-31,23.950001,24.15,23.68,24.110001,22667100,24.110001
