Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,26.92,26.98,26.40,26.58,2356900,26.58
2017-05-11,27.42,27.540001,26.780001,26.93,2090900,26.93
2017-05-10,26.98,27.83,26.74,27.40,2872800,27.149999
2017-05-09,26.870001,26.889999,26.32,26.629999,2218700,26.387024
2017-05-08,26.110001,26.98,25.98,26.799999,3601100,26.555473
2017-05-05,25.379999,26.25,25.219999,26.18,4450200,25.941131
2017-05-04,25.440001,25.530001,24.030001,25.299999,7249000,25.06916
2017-05-03,25.639999,26.120001,25.34,25.700001,3051000,25.465511
2017-05-02,26.139999,26.48,25.65,25.91,2620100,25.673594
2017-05-01,26.16,26.389999,26.00,26.09,2658500,25.851952
2017-04-28,26.75,26.780001,26.15,26.18,2452900,25.941131
2017-04-27,26.889999,26.950001,25.889999,26.450001,4863100,26.208668
2017-04-26,27.120001,28.200001,27.030001,27.209999,2989800,26.961732
2017-04-25,26.780001,27.41,26.559999,27.35,2148900,27.100456
2017-04-24,27.27,27.35,26.690001,26.74,3737500,26.496021
2017-04-21,26.610001,27.27,26.459999,26.969999,3986200,26.723922
2017-04-20,27.00,27.379999,26.75,26.77,2163400,26.525748
2017-04-19,27.84,28.02,26.799999,26.879999,2269400,26.634743
2017-04-18,27.67,28.299999,27.48,27.74,1986400,27.486897
2017-04-17,27.530001,27.969999,27.530001,27.93,2019800,27.675164
2017-04-13,27.950001,28.370001,27.459999,27.559999,2396700,27.308539
2017-04-12,28.43,29.09,27.959999,28.10,3050400,27.843613
2017-04-11,28.25,28.52,27.879999,28.379999,2272900,28.121057
2017-04-10,28.15,28.49,28.07,28.360001,2184300,28.101241
2017-04-07,28.15,28.280001,27.799999,27.85,1741200,27.595894
2017-04-06,28.09,28.440001,27.90,28.23,1545700,27.972426
2017-04-05,29.10,29.389999,27.85,27.879999,3314200,27.625619
2017-04-04,28.290001,28.780001,27.99,28.709999,1956900,28.448046
2017-04-03,28.66,28.74,27.91,28.26,2186300,28.002153
2017-03-31,28.190001,28.790001,28.030001,28.59,2290200,28.329142
2017-03-30,28.540001,29.139999,28.209999,28.280001,3837600,28.021971
2017-03-29,26.93,28.52,26.93,28.25,2316800,27.992244
2017-03-28,26.24,27.360001,26.049999,27.26,2859400,27.011277
2017-03-27,25.360001,26.35,25.219999,26.25,1988400,26.010492
2017-03-24,26.18,26.35,25.73,25.76,2229600,25.524963
2017-03-23,26.200001,26.440001,25.98,26.040001,2167300,25.802409
2017-03-22,26.299999,26.629999,26.110001,26.41,1998000,26.169032
2017-03-21,27.50,27.50,26.450001,26.49,2173100,26.248302
2017-03-20,26.870001,27.40,26.709999,27.33,2358800,27.080638
2017-03-17,27.219999,27.530001,27.16,27.23,3948200,26.98155
2017-03-16,27.27,27.27,26.58,27.10,2614300,26.852737
2017-03-15,26.75,27.290001,26.34,27.139999,2980300,26.892371
2017-03-14,25.93,26.379999,25.23,26.27,3150000,26.03031
2017-03-13,26.51,26.91,26.200001,26.40,3451500,26.159123
2017-03-10,26.98,27.02,26.110001,26.57,2828700,26.327572
2017-03-09,25.75,26.719999,25.32,26.65,4815100,26.406842
2017-03-08,27.65,27.690001,25.780001,25.870001,3540500,25.63396
2017-03-07,28.42,28.51,27.620001,27.74,2044900,27.486897
2017-03-06,28.00,28.25,27.65,28.23,1710200,27.972426
2017-03-03,28.27,28.51,27.98,28.040001,2068300,27.784161
2017-03-02,28.83,29.219999,28.16,28.16,2922200,27.903065
2017-03-01,28.73,29.40,28.459999,29.309999,3232100,29.042572
2017-02-28,28.43,28.59,28.24,28.290001,4061800,28.03188
2017-02-27,28.25,28.870001,28.02,28.77,2748100,28.5075
2017-02-24,27.98,28.540001,27.92,28.15,3260400,27.893156
2017-02-23,28.379999,28.530001,27.799999,28.40,3537800,28.140875
2017-02-22,28.23,28.32,27.59,27.75,2350700,27.496806
2017-02-21,28.51,28.84,28.450001,28.57,2151100,28.309324
2017-02-17,27.790001,28.24,27.60,28.09,2381000,27.833704
2017-02-16,28.26,28.49,27.66,27.99,2548900,27.734616
2017-02-15,28.25,28.52,28.01,28.190001,1674800,27.932792
2017-02-14,28.469999,28.57,28.01,28.440001,2246000,28.180511
2017-02-13,28.35,28.57,27.870001,28.42,2311900,28.160693
2017-02-10,28.690001,28.93,28.309999,28.48,2607700,28.220145
2017-02-09,28.02,28.620001,28.02,28.24,2475900,27.982335
2017-02-08,27.620001,28.469999,27.15,28.27,2864200,27.764343
2017-02-07,28.389999,28.73,27.57,27.950001,3687500,27.450068
2017-02-06,29.66,29.84,28.92,29.09,2043600,28.569676
2017-02-03,29.389999,29.92,29.049999,29.700001,2307100,29.168766
2017-02-02,28.92,29.540001,28.379999,29.280001,3185900,28.756278
2017-02-01,29.440001,29.559999,28.440001,28.84,5341200,28.324148
2017-01-31,28.549999,28.93,28.08,28.91,5888100,28.392895
2017-01-30,29.809999,29.84,27.940001,28.41,5877500,27.901839
2017-01-27,30.90,30.959999,29.620001,29.98,4769800,29.443756
2017-01-26,30.59,32.25,30.50,31.10,6815600,30.543724
2017-01-25,31.799999,32.389999,31.57,32.18,3370000,31.604406
2017-01-24,31.57,32.200001,31.530001,31.959999,2723400,31.38834
2017-01-23,31.43,31.709999,31.120001,31.299999,1990300,30.740146
2017-01-20,31.889999,32.34,31.57,31.82,3524400,31.250845
2017-01-19,31.139999,32.009998,31.139999,31.60,3272300,31.034781
2017-01-18,30.75,31.34,30.50,31.24,2249000,30.681219
2017-01-17,31.389999,31.93,31.00,31.15,1674600,30.592829
2017-01-13,30.73,31.25,30.370001,31.129999,1541900,30.573186
2017-01-12,31.469999,31.50,30.49,30.92,1535000,30.366943
2017-01-11,31.040001,31.440001,30.450001,31.059999,1909600,30.504439
2017-01-10,30.75,31.08,30.48,30.799999,2254600,30.249089
2017-01-09,31.07,31.129999,30.469999,30.559999,1649400,30.013382
2017-01-06,31.68,31.780001,31.129999,31.40,1524000,30.838357
2017-01-05,31.60,32.150002,31.32,31.629999,2542300,31.064243
2017-01-04,31.620001,31.969999,31.25,31.610001,2433500,31.044602
2017-01-03,32.049999,32.619999,31.049999,31.629999,3122000,31.064243
2016-12-30,31.469999,31.879999,31.01,31.129999,1685500,30.573186
2016-12-29,31.91,32.00,31.219999,31.469999,1840200,30.907105
2016-12-28,32.849998,33.040001,31.889999,32.029999,1456200,31.457088
2016-12-27,32.470001,33.02,32.450001,32.810001,1485700,32.223139
2016-12-23,32.189999,32.580002,32.110001,32.310001,958700,31.732082
2016-12-22,32.549999,32.849998,32.209999,32.299999,1368000,31.722259
2016-12-21,33.490002,33.610001,32.619999,32.669998,1413600,32.08564
2016-12-20,33.130001,33.50,32.849998,32.970001,1998100,32.380277
2016-12-19,33.32,33.389999,32.57,32.869999,1430800,32.282063
2016-12-16,32.709999,33.540001,32.529999,33.200001,4962100,32.606162
2016-12-15,31.58,32.450001,31.440001,32.419998,5028600,31.840111
2016-12-14,33.169998,34.080002,32.700001,32.799999,2439800,32.213316
2016-12-13,33.75,34.880001,33.360001,34.299999,2327000,33.686486
2016-12-12,34.900002,34.900002,33.029999,33.240002,2374700,32.645448
2016-12-09,33.48,33.650002,32.57,32.98,1480600,32.390096
2016-12-08,33.169998,33.310001,32.330002,33.16,1984000,32.566877
2016-12-07,33.009998,33.110001,32.150002,32.810001,3479700,32.223139
2016-12-06,32.889999,33.959999,32.220001,33.290001,2976200,32.694553
2016-12-05,33.380001,33.959999,33.080002,33.25,3330300,32.655267
2016-12-02,32.669998,33.169998,32.50,32.790001,2391800,32.203496
2016-12-01,34.98,35.189999,32.75,33.009998,3764100,32.419558
2016-11-30,32.580002,34.52,31.799999,33.91,5909400,33.303462
2016-11-29,28.790001,29.83,28.450001,29.42,3232000,28.893773
2016-11-28,30.68,31.09,29.629999,29.700001,2683700,29.168766
2016-11-25,30.969999,31.07,30.549999,30.75,961700,30.199984
2016-11-23,30.540001,31.360001,30.540001,31.27,1990200,30.710683
2016-11-22,31.790001,31.889999,30.450001,30.91,3587800,30.357122
2016-11-21,31.469999,32.330002,31.379999,31.66,2971300,31.093707
2016-11-18,30.530001,31.34,30.50,30.73,3900000,30.180341
2016-11-17,30.75,31.17,30.190001,30.299999,2985200,29.758032
2016-11-16,30.33,31.139999,29.879999,30.129999,3957700,29.591073
2016-11-15,28.879999,30.959999,28.809999,30.91,6048100,30.357122
2016-11-14,27.139999,28.35,26.92,28.33,2484100,27.82327
2016-11-11,28.129999,28.52,26.959999,27.41,2799000,26.919725
2016-11-10,27.85,28.99,27.75,28.709999,3149400,28.196472
2016-11-09,26.67,28.280001,26.540001,27.969999,2945100,27.469708
2016-11-08,26.40,27.15,26.32,26.950001,2716200,26.222426
2016-11-07,26.549999,26.879999,26.379999,26.77,2621100,26.047285
2016-11-04,26.809999,26.92,25.93,26.01,5658500,25.307803
2016-11-03,26.18,27.190001,26.18,27.059999,5149200,26.329455
2016-11-02,25.719999,26.200001,24.889999,25.84,3244700,25.142392
2016-11-01,26.67,26.860001,25.41,26.17,3919900,25.463483
2016-10-31,26.85,26.99,25.84,25.870001,3660600,25.171583
2016-10-28,27.610001,28.41,26.860001,26.889999,4716900,26.164044
2016-10-27,29.40,29.549999,27.129999,27.60,8332100,26.854877
2016-10-26,28.08,29.809999,27.870001,29.709999,5377000,28.907912
2016-10-25,29.49,29.719999,28.700001,28.73,3193000,27.95437
2016-10-24,29.200001,29.92,28.530001,29.450001,3489800,28.654933
2016-10-21,29.030001,29.360001,28.719999,29.209999,2253200,28.421411
2016-10-20,28.940001,29.41,28.709999,29.35,2469000,28.557632
2016-10-19,28.549999,29.549999,28.32,29.32,3107600,28.528442
2016-10-18,28.77,28.84,27.74,28.200001,2095600,27.438679
2016-10-17,28.799999,29.01,28.059999,28.219999,1775800,27.458138
2016-10-14,29.02,29.40,28.559999,28.98,2477500,28.19762
2016-10-13,28.25,28.719999,28.00,28.66,2480800,27.88626
2016-10-12,28.99,29.09,28.34,28.719999,2517200,27.94464
2016-10-11,30.09,30.209999,29.09,29.290001,2207300,28.499253
2016-10-10,30.07,30.690001,30.040001,30.27,2007600,29.452795
2016-10-07,30.120001,30.450001,29.440001,29.51,2862200,28.713313
2016-10-06,30.75,31.00,29.309999,29.91,3777000,29.102513
2016-10-05,30.57,31.09,30.32,30.450001,2879100,29.627936
2016-10-04,31.01,31.17,29.559999,29.870001,2982500,29.063594
2016-10-03,30.40,31.02,29.91,30.870001,2485400,30.036597
2016-09-30,30.66,30.91,30.16,30.40,3827400,29.579284
2016-09-29,28.90,31.00,28.879999,30.33,5725400,29.511175
2016-09-28,26.16,28.99,26.040001,28.91,6313700,28.129511
2016-09-27,26.030001,26.23,25.379999,25.98,3463700,25.278612
2016-09-26,26.50,27.26,26.43,26.65,2838700,25.930524
2016-09-23,27.209999,27.889999,25.92,26.08,5697800,25.375913
2016-09-22,26.83,27.93,26.83,27.549999,4683200,26.806226
2016-09-21,25.450001,26.459999,25.35,26.41,3272800,25.697004
2016-09-20,25.559999,25.83,25.040001,25.190001,2049500,24.509941
2016-09-19,26.51,26.719999,25.65,25.65,1842800,24.957521
2016-09-16,25.219999,26.280001,25.17,26.190001,3953600,25.482944
2016-09-15,25.450001,26.360001,25.24,25.889999,2995300,25.191042
2016-09-14,26.030001,26.219999,24.74,25.139999,5387100,24.46129
2016-09-13,27.610001,27.620001,25.82,26.139999,4438200,25.434292
2016-09-12,27.540001,28.469999,27.25,28.27,2602400,27.506789
2016-09-09,29.42,29.639999,27.940001,27.940001,4175300,27.185699
2016-09-08,28.190001,30.139999,28.040001,29.75,3944900,28.946833
2016-09-07,27.57,28.26,27.32,27.85,3234700,27.098128
2016-09-06,26.950001,27.34,26.73,27.33,2557100,26.592166
2016-09-02,26.639999,27.24,26.620001,26.799999,3146000,26.076474
2016-09-01,26.469999,26.93,25.76,26.389999,3658000,25.677543
2016-08-31,28.08,28.129999,26.67,26.719999,4472200,25.998634
