Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,39.299999,39.540001,38.869999,38.939999,5003900,38.939999
2017-05-11,38.509998,39.77,38.330002,39.43,9852400,39.43
2017-05-10,38.650002,38.939999,36.790001,38.209999,12054200,38.209999
2017-05-09,37.799999,38.48,37.259998,38.009998,7313500,38.009998
2017-05-08,37.66,37.720001,37.139999,37.380001,3836300,37.380001
2017-05-05,38.099998,38.200001,37.32,37.900002,5562300,37.900002
2017-05-04,37.220001,38.240002,37.16,38.009998,4808500,38.009998
2017-05-03,38.00,38.00,36.59,37.189999,6295500,37.189999
2017-05-02,37.470001,38.389999,37.240002,38.169998,5149000,38.169998
2017-05-01,37.639999,37.830002,37.389999,37.400002,2458700,37.400002
2017-04-28,37.73,37.830002,37.119999,37.349998,3499400,37.349998
2017-04-27,37.400002,37.84,37.32,37.720001,3467300,37.720001
2017-04-26,36.919998,38.02,36.830002,37.439999,6120200,37.439999
2017-04-25,37.470001,37.50,36.57,36.849998,5840800,36.849998
2017-04-24,37.25,37.700001,37.139999,37.470001,4490500,37.470001
2017-04-21,37.110001,37.450001,36.540001,36.830002,3873500,36.830002
2017-04-20,37.18,37.220001,36.599998,37.080002,3596500,37.080002
2017-04-19,37.169998,37.290001,36.849998,36.959999,3848800,36.959999
2017-04-18,36.959999,37.310001,36.75,37.029999,4422700,37.029999
2017-04-17,37.740002,37.849998,37.00,37.549999,3634300,37.549999
2017-04-13,37.799999,37.950001,37.099998,37.669998,2962200,37.669998
2017-04-12,38.330002,38.50,37.68,38.040001,4218000,38.040001
2017-04-11,39.16,39.16,38.25,38.450001,7013300,38.450001
2017-04-10,39.75,40.07,39.240002,39.25,4678000,39.25
2017-04-07,38.860001,39.82,38.68,39.599998,6598900,39.599998
2017-04-06,39.029999,39.310001,38.790001,38.959999,4081400,38.959999
2017-04-05,38.740002,39.240002,38.59,38.82,5371900,38.82
2017-04-04,38.98,39.02,38.34,38.700001,5412500,38.700001
2017-04-03,38.630001,39.16,38.57,39.009998,7571700,39.009998
2017-03-31,39.48,39.66,38.950001,38.990002,6547000,38.990002
2017-03-30,40.209999,40.43,39.50,39.59,7330600,39.59
2017-03-29,41.50,41.889999,40.130001,40.349998,10190700,40.349998
2017-03-28,41.939999,42.48,41.549999,41.720001,4381200,41.720001
2017-03-27,40.860001,41.75,40.790001,41.709999,8048700,41.709999
2017-03-24,40.279999,41.27,40.25,40.959999,24449000,40.959999
2017-03-23,41.200001,42.060001,41.119999,41.610001,4924900,41.610001
2017-03-22,41.599998,41.860001,41.369999,41.700001,4355800,41.700001
2017-03-21,42.169998,42.169998,41.580002,41.669998,4211200,41.669998
2017-03-20,42.099998,42.52,41.950001,42.169998,4965300,42.169998
2017-03-17,42.59,42.630001,41.939999,42.029999,6065600,42.029999
2017-03-16,42.709999,42.889999,42.299999,42.490002,4343000,42.490002
2017-03-15,42.889999,43.00,42.599998,42.830002,6843500,42.830002
2017-03-14,42.68,42.93,42.32,42.77,3593100,42.77
2017-03-13,43.50,43.50,42.889999,42.98,3180800,42.98
2017-03-10,43.68,43.73,42.970001,43.400002,3670700,43.400002
2017-03-09,43.619999,43.66,42.900002,43.23,4386400,43.23
2017-03-08,43.32,43.880001,43.07,43.470001,4298400,43.470001
2017-03-07,43.450001,43.75,42.790001,43.330002,6581200,43.330002
2017-03-06,45.310001,45.439999,43.98,44.040001,5192900,44.040001
2017-03-03,45.209999,45.75,44.91,45.18,5382300,45.18
2017-03-02,44.669998,45.73,44.400002,45.279999,7208200,45.279999
2017-03-01,44.34,45.869999,44.099998,44.869999,15915900,44.869999
2017-02-28,42.450001,42.48,41.419998,41.849998,6809700,41.849998
2017-02-27,42.040001,42.50,41.77,42.439999,4057000,42.439999
2017-02-24,42.310001,42.349998,41.759998,42.16,4853600,42.16
2017-02-23,42.029999,42.540001,41.77,42.330002,4395100,42.330002
2017-02-22,42.209999,42.299999,41.860001,42.00,5059300,42.00
2017-02-21,42.459999,42.700001,42.07,42.299999,7352100,42.299999
2017-02-17,41.860001,42.330002,41.779999,42.049999,6135400,42.049999
2017-02-16,42.599998,42.650002,41.560001,42.00,4437500,42.00
2017-02-15,40.669998,42.59,40.59,42.439999,10630400,42.439999
2017-02-14,39.59,40.91,39.560001,40.75,5497900,40.75
2017-02-13,39.709999,39.889999,39.560001,39.779999,3872500,39.779999
2017-02-10,39.09,39.459999,39.00,39.310001,2521900,39.310001
2017-02-09,39.360001,39.599998,39.00,39.299999,5517100,39.299999
2017-02-08,39.220001,39.650002,39.00,39.189999,5932000,39.189999
2017-02-07,40.259998,40.299999,39.209999,39.389999,5989000,39.389999
2017-02-06,39.360001,40.25,39.34,39.98,6050000,39.98
2017-02-03,39.27,39.50,38.52,39.209999,5677900,39.209999
2017-02-02,38.259998,39.349998,38.16,39.00,6173200,39.00
2017-02-01,38.68,38.75,38.07,38.66,5822400,38.66
2017-01-31,37.02,38.09,36.41,38.049999,7342100,38.049999
2017-01-30,36.57,36.73,35.50,36.34,5214500,36.34
2017-01-27,36.16,36.830002,36.009998,36.66,2950600,36.66
2017-01-26,36.540001,36.59,35.830002,36.099998,3517400,36.099998
2017-01-25,36.00,36.639999,35.98,36.48,5124900,36.48
2017-01-24,36.029999,36.130001,35.16,35.810001,5067200,35.810001
2017-01-23,36.869999,37.189999,35.82,36.029999,4732200,36.029999
2017-01-20,36.93,37.349998,36.799999,37.07,3554200,37.07
2017-01-19,37.110001,37.299999,36.709999,36.950001,4062700,36.950001
2017-01-18,37.18,37.380001,36.709999,37.189999,4247600,37.189999
