Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,14.30,14.32,13.96,14.00,1879400,14.00
2017-05-11,14.40,14.47,14.16,14.35,2737000,14.35
2017-05-10,14.52,14.595,14.20,14.47,2887900,14.47
2017-05-09,14.74,14.83,14.52,14.60,2608700,14.60
2017-05-08,15.02,15.09,14.68,14.74,1915200,14.74
2017-05-05,15.18,15.285,14.97,14.98,1829500,14.98
2017-05-04,15.50,15.67,15.115,15.16,1848100,15.16
2017-05-03,15.34,15.50,15.29,15.45,1912200,15.45
2017-05-02,15.46,15.51,15.27,15.41,2536000,15.41
2017-05-01,15.23,15.48,15.205,15.45,3756400,15.45
2017-04-28,15.51,15.51,15.115,15.20,2791100,15.20
2017-04-27,15.86,15.96,15.53,15.54,2261600,15.54
2017-04-26,15.92,16.049999,15.73,15.86,1807500,15.86
2017-04-25,15.88,15.98,15.80,15.87,2038100,15.87
2017-04-24,16.16,16.24,15.76,15.76,3784600,15.76
2017-04-21,16.00,16.389999,15.77,15.78,4301300,15.78
2017-04-20,15.13,16.129999,15.09,16.01,4143600,16.01
2017-04-19,15.10,15.19,14.15,15.11,4942600,15.11
2017-04-18,14.81,15.12,14.78,15.05,3156200,15.05
2017-04-17,14.71,14.96,14.61,14.93,1636700,14.93
2017-04-13,14.60,14.95,14.60,14.68,2306500,14.68
2017-04-12,14.88,14.925,14.575,14.67,2398200,14.67
2017-04-11,14.52,14.90,14.46,14.89,1592100,14.89
2017-04-10,14.73,14.89,14.585,14.63,1895500,14.63
2017-04-07,14.56,14.79,14.46,14.68,1934500,14.68
2017-04-06,14.44,14.72,14.36,14.62,2253200,14.62
2017-04-05,14.85,14.97,14.41,14.43,2968800,14.43
2017-04-04,14.67,14.825,14.54,14.73,2203600,14.73
2017-04-03,14.83,14.92,14.54,14.75,2609700,14.75
2017-03-31,14.82,14.92,14.73,14.76,1957000,14.76
2017-03-30,14.53,14.93,14.38,14.87,1527700,14.87
2017-03-29,14.49,14.655,14.40,14.52,1523100,14.52
2017-03-28,13.96,14.62,13.75,14.50,2165800,14.50
2017-03-27,13.79,14.02,13.67,14.00,2008600,14.00
2017-03-24,14.02,14.11,13.87,13.99,1758300,13.99
2017-03-23,13.96,14.195,13.87,14.03,2856100,14.03
