Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,24.23,24.370001,24.17,24.299999,1861200,24.299999
2017-05-11,24.110001,24.17,23.959999,24.139999,1893200,24.139999
2017-05-10,24.110001,24.24,24.040001,24.139999,1944400,24.139999
2017-05-09,24.35,24.469999,24.040001,24.10,1973300,24.10
2017-05-08,24.57,24.610001,24.309999,24.379999,1707200,24.379999
2017-05-05,24.370001,24.629999,24.32,24.530001,2839900,24.530001
2017-05-04,24.00,24.32,23.959999,24.280001,4655100,24.280001
2017-05-03,24.32,24.34,23.940001,24.01,3080900,24.01
2017-05-02,24.07,24.26,24.040001,24.24,2815200,24.24
2017-05-01,24.290001,24.299999,24.040001,24.09,2027800,24.09
2017-04-28,24.32,24.33,24.16,24.25,2418400,24.25
2017-04-27,24.10,24.440001,24.10,24.360001,3862900,24.360001
2017-04-26,24.219999,24.32,24.049999,24.09,2969000,24.09
2017-04-25,24.18,24.440001,24.16,24.43,2915000,24.255
2017-04-24,24.00,24.34,23.940001,24.26,4274500,24.086217
2017-04-21,24.120001,24.290001,24.110001,24.190001,5713600,24.016719
2017-04-20,24.23,24.23,24.01,24.120001,2927800,23.947221
2017-04-19,24.209999,24.290001,24.08,24.23,4655400,24.056432
2017-04-18,24.02,24.25,23.950001,24.209999,3760900,24.036574
2017-04-17,23.83,24.030001,23.77,24.02,1915900,23.847937
2017-04-13,23.93,23.93,23.57,23.780001,2077800,23.609656
2017-04-12,23.85,23.969999,23.700001,23.940001,1817600,23.76851
2017-04-11,23.709999,23.889999,23.540001,23.85,2682700,23.679155
2017-04-10,23.73,23.799999,23.59,23.74,2275500,23.569942
2017-04-07,23.889999,23.950001,23.67,23.68,5453100,23.510372
2017-04-06,23.77,23.940001,23.639999,23.84,2768800,23.669226
2017-04-05,23.65,23.809999,23.57,23.780001,2952300,23.609656
2017-04-04,23.66,23.790001,23.57,23.66,2694500,23.490515
2017-04-03,23.74,23.77,23.530001,23.68,2264300,23.510372
2017-03-31,23.58,23.879999,23.58,23.790001,2072400,23.619585
2017-03-30,23.58,23.65,23.48,23.59,2031500,23.421017
2017-03-29,23.700001,23.73,23.52,23.709999,1588200,23.540156
2017-03-28,23.799999,23.799999,23.559999,23.709999,1973400,23.540156
2017-03-27,24.01,24.040001,23.65,23.809999,2046000,23.63944
2017-03-24,23.790001,23.940001,23.690001,23.870001,2340100,23.699012
2017-03-23,23.77,24.07,23.690001,23.75,2432600,23.579871
2017-03-22,23.66,23.870001,23.66,23.809999,3455300,23.63944
2017-03-21,23.290001,23.690001,23.190001,23.57,4059300,23.40116
2017-03-20,23.450001,23.57,23.18,23.219999,2362500,23.053666
2017-03-17,23.440001,23.610001,23.370001,23.50,3826200,23.331661
2017-03-16,23.620001,23.620001,23.309999,23.370001,2431500,23.202593
2017-03-15,23.469999,24.25,23.32,23.709999,3931800,23.540156
2017-03-14,23.469999,23.530001,23.32,23.360001,2256700,23.192665
2017-03-13,23.309999,23.52,23.27,23.50,3154600,23.331661
2017-03-10,23.16,23.35,23.10,23.33,2448000,23.162879
2017-03-09,23.07,23.23,22.959999,22.99,3495900,22.825314
2017-03-08,23.309999,23.35,23.02,23.02,2963400,22.8551
2017-03-07,23.59,23.65,23.469999,23.50,3056800,23.331661
2017-03-06,23.709999,23.77,23.530001,23.58,3382500,23.411088
2017-03-03,24.110001,24.110001,23.549999,23.719999,4920400,23.550085
2017-03-02,23.809999,24.290001,23.77,24.09,2920300,23.917435
2017-03-01,23.58,24.00,23.559999,23.90,6108900,23.728796
2017-02-28,23.74,24.030001,23.709999,23.91,3099300,23.738724
2017-02-27,23.98,23.98,23.77,23.799999,2080300,23.629512
2017-02-24,23.77,24.040001,23.76,24.01,3693800,23.838008
2017-02-23,23.299999,23.82,23.299999,23.77,4395800,23.599728
2017-02-22,23.040001,23.18,22.73,23.17,3573000,23.004025
2017-02-21,22.65,23.040001,22.530001,22.99,4043900,22.825314
2017-02-17,22.709999,22.73,22.51,22.700001,11286500,22.537393
2017-02-16,22.25,22.67,22.16,22.67,3382400,22.507607
2017-02-15,22.07,22.24,21.93,22.23,2465600,22.070758
2017-02-14,22.440001,22.469999,22.15,22.25,2102100,22.090616
2017-02-13,22.42,22.530001,22.26,22.52,2640200,22.358682
2017-02-10,22.15,22.540001,22.110001,22.41,2713900,22.249469
2017-02-09,22.18,22.370001,22.110001,22.23,2840000,22.070758
2017-02-08,22.040001,22.26,22.00,22.18,3284000,22.021117
2017-02-07,22.26,22.32,22.15,22.16,2851000,21.827514
2017-02-06,22.35,22.389999,22.18,22.24,2790000,21.906314
2017-02-03,22.24,22.360001,22.129999,22.26,2492600,21.926014
2017-02-02,21.950001,22.18,21.92,22.16,2893000,21.827514
2017-02-01,22.16,22.219999,21.90,21.98,3088200,21.650215
2017-01-31,21.82,22.389999,21.809999,22.370001,2723200,22.034364
2017-01-30,22.10,22.110001,21.65,21.84,2565800,21.512316
2017-01-27,22.280001,22.290001,21.969999,22.030001,1862900,21.699466
2017-01-26,22.209999,22.41,22.139999,22.219999,2297800,21.886614
2017-01-25,22.190001,22.26,22.120001,22.200001,1956900,21.866915
2017-01-24,22.200001,22.32,22.129999,22.25,1861500,21.916164
2017-01-23,22.540001,22.57,22.09,22.200001,2271400,21.866915
2017-01-20,22.42,22.530001,22.35,22.51,2533300,22.172263
2017-01-19,22.43,22.50,22.23,22.34,1806700,22.004814
2017-01-18,22.33,22.530001,22.27,22.52,2470000,22.182114
2017-01-17,22.040001,22.440001,22.01,22.35,2960600,22.014664
2017-01-13,21.959999,22.129999,21.799999,21.959999,1749800,21.630514
2017-01-12,22.09,22.09,21.75,22.030001,2537900,21.699466
2017-01-11,21.950001,22.190001,21.790001,22.120001,3292400,21.788115
2017-01-10,22.049999,22.15,21.84,21.940001,2181200,21.610816
2017-01-09,22.530001,22.559999,21.959999,22.059999,3022800,21.729014
2017-01-06,22.60,22.66,22.26,22.360001,4398500,22.024514
2017-01-05,22.42,22.74,22.26,22.68,5483500,22.339713
2017-01-04,22.25,22.629999,22.25,22.360001,2235500,22.024514
2017-01-03,22.17,22.209999,21.99,22.190001,1924900,21.857065
2016-12-30,22.26,22.309999,22.08,22.139999,1764500,21.807814
2016-12-29,22.049999,22.25,21.93,22.24,1549400,21.906314
2016-12-28,22.24,22.280001,21.90,21.950001,1020500,21.620666
2016-12-27,22.23,22.32,22.129999,22.23,848500,21.896464
2016-12-23,22.450001,22.459999,22.24,22.299999,862000,21.965413
2016-12-22,22.370001,22.49,22.219999,22.43,1635500,22.093464
2016-12-21,22.23,22.459999,22.23,22.33,2504500,21.994964
2016-12-20,22.299999,22.34,22.02,22.209999,2729200,21.876763
2016-12-19,22.129999,22.34,22.030001,22.33,2647700,21.994964
2016-12-16,22.01,22.209999,21.790001,22.030001,4934900,21.699466
2016-12-15,21.620001,22.120001,21.60,22.01,3022100,21.679765
2016-12-14,22.360001,22.50,21.65,21.66,3885200,21.335016
2016-12-13,22.00,22.24,21.98,22.10,4269600,21.768415
2016-12-12,21.639999,21.99,21.639999,21.879999,2703000,21.551715
2016-12-09,21.790001,21.879999,21.639999,21.780001,3374900,21.453217
2016-12-08,21.360001,21.76,21.309999,21.709999,2793900,21.384265
2016-12-07,21.57,21.709999,21.48,21.57,5540600,21.246366
2016-12-06,21.719999,21.83,21.40,21.469999,4654000,21.147866
2016-12-05,21.620001,21.65,21.42,21.639999,3376400,21.315316
2016-12-02,21.870001,22.15,21.559999,21.690001,4973000,21.364567
2016-12-01,21.82,21.85,21.49,21.709999,2732300,21.384265
2016-11-30,22.18,22.42,21.92,21.940001,3416800,21.610816
2016-11-29,22.10,22.48,22.040001,22.370001,3787200,22.034364
2016-11-28,22.23,22.35,22.07,22.209999,2664700,21.876763
2016-11-25,21.75,22.190001,21.67,22.139999,1779200,21.807814
2016-11-23,21.60,21.799999,21.440001,21.639999,2228600,21.315316
2016-11-22,21.90,22.18,21.77,21.83,2604500,21.502466
2016-11-21,21.82,22.059999,21.809999,21.889999,1975400,21.561565
2016-11-18,21.60,21.809999,21.549999,21.709999,2372400,21.384265
2016-11-17,21.709999,21.93,21.559999,21.610001,1455000,21.285767
2016-11-16,21.98,22.07,21.52,21.75,2257800,21.423666
2016-11-15,21.74,22.15,21.719999,21.91,3116300,21.581265
