Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,247.160004,248.149994,246.50,247.449997,517500,247.449997
2017-05-11,247.089996,248.050003,246.210007,247.520004,626600,247.520004
2017-05-10,249.949997,251.009995,246.899994,248.110001,780100,248.110001
2017-05-09,249.100006,249.649994,248.649994,249.490005,732100,249.490005
2017-05-08,248.699997,249.309998,248.029999,249.139999,619500,249.139999
2017-05-05,246.289993,249.039993,245.50,248.910004,716900,248.910004
2017-05-04,245.449997,246.020004,243.630005,245.75,877700,245.75
2017-05-03,244.910004,245.839996,243.949997,245.509995,614200,245.509995
2017-05-02,244.460007,245.679993,243.50,245.330002,880300,245.330002
2017-05-01,246.300003,246.529999,244.320007,244.339996,778900,244.339996
2017-04-28,248.899994,249.360001,245.600006,245.960007,853300,245.960007
2017-04-27,248.960007,249.820007,247.410004,248.399994,1010300,248.399994
2017-04-26,249.800003,250.00,243.050003,248.059998,1752200,248.059998
2017-04-25,248.130005,249.619995,247.380005,248.130005,1537000,248.130005
2017-04-24,248.979996,249.75,247.580002,249.139999,1052800,249.139999
2017-04-21,245.119995,247.429993,244.880005,246.330002,802200,246.330002
2017-04-20,243.860001,245.949997,243.509995,244.850006,662400,244.850006
2017-04-19,243.550003,244.429993,242.559998,243.740005,693000,243.740005
2017-04-18,242.639999,244.779999,242.419998,243.179993,894300,243.179993
2017-04-17,240.320007,243.279999,240.259995,243.100006,750500,243.100006
2017-04-13,239.039993,241.789993,239.039993,240.199997,738000,240.199997
2017-04-12,240.949997,240.949997,239.039993,239.360001,559000,239.360001
2017-04-11,239.220001,241.149994,238.220001,241.050003,678300,241.050003
2017-04-10,238.639999,240.449997,237.990005,239.339996,699600,239.339996
2017-04-07,239.720001,240.119995,237.389999,238.809998,721500,238.809998
2017-04-06,235.990005,237.520004,235.160004,236.669998,703900,236.669998
2017-04-05,238.00,239.809998,235.860001,236.100006,952600,236.100006
2017-04-04,236.990005,238.070007,236.429993,237.639999,701900,237.639999
2017-04-03,237.580002,238.559998,236.800003,237.809998,667800,237.809998
2017-03-31,238.720001,238.929993,237.690002,237.839996,964700,237.839996
2017-03-30,236.279999,239.220001,235.550003,239.059998,853000,239.059998
2017-03-29,236.660004,236.919998,235.070007,236.520004,612700,236.520004
2017-03-28,235.110001,237.979996,234.350006,237.190002,593100,237.190002
2017-03-27,235.779999,236.369995,233.199997,235.830002,969000,235.830002
2017-03-24,239.25,239.830002,236.589996,236.880005,736600,236.880005
2017-03-23,241.00,241.380005,239.130005,239.50,596500,239.50
2017-03-22,239.729996,242.00,239.100006,241.139999,676600,241.139999
2017-03-21,243.699997,243.699997,239.350006,239.720001,802700,239.720001
2017-03-20,244.770004,245.460007,242.690002,242.990005,511000,242.990005
2017-03-17,241.119995,244.699997,240.690002,244.25,1214600,244.25
2017-03-16,244.00,244.130005,239.720001,240.279999,1057800,240.279999
2017-03-15,243.800003,244.449997,243.130005,243.839996,749200,243.839996
2017-03-14,243.520004,244.369995,242.75,243.770004,460700,243.770004
2017-03-13,243.539993,244.729996,242.759995,244.419998,714800,244.419998
2017-03-10,244.559998,244.830002,242.449997,243.589996,656900,243.589996
2017-03-09,244.080002,244.740005,243.520004,244.119995,611200,244.119995
2017-03-08,244.00,245.080002,243.059998,243.570007,675600,243.570007
2017-03-07,242.509995,243.919998,242.070007,243.779999,904100,243.779999
2017-03-06,242.429993,243.660004,241.970001,242.919998,932700,242.919998
2017-03-03,243.00,243.759995,242.100006,242.929993,866100,242.929993
2017-03-02,245.00,245.389999,242.589996,243.070007,1172500,243.070007
2017-03-01,247.869995,248.880005,245.880005,245.929993,1899100,245.029986
2017-02-28,247.50,248.300003,245.520004,247.089996,1564400,246.185744
2017-02-27,245.589996,249.429993,245.110001,248.600006,1041800,247.690228
2017-02-24,243.589996,245.289993,242.539993,245.050003,815100,244.153217
2017-02-23,242.320007,243.990005,241.600006,243.860001,724900,242.967569
2017-02-22,243.350006,243.529999,242.009995,242.979996,949600,242.090785
2017-02-21,242.270004,244.830002,241.699997,244.119995,828900,243.226612
2017-02-17,243.389999,243.990005,241.889999,243.580002,778000,242.688595
2017-02-16,241.600006,243.679993,240.809998,243.529999,951100,242.638775
2017-02-15,239.139999,241.990005,238.949997,241.589996,739700,240.705872
2017-02-14,239.009995,240.330002,238.429993,239.619995,790800,238.74308
2017-02-13,237.050003,239.850006,236.520004,239.080002,1029500,238.205063
2017-02-10,234.580002,236.559998,234.070007,236.25,949200,235.385418
2017-02-09,232.419998,235.380005,231.979996,234.839996,1094400,233.980574
2017-02-08,232.910004,233.410004,232.259995,232.419998,972100,231.569433
2017-02-07,232.330002,233.869995,232.100006,232.979996,817000,232.127381
2017-02-06,231.559998,233.429993,231.410004,232.820007,1097600,231.967978
2017-02-03,230.059998,232.929993,229.509995,231.360001,1297900,230.513314
2017-02-02,228.399994,230.139999,227.929993,229.850006,916000,229.008846
2017-02-01,228.720001,230.149994,227.729996,228.820007,1148800,227.982616
2017-01-31,227.889999,229.720001,226.009995,229.080002,1495800,228.241659
2017-01-30,230.100006,231.839996,227.839996,229.479996,1270700,228.640189
2017-01-27,227.029999,234.580002,227.029999,229.830002,1948300,228.988915
2017-01-26,229.210007,230.839996,223.880005,226.960007,2499100,226.129423
2017-01-25,233.190002,233.240005,230.009995,230.839996,1073000,229.995213
2017-01-24,229.399994,232.949997,227.490005,232.589996,1034300,231.738809
2017-01-23,233.00,233.339996,230.130005,231.690002,779200,230.842108
2017-01-20,233.110001,233.160004,230.759995,232.110001,864500,231.260569
2017-01-19,231.259995,233.789993,230.100006,232.389999,966800,231.539544
2017-01-18,228.460007,231.080002,228.00,230.240005,863600,229.397418
2017-01-17,230.779999,230.779999,227.429993,228.479996,978900,227.643849
2017-01-13,229.00,230.990005,228.50,230.169998,1007400,229.327667
2017-01-12,231.380005,231.789993,227.869995,229.149994,1159100,228.311395
2017-01-11,233.800003,234.839996,230.139999,231.550003,1142300,230.702621
2017-01-10,235.460007,235.789993,232.699997,233.110001,1361200,232.25691
2017-01-09,236.839996,237.919998,235.690002,235.809998,703600,234.947026
2017-01-06,235.899994,237.50,235.770004,236.729996,619200,235.863657
2017-01-05,235.210007,237.419998,234.350006,235.990005,891200,235.126375
2017-01-04,235.240005,236.990005,234.830002,235.25,664100,234.389078
2017-01-03,234.100006,235.240005,233.139999,234.889999,1178900,234.030395
2016-12-30,232.880005,233.339996,231.710007,232.580002,740900,231.728851
2016-12-29,232.229996,233.820007,232.100006,232.630005,538500,231.778671
2016-12-28,233.240005,233.679993,231.559998,231.949997,500100,231.101151
2016-12-27,233.970001,234.350006,232.330002,233.240005,479400,232.386439
2016-12-23,231.470001,234.369995,231.240005,232.990005,852100,232.137354
2016-12-22,233.610001,234.479996,232.509995,233.720001,891400,232.864678
2016-12-21,235.550003,235.679993,233.089996,233.149994,918700,232.296757
2016-12-20,233.970001,235.339996,233.550003,235.139999,850300,234.27948
2016-12-19,232.710007,234.080002,230.639999,233.539993,1110200,232.685329
2016-12-16,232.070007,234.070007,231.029999,231.699997,1603000,230.852066
2016-12-15,233.020004,234.800003,231.839996,231.990005,1043400,231.141013
2016-12-14,232.009995,235.830002,231.630005,232.100006,1379800,231.250612
2016-12-13,232.00,234.240005,230.470001,231.559998,1483100,230.712579
2016-12-12,233.639999,233.639999,220.720001,232.070007,2921800,231.220723
2016-12-09,237.119995,239.949997,236.770004,238.429993,1680900,237.557433
2016-12-08,247.139999,247.240005,236.75,237.720001,2847500,236.85004
2016-12-07,247.380005,247.789993,245.539993,247.139999,1349100,246.235564
2016-12-06,246.740005,248.130005,245.139999,247.839996,1322100,246.933
2016-12-05,251.880005,252.020004,247.119995,247.490005,1221000,246.58429
2016-12-02,249.619995,250.899994,248.50,250.869995,603700,249.95191
2016-12-01,248.850006,250.220001,247.820007,249.070007,848300,248.158509
2016-11-30,252.169998,252.660004,249.649994,249.649994,1277200,247.839672
2016-11-29,248.789993,253.800003,248.559998,251.800003,1039700,249.97409
2016-11-28,246.869995,250.850006,245.380005,248.960007,893900,247.154688
2016-11-25,247.839996,249.080002,247.539993,248.580002,524200,246.777438
2016-11-23,248.779999,249.100006,246.309998,247.589996,885700,245.794612
2016-11-22,247.369995,248.570007,247.130005,248.070007,1021700,246.271142
2016-11-21,246.169998,247.039993,245.070007,246.289993,978800,244.504036
2016-11-18,244.50,246.020004,244.009995,245.460007,971700,243.680068
2016-11-17,245.789993,246.429993,243.839996,244.660004,843900,242.885866
2016-11-16,247.740005,248.50,244.449997,245.389999,1265100,243.610568
2016-11-15,251.289993,251.880005,246.110001,247.449997,1839000,245.655628
2016-11-14,248.559998,253.089996,248.169998,251.119995,1747400,249.299013
2016-11-11,245.399994,248.00,243.699997,247.50,1341400,245.705268
2016-11-10,249.100006,249.869995,242.669998,245.169998,2190500,243.392162
2016-11-09,244.770004,249.979996,239.149994,242.300003,2841200,240.542979
2016-11-08,230.169998,231.119995,229.080002,229.869995,987100,228.203106
2016-11-07,227.850006,230.169998,227.479996,230.059998,1093200,228.391731
2016-11-04,225.679993,227.139999,224.910004,225.229996,1176100,223.596754
2016-11-03,229.00,229.449997,224.720001,225.539993,1711000,223.904503
2016-11-02,228.139999,230.699997,227.470001,228.669998,962800,227.011811
2016-11-01,229.50,230.419998,227.339996,228.419998,1179600,226.763624
2016-10-31,229.100006,229.740005,228.029999,229.00,1173900,227.33942
2016-10-28,225.589996,230.00,225.570007,228.380005,1672000,226.723921
2016-10-27,227.970001,228.00,224.009995,225.350006,1473800,223.715894
2016-10-26,226.919998,229.449997,224.00,228.050003,2458700,226.396312
2016-10-25,216.889999,220.029999,216.50,219.529999,1572200,217.93809
2016-10-24,217.179993,217.949997,216.339996,216.460007,603100,214.89036
2016-10-21,215.929993,216.339996,214.589996,215.860001,729500,214.294704
2016-10-20,218.259995,218.880005,216.389999,217.360001,627900,215.783827
2016-10-19,219.330002,219.490005,217.429993,218.160004,729000,216.578029
2016-10-18,220.309998,220.410004,218.789993,219.440002,491400,217.848746
2016-10-17,218.850006,220.369995,218.850006,219.139999,678300,217.550919
2016-10-14,219.270004,219.75,217.600006,218.919998,923400,217.332513
2016-10-13,215.830002,218.910004,215.080002,218.369995,919800,216.786498
