Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,33.810001,33.98,33.50,33.790001,2756600,33.790001
2017-05-11,34.34,34.360001,33.73,33.799999,2351800,33.799999
2017-05-10,34.080002,34.450001,33.860001,34.080002,3831300,34.080002
2017-05-09,33.970001,33.990002,33.57,33.759998,2096800,33.759998
2017-05-08,34.25,34.34,33.630001,34.040001,2494000,34.040001
2017-05-05,33.299999,34.389999,33.23,34.349998,3751100,34.349998
2017-05-04,33.529999,33.740002,32.82,33.25,3156200,33.25
2017-05-03,33.549999,33.990002,33.450001,33.860001,2872500,33.860001
2017-05-02,34.259998,34.369999,33.48,33.689999,4143800,33.689999
2017-05-01,34.869999,35.009998,34.259998,34.259998,3356700,34.259998
2017-04-28,35.25,35.25,34.700001,34.970001,2798900,34.970001
2017-04-27,35.50,35.759998,34.130001,34.98,5839000,34.98
2017-04-26,35.57,36.580002,35.57,36.150002,3906500,36.150002
2017-04-25,35.57,35.919998,35.299999,35.82,4041400,35.82
2017-04-24,35.049999,35.599998,34.93,35.43,3931900,35.43
2017-04-21,35.130001,35.240002,34.509998,34.650002,6334400,34.650002
2017-04-20,36.060001,36.18,35.540001,35.630001,3202400,35.630001
2017-04-19,37.080002,37.16,35.740002,35.830002,4488700,35.830002
2017-04-18,37.220001,37.560001,36.790001,36.900002,3092000,36.900002
2017-04-17,37.709999,37.790001,37.279999,37.560001,2192800,37.560001
2017-04-13,37.66,37.900002,37.459999,37.709999,4761600,37.709999
2017-04-12,38.84,38.970001,37.630001,37.779999,6091200,37.779999
2017-04-11,39.09,39.169998,38.349998,38.73,3793500,38.73
2017-04-10,39.169998,39.360001,38.970001,39.16,2317000,39.16
2017-04-07,39.400002,39.439999,38.869999,38.889999,1924800,38.889999
2017-04-06,39.43,39.57,39.09,39.400002,2174400,39.400002
2017-04-05,39.889999,40.25,38.959999,39.07,3250400,39.07
2017-04-04,39.650002,39.650002,39.00,39.509998,4135800,39.509998
2017-04-03,40.18,40.330002,39.529999,39.68,3095800,39.68
2017-03-31,40.00,40.490002,39.830002,40.09,3201900,40.09
2017-03-30,40.529999,40.900002,40.029999,40.07,4451200,40.07
2017-03-29,39.200001,40.369999,38.959999,40.34,2693100,40.34
2017-03-28,38.619999,39.48,38.139999,39.299999,2577700,39.299999
2017-03-27,37.84,38.549999,37.630001,38.419998,2854800,38.419998
2017-03-24,38.540001,38.880001,38.290001,38.459999,2057400,38.459999
2017-03-23,38.48,38.84,38.259998,38.41,2544500,38.41
2017-03-22,38.720001,39.130001,38.439999,38.709999,3335700,38.709999
2017-03-21,39.299999,39.560001,38.32,38.919998,3338700,38.919998
2017-03-20,38.91,39.349998,38.400002,39.209999,2009000,39.209999
2017-03-17,39.259998,40.290001,39.23,39.310001,5460400,39.310001
2017-03-16,39.290001,39.759998,38.630001,39.150002,3059200,39.150002
2017-03-15,38.200001,39.23,37.73,39.130001,4157500,39.130001
2017-03-14,37.389999,37.939999,36.439999,37.759998,5228000,37.709997
2017-03-13,37.919998,38.119999,37.630001,38.099998,3037300,38.049547
2017-03-10,37.830002,38.009998,37.32,37.84,2275000,37.789893
2017-03-09,37.540001,38.18,36.810001,37.689999,6055000,37.64009
2017-03-08,39.200001,39.630001,37.759998,37.939999,7104700,37.889759
2017-03-07,39.91,40.07,39.139999,39.299999,3104600,39.247959
2017-03-06,40.110001,40.220001,39.50,39.869999,2768300,39.817204
2017-03-03,40.830002,41.00,40.139999,40.380001,2689200,40.326531
