Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,13.00,13.10,12.95,13.05,390400,13.05
2017-05-11,13.05,13.15,12.88,13.00,554300,13.00
2017-05-10,12.95,13.60,12.65,13.05,603400,13.05
2017-05-09,13.15,13.40,13.10,13.40,786600,13.40
2017-05-08,12.95,13.10,12.95,13.10,340100,13.10
2017-05-05,12.80,13.00,12.80,13.00,191700,13.00
2017-05-04,12.90,12.90,12.75,12.85,347900,12.85
2017-05-03,12.85,12.95,12.75,12.85,371100,12.85
2017-05-02,13.00,13.05,12.90,12.90,316300,12.90
2017-05-01,13.05,13.10,12.92,13.00,234500,13.00
2017-04-28,13.25,13.25,12.90,13.00,894200,13.00
2017-04-27,13.30,13.38,13.20,13.20,524100,13.20
2017-04-26,13.40,13.50,13.25,13.25,711500,13.25
2017-04-25,13.40,13.50,13.35,13.45,199900,13.45
2017-04-24,13.40,13.45,13.30,13.35,1093400,13.35
2017-04-21,13.30,13.40,13.13,13.30,453400,13.30
2017-04-20,12.85,13.45,12.85,13.35,457800,13.35
2017-04-19,12.75,12.95,12.75,12.85,249800,12.85
2017-04-18,12.85,12.85,12.60,12.70,413400,12.70
2017-04-17,12.80,12.90,12.70,12.85,279700,12.85
2017-04-13,12.85,12.95,12.70,12.70,319500,12.70
2017-04-12,12.90,13.00,12.83,12.95,416400,12.95
2017-04-11,12.85,12.95,12.80,12.85,381600,12.85
2017-04-10,12.90,13.05,12.85,12.90,300900,12.90
2017-04-07,12.90,12.95,12.85,12.90,159200,12.90
2017-04-06,13.00,13.09,12.85,12.95,396000,12.95
2017-04-05,13.15,13.20,12.93,13.05,455100,13.05
2017-04-04,13.25,13.35,13.10,13.15,569500,13.15
2017-04-03,13.55,13.55,13.20,13.25,446300,13.25
2017-03-31,13.70,13.70,13.33,13.50,511300,13.50
2017-03-30,13.50,13.80,13.40,13.70,2143100,13.70
2017-03-29,13.25,13.50,13.20,13.45,790300,13.45
2017-03-28,12.95,13.30,12.95,13.25,548700,13.25
2017-03-27,12.90,13.05,12.85,12.95,553400,12.95
2017-03-24,13.00,13.08,12.88,12.95,512900,12.95
2017-03-23,12.95,13.03,12.85,12.95,804000,12.95
2017-03-22,12.95,12.95,12.75,12.95,593200,12.95
2017-03-21,13.00,13.05,12.80,12.85,610900,12.85
2017-03-20,13.00,13.00,12.83,12.90,210700,12.90
2017-03-17,12.95,13.05,12.85,12.95,559100,12.95
2017-03-16,12.80,12.98,12.80,12.90,274500,12.90
2017-03-15,12.75,12.95,12.60,12.90,386500,12.90
2017-03-14,12.55,12.70,12.50,12.70,294900,12.70
2017-03-13,12.70,12.75,12.53,12.55,441400,12.55
