Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,12.67,12.73,12.59,12.71,1640500,12.71
2017-05-11,12.67,12.77,12.56,12.68,2551000,12.68
2017-05-10,12.30,13.30,12.26,12.71,4191700,12.71
2017-05-09,12.81,13.12,12.76,13.11,3316500,13.11
2017-05-08,12.70,12.92,12.66,12.79,2225600,12.79
2017-05-05,12.59,12.69,12.59,12.69,945700,12.69
2017-05-04,12.64,12.64,12.43,12.57,2490500,12.57
2017-05-03,12.59,12.61,12.49,12.57,1629900,12.57
2017-05-02,12.71,12.75,12.58,12.62,1495400,12.62
2017-05-01,12.75,12.86,12.65,12.74,1141800,12.74
2017-04-28,12.93,12.98,12.59,12.72,1872300,12.72
2017-04-27,12.96,13.03,12.88,12.96,1127900,12.96
2017-04-26,13.07,13.14,12.94,12.94,2181100,12.94
2017-04-25,13.08,13.13,13.00,13.07,1235000,13.07
2017-04-24,13.05,13.09,12.97,13.04,1498700,13.04
2017-04-21,12.91,12.99,12.72,12.89,2141400,12.89
2017-04-20,12.45,13.01,12.43,12.94,2718600,12.94
2017-04-19,12.38,12.48,12.34,12.43,1696500,12.43
2017-04-18,12.36,12.45,12.19,12.33,1668200,12.33
2017-04-17,12.39,12.44,12.30,12.41,1617700,12.41
2017-04-13,12.49,12.52,12.32,12.33,1854100,12.33
2017-04-12,12.49,12.57,12.41,12.49,1697200,12.49
2017-04-11,12.50,12.56,12.44,12.50,1621500,12.50
2017-04-10,12.51,12.63,12.50,12.53,1913100,12.53
2017-04-07,12.55,12.57,12.50,12.51,3552600,12.51
2017-04-06,12.59,12.67,12.50,12.57,1724900,12.57
2017-04-05,12.82,12.91,12.55,12.63,2085500,12.63
2017-04-04,12.84,12.89,12.74,12.77,1445400,12.77
2017-04-03,12.96,13.19,12.77,12.79,2463900,12.79
2017-03-31,13.09,13.10,12.89,13.00,3624000,13.00
2017-03-30,12.99,13.31,12.95,13.24,2539200,13.24
2017-03-29,12.81,13.03,12.75,13.00,1136500,13.00
2017-03-28,12.59,12.87,12.55,12.84,1211500,12.84
2017-03-27,12.50,12.61,12.50,12.58,1404900,12.58
2017-03-24,12.58,12.66,12.50,12.55,1180200,12.55
2017-03-23,12.52,12.62,12.49,12.55,1421700,12.55
2017-03-22,12.53,12.59,12.43,12.52,1429500,12.52
2017-03-21,12.70,12.76,12.50,12.52,3366600,12.52
2017-03-20,12.67,12.67,12.53,12.63,1121000,12.63
2017-03-17,12.60,12.71,12.57,12.65,2534200,12.65
2017-03-16,12.59,12.65,12.53,12.64,1541000,12.64
2017-03-15,12.41,13.07,12.35,12.60,1857400,12.60
2017-03-14,12.25,12.40,12.20,12.40,1698400,12.40
2017-03-13,12.25,12.37,12.25,12.28,1704500,12.28
2017-03-10,12.46,12.51,12.22,12.38,1689700,12.28
2017-03-09,12.49,12.56,12.33,12.41,1351600,12.309757
2017-03-08,12.68,12.71,12.47,12.49,2167400,12.389111
2017-03-07,13.07,13.34,12.62,12.66,2553800,12.557738
2017-03-06,12.78,12.97,12.78,12.95,2218100,12.845395
2017-03-03,12.79,12.93,12.74,12.90,2451200,12.795799
2017-03-02,13.11,13.11,12.81,12.84,1427600,12.736284
2017-03-01,12.92,13.11,12.85,13.09,1995100,12.984265
2017-02-28,13.06,13.06,12.80,12.82,2559700,12.716445
2017-02-27,13.13,13.17,13.00,13.06,1738800,12.954507
2017-02-24,13.24,13.25,12.95,13.10,2170400,12.994184
2017-02-23,13.27,13.38,13.09,13.24,3460600,13.133053
2017-02-22,13.32,13.36,13.11,13.29,2592800,13.182649
2017-02-21,13.08,13.47,13.05,13.33,2836400,13.222326
2017-02-17,13.02,13.14,12.87,13.08,3753400,12.974345
2017-02-16,13.09,13.28,12.98,13.05,2531700,12.944588
2017-02-15,13.04,13.22,12.98,13.10,2738500,12.994184
2017-02-14,13.11,13.17,12.95,13.08,3224400,12.974345
2017-02-13,13.37,13.48,13.06,13.08,2640800,12.974345
2017-02-10,12.50,13.42,12.19,13.29,4797500,13.182649
2017-02-09,12.21,12.41,12.18,12.39,2419300,12.289919
2017-02-08,12.20,12.29,12.00,12.16,2059400,12.061777
2017-02-07,12.24,12.24,12.07,12.20,1639600,12.101454
2017-02-06,12.26,12.35,12.20,12.22,1275600,12.121292
2017-02-03,12.26,12.30,12.17,12.27,2440300,12.170889
2017-02-02,12.38,12.38,12.18,12.22,2174700,12.121292
2017-02-01,12.29,12.41,12.16,12.36,2004100,12.260161
2017-01-31,12.28,12.32,12.08,12.29,1436900,12.190727
2017-01-30,12.33,12.34,12.11,12.33,1406700,12.230404
2017-01-27,12.19,12.37,12.11,12.36,1841800,12.260161
2017-01-26,12.32,12.37,12.02,12.22,1395900,12.121292
2017-01-25,12.13,12.36,12.12,12.31,1861100,12.210566
2017-01-24,11.96,12.17,11.91,12.11,1961100,12.01218
2017-01-23,11.97,12.01,11.88,11.96,1140200,11.863392
2017-01-20,12.05,12.12,11.93,11.97,1497500,11.873312
2017-01-19,12.14,12.14,11.97,12.04,2306400,11.942746
2017-01-18,12.20,12.22,12.00,12.14,2310800,12.041939
2017-01-17,11.97,12.26,11.89,12.23,2610100,12.131211
2017-01-13,12.01,12.10,11.93,12.05,1561300,11.952666
2017-01-12,12.01,12.18,11.86,12.02,2820400,11.922908
2017-01-11,12.00,12.17,11.94,12.04,2550400,11.942746
2017-01-10,12.05,12.07,11.90,12.00,2780900,11.903069
2017-01-09,11.90,12.05,11.86,12.00,2372400,11.903069
2017-01-06,11.88,12.00,11.76,11.93,1697200,11.833635
2017-01-05,11.87,11.98,11.78,11.89,2412000,11.793958
2017-01-04,11.70,11.90,11.70,11.87,1256000,11.774119
2017-01-03,11.55,11.84,11.51,11.69,2011500,11.595573
2016-12-30,11.67,11.69,11.42,11.46,1944200,11.367431
2016-12-29,11.69,11.73,11.55,11.66,1511700,11.565815
2016-12-28,11.91,11.92,11.67,11.69,2029900,11.595573
2016-12-27,11.74,11.91,11.71,11.91,1504300,11.813796
2016-12-23,11.74,11.77,11.65,11.73,1368800,11.63525
2016-12-22,11.70,11.80,11.62,11.74,1459300,11.645169
2016-12-21,11.66,11.77,11.57,11.72,1735200,11.625331
2016-12-20,11.76,11.81,11.62,11.65,1807500,11.555896
2016-12-19,11.65,11.78,11.56,11.73,1657600,11.63525
2016-12-16,11.76,11.83,11.53,11.61,4065400,11.516219
2016-12-15,11.92,12.01,11.63,11.69,2215200,11.595573
2016-12-14,11.87,12.04,11.82,11.88,2906000,11.784039
2016-12-13,12.05,12.15,11.78,11.88,2937300,11.784039
2016-12-12,12.04,12.11,11.97,12.01,3456100,11.912989
