Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,86.239998,86.32,85.919998,86.190002,5786900,86.190002
2017-05-11,86.610001,86.629997,85.879997,86.169998,5989700,86.169998
2017-05-10,86.480003,86.790001,86.389999,86.489998,6178500,86.489998
2017-05-09,86.800003,86.82,86.220001,86.400002,9277300,86.400002
2017-05-08,86.330002,86.620003,86.239998,86.550003,4623400,86.550003
2017-05-05,86.540001,86.610001,86.129997,86.50,4453100,86.50
2017-05-04,86.849998,87.239998,86.300003,86.449997,5977400,86.449997
2017-05-03,86.300003,86.629997,85.900002,86.43,6114700,86.43
2017-05-02,87.290001,87.290001,86.019997,86.220001,12797700,86.220001
2017-05-01,87.379997,87.599998,87.080002,87.089996,4530600,87.089996
2017-04-28,87.519997,87.589996,87.150002,87.330002,8245400,87.330002
2017-04-27,87.580002,88.239998,87.230003,87.690002,8487200,87.690002
2017-04-26,89.849998,90.00,87.610001,87.739998,11951300,87.739998
2017-04-25,89.580002,90.25,89.470001,90.00,9088400,90.00
2017-04-24,89.120003,89.660004,89.010002,89.550003,8338500,89.550003
2017-04-21,89.169998,89.279999,88.610001,88.620003,9061200,88.620003
2017-04-20,89.699997,89.699997,89.309998,89.330002,6983500,89.330002
2017-04-19,90.099998,90.449997,89.50,89.599998,6919000,89.599998
2017-04-18,90.400002,91.129997,90.339996,90.800003,7087800,90.110003
2017-04-17,90.230003,90.589996,90.129997,90.389999,6931700,89.703115
2017-04-13,90.050003,90.540001,89.790001,90.029999,5040100,89.34585
2017-04-12,89.699997,90.419998,89.559998,90.309998,6286300,89.623721
2017-04-11,89.660004,89.82,89.290001,89.800003,5186000,89.117602
2017-04-10,89.129997,89.68,88.75,89.489998,5956000,88.809953
2017-04-07,89.459999,89.610001,89.18,89.230003,4739100,88.551934
2017-04-06,89.769997,89.809998,89.309998,89.400002,7231500,88.720641
2017-04-05,90.00,90.50,89.760002,89.970001,6320100,89.286309
2017-04-04,89.75,89.959999,89.419998,89.910004,5680800,89.226767
2017-04-03,89.860001,90.059998,89.449997,89.68,6967400,88.998512
2017-03-31,90.029999,90.339996,89.839996,89.849998,6942400,89.167218
