Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,79.470001,79.980003,79.300003,79.790001,1424500,79.790001
2017-05-11,79.900002,80.019997,79.209999,79.519997,1431800,79.519997
2017-05-10,79.769997,80.040001,79.459999,79.75,1690500,79.75
2017-05-09,79.540001,80.110001,79.379997,79.599998,1451900,79.599998
2017-05-08,79.07,79.730003,78.790001,79.639999,1859300,79.639999
2017-05-05,78.330002,79.43,78.32,79.349998,1745900,79.349998
2017-05-04,79.300003,79.300003,78.00,78.239998,2161700,78.239998
2017-05-03,78.910004,79.75,78.739998,79.589996,1946200,79.589996
2017-05-02,79.93,80.07,79.059998,79.260002,2201200,79.260002
2017-05-01,79.519997,80.349998,79.32,79.559998,2632700,79.559998
2017-04-28,79.599998,80.940002,79.07,79.559998,5252400,79.559998
2017-04-27,78.010002,78.129997,76.93,78.050003,3001200,78.050003
2017-04-26,77.93,78.889999,77.660004,78.110001,2971800,78.110001
2017-04-25,77.599998,78.18,77.25,78.080002,2628100,78.080002
2017-04-24,77.120003,77.589996,76.739998,77.510002,2452000,77.510002
2017-04-21,75.599998,76.589996,75.599998,76.349998,2363900,76.349998
2017-04-20,75.50,76.370003,75.330002,75.75,1680000,75.75
2017-04-19,75.940002,76.150002,75.139999,75.330002,2488900,75.330002
2017-04-18,76.650002,76.989998,75.639999,75.93,2326300,75.93
2017-04-17,76.660004,77.010002,76.57,77.010002,1548800,77.010002
2017-04-13,77.260002,77.690002,76.459999,76.669998,2606600,76.669998
2017-04-12,78.129997,78.260002,77.260002,77.379997,2006100,77.379997
2017-04-11,77.809998,77.970001,77.150002,77.879997,2042900,77.879997
2017-04-10,77.510002,78.650002,77.50,78.050003,2503900,78.050003
2017-04-07,76.959999,77.660004,76.529999,77.150002,2484300,77.150002
2017-04-06,77.589996,77.650002,76.650002,76.879997,3322400,76.879997
2017-04-05,78.739998,79.480003,77.529999,77.57,2867200,77.57
2017-04-04,78.50,78.550003,77.669998,78.43,1368100,78.43
2017-04-03,79.089996,79.220001,78.00,78.290001,1701200,78.290001
2017-03-31,78.489998,79.43,78.410004,79.220001,2743100,79.220001
2017-03-30,78.379997,78.849998,77.940002,78.589996,3092300,78.589996
2017-03-29,77.809998,78.50,77.540001,78.32,2280900,78.32
2017-03-28,77.410004,78.110001,77.080002,77.919998,2383800,77.919998
2017-03-27,76.970001,77.790001,76.660004,77.25,2089300,77.25
2017-03-24,78.419998,78.669998,77.120003,77.269997,2346900,77.269997
2017-03-23,78.57,79.190002,78.43,78.480003,2211800,78.480003
2017-03-22,78.300003,78.940002,77.839996,78.830002,3024500,78.830002
2017-03-21,79.489998,79.779999,78.260002,78.599998,4049900,78.599998
2017-03-20,79.879997,79.989998,79.099998,79.410004,2240000,79.410004
2017-03-17,79.860001,80.089996,79.629997,79.940002,2767800,79.940002
2017-03-16,80.059998,80.099998,79.419998,79.690002,2439400,79.690002
2017-03-15,78.940002,80.279999,78.940002,80.150002,2383700,80.150002
2017-03-14,78.50,78.769997,78.160004,78.510002,2343400,78.510002
2017-03-13,78.910004,79.489998,78.709999,79.010002,2178700,79.010002
2017-03-10,77.18,78.980003,76.589996,78.860001,4986600,78.860001
2017-03-09,77.019997,77.400002,76.279999,76.839996,2684500,76.839996
2017-03-08,77.610001,78.309998,77.129997,77.25,2800100,77.25
2017-03-07,78.610001,78.809998,77.389999,77.480003,2664000,77.480003
2017-03-06,78.160004,78.889999,78.010002,78.720001,1846900,78.720001
2017-03-03,78.50,79.029999,78.18,78.339996,1737700,78.339996
2017-03-02,79.279999,79.349998,78.160004,78.330002,2543500,78.330002
2017-03-01,78.910004,80.029999,78.879997,79.370003,3196400,79.370003
2017-02-28,78.779999,79.139999,78.110001,78.190002,3211300,78.190002
2017-02-27,78.199997,79.190002,78.00,78.860001,2634300,78.860001
2017-02-24,78.389999,78.489998,77.690002,78.029999,2218600,78.029999
2017-02-23,79.00,79.349998,78.360001,78.610001,1864600,78.610001
2017-02-22,79.00,79.00,78.220001,78.379997,2003400,78.379997
2017-02-21,79.080002,79.389999,78.760002,79.029999,2818000,79.029999
2017-02-17,78.489998,79.239998,78.349998,78.660004,2219200,78.660004
2017-02-16,79.599998,79.690002,78.400002,78.50,2939200,78.50
2017-02-15,79.730003,80.389999,79.660004,80.080002,2272800,79.45
2017-02-14,79.980003,80.099998,79.150002,79.980003,2543900,79.350788
2017-02-13,79.860001,80.120003,79.57,79.900002,2111900,79.271416
2017-02-10,79.419998,79.980003,79.379997,79.860001,2030700,79.231729
2017-02-09,78.860001,79.629997,78.860001,79.25,2596900,78.626528
2017-02-08,78.25,79.019997,77.809998,78.860001,3042800,78.239597
2017-02-07,79.099998,79.139999,77.809998,78.550003,3255400,77.932038
2017-02-06,80.00,80.190002,79.00,79.139999,3016700,78.517393
2017-02-03,80.50,81.199997,78.82,79.949997,3672500,79.321018
2017-02-02,80.93,81.260002,80.230003,81.050003,3386800,80.41237
2017-02-01,82.110001,82.32,80.360001,80.75,3030200,80.114727
2017-01-31,82.00,82.370003,81.150002,81.620003,2740200,80.977885
2017-01-30,82.50,82.75,81.690002,82.330002,2375000,81.682299
2017-01-27,84.010002,84.349998,82.50,82.769997,2099300,82.118832
2017-01-26,85.18,85.339996,84.029999,84.239998,1618200,83.577269
