Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,441.540009,452.880005,438.589996,442.049988,1210400,442.049988
2017-05-11,429.790009,441.709991,428.850006,440.429993,895600,440.429993
2017-05-10,427.130005,431.73999,422.950012,431.570007,518900,431.570007
2017-05-09,422.829987,428.720001,421.549988,427.179993,566400,427.179993
2017-05-08,427.76001,436.470001,421.880005,423.380005,864500,423.380005
2017-05-05,434.790009,438.470001,426.399994,429.00,1059500,429.00
2017-05-04,410.190002,437.320007,410.190002,434.309998,2318300,434.309998
2017-05-03,402.00,408.119995,400.390015,407.029999,1256900,407.029999
2017-05-02,396.649994,402.98999,392.700012,402.040009,879000,402.040009
2017-05-01,388.799988,399.980011,388.220001,396.170013,1245000,396.170013
2017-04-28,368.51001,393.50,368.299988,388.48999,2179400,388.48999
2017-04-27,370.899994,371.709991,360.00,366.619995,1979700,366.619995
2017-04-26,372.119995,375.399994,369.470001,371.390015,511500,371.390015
2017-04-25,373.089996,376.23999,370.00,372.320007,707900,372.320007
2017-04-24,373.829987,374.940002,369.049988,371.929993,713000,371.929993
2017-04-21,376.399994,379.200012,368.809998,370.119995,639700,370.119995
2017-04-20,371.920013,377.480011,368.049988,376.399994,767900,376.399994
2017-04-19,368.119995,371.309998,366.519989,370.959991,500400,370.959991
2017-04-18,371.040009,374.720001,363.390015,366.059998,520000,366.059998
2017-04-17,373.00,374.359985,369.109985,373.450012,573800,373.450012
2017-04-13,367.609985,373.869995,366.50,370.369995,699800,370.369995
2017-04-12,367.00,372.600006,364.230011,366.329987,661000,366.329987
2017-04-11,372.50,373.890015,363.98999,367.070007,850900,367.070007
2017-04-10,380.01001,382.890015,372.829987,373.26001,896500,373.26001
2017-04-07,379.600006,381.359985,375.609985,380.549988,741700,380.549988
2017-04-06,379.00,381.980011,376.359985,379.480011,1119600,379.480011
2017-04-05,382.929993,384.51001,375.720001,377.359985,772200,377.359985
2017-04-04,383.940002,386.059998,379.279999,382.920013,681100,382.920013
2017-04-03,388.00,392.75,382.26001,383.190002,994400,383.190002
2017-03-31,385.75,390.00,382.600006,387.51001,565100,387.51001
2017-03-30,394.890015,397.209991,385.820007,386.179993,966300,386.179993
2017-03-29,382.459991,401.209991,382.059998,394.140015,1943600,394.140015
2017-03-28,383.470001,388.820007,376.220001,382.549988,1545800,382.549988
2017-03-27,371.690002,384.959991,371.040009,383.679993,1385900,383.679993
2017-03-24,367.920013,374.850006,366.720001,373.00,878300,373.00
2017-03-23,369.190002,370.730011,364.440002,365.019989,675900,365.019989
2017-03-22,373.119995,374.73999,366.130005,369.140015,676100,369.140015
2017-03-21,382.890015,383.089996,370.23999,370.980011,1219900,370.980011
2017-03-20,380.829987,385.709991,377.720001,382.019989,566600,382.019989
2017-03-17,380.049988,386.690002,370.679993,380.290009,2839500,380.290009
2017-03-16,397.459991,399.00,389.290009,392.589996,760100,392.589996
2017-03-15,393.640015,399.720001,391.829987,397.799988,807600,397.799988
2017-03-14,386.869995,393.589996,386.869995,391.100006,548200,391.100006
2017-03-13,389.200012,389.980011,384.279999,388.880005,572700,388.880005
2017-03-10,392.950012,392.950012,384.209991,388.230011,743500,388.230011
2017-03-09,383.179993,392.23999,381.429993,390.140015,1101000,390.140015
2017-03-08,373.589996,382.690002,373.51001,381.369995,832700,381.369995
2017-03-07,378.76001,382.220001,370.630005,372.519989,890400,372.519989
2017-03-06,378.130005,383.98999,376.450012,381.929993,971000,381.929993
2017-03-03,375.980011,379.459991,371.00,378.660004,513300,378.660004
2017-03-02,379.049988,381.98999,375.00,375.859985,512200,375.859985
2017-03-01,378.00,381.920013,372.519989,379.049988,756300,379.049988
2017-02-28,373.299988,374.970001,368.420013,373.50,757800,373.50
2017-02-27,361.149994,373.359985,359.940002,373.049988,537900,373.049988
2017-02-24,359.880005,361.079987,355.00,361.01001,781500,361.01001
2017-02-23,370.98999,371.220001,357.220001,360.959991,1118900,360.959991
2017-02-22,371.609985,373.160004,369.119995,370.220001,569200,370.220001
2017-02-21,372.179993,375.76001,370.00,371.609985,707400,371.609985
2017-02-17,372.420013,375.00,369.299988,371.179993,775500,371.179993
2017-02-16,379.00,382.079987,369.200012,373.019989,1276800,373.019989
2017-02-15,375.429993,384.579987,374.00,384.00,924800,384.00
2017-02-14,375.950012,378.320007,371.609985,376.519989,991100,376.519989
2017-02-13,364.220001,378.470001,363.200012,375.660004,1539100,375.660004
2017-02-10,360.950012,364.390015,357.380005,359.869995,713600,359.869995
2017-02-09,347.070007,366.950012,347.00,360.00,1722800,360.00
2017-02-08,355.880005,359.00,351.029999,353.25,865400,353.25
2017-02-07,360.609985,363.100006,355.890015,357.690002,689800,357.690002
2017-02-06,357.859985,362.450012,353.589996,362.00,748000,362.00
2017-02-03,362.429993,363.25,352.079987,358.26001,733200,358.26001
2017-02-02,361.140015,364.809998,357.890015,360.559998,578800,360.559998
2017-02-01,358.73999,364.799988,355.01001,364.170013,1033000,364.170013
2017-01-31,344.049988,360.00,343.50,359.290009,1052500,359.290009
2017-01-30,344.890015,347.040009,342.160004,344.50,668200,344.50
2017-01-27,342.339996,349.970001,340.959991,346.50,620600,346.50
2017-01-26,348.73999,352.880005,340.089996,340.75,1311700,340.75
2017-01-25,350.00,350.75,344.809998,348.929993,934500,348.929993
2017-01-24,355.040009,356.440002,347.00,347.959991,901200,347.959991
